B07404I_001E,B07404I_001EA,B07404I_001M,B07404I_001MA,B07404I_002E,B07404I_002EA,B07404I_002M,B07404I_002MA,B07404I_003E,B07404I_003EA,B07404I_003M,B07404I_003MA,B07404I_004E,B07404I_004EA,B07404I_004M,B07404I_004MA,B07404I_005E,B07404I_005EA,B07404I_005M,B07404I_005MA,GEO_ID,NAME,state
140553,null,3473,null,112748,null,4733,null,18293,null,3853,null,4482,null,1697,null,5030,null,1874,null,0400000US01,Alabama,01
47124,null,3189,null,27483,null,2602,null,8383,null,2462,null,2432,null,1281,null,8826,null,2703,null,0400000US02,Alaska,02
1974417,null,9453,null,1537614,null,24186,null,368918,null,22470,null,25130,null,4106,null,42755,null,6521,null,0400000US04,Arizona,04
163798,null,3924,null,129536,null,6333,null,24162,null,5860,null,4882,null,1625,null,5218,null,1985,null,0400000US05,Arkansas,05
13387207,null,17223,null,11215567,null,41786,null,1710925,null,35703,null,340879,null,19686,null,119836,null,10342,null,0400000US06,California,06
976087,null,6767,null,767129,null,13942,null,135704,null,12077,null,52731,null,7272,null,20523,null,4181,null,0400000US08,Colorado,08
418729,null,4872,null,340093,null,7680,null,59196,null,7163,null,10116,null,2243,null,9324,null,2388,null,0400000US09,Connecticut,09
58521,null,2437,null,48842,null,3248,null,7292,null,2064,null,962,null,617,null,1425,null,677,null,0400000US10,Delaware,10
50361,null,2603,null,44586,null,2093,null,2107,null,798,null,0,null,271,null,3668,null,1772,null,0400000US11,District of Columbia,11
3873786,null,12888,null,3220773,null,23797,null,467594,null,20519,null,112752,null,9463,null,72667,null,7613,null,0400000US12,Florida,12
785314,null,7573,null,631575,null,12396,null,94981,null,9738,null,36458,null,5401,null,22300,null,4552,null,0400000US13,Georgia,13
112620,null,3385,null,79398,null,4148,null,23709,null,4025,null,2340,null,1306,null,7173,null,2522,null,0400000US15,Hawaii,15
157383,null,2465,null,135185,null,3396,null,14922,null,3076,null,3308,null,1384,null,3968,null,1419,null,0400000US16,Idaho,16
1925853,null,8560,null,1676891,null,16535,null,186003,null,15650,null,29143,null,4827,null,33816,null,6210,null,0400000US17,Illinois,17
335884,null,5615,null,275292,null,5607,null,38405,null,4669,null,9244,null,2002,null,12943,null,4241,null,0400000US18,Indiana,18
125239,null,3210,null,99438,null,3683,null,17254,null,2765,null,4297,null,1676,null,4250,null,2302,null,0400000US19,Iowa,19
249234,null,4269,null,204138,null,6339,null,28300,null,5103,null,7878,null,2184,null,8918,null,2450,null,0400000US20,Kansas,20
