C17020A_001E,C17020A_001EA,C17020A_001M,C17020A_001MA,C17020A_002E,C17020A_002EA,C17020A_002M,C17020A_002MA,C17020A_003E,C17020A_003EA,C17020A_003M,C17020A_003MA,C17020A_004E,C17020A_004EA,C17020A_004M,C17020A_004MA,C17020A_005E,C17020A_005EA,C17020A_005M,C17020A_005MA,C17020A_006E,C17020A_006EA,C17020A_006M,C17020A_006MA,C17020A_007E,C17020A_007EA,C17020A_007M,C17020A_007MA,C17020A_008E,C17020A_008EA,C17020A_008M,C17020A_008MA,C17020A_009E,C17020A_009EA,C17020A_009M,C17020A_009MA,GEO_ID,NAME,state
3227852,null,6396,null,397940,null,14733,null,113280,null,6127,null,242257,null,10108,null,42403,null,3008,null,2829912,null,15730,null,604321,null,6620,null,1765687,null,11027,null,459904,null,3445,null,0400000US01,Alabama,01
467787,null,3278,null,31786,null,3752,null,10843,null,2095,null,19865,null,2482,null,1078,null,442,null,436001,null,5563,null,97151,null,2649,null,301322,null,3530,null,37528,null,692,null,0400000US02,Alaska,02
5185681,null,23053,null,763324,null,27107,null,265955,null,15201,null,441345,null,15793,null,56024,null,4250,null,4422357,null,30553,null,984587,null,15788,null,2715519,null,18321,null,722251,null,4675,null,0400000US04,Arizona,04
2206263,null,6446,null,322204,null,13994,null,101781,null,6830,null,186215,null,9313,null,34208,null,2709,null,1884059,null,14864,null,399996,null,7049,null,1171202,null,9874,null,312861,null,3572,null,0400000US05,Arkansas,05
22721616,null,77227,null,2866461,null,53246,null,978194,null,28239,null,1659051,null,30450,null,229216,null,8708,null,19855155,null,73703,null,4410868,null,33578,null,12677404,null,50488,null,2766883,null,11663,null,0400000US06,California,06
4167522,null,15631,null,484197,null,20567,null,145606,null,10366,null,300714,null,13698,null,37877,null,3512,null,3683325,null,20512,null,809120,null,9378,null,2438123,null,14611,null,436082,null,3713,null,0400000US08,Colorado,08
2707032,null,11487,null,181993,null,11783,null,42468,null,5772,null,116887,null,7182,null,22638,null,2041,null,2525039,null,14467,null,535916,null,6509,null,1595288,null,9571,null,393835,null,2680,null,0400000US09,Connecticut,09
620533,null,4577,null,53496,null,6983,null,17374,null,3442,null,30781,null,4018,null,5341,null,1043,null,567037,null,7890,null,115008,null,3767,null,354205,null,4643,null,97824,null,1210,null,0400000US10,Delaware,10
214338,null,4322,null,15743,null,2240,null,1417,null,822,null,13477,null,2095,null,849,null,461,null,198595,null,4598,null,28330,null,2009,null,147948,null,3326,null,22317,null,1678,null,0400000US11,District of Columbia,11
13992294,null,28316,null,1729617,null,31826,null,452792,null,16817,null,1027082,null,20962,null,249743,null,9335,null,12262677,null,34490,null,2306348,null,17692,null,7415905,null,24245,null,2540424,null,11950,null,0400000US12,Florida,12
5927757,null,22523,null,698434,null,25577,null,209499,null,14072,null,424861,null,14471,null,64074,null,3544,null,5229323,null,29005,null,1227461,null,14407,null,3318701,null,18113,null,683161,null,3900,null,0400000US13,Georgia,13
340126,null,4096,null,35733,null,4686,null,7194,null,2402,null,26223,null,3443,null,2316,null,529,null,304393,null,6167,null,53205,null,3257,null,208707,null,4238,null,42481,null,1094,null,0400000US15,Hawaii,15
1397292,null,5322,null,193320,null,12308,null,65245,null,6265,null,113741,null,7069,null,14334,null,1565,null,1203972,null,12157,null,302603,null,6583,null,742190,null,6834,null,159179,null,2287,null,0400000US16,Idaho,16
9125569,null,27101,null,896819,null,25843,null,265997,null,14059,null,544566,null,15906,null,86256,null,5240,null,8228750,null,34668,null,1790788,null,17623,null,5268103,null,20538,null,1169859,null,6093,null,0400000US17,Illinois,17
5346502,null,9656,null,636604,null,19226,null,194726,null,9805,null,390581,null,12107,null,51297,null,3753,null,4709898,null,21429,null,1067338,null,11233,null,2969475,null,13958,null,673085,null,4654,null,0400000US18,Indiana,18
2685354,null,5653,null,290323,null,11554,null,85821,null,6813,null,175477,null,6545,null,29025,null,2032,null,2395031,null,12953,null,528068,null,7329,null,1490512,null,7512,null,376451,null,2475,null,0400000US19,Iowa,19
2368608,null,7870,null,279275,null,12916,null,82746,null,7904,null,173795,null,6528,null,22734,null,1969,null,2089333,null,13814,null,481824,null,8067,null,1310417,null,7963,null,297092,null,2448,null,0400000US20,Kansas,20
3728609,null,6431,null,638068,null,20404,null,195654,null,10462,null,380101,null,12017,null,62313,null,3926,null,3090541,null,22072,null,650380,null,11248,null,1993527,null,12978,null,446634,null,3983,null,0400000US21,Kentucky,21
2794570,null,6571,null,302343,null,14448,null,76590,null,7000,null,189434,null,9224,null,36319,null,3123,null,2492227,null,15326,null,549193,null,7154,null,1581088,null,9718,null,361946,null,4183,null,0400000US22,Louisiana,22
1218366,null,4333,null,139450,null,7892,null,37120,null,3879,null,85784,null,4911,null,16546,null,2126,null,1078916,null,8810,null,203315,null,4404,null,698075,null,5505,null,177526,null,2134,null,0400000US23,Maine,23
3362544,null,12335,null,219046,null,11266,null,51229,null,5464,null,137463,null,7313,null,30354,null,2832,null,3143498,null,16055,null,674796,null,7451,null,2007592,null,10192,null,461110,null,3501,null,0400000US24,Maryland,24
5251552,null,12398,null,425778,null,16249,null,99043,null,8604,null,267154,null,10332,null,59581,null,3461,null,4825774,null,18077,null,981308,null,8254,null,3130113,null,12084,null,714353,null,4265,null,0400000US25,Massachusetts,25
7805757,null,9470,null,976197,null,23166,null,282916,null,12194,null,609179,null,15138,null,84102,null,5738,null,6829560,null,22912,null,1438123,null,12193,null,4343370,null,15033,null,1048067,null,6283,null,0400000US26,Michigan,26
4491378,null,8657,null,396909,null,14176,null,99408,null,6651,null,249300,null,9490,null,48201,null,3337,null,4094469,null,14826,null,902440,null,7583,null,2634134,null,9639,null,557895,null,3305,null,0400000US27,Minnesota,27
1709567,null,5087,null,228577,null,13814,null,67700,null,6593,null,134976,null,7895,null,25901,null,2987,null,1480990,null,13420,null,325131,null,6310,null,914418,null,8424,null,241441,null,3450,null,0400000US28,Mississippi,28
4893574,null,7490,null,609830,null,19721,null,187277,null,10131,null,365200,null,11565,null,57353,null,3255,null,4283744,null,21439,null,921924,null,11069,null,2709577,null,13186,null,652243,null,3706,null,0400000US29,Missouri,29
847713,null,2429,null,109414,null,8425,null,31352,null,4285,null,67754,null,5247,null,10308,null,1557,null,738299,null,8476,null,147596,null,4473,null,471811,null,4893,null,118892,null,1712,null,0400000US30,Montana,30
1535729,null,6817,null,158763,null,8427,null,40637,null,4011,null,101991,null,6531,null,16135,null,1672,null,1376966,null,11200,null,321128,null,5579,null,854875,null,7299,null,200963,null,2138,null,0400000US31,Nebraska,31
1988804,null,11740,null,231102,null,14283,null,80121,null,8458,null,132447,null,7346,null,18534,null,2597,null,1757702,null,17403,null,404639,null,10132,null,1117770,null,9661,null,235293,null,2638,null,0400000US32,Nevada,32
