B18101D_001E,B18101D_001EA,B18101D_001M,B18101D_001MA,B18101D_002E,B18101D_002EA,B18101D_002M,B18101D_002MA,B18101D_003E,B18101D_003EA,B18101D_003M,B18101D_003MA,B18101D_004E,B18101D_004EA,B18101D_004M,B18101D_004MA,B18101D_005E,B18101D_005EA,B18101D_005M,B18101D_005MA,B18101D_006E,B18101D_006EA,B18101D_006M,B18101D_006MA,B18101D_007E,B18101D_007EA,B18101D_007M,B18101D_007MA,B18101D_008E,B18101D_008EA,B18101D_008M,B18101D_008MA,B18101D_009E,B18101D_009EA,B18101D_009M,B18101D_009MA,B18101D_010E,B18101D_010EA,B18101D_010M,B18101D_010MA,GEO_ID,NAME,state
50551,null,2140,null,13246,null,1469,null,36,null,61,null,13210,null,1462,null,33646,null,1655,null,1775,null,745,null,31871,null,1738,null,3659,null,767,null,699,null,414,null,2960,null,770,null,0400000US01,Alabama,01
33396,null,1805,null,7496,null,1079,null,836,null,454,null,6660,null,938,null,22859,null,1242,null,1922,null,900,null,20937,null,1393,null,3041,null,749,null,1329,null,548,null,1712,null,622,null,0400000US02,Alaska,02
167012,null,3802,null,37386,null,2428,null,1015,null,540,null,36371,null,2435,null,114698,null,2782,null,5222,null,1237,null,109476,null,3126,null,14928,null,816,null,5142,null,1194,null,9786,null,1484,null,0400000US04,Arizona,04
31799,null,2555,null,8115,null,1206,null,91,null,155,null,8024,null,1253,null,21351,null,1783,null,1137,null,525,null,20214,null,1738,null,2333,null,698,null,1020,null,578,null,1313,null,498,null,0400000US05,Arkansas,05
4587872,null,13994,null,955656,null,8067,null,14686,null,2085,null,940970,null,7739,null,3105914,null,9707,null,142161,null,5839,null,2963753,null,11281,null,526302,null,3248,null,189940,null,6223,null,336362,null,6317,null,0400000US06,California,06
128631,null,3479,null,30027,null,1956,null,1122,null,508,null,28905,null,1924,null,87220,null,2688,null,4518,null,1152,null,82702,null,2896,null,11384,null,838,null,3334,null,727,null,8050,null,944,null,0400000US08,Colorado,08
123760,null,2249,null,30722,null,1496,null,492,null,346,null,30230,null,1492,null,85794,null,1515,null,3635,null,1115,null,82159,null,1788,null,7244,null,785,null,1796,null,574,null,5448,null,853,null,0400000US09,Connecticut,09
26954,null,948,null,6773,null,742,null,85,null,139,null,6688,null,779,null,18261,null,727,null,840,null,453,null,17421,null,912,null,1920,null,608,null,192,null,167,null,1728,null,581,null,0400000US10,Delaware,10
17194,null,1011,null,1818,null,929,null,0,null,296,null,1818,null,929,null,14184,null,624,null,674,null,513,null,13510,null,852,null,1192,null,310,null,272,null,223,null,920,null,340,null,0400000US11,District of Columbia,11
440450,null,6183,null,100760,null,4037,null,1900,null,832,null,98860,null,3966,null,298581,null,3859,null,11217,null,1556,null,287364,null,4135,null,41109,null,1816,null,12289,null,1652,null,28820,null,1874,null,0400000US12,Florida,12
290394,null,4658,null,74559,null,2440,null,1106,null,538,null,73453,null,2400,null,197794,null,3669,null,8297,null,1453,null,189497,null,3752,null,18041,null,1316,null,6127,null,1164,null,11914,null,1606,null,0400000US13,Georgia,13
469583,null,10176,null,68326,null,4660,null,969,null,481,null,67357,null,4703,null,295107,null,6934,null,17998,null,2396,null,277109,null,6957,null,106150,null,1849,null,38518,null,2131,null,67632,null,2546,null,0400000US15,Hawaii,15
17152,null,1443,null,4068,null,868,null,27,null,64,null,4041,null,854,null,11875,null,1032,null,478,null,330,null,11397,null,1030,null,1209,null,556,null,457,null,284,null,752,null,477,null,0400000US16,Idaho,16
563669,null,4693,null,132654,null,2825,null,3083,null,1125,null,129571,null,2963,null,382187,null,3251,null,12115,null,1690,null,370072,null,3519,null,48828,null,1590,null,14440,null,1798,null,34388,null,1931,null,0400000US17,Illinois,17
90137,null,2882,null,22763,null,1750,null,471,null,323,null,22292,null,1740,null,61649,null,2107,null,2435,null,746,null,59214,null,2114,null,5725,null,1137,null,1478,null,539,null,4247,null,1054,null,0400000US18,Indiana,18
45720,null,2204,null,10740,null,1292,null,179,null,166,null,10561,null,1294,null,32996,null,1658,null,1771,null,727,null,31225,null,1755,null,1984,null,530,null,588,null,300,null,1396,null,435,null,0400000US19,Iowa,19
61052,null,1870,null,14801,null,1098,null,297,null,191,null,14504,null,1113,null,43382,null,1474,null,2054,null,651,null,41328,null,1632,null,2869,null,516,null,894,null,301,null,1975,null,538,null,0400000US20,Kansas,20
41620,null,1863,null,11625,null,1271,null,512,null,554,null,11113,null,1225,null,27950,null,1500,null,760,null,477,null,27190,null,1457,null,2045,null,497,null,710,null,439,null,1335,null,441,null,0400000US21,Kentucky,21
66539,null,2468,null,17853,null,1409,null,175,null,172,null,17678,null,1413,null,44469,null,1854,null,3615,null,1056,null,40854,null,1934,null,4217,null,900,null,1735,null,712,null,2482,null,733,null,0400000US22,Louisiana,22
12213,null,1050,null,3264,null,821,null,90,null,140,null,3174,null,846,null,8630,null,846,null,459,null,328,null,8171,null,827,null,319,null,226,null,168,null,187,null,151,null,124,null,0400000US23,Maine,23
288085,null,3696,null,63779,null,2261,null,959,null,523,null,62820,null,2283,null,197913,null,2738,null,6647,null,1396,null,191266,null,2987,null,26393,null,974,null,7460,null,1356,null,18933,null,1489,null,0400000US24,Maryland,24
327157,null,3909,null,74999,null,2396,null,1777,null,591,null,73222,null,2517,null,231083,null,2579,null,9884,null,1627,null,221199,null,2847,null,21075,null,1361,null,6436,null,1128,null,14639,null,1317,null,0400000US25,Massachusetts,25
