B08505F_001E,B08505F_001EA,B08505F_001M,B08505F_001MA,B08505F_002E,B08505F_002EA,B08505F_002M,B08505F_002MA,B08505F_003E,B08505F_003EA,B08505F_003M,B08505F_003MA,B08505F_004E,B08505F_004EA,B08505F_004M,B08505F_004MA,B08505F_005E,B08505F_005EA,B08505F_005M,B08505F_005MA,B08505F_006E,B08505F_006EA,B08505F_006M,B08505F_006MA,B08505F_007E,B08505F_007EA,B08505F_007M,B08505F_007MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
6378,null,1703,null,4305,null,1269,null,840,null,583,null,73,null,106,null,489,null,292,null,611,null,698,null,60,null,100,null,0400000US02,Alaska,02
161069,null,8994,null,120922,null,8094,null,24154,null,3434,null,3425,null,1123,null,4525,null,1796,null,3866,null,1418,null,4177,null,1140,null,0400000US04,Arizona,04
24802,null,2898,null,16412,null,2532,null,6525,null,1938,null,127,null,257,null,340,null,303,null,777,null,412,null,621,null,618,null,0400000US05,Arkansas,05
2169690,null,33579,null,1470844,null,28256,null,331653,null,12334,null,182296,null,9835,null,68614,null,4768,null,58611,null,5192,null,57672,null,4451,null,0400000US06,California,06
97416,null,8102,null,69066,null,5913,null,17848,null,3398,null,5141,null,1350,null,1510,null,612,null,1382,null,768,null,2469,null,847,null,0400000US08,Colorado,08
76249,null,5641,null,44216,null,3995,null,14165,null,2740,null,7943,null,1808,null,5087,null,1430,null,3114,null,1268,null,1724,null,896,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
27611,null,3008,null,10695,null,2170,null,6621,null,1492,null,9115,null,2152,null,688,null,517,null,301,null,253,null,191,null,282,null,0400000US11,District of Columbia,11
241818,null,14821,null,159428,null,10390,null,48604,null,6280,null,10834,null,3040,null,6020,null,1816,null,11134,null,2544,null,5798,null,1601,null,0400000US12,Florida,12
134936,null,9596,null,69858,null,6180,null,38366,null,4939,null,8319,null,4479,null,2781,null,1311,null,12163,null,2386,null,3449,null,1073,null,0400000US13,Georgia,13
7125,null,1677,null,4809,null,1316,null,1367,null,791,null,160,null,136,null,309,null,262,null,213,null,210,null,267,null,199,null,0400000US15,Hawaii,15
11414,null,1631,null,8520,null,1326,null,1893,null,682,null,48,null,79,null,331,null,322,null,173,null,158,null,449,null,365,null,0400000US16,Idaho,16
370224,null,12439,null,239561,null,8933,null,60453,null,5430,null,36067,null,4039,null,17206,null,2925,null,9938,null,2350,null,6999,null,2055,null,0400000US17,Illinois,17
