C05003A_001E,C05003A_001EA,C05003A_001M,C05003A_001MA,C05003A_002E,C05003A_002EA,C05003A_002M,C05003A_002MA,C05003A_003E,C05003A_003EA,C05003A_003M,C05003A_003MA,C05003A_004E,C05003A_004EA,C05003A_004M,C05003A_004MA,C05003A_005E,C05003A_005EA,C05003A_005M,C05003A_005MA,C05003A_006E,C05003A_006EA,C05003A_006M,C05003A_006MA,C05003A_007E,C05003A_007EA,C05003A_007M,C05003A_007MA,C05003A_008E,C05003A_008EA,C05003A_008M,C05003A_008MA,C05003A_009E,C05003A_009EA,C05003A_009M,C05003A_009MA,C05003A_010E,C05003A_010EA,C05003A_010M,C05003A_010MA,C05003A_011E,C05003A_011EA,C05003A_011M,C05003A_011MA,C05003A_012E,C05003A_012EA,C05003A_012M,C05003A_012MA,C05003A_013E,C05003A_013EA,C05003A_013M,C05003A_013MA,C05003A_014E,C05003A_014EA,C05003A_014M,C05003A_014MA,C05003A_015E,C05003A_015EA,C05003A_015M,C05003A_015MA,GEO_ID,NAME,state
3295027,null,5329,null,1613635,null,4341,null,371003,null,2612,null,367385,null,2537,null,3618,null,1057,null,1242632,null,3050,null,1206997,null,2823,null,35635,null,2971,null,1681392,null,4031,null,354136,null,2817,null,350042,null,2839,null,4094,null,1124,null,1327256,null,2396,null,1296896,null,2803,null,30360,null,2214,null,0400000US01,Alabama,01
477384,null,2779,null,251816,null,2037,null,57132,null,1239,null,56772,null,1284,null,360,null,330,null,194684,null,1393,null,187778,null,1782,null,6906,null,1463,null,225568,null,1509,null,52603,null,1061,null,52263,null,1056,null,340,null,193,null,172965,null,933,null,165583,null,1549,null,7382,null,1473,null,0400000US02,Alaska,02
5275163,null,22502,null,2650266,null,12555,null,657634,null,6767,null,633696,null,7126,null,23938,null,3297,null,1992632,null,9122,null,1680568,null,10836,null,312064,null,11302,null,2624897,null,12394,null,613422,null,6978,null,592452,null,6707,null,20970,null,2935,null,2011475,null,7709,null,1726336,null,11800,null,285139,null,9472,null,0400000US04,Arizona,04
2265537,null,6371,null,1111124,null,4451,null,259942,null,2985,null,257995,null,2985,null,1947,null,653,null,851182,null,2555,null,824045,null,2234,null,27137,null,2573,null,1154413,null,4335,null,250336,null,3308,null,247189,null,3143,null,3147,null,994,null,904077,null,2221,null,878788,null,2497,null,25289,null,2315,null,0400000US05,Arkansas,05
23157650,null,76456,null,11610808,null,42333,null,2809361,null,20113,null,2677645,null,21810,null,131716,null,7590,null,8801447,null,30664,null,6763190,null,23251,null,2038257,null,24903,null,11546842,null,39336,null,2663579,null,19494,null,2533649,null,20901,null,129930,null,6662,null,8883263,null,24814,null,6840622,null,23375,null,2042641,null,20866,null,0400000US06,California,06
4251059,null,15433,null,2139415,null,9201,null,496819,null,4717,null,485782,null,4632,null,11037,null,2108,null,1642596,null,6864,null,1497815,null,7556,null,144781,null,7670,null,2111644,null,8357,null,470421,null,5168,null,458561,null,5773,null,11860,null,2523,null,1641223,null,5016,null,1512135,null,6706,null,129088,null,5475,null,0400000US08,Colorado,08
2782023,null,11137,null,1352800,null,6308,null,298269,null,3068,null,290957,null,3275,null,7312,null,1584,null,1054531,null,4497,null,948458,null,5224,null,106073,null,5582,null,1429223,null,5860,null,283767,null,2960,null,277147,null,2882,null,6620,null,1694,null,1145456,null,3855,null,1036355,null,4999,null,109101,null,4405,null,0400000US09,Connecticut,09
636530,null,4204,null,310597,null,2564,null,69820,null,1370,null,68088,null,1377,null,1732,null,852,null,240777,null,1820,null,227288,null,1867,null,13489,null,2282,null,325933,null,2028,null,64734,null,1231,null,63443,null,1339,null,1291,null,650,null,261199,null,1146,null,246883,null,1929,null,14316,null,2104,null,0400000US10,Delaware,10
232247,null,4198,null,115399,null,2026,null,14321,null,1229,null,13051,null,1309,null,1270,null,719,null,101078,null,1339,null,84476,null,1954,null,16602,null,2117,null,116848,null,2642,null,15548,null,1246,null,14761,null,1209,null,787,null,567,null,101300,null,1685,null,84614,null,1734,null,16686,null,2119,null,0400000US11,District of Columbia,11
14258610,null,28885,null,7027711,null,16991,null,1441275,null,7351,null,1368764,null,8924,null,72511,null,5271,null,5586436,null,12766,null,4550275,null,16372,null,1036161,null,18680,null,7230899,null,15543,null,1362064,null,7674,null,1295044,null,8850,null,67020,null,5419,null,5868835,null,10807,null,4769125,null,15696,null,1099710,null,17049,null,0400000US12,Florida,12
6079509,null,18960,null,3012217,null,13828,null,744368,null,6355,null,726923,null,6208,null,17445,null,2862,null,2267849,null,10417,null,2091544,null,8969,null,176305,null,8965,null,3067292,null,11301,null,710837,null,6871,null,694190,null,6730,null,16647,null,2421,null,2356455,null,7365,null,2206428,null,8684,null,150027,null,7302,null,0400000US13,Georgia,13
348380,null,3796,null,191136,null,2555,null,32346,null,1552,null,31813,null,1596,null,533,null,459,null,158790,null,1633,null,149448,null,1990,null,9342,null,1530,null,157244,null,2354,null,28407,null,1724,null,27948,null,1770,null,459,null,447,null,128837,null,1274,null,115736,null,1878,null,13101,null,1882,null,0400000US15,Hawaii,15
1427540,null,5416,null,717141,null,3786,null,193625,null,2344,null,190860,null,2386,null,2765,null,896,null,523516,null,2150,null,490607,null,2732,null,32909,null,2621,null,710399,null,3131,null,179142,null,2161,null,176249,null,2407,null,2893,null,1302,null,531257,null,1742,null,501628,null,2543,null,29629,null,2778,null,0400000US16,Idaho,16
9359857,null,25121,null,4623053,null,15032,null,1065174,null,7580,null,1042037,null,7560,null,23137,null,2619,null,3557879,null,10310,null,3127543,null,10764,null,430336,null,11013,null,4736804,null,13261,null,1019461,null,7411,null,993393,null,7399,null,26068,null,3308,null,3717343,null,7964,null,3303368,null,11244,null,413975,null,11381,null,0400000US17,Illinois,17
5502046,null,8276,null,2713672,null,5561,null,659807,null,3064,null,652554,null,3159,null,7253,null,1520,null,2053865,null,4109,null,1987638,null,4096,null,66227,null,4114,null,2788374,null,5248,null,623755,null,3554,null,615296,null,3592,null,8459,null,1589,null,2164619,null,3007,null,2107177,null,4290,null,57442,null,4096,null,0400000US18,Indiana,18
