B20005A_001E,B20005A_001EA,B20005A_001M,B20005A_001MA,B20005A_002E,B20005A_002EA,B20005A_002M,B20005A_002MA,B20005A_003E,B20005A_003EA,B20005A_003M,B20005A_003MA,B20005A_004E,B20005A_004EA,B20005A_004M,B20005A_004MA,B20005A_005E,B20005A_005EA,B20005A_005M,B20005A_005MA,B20005A_006E,B20005A_006EA,B20005A_006M,B20005A_006MA,B20005A_007E,B20005A_007EA,B20005A_007M,B20005A_007MA,B20005A_008E,B20005A_008EA,B20005A_008M,B20005A_008MA,B20005A_009E,B20005A_009EA,B20005A_009M,B20005A_009MA,B20005A_010E,B20005A_010EA,B20005A_010M,B20005A_010MA,B20005A_011E,B20005A_011EA,B20005A_011M,B20005A_011MA,B20005A_012E,B20005A_012EA,B20005A_012M,B20005A_012MA,B20005A_013E,B20005A_013EA,B20005A_013M,B20005A_013MA,B20005A_014E,B20005A_014EA,B20005A_014M,B20005A_014MA,B20005A_015E,B20005A_015EA,B20005A_015M,B20005A_015MA,B20005A_016E,B20005A_016EA,B20005A_016M,B20005A_016MA,B20005A_017E,B20005A_017EA,B20005A_017M,B20005A_017MA,B20005A_018E,B20005A_018EA,B20005A_018M,B20005A_018MA,B20005A_019E,B20005A_019EA,B20005A_019M,B20005A_019MA,B20005A_020E,B20005A_020EA,B20005A_020M,B20005A_020MA,B20005A_021E,B20005A_021EA,B20005A_021M,B20005A_021MA,B20005A_022E,B20005A_022EA,B20005A_022M,B20005A_022MA,B20005A_023E,B20005A_023EA,B20005A_023M,B20005A_023MA,B20005A_024E,B20005A_024EA,B20005A_024M,B20005A_024MA,B20005A_025E,B20005A_025EA,B20005A_025M,B20005A_025MA,B20005A_026E,B20005A_026EA,B20005A_026M,B20005A_026MA,B20005A_027E,B20005A_027EA,B20005A_027M,B20005A_027MA,B20005A_028E,B20005A_028EA,B20005A_028M,B20005A_028MA,B20005A_029E,B20005A_029EA,B20005A_029M,B20005A_029MA,B20005A_030E,B20005A_030EA,B20005A_030M,B20005A_030MA,B20005A_031E,B20005A_031EA,B20005A_031M,B20005A_031MA,B20005A_032E,B20005A_032EA,B20005A_032M,B20005A_032MA,B20005A_033E,B20005A_033EA,B20005A_033M,B20005A_033MA,B20005A_034E,B20005A_034EA,B20005A_034M,B20005A_034MA,B20005A_035E,B20005A_035EA,B20005A_035M,B20005A_035MA,B20005A_036E,B20005A_036EA,B20005A_036M,B20005A_036MA,B20005A_037E,B20005A_037EA,B20005A_037M,B20005A_037MA,B20005A_038E,B20005A_038EA,B20005A_038M,B20005A_038MA,B20005A_039E,B20005A_039EA,B20005A_039M,B20005A_039MA,B20005A_040E,B20005A_040EA,B20005A_040M,B20005A_040MA,B20005A_041E,B20005A_041EA,B20005A_041M,B20005A_041MA,B20005A_042E,B20005A_042EA,B20005A_042M,B20005A_042MA,B20005A_043E,B20005A_043EA,B20005A_043M,B20005A_043MA,B20005A_044E,B20005A_044EA,B20005A_044M,B20005A_044MA,B20005A_045E,B20005A_045EA,B20005A_045M,B20005A_045MA,B20005A_046E,B20005A_046EA,B20005A_046M,B20005A_046MA,B20005A_047E,B20005A_047EA,B20005A_047M,B20005A_047MA,B20005A_048E,B20005A_048EA,B20005A_048M,B20005A_048MA,B20005A_049E,B20005A_049EA,B20005A_049M,B20005A_049MA,B20005A_050E,B20005A_050EA,B20005A_050M,B20005A_050MA,B20005A_051E,B20005A_051EA,B20005A_051M,B20005A_051MA,B20005A_052E,B20005A_052EA,B20005A_052M,B20005A_052MA,B20005A_053E,B20005A_053EA,B20005A_053M,B20005A_053MA,B20005A_054E,B20005A_054EA,B20005A_054M,B20005A_054MA,B20005A_055E,B20005A_055EA,B20005A_055M,B20005A_055MA,B20005A_056E,B20005A_056EA,B20005A_056M,B20005A_056MA,B20005A_057E,B20005A_057EA,B20005A_057M,B20005A_057MA,B20005A_058E,B20005A_058EA,B20005A_058M,B20005A_058MA,B20005A_059E,B20005A_059EA,B20005A_059M,B20005A_059MA,B20005A_060E,B20005A_060EA,B20005A_060M,B20005A_060MA,B20005A_061E,B20005A_061EA,B20005A_061M,B20005A_061MA,B20005A_062E,B20005A_062EA,B20005A_062M,B20005A_062MA,B20005A_063E,B20005A_063EA,B20005A_063M,B20005A_063MA,B20005A_064E,B20005A_064EA,B20005A_064M,B20005A_064MA,B20005A_065E,B20005A_065EA,B20005A_065M,B20005A_065MA,B20005A_066E,B20005A_066EA,B20005A_066M,B20005A_066MA,B20005A_067E,B20005A_067EA,B20005A_067M,B20005A_067MA,B20005A_068E,B20005A_068EA,B20005A_068M,B20005A_068MA,B20005A_069E,B20005A_069EA,B20005A_069M,B20005A_069MA,B20005A_070E,B20005A_070EA,B20005A_070M,B20005A_070MA,B20005A_071E,B20005A_071EA,B20005A_071M,B20005A_071MA,B20005A_072E,B20005A_072EA,B20005A_072M,B20005A_072MA,B20005A_073E,B20005A_073EA,B20005A_073M,B20005A_073MA,B20005A_074E,B20005A_074EA,B20005A_074M,B20005A_074MA,B20005A_075E,B20005A_075EA,B20005A_075M,B20005A_075MA,B20005A_076E,B20005A_076EA,B20005A_076M,B20005A_076MA,B20005A_077E,B20005A_077EA,B20005A_077M,B20005A_077MA,B20005A_078E,B20005A_078EA,B20005A_078M,B20005A_078MA,B20005A_079E,B20005A_079EA,B20005A_079M,B20005A_079MA,B20005A_080E,B20005A_080EA,B20005A_080M,B20005A_080MA,B20005A_081E,B20005A_081EA,B20005A_081M,B20005A_081MA,B20005A_082E,B20005A_082EA,B20005A_082M,B20005A_082MA,B20005A_083E,B20005A_083EA,B20005A_083M,B20005A_083MA,B20005A_084E,B20005A_084EA,B20005A_084M,B20005A_084MA,B20005A_085E,B20005A_085EA,B20005A_085M,B20005A_085MA,B20005A_086E,B20005A_086EA,B20005A_086M,B20005A_086MA,B20005A_087E,B20005A_087EA,B20005A_087M,B20005A_087MA,B20005A_088E,B20005A_088EA,B20005A_088M,B20005A_088MA,B20005A_089E,B20005A_089EA,B20005A_089M,B20005A_089MA,B20005A_090E,B20005A_090EA,B20005A_090M,B20005A_090MA,B20005A_091E,B20005A_091EA,B20005A_091M,B20005A_091MA,B20005A_092E,B20005A_092EA,B20005A_092M,B20005A_092MA,B20005A_093E,B20005A_093EA,B20005A_093M,B20005A_093MA,B20005A_094E,B20005A_094EA,B20005A_094M,B20005A_094MA,B20005A_095E,B20005A_095EA,B20005A_095M,B20005A_095MA,GEO_ID,NAME,state
2652229,null,4833,null,1285431,null,3719,null,630252,null,8160,null,33,null,61,null,630219,null,8153,null,1558,null,610,null,1737,null,583,null,3060,null,777,null,6586,null,1436,null,10012,null,1496,null,12490,null,2088,null,14813,null,2024,null,23505,null,2636,null,20144,null,2734,null,26844,null,2343,null,53585,null,4012,null,49487,null,3795,null,46705,null,3663,null,44711,null,3257,null,41497,null,2853,null,41441,null,3292,null,58528,null,3390,null,38829,null,2708,null,64321,null,3589,null,70366,null,3240,null,655179,null,8592,null,369152,null,6475,null,286027,null,7657,null,49074,null,3422,null,38625,null,3598,null,25395,null,2673,null,25172,null,2791,null,19787,null,2262,null,15108,null,2166,null,12311,null,2053,null,13381,null,1765,null,9551,null,1801,null,8588,null,1236,null,15544,null,1969,null,9512,null,1816,null,7966,null,1540,null,5306,null,1169,null,5765,null,1168,null,5308,null,1280,null,6195,null,1270,null,3223,null,794,null,4564,null,946,null,5652,null,959,null,1366798,null,3386,null,432143,null,7869,null,15,null,26,null,432128,null,7867,null,722,null,351,null,1900,null,704,null,3332,null,1007,null,5886,null,1313,null,10450,null,1452,null,20690,null,2718,null,19277,null,2166,null,29757,null,2955,null,24172,null,2557,null,26348,null,2396,null,45803,null,3192,null,39611,null,2931,null,38868,null,3295,null,36080,null,3121,null,30305,null,2654,null,22008,null,1943,null,29131,null,2541,null,13661,null,1578,null,20802,null,2100,null,13325,null,1557,null,934655,null,8392,null,600479,null,8515,null,334176,null,7332,null,73630,null,4076,null,49698,null,3555,null,39107,null,2952,null,29388,null,2391,null,29671,null,2923,null,20349,null,2393,null,12381,null,1822,null,13866,null,1742,null,8608,null,1426,null,7489,null,1663,null,10085,null,1523,null,9030,null,1425,null,7753,null,1492,null,6565,null,1262,null,4945,null,976,null,4062,null,914,null,2707,null,774,null,1200,null,456,null,1549,null,521,null,2093,null,824,null,0400000US01,Alabama,01
379968,null,1958,null,200923,null,1633,null,99146,null,3601,null,77,null,123,null,99069,null,3633,null,140,null,227,null,570,null,555,null,197,null,196,null,267,null,223,null,707,null,456,null,247,null,194,null,1030,null,808,null,2158,null,952,null,1504,null,699,null,3061,null,1279,null,4519,null,1106,null,6316,null,1486,null,6635,null,1384,null,7691,null,1463,null,7713,null,1300,null,6195,null,1394,null,11755,null,1692,null,9763,null,1567,null,13801,null,1946,null,14800,null,1656,null,101777,null,3424,null,34350,null,2329,null,67427,null,3413,null,8437,null,1498,null,6720,null,1454,null,3326,null,786,null,4934,null,1214,null,3512,null,895,null,3034,null,993,null,1711,null,822,null,3448,null,865,null,2165,null,690,null,1964,null,790,null,4682,null,1107,null,2606,null,989,null,1662,null,664,null,2976,null,1125,null,2287,null,671,null,2217,null,827,null,2996,null,776,null,1817,null,678,null,3754,null,1010,null,3179,null,709,null,179045,null,1061,null,66428,null,3418,null,0,null,244,null,66428,null,3418,null,861,null,712,null,227,null,184,null,119,null,115,null,1496,null,758,null,553,null,364,null,1085,null,462,null,676,null,488,null,734,null,415,null,2651,null,1049,null,2801,null,913,null,6367,null,1420,null,6373,null,1293,null,7536,null,1670,null,6044,null,1296,null,5840,null,1227,null,3359,null,1098,null,6275,null,1246,null,4840,null,1270,null,5621,null,1137,null,2970,null,802,null,112617,null,3418,null,48417,null,2713,null,64200,null,3643,null,9131,null,1367,null,7314,null,1391,null,6021,null,1451,null,3994,null,940,null,5727,null,1193,null,3719,null,1098,null,3796,null,1064,null,2613,null,731,null,2330,null,740,null,2199,null,701,null,3743,null,1013,null,1955,null,699,null,1485,null,574,null,2721,null,1480,null,1313,null,508,null,830,null,450,null,1967,null,725,null,1418,null,498,null,1018,null,470,null,906,null,391,null,0400000US02,Alaska,02
4140639,null,15170,null,2064636,null,9834,null,956267,null,13329,null,31,null,60,null,956236,null,13326,null,2739,null,850,null,2164,null,692,null,3909,null,1089,null,16608,null,3428,null,19411,null,4378,null,21150,null,3217,null,21932,null,3381,null,42215,null,4163,null,31492,null,3290,null,44574,null,4482,null,72198,null,5752,null,74808,null,5317,null,77792,null,5186,null,69369,null,5268,null,62594,null,3896,null,52874,null,3863,null,78190,null,4573,null,57601,null,3621,null,96347,null,4937,null,108269,null,5063,null,1108369,null,14106,null,608453,null,12990,null,499916,null,13121,null,71458,null,5192,null,60710,null,5173,null,43502,null,3656,null,42669,null,4463,null,37448,null,3774,null,32268,null,4064,null,23076,null,2996,null,27683,null,3206,null,18971,null,2729,null,18429,null,2423,null,29101,null,3417,null,15213,null,2188,null,16045,null,2528,null,11177,null,2047,null,7872,null,1459,null,6765,null,1501,null,9898,null,1758,null,6902,null,1376,null,8480,null,1628,null,12249,null,1962,null,2076003,null,7984,null,678054,null,10825,null,0,null,305,null,678054,null,10825,null,1503,null,701,null,2847,null,1083,null,4482,null,1544,null,7803,null,1752,null,17031,null,2090,null,22514,null,3269,null,22522,null,3150,null,36028,null,3728,null,31597,null,3169,null,40088,null,3620,null,71446,null,4935,null,71744,null,4819,null,70980,null,5078,null,55207,null,3817,null,41420,null,3405,null,30167,null,2820,null,46960,null,3412,null,28826,null,2461,null,46165,null,3580,null,28724,null,2720,null,1397949,null,11785,null,869677,null,12677,null,528272,null,11355,null,87142,null,4419,null,67925,null,3763,null,54172,null,4062,null,50629,null,3793,null,47934,null,4227,null,33320,null,3284,null,30051,null,3782,null,23872,null,2592,null,16927,null,2346,null,15389,null,1932,null,24763,null,2787,null,16202,null,2161,null,16396,null,2043,null,11875,null,1670,null,7387,null,1465,null,5486,null,1281,null,7859,null,1586,null,4207,null,1136,null,3239,null,770,null,3497,null,1025,null,0400000US04,Arizona,04
1812260,null,4760,null,880887,null,3165,null,420655,null,7184,null,0,null,273,null,420655,null,7184,null,1541,null,562,null,1711,null,721,null,2545,null,927,null,4809,null,1044,null,8297,null,1688,null,11929,null,1968,null,13383,null,2039,null,18901,null,2504,null,19375,null,2510,null,19984,null,2013,null,41398,null,3759,null,46392,null,3733,null,34228,null,2611,null,29024,null,2438,null,25938,null,2442,null,21752,null,2499,null,31876,null,2752,null,20936,null,1990,null,31974,null,2595,null,34662,null,2503,null,460232,null,7203,null,260938,null,5931,null,199294,null,5663,null,33544,null,3017,null,26429,null,2847,null,17969,null,2384,null,18972,null,2334,null,15881,null,2303,null,11015,null,1659,null,9529,null,1599,null,10614,null,2047,null,8220,null,1686,null,5382,null,1153,null,10152,null,1613,null,7991,null,1538,null,6711,null,1541,null,2842,null,743,null,2274,null,712,null,2121,null,681,null,2870,null,832,null,1994,null,711,null,2464,null,835,null,2320,null,690,null,931373,null,2834,null,311913,null,8435,null,113,null,136,null,311800,null,8453,null,766,null,456,null,1945,null,731,null,2960,null,891,null,6120,null,1264,null,12944,null,1815,null,15232,null,2491,null,15679,null,2260,null,23092,null,2540,null,19159,null,2371,null,23279,null,2238,null,39340,null,2932,null,33254,null,3105,null,26381,null,2456,null,20661,null,2315,null,16070,null,2057,null,11714,null,1528,null,15711,null,1699,null,10407,null,1417,null,10545,null,1416,null,6541,null,1209,null,619460,null,8930,null,394745,null,6954,null,224715,null,6953,null,42451,null,3031,null,33094,null,2812,null,26195,null,2661,null,23585,null,2200,null,21473,null,2112,null,14579,null,1819,null,10813,null,1766,null,8246,null,1387,null,6040,null,1384,null,4180,null,975,null,8319,null,1223,null,6346,null,1365,null,4834,null,847,null,3829,null,1007,null,3106,null,869,null,2283,null,630,null,2835,null,705,null,721,null,441,null,896,null,433,null,890,null,465,null,0400000US05,Arkansas,05
18334328,null,53592,null,9138020,null,31661,null,4239387,null,26856,null,154,null,147,null,4239233,null,26883,null,13581,null,2107,null,10408,null,1776,null,24220,null,3059,null,36540,null,3616,null,66187,null,5846,null,90500,null,5799,null,86654,null,5232,null,161368,null,6834,null,126513,null,7485,null,156422,null,7542,null,267187,null,9222,null,237536,null,9783,null,259643,null,8962,null,234429,null,7699,null,246547,null,8527,null,200730,null,7253,null,350198,null,9635,null,295007,null,8706,null,550431,null,11980,null,825132,null,13391,null,4898633,null,29324,null,2473456,null,20843,null,2425177,null,22197,null,309906,null,9441,null,247380,null,8763,null,191963,null,7389,null,200622,null,7183,null,184009,null,6930,null,146458,null,7893,null,108704,null,6772,null,127954,null,7782,null,91529,null,5694,null,81025,null,5909,null,125129,null,6804,null,94900,null,5445,null,89508,null,5386,null,53874,null,4125,null,52493,null,3588,null,39337,null,3136,null,65685,null,4448,null,44463,null,3056,null,80323,null,4732,null,89915,null,4844,null,9196308,null,26693,null,2817195,null,21575,null,162,null,155,null,2817033,null,21588,null,7561,null,1270,null,10392,null,1481,null,18731,null,2279,null,35251,null,3297,null,64716,null,4898,null,76917,null,5007,null,85554,null,5505,null,122120,null,6186,null,103051,null,5242,null,124075,null,6966,null,215338,null,8167,null,216935,null,7706,null,231045,null,7441,null,190991,null,7617,null,175956,null,6628,null,143771,null,6139,null,243343,null,8768,null,184782,null,6031,null,308358,null,9340,null,258146,null,7447,null,6379113,null,25685,null,3731477,null,24313,null,2647636,null,20525,null,393395,null,11579,null,309539,null,9988,null,245613,null,8635,null,249788,null,8989,null,233101,null,7514,null,151527,null,6253,null,116727,null,5683,null,121564,null,4821,null,92845,null,4889,null,82299,null,5497,null,128594,null,5545,null,86985,null,4475,null,79737,null,4725,null,55975,null,4169,null,44898,null,3146,null,35825,null,3322,null,62896,null,3915,null,50630,null,3496,null,66569,null,3617,null,39129,null,2684,null,0400000US06,California,06
3389558,null,10370,null,1697232,null,7223,null,885553,null,10871,null,49,null,80,null,885504,null,10856,null,2965,null,1334,null,3899,null,1462,null,4552,null,1088,null,7734,null,1538,null,17509,null,2378,null,16267,null,2751,null,15662,null,2327,null,26403,null,2930,null,25175,null,2825,null,29869,null,2994,null,64433,null,3821,null,57413,null,4091,null,62281,null,4280,null,60205,null,4659,null,59164,null,3383,null,45397,null,3069,null,80753,null,4297,null,63836,null,3793,null,107818,null,4416,null,134169,null,4348,null,811679,null,10610,null,343579,null,7544,null,468100,null,10260,null,73383,null,4001,null,56879,null,4104,null,39598,null,3350,null,39521,null,3747,null,34954,null,3377,null,27830,null,3124,null,16813,null,2015,null,21937,null,2640,null,17355,null,2714,null,16812,null,2267,null,22701,null,2489,null,15966,null,2375,null,14841,null,2328,null,10909,null,1490,null,9843,null,1669,null,7280,null,1380,null,10145,null,1698,null,6468,null,1048,null,11368,null,1601,null,13497,null,1816,null,1692326,null,5325,null,620551,null,10098,null,70,null,117,null,620481,null,10127,null,1146,null,409,null,2062,null,724,null,5559,null,1261,null,8552,null,1873,null,18451,null,2183,null,15919,null,2043,null,18610,null,2297,null,24722,null,2468,null,22990,null,2199,null,30773,null,3033,null,59520,null,4101,null,57865,null,3889,null,57204,null,3251,null,50451,null,3958,null,44192,null,4004,null,35164,null,2843,null,50036,null,3435,null,35983,null,2673,null,43720,null,3089,null,37562,null,2875,null,1071775,null,9621,null,540930,null,7724,null,530845,null,8276,null,89992,null,4049,null,71991,null,5142,null,51657,null,4058,null,50395,null,3776,null,45857,null,3154,null,30351,null,2945,null,23511,null,2489,null,24330,null,2376,null,18033,null,1939,null,17208,null,2365,null,24488,null,2213,null,19786,null,2292,null,16423,null,1948,null,8105,null,1029,null,8717,null,1605,null,5863,null,1100,null,8454,null,1369,null,5581,null,1059,null,6422,null,1129,null,3681,null,795,null,0400000US08,Colorado,08
2273507,null,8440,null,1091994,null,5106,null,564157,null,7538,null,49,null,80,null,564108,null,7534,null,861,null,451,null,624,null,311,null,1584,null,531,null,3153,null,966,null,4290,null,1131,null,4132,null,1119,null,4657,null,1331,null,8363,null,1829,null,9454,null,1712,null,12149,null,1649,null,24762,null,2692,null,25042,null,2358,null,33844,null,2673,null,34497,null,2926,null,36168,null,2794,null,34074,null,2738,null,59337,null,3627,null,49692,null,3488,null,87820,null,4715,null,129605,null,5181,null,527837,null,7910,null,256262,null,6878,null,271575,null,6903,null,46517,null,3373,null,32055,null,3087,null,20579,null,2014,null,20696,null,2083,null,18188,null,1971,null,10902,null,1766,null,10704,null,1761,null,10306,null,1532,null,8095,null,1505,null,9289,null,1762,null,14803,null,2260,null,8738,null,1603,null,9816,null,1770,null,6827,null,1293,null,5505,null,993,null,5089,null,1160,null,7787,null,1301,null,5466,null,1142,null,7891,null,1465,null,12322,null,1658,null,1181513,null,4405,null,405055,null,7086,null,0,null,277,null,405055,null,7086,null,955,null,397,null,1252,null,525,null,3452,null,1026,null,2891,null,780,null,4542,null,1083,null,5257,null,1398,null,7763,null,1607,null,9528,null,1484,null,10789,null,1724,null,11755,null,1351,null,32346,null,3200,null,36885,null,3103,null,35997,null,2778,null,30472,null,2557,null,30253,null,2813,null,24484,null,2452,null,39628,null,3713,null,31890,null,2693,null,46207,null,3368,null,38709,null,3112,null,776458,null,8152,null,407586,null,6425,null,368872,null,8219,null,56672,null,3303,null,46172,null,3199,null,31312,null,2729,null,29014,null,2793,null,25255,null,2376,null,22192,null,2447,null,18278,null,2313,null,18250,null,2406,null,13529,null,1451,null,11987,null,1772,null,19727,null,2331,null,14918,null,1791,null,12298,null,1667,null,8256,null,1459,null,7176,null,1280,null,6459,null,1209,null,9915,null,1465,null,6908,null,1334,null,6851,null,1222,null,3703,null,810,null,0400000US09,Connecticut,09
518453,null,3004,null,249620,null,2149,null,126174,null,3936,null,0,null,263,null,126174,null,3936,null,69,null,82,null,309,null,208,null,358,null,295,null,866,null,622,null,1264,null,731,null,1959,null,981,null,2878,null,968,null,3069,null,1064,null,3798,null,1009,null,3507,null,900,null,9636,null,1729,null,6947,null,1052,null,10869,null,1900,null,9382,null,1492,null,8999,null,1358,null,7722,null,1302,null,13069,null,1521,null,11127,null,1384,null,12984,null,1531,null,17362,null,2099,null,123446,null,3834,null,66252,null,3035,null,57194,null,3208,null,10106,null,1384,null,6274,null,1420,null,5002,null,1107,null,3821,null,876,null,4282,null,1116,null,3123,null,754,null,2416,null,739,null,2827,null,781,null,1960,null,628,null,1560,null,625,null,3391,null,1077,null,1948,null,592,null,1147,null,461,null,1178,null,382,null,905,null,361,null,1245,null,466,null,2187,null,679,null,676,null,310,null,1327,null,573,null,1819,null,487,null,268833,null,1499,null,93775,null,3515,null,0,null,263,null,93775,null,3515,null,130,null,153,null,293,null,321,null,519,null,328,null,580,null,359,null,1562,null,631,null,2036,null,664,null,1538,null,634,null,3549,null,990,null,4074,null,1088,null,4157,null,1194,null,11274,null,1650,null,9602,null,1426,null,8444,null,1266,null,7157,null,1265,null,7030,null,1510,null,5035,null,974,null,7475,null,1271,null,6996,null,1086,null,6834,null,1276,null,5490,null,1015,null,175058,null,3868,null,99084,null,4017,null,75974,null,3196,null,13279,null,1487,null,9577,null,1663,null,8591,null,1520,null,8055,null,1193,null,4789,null,1014,null,4065,null,1008,null,3994,null,980,null,3681,null,952,null,2698,null,683,null,2797,null,859,null,2857,null,762,null,2296,null,710,null,2452,null,856,null,1843,null,694,null,759,null,325,null,566,null,300,null,1580,null,492,null,594,null,274,null,1025,null,430,null,476,null,236,null,0400000US10,Delaware,10
204633,null,2711,null,101563,null,1364,null,60952,null,2320,null,0,null,296,null,60952,null,2320,null,69,null,118,null,0,null,296,null,0,null,296,null,198,null,196,null,654,null,488,null,361,null,409,null,330,null,313,null,755,null,604,null,646,null,471,null,1296,null,646,null,1213,null,590,null,1829,null,698,null,2572,null,810,null,2158,null,792,null,2781,null,908,null,1862,null,498,null,5055,null,1168,null,4209,null,1237,null,9333,null,1203,null,25631,null,2089,null,40611,null,2574,null,18348,null,2030,null,22263,null,2071,null,2511,null,608,null,1999,null,743,null,1017,null,444,null,2351,null,771,null,1068,null,522,null,1130,null,599,null,545,null,341,null,1229,null,792,null,1230,null,510,null,791,null,631,null,887,null,465,null,667,null,528,null,743,null,471,null,486,null,274,null,841,null,474,null,458,null,231,null,891,null,496,null,823,null,538,null,841,null,456,null,1755,null,555,null,103070,null,1854,null,51816,null,2318,null,78,null,130,null,51738,null,2330,null,215,null,256,null,74,null,121,null,187,null,248,null,209,null,177,null,282,null,278,null,799,null,723,null,476,null,330,null,395,null,346,null,1177,null,513,null,591,null,465,null,1057,null,517,null,2204,null,705,null,2823,null,715,null,2731,null,777,null,3029,null,843,null,2800,null,838,null,5342,null,1110,null,4272,null,957,null,9733,null,1427,null,13342,null,1332,null,51254,null,2694,null,27829,null,2438,null,23425,null,2141,null,3441,null,983,null,2714,null,932,null,1223,null,450,null,1705,null,654,null,1129,null,595,null,779,null,350,null,1070,null,534,null,1218,null,567,null,438,null,366,null,1095,null,548,null,835,null,387,null,785,null,375,null,1018,null,540,null,1247,null,643,null,659,null,285,null,368,null,222,null,1196,null,527,null,368,null,245,null,729,null,344,null,1408,null,528,null,0400000US11,District of Columbia,11
11774316,null,23023,null,5748142,null,14304,null,2545172,null,21900,null,124,null,148,null,2545048,null,21864,null,6158,null,1263,null,6296,null,1267,null,15036,null,1878,null,27570,null,3148,null,53133,null,5212,null,68465,null,5767,null,75548,null,5849,null,111621,null,6451,null,97948,null,6182,null,127142,null,6390,null,218217,null,8970,null,215128,null,7676,null,211560,null,7886,null,169191,null,6629,null,157080,null,6629,null,133837,null,5249,null,199463,null,7352,null,143671,null,6297,null,217230,null,6961,null,290754,null,7326,null,3202970,null,23091,null,1889363,null,17930,null,1313607,null,18213,null,178707,null,7836,null,153785,null,7271,null,123131,null,5230,null,124850,null,6633,null,119149,null,6541,null,80181,null,5501,null,66191,null,5344,null,69906,null,4898,null,47626,null,4204,null,41935,null,3476,null,71253,null,4924,null,42393,null,3048,null,39638,null,3394,null,27642,null,3037,null,22920,null,2968,null,16576,null,2030,null,21034,null,2260,null,13190,null,1700,null,20174,null,2621,null,33326,null,2686,null,6026174,null,11728,null,1911562,null,19910,null,263,null,338,null,1911299,null,19927,null,3281,null,1097,null,5873,null,1379,null,13666,null,2077,null,26591,null,2504,null,54798,null,4904,null,73727,null,5439,null,73056,null,5351,null,111065,null,6497,null,102452,null,6201,null,116013,null,5918,null,222884,null,8034,null,193186,null,7656,null,184002,null,7554,null,147480,null,5931,null,114933,null,5626,null,89595,null,5186,null,118017,null,5641,null,84674,null,4442,null,100574,null,4827,null,75432,null,4191,null,4114612,null,22632,null,2690031,null,19502,null,1424581,null,16662,null,225137,null,7494,null,175156,null,6251,null,148944,null,7298,null,146833,null,6674,null,136746,null,5614,null,93467,null,4610,null,70597,null,5101,null,74424,null,5106,null,50953,null,3846,null,43772,null,3839,null,65215,null,4769,null,40177,null,3076,null,40216,null,3256,null,25654,null,2300,null,20216,null,2149,null,12886,null,1655,null,22018,null,2648,null,14249,null,2112,null,9498,null,1479,null,8423,null,1381,null,0400000US12,Florida,12
