B13002A_001E,B13002A_001EA,B13002A_001M,B13002A_001MA,B13002A_002E,B13002A_002EA,B13002A_002M,B13002A_002MA,B13002A_003E,B13002A_003EA,B13002A_003M,B13002A_003MA,B13002A_004E,B13002A_004EA,B13002A_004M,B13002A_004MA,B13002A_005E,B13002A_005EA,B13002A_005M,B13002A_005MA,B13002A_006E,B13002A_006EA,B13002A_006M,B13002A_006MA,B13002A_007E,B13002A_007EA,B13002A_007M,B13002A_007MA,GEO_ID,NAME,state
772006,null,3616,null,39960,null,3053,null,30964,null,2490,null,8996,null,1806,null,732046,null,4901,null,403262,null,6371,null,328784,null,7603,null,0400000US01,Alabama,01
118398,null,1367,null,7916,null,1411,null,5811,null,1104,null,2105,null,727,null,110482,null,1965,null,56377,null,2848,null,54105,null,2915,null,0400000US02,Alaska,02
1217972,null,8221,null,67740,null,4345,null,43498,null,3429,null,24242,null,2946,null,1150232,null,8501,null,526929,null,10681,null,623303,null,11247,null,0400000US04,Arizona,04
526246,null,3075,null,30533,null,2837,null,20775,null,2291,null,9758,null,1956,null,495713,null,4370,null,273253,null,7677,null,222460,null,7082,null,0400000US05,Arkansas,05
5566835,null,23454,null,302148,null,9841,null,211959,null,7562,null,90189,null,5470,null,5264687,null,24707,null,2401388,null,21771,null,2863299,null,26104,null,0400000US06,California,06
1055322,null,5439,null,59993,null,4215,null,45254,null,3514,null,14739,null,2088,null,995329,null,6003,null,499111,null,8415,null,496218,null,8083,null,0400000US08,Colorado,08
659636,null,3902,null,29062,null,2797,null,21536,null,2292,null,7526,null,1378,null,630574,null,4841,null,294125,null,6716,null,336449,null,6281,null,0400000US09,Connecticut,09
149886,null,1402,null,7532,null,1212,null,5092,null,1041,null,2440,null,844,null,142354,null,2020,null,66815,null,3115,null,75539,null,2956,null,0400000US10,Delaware,10
74047,null,1448,null,3400,null,822,null,3153,null,782,null,247,null,216,null,70647,null,1755,null,19629,null,1717,null,51018,null,2290,null,0400000US11,District of Columbia,11
3154092,null,10914,null,153396,null,7083,null,104953,null,4709,null,48443,null,4665,null,3000696,null,13142,null,1423933,null,13800,null,1576763,null,18035,null,0400000US12,Florida,12
1478630,null,8315,null,80699,null,4364,null,59036,null,3714,null,21663,null,2969,null,1397931,null,9711,null,745181,null,11066,null,652750,null,13447,null,0400000US13,Georgia,13
74967,null,1405,null,5485,null,1191,null,4445,null,1143,null,1040,null,662,null,69482,null,1717,null,36442,null,2253,null,33040,null,2011,null,0400000US15,Hawaii,15
340409,null,2336,null,25369,null,2323,null,20727,null,2179,null,4642,null,1118,null,315040,null,3304,null,173348,null,4793,null,141692,null,4900,null,0400000US16,Idaho,16
2264765,null,8360,null,121239,null,4958,null,87659,null,4395,null,33580,null,3109,null,2143526,null,8316,null,1033213,null,10569,null,1110313,null,10204,null,0400000US17,Illinois,17
1328197,null,4406,null,79533,null,4102,null,54025,null,3433,null,25508,null,2722,null,1248664,null,5271,null,627028,null,8587,null,621636,null,9185,null,0400000US18,Indiana,18
652943,null,3123,null,40934,null,2796,null,27344,null,2133,null,13590,null,1893,null,612009,null,4217,null,304697,null,6356,null,307312,null,5995,null,0400000US19,Iowa,19
