B18101H_001E,B18101H_001EA,B18101H_001M,B18101H_001MA,B18101H_002E,B18101H_002EA,B18101H_002M,B18101H_002MA,B18101H_003E,B18101H_003EA,B18101H_003M,B18101H_003MA,B18101H_004E,B18101H_004EA,B18101H_004M,B18101H_004MA,B18101H_005E,B18101H_005EA,B18101H_005M,B18101H_005MA,B18101H_006E,B18101H_006EA,B18101H_006M,B18101H_006MA,B18101H_007E,B18101H_007EA,B18101H_007M,B18101H_007MA,B18101H_008E,B18101H_008EA,B18101H_008M,B18101H_008MA,B18101H_009E,B18101H_009EA,B18101H_009M,B18101H_009MA,B18101H_010E,B18101H_010EA,B18101H_010M,B18101H_010MA,GEO_ID,NAME,state
3143401,null,3378,null,683382,null,1068,null,32883,null,3386,null,650499,null,3415,null,1960526,null,2967,null,281006,null,9341,null,1679520,null,9561,null,499493,null,1710,null,212996,null,5030,null,286497,null,4923,null,0400000US01,Alabama,01
439385,null,2296,null,101407,null,284,null,2918,null,882,null,98489,null,987,null,300061,null,2393,null,32127,null,3987,null,267934,null,4432,null,37917,null,441,null,15903,null,1439,null,22014,null,1438,null,0400000US02,Alaska,02
3723341,null,4579,null,720636,null,2162,null,28367,null,3625,null,692269,null,3921,null,2298279,null,3142,null,246536,null,8853,null,2051743,null,9350,null,704426,null,1911,null,245404,null,6985,null,459022,null,6900,null,0400000US04,Arizona,04
2127298,null,3212,null,468714,null,494,null,24848,null,2619,null,443866,null,2668,null,1313756,null,2551,null,210117,null,7540,null,1103639,null,7879,null,344828,null,1782,null,150156,null,4601,null,194672,null,4596,null,0400000US05,Arkansas,05
15065605,null,9080,null,2745492,null,3559,null,87119,null,5701,null,2658373,null,6688,null,9802101,null,7229,null,890322,null,15428,null,8911779,null,17224,null,2518012,null,4474,null,912413,null,9996,null,1605599,null,9907,null,0400000US06,California,06
3484229,null,4778,null,716568,null,1908,null,23355,null,2379,null,693213,null,3133,null,2333019,null,3864,null,180660,null,7253,null,2152359,null,7748,null,434642,null,1626,null,147007,null,4886,null,287635,null,4455,null,0400000US08,Colorado,08
2523329,null,4127,null,513415,null,1571,null,16001,null,2245,null,497414,null,2738,null,1607035,null,3335,null,125267,null,5667,null,1481768,null,5885,null,402879,null,1388,null,124648,null,4215,null,278231,null,3986,null,0400000US09,Connecticut,09
587353,null,1275,null,118530,null,401,null,4408,null,1143,null,114122,null,1210,null,366986,null,1064,null,39737,null,3298,null,327249,null,3430,null,101837,null,546,null,35718,null,2220,null,66119,null,2271,null,0400000US10,Delaware,10
196377,null,2082,null,22911,null,673,null,935,null,701,null,21976,null,941,null,153022,null,1012,null,5673,null,1398,null,147349,null,1603,null,20444,null,1630,null,4700,null,1148,null,15744,null,1329,null,0400000US11,District of Columbia,11
10805125,null,7844,null,1946638,null,3341,null,69937,null,4913,null,1876701,null,5292,null,6434314,null,7171,null,673441,null,15182,null,5760873,null,16797,null,2424173,null,6051,null,834169,null,15045,null,1590004,null,14861,null,0400000US12,Florida,12
5521086,null,6610,null,1280305,null,2507,null,48570,null,4224,null,1231735,null,4863,null,3506945,null,5476,null,364030,null,10275,null,3142915,null,10868,null,733836,null,1973,null,284488,null,5974,null,449348,null,6034,null,0400000US13,Georgia,13
