C21001H_001E,C21001H_001EA,C21001H_001M,C21001H_001MA,C21001H_002E,C21001H_002EA,C21001H_002M,C21001H_002MA,C21001H_003E,C21001H_003EA,C21001H_003M,C21001H_003MA,C21001H_004E,C21001H_004EA,C21001H_004M,C21001H_004MA,C21001H_005E,C21001H_005EA,C21001H_005M,C21001H_005MA,C21001H_006E,C21001H_006EA,C21001H_006M,C21001H_006MA,C21001H_007E,C21001H_007EA,C21001H_007M,C21001H_007MA,C21001H_008E,C21001H_008EA,C21001H_008M,C21001H_008MA,C21001H_009E,C21001H_009EA,C21001H_009M,C21001H_009MA,C21001H_010E,C21001H_010EA,C21001H_010M,C21001H_010MA,C21001H_011E,C21001H_011EA,C21001H_011M,C21001H_011MA,C21001H_012E,C21001H_012EA,C21001H_012M,C21001H_012MA,C21001H_013E,C21001H_013EA,C21001H_013M,C21001H_013MA,C21001H_014E,C21001H_014EA,C21001H_014M,C21001H_014MA,C21001H_015E,C21001H_015EA,C21001H_015M,C21001H_015MA,GEO_ID,NAME,state
2497342,null,2298,null,1196937,null,2353,null,976523,null,2323,null,161673,null,5753,null,814850,null,6130,null,220414,null,197,null,126831,null,3009,null,93583,null,3056,null,1300405,null,1789,null,1001122,null,1785,null,12199,null,1615,null,988923,null,2405,null,299283,null,133,null,2733,null,605,null,296550,null,638,null,0400000US01,Alabama,01
340834,null,2182,null,176293,null,2013,null,157177,null,2115,null,37663,null,2767,null,119514,null,3074,null,19116,null,346,null,11918,null,1042,null,7198,null,1109,null,164541,null,867,null,145156,null,863,null,5879,null,1148,null,139277,null,1410,null,19385,null,121,null,627,null,480,null,18758,null,466,null,0400000US02,Alaska,02
3033628,null,2560,null,1476141,null,1659,null,1152753,null,1741,null,207337,null,7105,null,945416,null,7391,null,323388,null,440,null,198406,null,3830,null,124982,null,3788,null,1557487,null,1501,null,1165799,null,1456,null,21111,null,2166,null,1144688,null,2640,null,391688,null,388,null,6974,null,1446,null,384714,null,1568,null,0400000US04,Arizona,04
1690719,null,2222,null,814653,null,1642,null,657469,null,1633,null,109484,null,4513,null,547985,null,4582,null,157184,null,283,null,90760,null,2634,null,66424,null,2613,null,876066,null,1134,null,670182,null,1090,null,8135,null,1749,null,662047,null,1995,null,205884,null,301,null,2429,null,772,null,203455,null,836,null,0400000US05,Arkansas,05
12481910,null,6055,null,6109985,null,5352,null,4986903,null,5326,null,650590,null,11346,null,4336313,null,12815,null,1123082,null,930,null,646028,null,8074,null,477054,null,7837,null,6371925,null,3580,null,4897685,null,3415,null,57061,null,3637,null,4840624,null,4661,null,1474240,null,787,null,22828,null,2301,null,1451412,null,2465,null,0400000US06,California,06
2797984,null,3879,null,1374358,null,3357,null,1176606,null,3353,null,183805,null,5738,null,992801,null,6489,null,197752,null,182,null,120767,null,3146,null,76985,null,3093,null,1423626,null,1340,null,1171440,null,1332,null,18870,null,2407,null,1152570,null,2623,null,252186,null,260,null,4624,null,740,null,247562,null,794,null,0400000US08,Colorado,08
2043523,null,2986,null,976695,null,1810,null,798767,null,1720,null,88004,null,3826,null,710763,null,4032,null,177928,null,209,null,103648,null,2740,null,74280,null,2722,null,1066828,null,1433,null,817222,null,1427,null,4774,null,1099,null,812448,null,1777,null,249606,null,173,null,2287,null,577,null,247319,null,588,null,0400000US09,Connecticut,09
474653,null,1068,null,225377,null,962,null,179298,null,962,null,29789,null,2084,null,149509,null,2173,null,46079,null,263,null,27972,null,1301,null,18107,null,1301,null,249276,null,308,null,189856,null,308,null,3240,null,877,null,186616,null,949,null,59420,null,263,null,499,null,308,null,58921,null,308,null,0400000US10,Delaware,10
175081,null,1009,null,85892,null,817,null,75676,null,817,null,4918,null,1067,null,70758,null,1282,null,10216,null,296,null,5284,null,806,null,4932,null,806,null,89189,null,628,null,77606,null,628,null,647,null,365,null,76959,null,731,null,11583,null,296,null,195,null,166,null,11388,null,166,null,0400000US11,District of Columbia,11
8993235,null,4991,null,4331654,null,3530,null,3223052,null,3534,null,558209,null,11150,null,2664843,null,11602,null,1108602,null,960,null,692077,null,6774,null,416525,null,6658,null,4661581,null,3056,null,3284242,null,3194,null,57099,null,4059,null,3227143,null,5239,null,1377339,null,916,null,22529,null,2105,null,1354810,null,2210,null,0400000US12,Florida,12
4304622,null,4688,null,2072092,null,6380,null,1749111,null,6399,null,264610,null,7236,null,1484501,null,8771,null,322981,null,340,null,189142,null,4116,null,133839,null,4132,null,2232530,null,5885,null,1796799,null,5812,null,24838,null,2574,null,1771961,null,6255,null,435731,null,360,null,4356,null,945,null,431375,null,1036,null,0400000US13,Georgia,13
242440,null,2743,null,125020,null,2510,null,103428,null,2510,null,19968,null,1937,null,83460,null,2902,null,21592,null,275,null,12677,null,1080,null,8915,null,1080,null,117420,null,991,null,95113,null,991,null,2490,null,580,null,92623,null,1152,null,22307,null,275,null,278,null,224,null,22029,null,224,null,0400000US15,Hawaii,15
979235,null,1338,null,482142,null,1185,null,401025,null,1185,null,63816,null,3185,null,337209,null,3528,null,81117,null,9,null,45189,null,2051,null,35928,null,2051,null,497093,null,556,null,400920,null,556,null,5542,null,1102,null,395378,null,1356,null,96173,null,9,null,1726,null,607,null,94447,null,607,null,0400000US16,Idaho,16
6586049,null,4757,null,3183223,null,3142,null,2654544,null,2990,null,311612,null,7287,null,2342932,null,8000,null,528679,null,600,null,289490,null,4287,null,239189,null,4390,null,3402826,null,2471,null,2659257,null,2444,null,22089,null,2358,null,2637168,null,3474,null,743569,null,547,null,6442,null,1291,null,737127,null,1310,null,0400000US17,Illinois,17
4094572,null,3190,null,1982851,null,2045,null,1666345,null,2043,null,231450,null,7278,null,1434895,null,7381,null,316506,null,180,null,171528,null,3350,null,144978,null,3350,null,2111721,null,1644,null,1672253,null,1639,null,16870,null,1979,null,1655383,null,2599,null,439468,null,212,null,3681,null,738,null,435787,null,776,null,0400000US18,Indiana,18
2107658,null,1191,null,1021682,null,1003,null,840989,null,1000,null,115326,null,4152,null,725663,null,4148,null,180693,null,64,null,96346,null,2439,null,84347,null,2444,null,1085976,null,771,null,835502,null,753,null,8445,null,1201,null,827057,null,1477,null,250474,null,141,null,3410,null,706,null,247064,null,702,null,0400000US19,Iowa,19
1735201,null,2802,null,838533,null,2402,null,697105,null,2362,null,103283,null,4420,null,593822,null,4571,null,141428,null,312,null,80293,null,2416,null,61135,null,2434,null,896668,null,1336,null,701566,null,1385,null,8201,null,1462,null,693365,null,2100,null,195102,null,534,null,1471,null,453,null,193631,null,809,null,0400000US20,Kansas,20
2913194,null,2847,null,1396669,null,2575,null,1172601,null,2569,null,159969,null,5508,null,1012632,null,6166,null,224068,null,325,null,112088,null,3545,null,111980,null,3525,null,1516525,null,1134,null,1209815,null,1108,null,13640,null,1843,null,1196175,null,2171,null,306710,null,218,null,2134,null,549,null,304576,null,581,null,0400000US21,Kentucky,21
2138982,null,2138,null,1029939,null,1844,null,856350,null,1802,null,116504,null,4574,null,739846,null,4910,null,173589,null,194,null,99388,null,2911,null,74201,null,2906,null,1109043,null,696,null,874790,null,670,null,10597,null,1708,null,864193,null,1765,null,234253,null,113,null,1339,null,522,null,232914,null,532,null,0400000US22,Louisiana,22
994796,null,2447,null,476303,null,1716,null,389343,null,1651,null,68942,null,3450,null,320401,null,3843,null,86960,null,317,null,50997,null,1947,null,35963,null,1964,null,518493,null,1241,null,403927,null,1219,null,5922,null,916,null,398005,null,1468,null,114566,null,96,null,1876,null,629,null,112690,null,635,null,0400000US23,Maine,23
2539445,null,3407,null,1218202,null,2904,null,1006585,null,2904,null,151424,null,5546,null,855161,null,5634,null,211617,null,7,null,119514,null,3451,null,92103,null,3452,null,1321243,null,1600,null,1037179,null,1563,null,18241,null,2184,null,1018938,null,2835,null,284064,null,228,null,4548,null,1107,null,279516,null,1106,null,0400000US24,Maryland,24
4149655,null,4581,null,1975569,null,3057,null,1643661,null,2830,null,179058,null,6230,null,1464603,null,6849,null,331908,null,568,null,186784,null,3751,null,145124,null,3801,null,2174086,null,2183,null,1697491,null,2075,null,13709,null,1991,null,1683782,null,2900,null,476595,null,458,null,7101,null,1213,null,469494,null,1212,null,0400000US25,Massachusetts,25
6049124,null,1786,null,2948138,null,1440,null,2449408,null,1432,null,317400,null,6974,null,2132008,null,7013,null,498730,null,228,null,261248,null,4500,null,237482,null,4475,null,3100986,null,912,null,2438119,null,858,null,23513,null,2617,null,2414606,null,2645,null,662867,null,350,null,5982,null,995,null,656885,null,1040,null,0400000US26,Michigan,26
