B18101A_001E,B18101A_001EA,B18101A_001M,B18101A_001MA,B18101A_002E,B18101A_002EA,B18101A_002M,B18101A_002MA,B18101A_003E,B18101A_003EA,B18101A_003M,B18101A_003MA,B18101A_004E,B18101A_004EA,B18101A_004M,B18101A_004MA,B18101A_005E,B18101A_005EA,B18101A_005M,B18101A_005MA,B18101A_006E,B18101A_006EA,B18101A_006M,B18101A_006MA,B18101A_007E,B18101A_007EA,B18101A_007M,B18101A_007MA,B18101A_008E,B18101A_008EA,B18101A_008M,B18101A_008MA,B18101A_009E,B18101A_009EA,B18101A_009M,B18101A_009MA,B18101A_010E,B18101A_010EA,B18101A_010M,B18101A_010MA,GEO_ID,NAME,state
3237402,null,5547,null,724181,null,3022,null,33859,null,3346,null,690322,null,4962,null,2010914,null,4078,null,284395,null,9412,null,1726519,null,10389,null,502307,null,2030,null,214895,null,5144,null,287412,null,4843,null,0400000US01,Alabama,01
462018,null,3416,null,109695,null,1374,null,3132,null,890,null,106563,null,1649,null,313717,null,2859,null,33234,null,4070,null,280483,null,4827,null,38606,null,600,null,16124,null,1454,null,22482,null,1477,null,0400000US02,Alaska,02
5205918,null,22148,null,1269433,null,11195,null,44276,null,4720,null,1225157,null,11472,null,3158210,null,13466,null,301969,null,10046,null,2856241,null,15309,null,778275,null,3245,null,275399,null,7616,null,502876,null,7623,null,0400000US04,Arizona,04
2225065,null,6546,null,509835,null,3477,null,25752,null,2677,null,484083,null,4080,null,1368161,null,4322,null,214503,null,7350,null,1153658,null,8901,null,347069,null,1998,null,150741,null,4539,null,196328,null,4774,null,0400000US05,Arkansas,05
22810919,null,77809,null,5467570,null,34602,null,163234,null,8890,null,5304336,null,36182,null,14347250,null,48701,null,1202289,null,18612,null,13144961,null,46858,null,2996099,null,9414,null,1108506,null,12038,null,1887593,null,13541,null,0400000US06,California,06
4178355,null,15617,null,965473,null,7649,null,30356,null,3002,null,935117,null,7232,null,2738923,null,10327,null,211276,null,7643,null,2527647,null,11695,null,473959,null,2559,null,162712,null,5215,null,311247,null,4976,null,0400000US08,Colorado,08
2740099,null,11296,null,581954,null,5174,null,20141,null,2240,null,561813,null,5246,null,1741672,null,7428,null,140352,null,6458,null,1601320,null,8654,null,416473,null,2117,null,130126,null,4416,null,286347,null,4201,null,0400000US09,Connecticut,09
627129,null,4552,null,134554,null,2216,null,5032,null,1259,null,129522,null,2259,null,389410,null,2826,null,41340,null,3429,null,348070,null,4625,null,103165,null,729,null,36481,null,2246,null,66684,null,2265,null,0400000US10,Delaware,10
228507,null,4660,null,29869,null,2056,null,1269,null,850,null,28600,null,2071,null,175472,null,2748,null,7041,null,1495,null,168431,null,3064,null,23166,null,1752,null,5234,null,1240,null,17932,null,1507,null,0400000US11,District of Columbia,11
14040265,null,29165,null,2801059,null,11948,null,95431,null,5798,null,2705628,null,12849,null,8449039,null,21465,null,813150,null,17687,null,7635889,null,28741,null,2790167,null,7893,null,972377,null,16226,null,1817790,null,15789,null,0400000US12,Florida,12
5957426,null,19109,null,1451750,null,8956,null,52884,null,4824,null,1398866,null,10067,null,3758441,null,12455,null,374337,null,10754,null,3384104,null,14682,null,747235,null,2436,null,289282,null,6035,null,457953,null,6341,null,0400000US13,Georgia,13
316595,null,4377,null,60753,null,2138,null,1360,null,599,null,59393,null,2305,null,211045,null,3432,null,16333,null,2046,null,194712,null,3511,null,44797,null,1048,null,14342,null,1520,null,30455,null,1635,null,0400000US15,Hawaii,15
1404940,null,5283,null,372099,null,3099,null,12900,null,1787,null,359199,null,3601,null,859328,null,3361,null,90430,null,4612,null,768898,null,5183,null,173513,null,1590,null,65727,null,2576,null,107786,null,2506,null,0400000US16,Idaho,16
9232257,null,26116,null,2081163,null,12567,null,64320,null,3913,null,2016843,null,13035,null,5894979,null,15486,null,440924,null,11637,null,5454055,null,17464,null,1256115,null,5582,null,437628,null,8391,null,818487,null,8219,null,0400000US17,Illinois,17
5420704,null,9062,null,1281609,null,4490,null,55571,null,4065,null,1226038,null,5641,null,3414713,null,5954,null,358498,null,9344,null,3056215,null,10764,null,724382,null,3346,null,271348,null,5499,null,453034,null,5673,null,0400000US18,Indiana,18
2729408,null,5359,null,621179,null,3069,null,25123,null,2558,null,596056,null,3794,null,1702753,null,3379,null,154316,null,5444,null,1548437,null,6400,null,405476,null,1765,null,135678,null,3815,null,269798,null,3874,null,0400000US19,Iowa,19
