B19001H_001E,B19001H_001EA,B19001H_001M,B19001H_001MA,B19001H_002E,B19001H_002EA,B19001H_002M,B19001H_002MA,B19001H_003E,B19001H_003EA,B19001H_003M,B19001H_003MA,B19001H_004E,B19001H_004EA,B19001H_004M,B19001H_004MA,B19001H_005E,B19001H_005EA,B19001H_005M,B19001H_005MA,B19001H_006E,B19001H_006EA,B19001H_006M,B19001H_006MA,B19001H_007E,B19001H_007EA,B19001H_007M,B19001H_007MA,B19001H_008E,B19001H_008EA,B19001H_008M,B19001H_008MA,B19001H_009E,B19001H_009EA,B19001H_009M,B19001H_009MA,B19001H_010E,B19001H_010EA,B19001H_010M,B19001H_010MA,B19001H_011E,B19001H_011EA,B19001H_011M,B19001H_011MA,B19001H_012E,B19001H_012EA,B19001H_012M,B19001H_012MA,B19001H_013E,B19001H_013EA,B19001H_013M,B19001H_013MA,B19001H_014E,B19001H_014EA,B19001H_014M,B19001H_014MA,B19001H_015E,B19001H_015EA,B19001H_015M,B19001H_015MA,B19001H_016E,B19001H_016EA,B19001H_016M,B19001H_016MA,B19001H_017E,B19001H_017EA,B19001H_017M,B19001H_017MA,GEO_ID,NAME,state
1297602,null,7332,null,103666,null,5422,null,81421,null,3954,null,81188,null,4292,null,73298,null,3748,null,73310,null,4301,null,71849,null,4340,null,72239,null,4661,null,70799,null,3895,null,61384,null,3179,null,110712,null,4508,null,130568,null,5155,null,153999,null,5498,null,88449,null,3892,null,47717,null,2779,null,41723,null,3004,null,35280,null,2280,null,0400000US01,Alabama,01
172861,null,2894,null,5317,null,1181,null,4879,null,1092,null,4857,null,1180,null,5907,null,1036,null,5337,null,1067,null,6890,null,1306,null,6535,null,1294,null,7912,null,1416,null,8069,null,1459,null,13026,null,1535,null,19678,null,2090,null,29719,null,2593,null,20813,null,2117,null,12461,null,1427,null,12218,null,1774,null,9243,null,1325,null,0400000US02,Alaska,02
1559235,null,10679,null,96241,null,4955,null,77567,null,4559,null,76137,null,4310,null,84173,null,4746,null,79513,null,4074,null,78663,null,4832,null,79876,null,4779,null,76975,null,4156,null,75209,null,4565,null,135736,null,6691,null,169177,null,6388,null,204686,null,6495,null,130843,null,5371,null,74130,null,4880,null,62518,null,3523,null,57791,null,3700,null,0400000US04,Arizona,04
874278,null,6686,null,74017,null,4842,null,64064,null,3648,null,59579,null,3624,null,60782,null,3610,null,57768,null,3867,null,52074,null,3553,null,51596,null,3411,null,46637,null,2791,null,44914,null,3503,null,77084,null,4580,null,85210,null,4405,null,88115,null,4591,null,50101,null,3032,null,24274,null,1990,null,19480,null,1776,null,18583,null,1885,null,0400000US05,Arkansas,05
6411238,null,22491,null,308300,null,8513,null,295354,null,9341,null,255461,null,8507,null,272568,null,8508,null,263644,null,7309,null,249719,null,7598,null,260984,null,8245,null,239341,null,7951,null,251709,null,7666,null,477266,null,9395,null,612049,null,11863,null,848464,null,14049,null,637663,null,11318,null,426780,null,9730,null,489723,null,11020,null,522213,null,11079,null,0400000US06,California,06
1473692,null,7558,null,80056,null,4765,null,59506,null,3768,null,61137,null,3580,null,65898,null,4190,null,64745,null,3826,null,68126,null,4380,null,67810,null,4174,null,70007,null,4521,null,64453,null,3761,null,122394,null,5048,null,161096,null,6442,null,207367,null,6488,null,142416,null,5337,null,84187,null,3846,null,81889,null,3751,null,72605,null,3627,null,0400000US08,Colorado,08
1021540,null,5434,null,41756,null,3763,null,35400,null,2956,null,37681,null,2968,null,39195,null,2745,null,36968,null,3179,null,34352,null,2879,null,38657,null,2880,null,37215,null,3331,null,38305,null,2771,null,72074,null,4313,null,106447,null,4504,null,141196,null,4958,null,116285,null,4167,null,72138,null,4303,null,81342,null,4826,null,92529,null,4641,null,0400000US09,Connecticut,09
236879,null,3522,null,10114,null,1482,null,8395,null,1276,null,8306,null,1078,null,12300,null,1778,null,10314,null,1075,null,11231,null,1551,null,10731,null,1831,null,11116,null,1472,null,10950,null,1549,null,20512,null,2273,null,27853,null,2286,null,33686,null,2531,null,22893,null,1633,null,14016,null,1611,null,13185,null,1531,null,11277,null,1549,null,0400000US10,Delaware,10
97656,null,2281,null,3825,null,1130,null,1468,null,536,null,1688,null,697,null,1958,null,712,null,1514,null,787,null,1843,null,632,null,2079,null,623,null,3704,null,1006,null,2028,null,620,null,5521,null,1091,null,8182,null,1486,null,12752,null,1716,null,11151,null,1606,null,7439,null,1126,null,12455,null,1672,null,20049,null,1782,null,0400000US11,District of Columbia,11
4657563,null,16215,null,300661,null,9172,null,246995,null,6315,null,264340,null,9438,null,277960,null,8827,null,273915,null,8187,null,264805,null,9633,null,262730,null,7843,null,251991,null,8533,null,232840,null,7861,null,398582,null,10683,null,492806,null,8786,null,535830,null,10240,null,323933,null,10374,null,182142,null,5940,null,169213,null,5641,null,178820,null,6070,null,0400000US12,Florida,12
2152896,null,11951,null,138141,null,5855,null,111595,null,5451,null,99782,null,5063,null,108539,null,6051,null,108395,null,6347,null,104793,null,5501,null,104382,null,5667,null,97122,null,4397,null,98185,null,5464,null,181290,null,7290,null,227716,null,7960,null,289398,null,7611,null,177331,null,5622,null,103315,null,5266,null,102270,null,4402,null,100642,null,3924,null,0400000US13,Georgia,13
140637,null,3459,null,8246,null,1693,null,5698,null,1301,null,4859,null,1539,null,4676,null,1194,null,5010,null,970,null,5488,null,1249,null,5597,null,1055,null,5179,null,1164,null,6775,null,1702,null,11465,null,1835,null,15798,null,2210,null,19608,null,1941,null,15251,null,1945,null,8456,null,1681,null,9697,null,1438,null,8834,null,1426,null,0400000US15,Hawaii,15
498379,null,4873,null,31454,null,2824,null,30090,null,2667,null,28390,null,2561,null,33391,null,2682,null,31425,null,2585,null,29574,null,2292,null,27796,null,2240,null,28332,null,2561,null,26732,null,2188,null,48784,null,3680,null,55554,null,2996,null,61911,null,3709,null,30634,null,2195,null,13594,null,1669,null,10686,null,1370,null,10032,null,1462,null,0400000US16,Idaho,16
3394796,null,13626,null,183209,null,6679,null,152742,null,6522,null,164896,null,6135,null,164865,null,5571,null,162155,null,6647,null,155262,null,5540,null,152705,null,5708,null,151902,null,4948,null,145405,null,5889,null,279273,null,6885,null,367185,null,8783,null,472063,null,7948,null,307900,null,7105,null,178480,null,5250,null,173742,null,6453,null,183012,null,6338,null,0400000US17,Illinois,17
2118365,null,10468,null,136919,null,5702,null,112855,null,5014,null,116664,null,5556,null,129047,null,4939,null,134231,null,4579,null,122487,null,4832,null,126274,null,5774,null,118580,null,5813,null,107498,null,5117,null,192976,null,6552,null,239437,null,6601,null,259588,null,5858,null,148062,null,5270,null,69686,null,3736,null,60226,null,3456,null,43835,null,2644,null,0400000US18,Indiana,18
1133304,null,6326,null,70222,null,3846,null,67745,null,3396,null,63808,null,3017,null,66614,null,3763,null,63115,null,3506,null,61770,null,3447,null,65328,null,3696,null,59066,null,3425,null,59506,null,3400,null,103912,null,3658,null,125013,null,4348,null,151103,null,5291,null,80792,null,3317,null,40743,null,2389,null,29113,null,2146,null,25454,null,2259,null,0400000US19,Iowa,19
928034,null,5862,null,57369,null,3185,null,50476,null,3233,null,51178,null,3156,null,55614,null,3552,null,53320,null,3613,null,49323,null,2666,null,50389,null,3070,null,49019,null,3446,null,47210,null,2812,null,74697,null,3835,null,108236,null,4084,null,118827,null,4951,null,65978,null,3161,null,34273,null,2601,null,32094,null,2019,null,30031,null,2072,null,0400000US20,Kansas,20
1510541,null,9902,null,158233,null,6204,null,109372,null,5451,null,99675,null,5476,null,99148,null,4513,null,93669,null,4460,null,88295,null,4741,null,83247,null,4788,null,76361,null,4027,null,75087,null,4757,null,121923,null,5033,null,144433,null,5388,null,163656,null,5048,null,87677,null,5002,null,45564,null,2761,null,34827,null,2844,null,29374,null,2082,null,0400000US21,Kentucky,21
