B01001F_001E,B01001F_001EA,B01001F_001M,B01001F_001MA,B01001F_002E,B01001F_002EA,B01001F_002M,B01001F_002MA,B01001F_003E,B01001F_003EA,B01001F_003M,B01001F_003MA,B01001F_004E,B01001F_004EA,B01001F_004M,B01001F_004MA,B01001F_005E,B01001F_005EA,B01001F_005M,B01001F_005MA,B01001F_006E,B01001F_006EA,B01001F_006M,B01001F_006MA,B01001F_007E,B01001F_007EA,B01001F_007M,B01001F_007MA,B01001F_008E,B01001F_008EA,B01001F_008M,B01001F_008MA,B01001F_009E,B01001F_009EA,B01001F_009M,B01001F_009MA,B01001F_010E,B01001F_010EA,B01001F_010M,B01001F_010MA,B01001F_011E,B01001F_011EA,B01001F_011M,B01001F_011MA,B01001F_012E,B01001F_012EA,B01001F_012M,B01001F_012MA,B01001F_013E,B01001F_013EA,B01001F_013M,B01001F_013MA,B01001F_014E,B01001F_014EA,B01001F_014M,B01001F_014MA,B01001F_015E,B01001F_015EA,B01001F_015M,B01001F_015MA,B01001F_016E,B01001F_016EA,B01001F_016M,B01001F_016MA,B01001F_017E,B01001F_017EA,B01001F_017M,B01001F_017MA,B01001F_018E,B01001F_018EA,B01001F_018M,B01001F_018MA,B01001F_019E,B01001F_019EA,B01001F_019M,B01001F_019MA,B01001F_020E,B01001F_020EA,B01001F_020M,B01001F_020MA,B01001F_021E,B01001F_021EA,B01001F_021M,B01001F_021MA,B01001F_022E,B01001F_022EA,B01001F_022M,B01001F_022MA,B01001F_023E,B01001F_023EA,B01001F_023M,B01001F_023MA,B01001F_024E,B01001F_024EA,B01001F_024M,B01001F_024MA,B01001F_025E,B01001F_025EA,B01001F_025M,B01001F_025MA,B01001F_026E,B01001F_026EA,B01001F_026M,B01001F_026MA,B01001F_027E,B01001F_027EA,B01001F_027M,B01001F_027MA,B01001F_028E,B01001F_028EA,B01001F_028M,B01001F_028MA,B01001F_029E,B01001F_029EA,B01001F_029M,B01001F_029MA,B01001F_030E,B01001F_030EA,B01001F_030M,B01001F_030MA,B01001F_031E,B01001F_031EA,B01001F_031M,B01001F_031MA,GEO_ID,NAME,state
42671,null,5367,null,25033,null,3282,null,3879,null,1432,null,2538,null,918,null,1441,null,665,null,670,null,345,null,158,null,146,null,2288,null,743,null,3376,null,892,null,3990,null,988,null,3367,null,778,null,1881,null,629,null,1138,null,697,null,0,null,273,null,264,null,245,null,43,null,56,null,17638,null,2645,null,2800,null,937,null,1774,null,651,null,1519,null,574,null,486,null,289,null,227,null,278,null,1256,null,543,null,2771,null,975,null,1985,null,687,null,2176,null,734,null,1523,null,591,null,626,null,492,null,219,null,245,null,276,null,228,null,0,null,273,null,0400000US01,Alabama,01
11743,null,2551,null,5448,null,1824,null,226,null,312,null,250,null,247,null,505,null,422,null,143,null,162,null,0,null,244,null,1299,null,777,null,414,null,377,null,346,null,303,null,768,null,511,null,983,null,653,null,303,null,247,null,154,null,169,null,57,null,96,null,0,null,244,null,6295,null,1244,null,461,null,347,null,125,null,148,null,237,null,279,null,563,null,404,null,559,null,485,null,848,null,690,null,343,null,309,null,250,null,227,null,1240,null,484,null,1095,null,366,null,389,null,296,null,51,null,83,null,82,null,126,null,52,null,89,null,0400000US02,Alaska,02
409874,null,20106,null,208793,null,11631,null,20466,null,3117,null,21172,null,2651,null,19631,null,2700,null,9700,null,1198,null,6531,null,1539,null,16736,null,2842,null,21323,null,3527,null,18919,null,2889,null,33760,null,2959,null,20577,null,2566,null,12093,null,1987,null,4471,null,854,null,2833,null,881,null,581,null,425,null,201081,null,10790,null,23957,null,3260,null,19618,null,2838,null,19274,null,2318,null,13281,null,1851,null,6356,null,1558,null,13056,null,2204,null,18808,null,2690,null,16509,null,2510,null,29107,null,2503,null,20222,null,2435,null,11070,null,1609,null,5896,null,1014,null,3120,null,735,null,807,null,416,null,0400000US04,Arizona,04
66303,null,6069,null,35948,null,3941,null,4504,null,1178,null,4436,null,1148,null,3525,null,1112,null,2099,null,621,null,1610,null,882,null,3352,null,1090,null,2417,null,878,null,3535,null,990,null,5795,null,1285,null,2326,null,778,null,1587,null,584,null,211,null,197,null,551,null,338,null,0,null,273,null,30355,null,3045,null,3295,null,1130,null,3373,null,940,null,3603,null,1069,null,1757,null,571,null,1428,null,807,null,2353,null,860,null,2640,null,934,null,2877,null,659,null,4102,null,903,null,2539,null,821,null,1361,null,728,null,827,null,691,null,200,null,212,null,0,null,273,null,0400000US05,Arkansas,05
5097436,null,73157,null,2663281,null,41449,null,265196,null,8814,null,225511,null,7289,null,228374,null,8784,null,136205,null,5130,null,93767,null,4736,null,234544,null,8042,null,266137,null,8135,null,246135,null,7820,null,431339,null,10467,null,299907,null,8829,null,144231,null,5388,null,57464,null,3312,null,27155,null,2445,null,7316,null,1348,null,2434155,null,37437,null,249548,null,10471,null,214121,null,8192,null,214151,null,7838,null,130825,null,5334,null,90450,null,4414,null,205599,null,7694,null,210199,null,5732,null,204653,null,6576,null,375779,null,8844,null,272646,null,7206,null,146261,null,5379,null,68158,null,3410,null,38207,null,2882,null,13558,null,1904,null,0400000US06,California,06
231507,null,16039,null,120168,null,9471,null,14168,null,2249,null,11714,null,2117,null,11215,null,2015,null,5562,null,1184,null,3167,null,983,null,8155,null,1813,null,11707,null,2027,null,12057,null,2249,null,18333,null,2264,null,12937,null,1651,null,7450,null,1325,null,2691,null,660,null,858,null,349,null,154,null,156,null,111339,null,8014,null,11824,null,2321,null,11742,null,1854,null,10274,null,1837,null,5388,null,1270,null,3714,null,1015,null,8514,null,1253,null,10661,null,1774,null,9409,null,1618,null,15538,null,2067,null,13554,null,1755,null,5445,null,1021,null,2838,null,783,null,1637,null,579,null,801,null,415,null,0400000US08,Colorado,08
185642,null,11639,null,95918,null,6519,null,9184,null,1413,null,6835,null,1283,null,8773,null,1674,null,5013,null,910,null,5122,null,1148,null,8601,null,1625,null,9405,null,1369,null,9539,null,1573,null,16831,null,1746,null,10022,null,1577,null,3584,null,876,null,2309,null,678,null,419,null,261,null,281,null,203,null,89724,null,6110,null,7647,null,1326,null,9061,null,1727,null,7833,null,1478,null,4619,null,1135,null,4398,null,951,null,7070,null,1337,null,8832,null,1261,null,6993,null,1265,null,13533,null,1600,null,10929,null,1624,null,4581,null,1108,null,2255,null,698,null,1686,null,660,null,287,null,233,null,0400000US09,Connecticut,09
16040,null,3257,null,8621,null,1931,null,912,null,534,null,839,null,489,null,448,null,360,null,130,null,159,null,352,null,330,null,988,null,403,null,862,null,296,null,1088,null,547,null,1320,null,360,null,869,null,428,null,725,null,469,null,88,null,132,null,0,null,263,null,0,null,263,null,7419,null,1709,null,1420,null,552,null,444,null,242,null,413,null,224,null,411,null,321,null,87,null,121,null,468,null,291,null,1009,null,546,null,238,null,217,null,773,null,377,null,1041,null,506,null,960,null,501,null,0,null,263,null,155,null,232,null,0,null,263,null,0400000US10,Delaware,10
17600,null,3915,null,9332,null,2066,null,1595,null,900,null,450,null,394,null,670,null,414,null,448,null,454,null,0,null,296,null,898,null,606,null,612,null,410,null,760,null,437,null,2176,null,672,null,962,null,510,null,761,null,545,null,0,null,296,null,0,null,296,null,0,null,296,null,8268,null,2314,null,1567,null,690,null,608,null,484,null,543,null,489,null,183,null,289,null,344,null,364,null,665,null,445,null,954,null,533,null,267,null,224,null,1303,null,609,null,1278,null,565,null,400,null,376,null,156,null,197,null,0,null,296,null,0,null,296,null,0400000US11,District of Columbia,11
513581,null,26082,null,270327,null,15805,null,23189,null,3315,null,18247,null,2493,null,19471,null,2455,null,9874,null,1741,null,9432,null,1537,null,30204,null,4089,null,28082,null,4540,null,26055,null,3827,null,46751,null,4503,null,35274,null,3481,null,13248,null,2270,null,6358,null,1291,null,3402,null,1126,null,740,null,526,null,243254,null,13531,null,21828,null,3643,null,18547,null,2775,null,19201,null,2650,null,12423,null,1583,null,8796,null,1605,null,21283,null,2988,null,20916,null,2591,null,21486,null,2870,null,35595,null,3298,null,29471,null,3423,null,17416,null,2296,null,9513,null,1676,null,4703,null,1224,null,2076,null,721,null,0400000US12,Florida,12
