C12002A_001E,C12002A_001EA,C12002A_001M,C12002A_001MA,C12002A_002E,C12002A_002EA,C12002A_002M,C12002A_002MA,C12002A_003E,C12002A_003EA,C12002A_003M,C12002A_003MA,C12002A_004E,C12002A_004EA,C12002A_004M,C12002A_004MA,C12002A_005E,C12002A_005EA,C12002A_005M,C12002A_005MA,C12002A_006E,C12002A_006EA,C12002A_006M,C12002A_006MA,GEO_ID,NAME,state
2693221,null,3786,null,595425,null,10315,null,1525831,null,18209,null,51871,null,4193,null,204437,null,6012,null,315657,null,10959,null,0400000US01,Alabama,01
386545,null,1977,null,115289,null,4229,null,201910,null,5563,null,7801,null,1685,null,13931,null,1650,null,47614,null,4438,null,0400000US02,Alaska,02
4205669,null,15472,null,1243860,null,18875,null,2103587,null,26383,null,72822,null,5132,null,248532,null,7472,null,536868,null,16017,null,0400000US04,Arizona,04
1839811,null,4318,null,393058,null,9065,null,1033440,null,13945,null,37063,null,3843,null,139699,null,5149,null,236551,null,7909,null,0400000US05,Arkansas,05
18635420,null,54199,null,6139405,null,42860,null,9046759,null,48775,null,390369,null,10193,null,1078034,null,13691,null,1980853,null,22732,null,0400000US06,California,06
3442164,null,10606,null,1007786,null,12583,null,1832003,null,17506,null,54151,null,4344,null,155099,null,5876,null,393125,null,8806,null,0400000US08,Colorado,08
2310365,null,7938,null,679862,null,10468,null,1205689,null,15562,null,23087,null,2436,null,155666,null,4727,null,246061,null,7462,null,0400000US09,Connecticut,09
525708,null,2715,null,144671,null,4278,null,275011,null,6403,null,9875,null,1976,null,38020,null,2668,null,58131,null,3212,null,0400000US10,Delaware,10
205710,null,2705,null,111870,null,3971,null,71534,null,3935,null,1820,null,696,null,5761,null,1087,null,14725,null,1720,null,0400000US11,District of Columbia,11
11937621,null,21283,null,3106647,null,30280,null,6096162,null,38292,null,248156,null,9682,null,948253,null,13521,null,1538403,null,24041,null,0400000US12,Florida,12
4859184,null,13073,null,1249470,null,17210,null,2675832,null,25269,null,80298,null,5889,null,298353,null,7099,null,555231,null,14222,null,0400000US13,Georgia,13
296121,null,2388,null,88913,null,3685,null,156147,null,5051,null,4138,null,1227,null,13775,null,1377,null,33148,null,2796,null,0400000US15,Hawaii,15
1116328,null,3654,null,274754,null,7076,null,638733,null,11144,null,18967,null,2406,null,58304,null,3268,null,125570,null,5762,null,0400000US16,Idaho,16
7636441,null,17706,null,2287975,null,20221,null,3995709,null,28257,null,91797,null,5091,null,491805,null,9297,null,769155,null,14983,null,0400000US17,Illinois,17
4441642,null,5718,null,1171333,null,11892,null,2395871,null,19988,null,56403,null,4062,null,285192,null,6410,null,532843,null,12845,null,0400000US18,Indiana,18
2262981,null,3435,null,601866,null,10288,null,1250459,null,14458,null,22836,null,2529,null,153168,null,4159,null,234652,null,7857,null,0400000US19,Iowa,19
1954563,null,5710,null,516476,null,9010,null,1063815,null,12433,null,23522,null,2784,null,126746,null,4678,null,224004,null,7140,null,0400000US20,Kansas,20
3116953,null,4289,null,769134,null,13532,null,1683082,null,21956,null,62373,null,4676,null,227016,null,6096,null,375348,null,11311,null,0400000US21,Kentucky,21
2331740,null,3454,null,588299,null,10298,null,1270828,null,17807,null,45995,null,3581,null,164297,null,4826,null,262321,null,9137,null,0400000US22,Louisiana,22
1053237,null,2726,null,287167,null,5717,null,547591,null,8837,null,11223,null,1583,null,73183,null,2561,null,134073,null,5507,null,0400000US23,Maine,23
2831788,null,8477,null,801280,null,10415,null,1534811,null,14992,null,51039,null,3615,null,183052,null,5515,null,261606,null,7634,null,0400000US24,Maryland,24
4544403,null,9211,null,1534551,null,16985,null,2176084,null,22934,null,73614,null,4091,null,308343,null,7547,null,451811,null,10188,null,0400000US25,Massachusetts,25
6543051,null,6488,null,1834329,null,17312,null,3482335,null,25172,null,73797,null,4468,null,420558,null,7723,null,732032,null,14267,null,0400000US26,Michigan,26
3764847,null,5417,null,1101593,null,11614,null,2061161,null,17325,null,32943,null,3041,null,204263,null,5020,null,364887,null,8671,null,0400000US27,Minnesota,27
