C01001H_001E,C01001H_001EA,C01001H_001M,C01001H_001MA,C01001H_002E,C01001H_002EA,C01001H_002M,C01001H_002MA,C01001H_003E,C01001H_003EA,C01001H_003M,C01001H_003MA,C01001H_004E,C01001H_004EA,C01001H_004M,C01001H_004MA,C01001H_005E,C01001H_005EA,C01001H_005M,C01001H_005MA,C01001H_006E,C01001H_006EA,C01001H_006M,C01001H_006MA,C01001H_007E,C01001H_007EA,C01001H_007M,C01001H_007MA,C01001H_008E,C01001H_008EA,C01001H_008M,C01001H_008MA,C01001H_009E,C01001H_009EA,C01001H_009M,C01001H_009MA,GEO_ID,NAME,state
3198640,null,1785,null,1563580,null,2448,null,351264,null,1675,null,991902,null,1484,null,220414,null,197,null,1635060,null,2627,null,333076,null,1799,null,1002701,null,1772,null,299283,null,133,null,0400000US01,Alabama,01
454124,null,704,null,238942,null,783,null,52653,null,790,null,167173,null,516,null,19116,null,346,null,215182,null,866,null,48794,null,781,null,147003,null,261,null,19385,null,121,null,0400000US02,Alaska,02
3767988,null,3913,null,1857955,null,2312,null,370392,null,1941,null,1164175,null,1289,null,323388,null,440,null,1910033,null,2821,null,350967,null,1878,null,1167378,null,1451,null,391688,null,388,null,0400000US04,Arizona,04
2166895,null,1752,null,1060735,null,1940,null,240108,null,1818,null,663443,null,733,null,157184,null,283,null,1106160,null,2139,null,229021,null,1844,null,671255,null,967,null,205884,null,301,null,0400000US05,Arkansas,05
15325751,null,6499,null,7608700,null,4658,null,1412893,null,2334,null,5072725,null,3397,null,1123082,null,930,null,7717051,null,4621,null,1335240,null,3460,null,4907571,null,2749,null,1474240,null,787,null,0400000US06,California,06
3540663,null,3902,null,1766091,null,2718,null,370688,null,1029,null,1197651,null,2415,null,197752,null,182,null,1774572,null,2222,null,347099,null,1773,null,1175287,null,878,null,252186,null,260,null,0400000US08,Colorado,08
2562302,null,3868,null,1244641,null,1872,null,263336,null,687,null,803377,null,1531,null,177928,null,209,null,1317661,null,2264,null,250161,null,1184,null,817894,null,1343,null,249606,null,173,null,0400000US09,Connecticut,09
596365,null,638,null,289212,null,433,null,60770,null,303,null,182363,null,236,null,46079,null,263,null,307153,null,357,null,57760,null,191,null,189973,null,295,null,59420,null,263,null,0400000US10,Delaware,10
199898,null,1211,null,98828,null,496,null,11258,null,450,null,77354,null,193,null,10216,null,296,null,101070,null,962,null,11653,null,484,null,77834,null,600,null,11583,null,296,null,0400000US11,District of Columbia,11
10988592,null,6103,null,5372979,null,4369,null,999664,null,3149,null,3264713,null,2688,null,1108602,null,960,null,5615613,null,3693,null,948825,null,2479,null,3289449,null,2768,null,1377339,null,916,null,0400000US12,Florida,12
5636308,null,2952,null,2773774,null,6909,null,657495,null,3534,null,1793298,null,6427,null,322981,null,340,null,2862534,null,6405,null,625968,null,3614,null,1800835,null,5693,null,435731,null,360,null,0400000US13,Georgia,13
322423,null,1346,null,176650,null,1181,null,28251,null,1050,null,126807,null,375,null,21592,null,275,null,145773,null,1204,null,25138,null,1085,null,98328,null,407,null,22307,null,275,null,0400000US15,Hawaii,15
1305296,null,1309,null,652599,null,809,null,166444,null,710,null,405038,null,400,null,81117,null,9,null,652697,null,1154,null,155038,null,939,null,401486,null,420,null,96173,null,9,null,0400000US16,Idaho,16
8319709,null,5551,null,4076003,null,3212,null,881208,null,1571,null,2666116,null,2322,null,528679,null,600,null,4243706,null,3133,null,839696,null,1375,null,2660441,null,2483,null,743569,null,547,null,0400000US17,Illinois,17
5307393,null,3203,null,2608734,null,1759,null,621141,null,1591,null,1671087,null,1242,null,316506,null,180,null,2698659,null,2479,null,585959,null,1633,null,1673232,null,1564,null,439468,null,212,null,0400000US18,Indiana,18
2704080,null,1680,null,1327927,null,1244,null,303830,null,1064,null,843404,null,871,null,180693,null,64,null,1376153,null,1274,null,289854,null,969,null,835825,null,773,null,250474,null,141,null,0400000US19,Iowa,19
2249960,null,1885,null,1105892,null,2072,null,257152,null,1499,null,707312,null,1258,null,141428,null,312,null,1144068,null,1800,null,245971,null,1480,null,702995,null,1316,null,195102,null,534,null,0400000US20,Kansas,20
3762991,null,3203,null,1836206,null,3644,null,424891,null,3032,null,1187247,null,1698,null,224068,null,325,null,1926785,null,2728,null,409251,null,2764,null,1210824,null,805,null,306710,null,218,null,0400000US21,Kentucky,21
2755285,null,1936,null,1350564,null,2027,null,308543,null,1748,null,868432,null,788,null,173589,null,194,null,1404721,null,1857,null,295067,null,1663,null,875401,null,555,null,234253,null,113,null,0400000US22,Louisiana,22
1241512,null,3694,null,604254,null,2013,null,124977,null,1127,null,392317,null,1401,null,86960,null,317,null,637258,null,2153,null,118460,null,1300,null,404232,null,1248,null,114566,null,96,null,0400000US23,Maine,23
3228314,null,2859,null,1576559,null,1692,null,341029,null,1031,null,1023913,null,1041,null,211617,null,7,null,1651755,null,1760,null,325883,null,975,null,1041808,null,1151,null,284064,null,228,null,0400000US24,Maryland,24
5154939,null,5481,null,2492284,null,3406,null,512437,null,1307,null,1647939,null,2560,null,331908,null,568,null,2662655,null,2909,null,487482,null,1665,null,1698578,null,2005,null,476595,null,458,null,0400000US25,Massachusetts,25
