B27001H_001E,B27001H_001EA,B27001H_001M,B27001H_001MA,B27001H_002E,B27001H_002EA,B27001H_002M,B27001H_002MA,B27001H_003E,B27001H_003EA,B27001H_003M,B27001H_003MA,B27001H_004E,B27001H_004EA,B27001H_004M,B27001H_004MA,B27001H_005E,B27001H_005EA,B27001H_005M,B27001H_005MA,B27001H_006E,B27001H_006EA,B27001H_006M,B27001H_006MA,B27001H_007E,B27001H_007EA,B27001H_007M,B27001H_007MA,B27001H_008E,B27001H_008EA,B27001H_008M,B27001H_008MA,B27001H_009E,B27001H_009EA,B27001H_009M,B27001H_009MA,B27001H_010E,B27001H_010EA,B27001H_010M,B27001H_010MA,B27001H_011E,B27001H_011EA,B27001H_011M,B27001H_011MA,B27001H_012E,B27001H_012EA,B27001H_012M,B27001H_012MA,B27001H_013E,B27001H_013EA,B27001H_013M,B27001H_013MA,B27001H_014E,B27001H_014EA,B27001H_014M,B27001H_014MA,B27001H_015E,B27001H_015EA,B27001H_015M,B27001H_015MA,B27001H_016E,B27001H_016EA,B27001H_016M,B27001H_016MA,B27001H_017E,B27001H_017EA,B27001H_017M,B27001H_017MA,B27001H_018E,B27001H_018EA,B27001H_018M,B27001H_018MA,B27001H_019E,B27001H_019EA,B27001H_019M,B27001H_019MA,B27001H_020E,B27001H_020EA,B27001H_020M,B27001H_020MA,B27001H_021E,B27001H_021EA,B27001H_021M,B27001H_021MA,B27001H_022E,B27001H_022EA,B27001H_022M,B27001H_022MA,B27001H_023E,B27001H_023EA,B27001H_023M,B27001H_023MA,B27001H_024E,B27001H_024EA,B27001H_024M,B27001H_024MA,B27001H_025E,B27001H_025EA,B27001H_025M,B27001H_025MA,B27001H_026E,B27001H_026EA,B27001H_026M,B27001H_026MA,B27001H_027E,B27001H_027EA,B27001H_027M,B27001H_027MA,B27001H_028E,B27001H_028EA,B27001H_028M,B27001H_028MA,GEO_ID,NAME,state
3143401,null,3378,null,219061,null,3473,null,210967,null,3474,null,8094,null,1695,null,464321,null,3488,null,438192,null,4583,null,26129,null,3564,null,280983,null,2559,null,216164,null,4367,null,64819,null,4339,null,377461,null,3453,null,293927,null,6121,null,83534,null,5843,null,417776,null,2198,null,347219,null,4782,null,70557,null,4752,null,472843,null,1940,null,413378,null,4393,null,59465,null,3766,null,411463,null,872,null,377343,null,3288,null,34120,null,3124,null,279145,null,1130,null,278552,null,1184,null,593,null,384,null,220348,null,1953,null,220041,null,1936,null,307,null,313,null,0400000US01,Alabama,01
439385,null,2296,null,34059,null,998,null,30916,null,1417,null,3143,null,1074,null,67348,null,935,null,60863,null,1773,null,6485,null,1504,null,45817,null,1740,null,32949,null,2427,null,12868,null,2251,null,59923,null,2374,null,41850,null,3107,null,18073,null,2419,null,58147,null,1374,null,43956,null,2152,null,14191,null,2244,null,76037,null,481,null,64531,null,1643,null,11506,null,1595,null,60137,null,552,null,53065,null,1661,null,7072,null,1526,null,23910,null,599,null,23832,null,597,null,78,null,103,null,14007,null,588,null,13972,null,594,null,35,null,75,null,0400000US02,Alaska,02
3723341,null,4579,null,238915,null,3121,null,222058,null,3817,null,16857,null,2783,null,481721,null,3684,null,442807,null,5094,null,38914,null,3827,null,278955,null,1871,null,211086,null,5281,null,67869,null,5065,null,464519,null,2383,null,374699,null,6590,null,89820,null,6580,null,470610,null,1771,null,400743,null,5320,null,69867,null,5367,null,560196,null,1431,null,485798,null,5753,null,74398,null,5673,null,523999,null,958,null,471925,null,4236,null,52074,null,4132,null,363702,null,809,null,361346,null,1337,null,2356,null,978,null,340724,null,1569,null,340049,null,1654,null,675,null,581,null,0400000US04,Arizona,04
2127298,null,3212,null,155607,null,3146,null,148268,null,3328,null,7339,null,1599,null,313107,null,3165,null,296280,null,3794,null,16827,null,2649,null,185309,null,3083,null,121542,null,5132,null,63767,null,4280,null,268454,null,3622,null,190167,null,5361,null,78287,null,5187,null,271321,null,2308,null,211011,null,4863,null,60310,null,4499,null,311114,null,1305,null,253884,null,4104,null,57230,null,3942,null,277558,null,803,null,242633,null,2635,null,34925,null,2588,null,189650,null,1224,null,189067,null,1297,null,583,null,400,null,155178,null,1884,null,155063,null,1896,null,115,null,192,null,0400000US05,Arkansas,05
15065605,null,9080,null,864501,null,6538,null,827874,null,7619,null,36627,null,4277,null,1880991,null,6539,null,1776676,null,9115,null,104315,null,6817,null,1273452,null,4126,null,997147,null,10418,null,276305,null,10488,null,1831369,null,4552,null,1486713,null,11456,null,344656,null,10338,null,1977675,null,3940,null,1722372,null,8442,null,255303,null,8030,null,2549171,null,2698,null,2252691,null,9348,null,296480,null,9236,null,2170434,null,1812,null,1972966,null,6777,null,197468,null,6451,null,1295496,null,1853,null,1286982,null,2518,null,8514,null,1488,null,1222516,null,4270,null,1219395,null,4572,null,3121,null,1102,null,0400000US06,California,06
3484229,null,4778,null,240808,null,2903,null,228043,null,3504,null,12765,null,2001,null,475760,null,3138,null,444061,null,5092,null,31699,null,3969,null,323198,null,2231,null,250065,null,5324,null,73133,null,5145,null,470850,null,2620,null,382142,null,5720,null,88708,null,5437,null,489462,null,2087,null,424089,null,4395,null,65373,null,4017,null,577477,null,1459,null,509816,null,5460,null,67661,null,5519,null,472032,null,758,null,427193,null,3359,null,44839,null,3425,null,244721,null,1156,null,243492,null,1355,null,1229,null,696,null,189921,null,1844,null,189064,null,1948,null,857,null,599,null,0400000US08,Colorado,08
2523329,null,4127,null,147446,null,1873,null,143933,null,2086,null,3513,null,1185,null,365969,null,1915,null,356402,null,2989,null,9567,null,2038,null,223828,null,1349,null,193456,null,2898,null,30372,null,2874,null,254415,null,1288,null,218201,null,3478,null,36214,null,3377,null,339475,null,1155,null,311180,null,3311,null,28295,null,3254,null,442670,null,922,null,412048,null,3490,null,30622,null,3308,null,346647,null,1077,null,328899,null,2482,null,17748,null,2116,null,207870,null,774,null,207495,null,788,null,375,null,265,null,195009,null,1863,null,194736,null,1899,null,273,null,248,null,0400000US09,Connecticut,09
587353,null,1275,null,37520,null,925,null,36117,null,1321,null,1403,null,1023,null,81010,null,1013,null,76405,null,1671,null,4605,null,1389,null,50896,null,594,null,40922,null,1844,null,9974,null,1719,null,68947,null,616,null,60167,null,1724,null,8780,null,1612,null,73622,null,512,null,66827,null,1583,null,6795,null,1537,null,92624,null,393,null,82701,null,1470,null,9923,null,1436,null,80897,null,267,null,75581,null,1211,null,5316,null,1190,null,54692,null,281,null,54440,null,428,null,252,null,322,null,47145,null,608,null,46862,null,734,null,283,null,352,null,0400000US10,Delaware,10
196377,null,2082,null,11044,null,647,null,10810,null,780,null,234,null,379,null,11867,null,660,null,11420,null,784,null,447,null,555,null,27370,null,281,null,26284,null,667,null,1086,null,542,null,50857,null,518,null,48697,null,914,null,2160,null,735,null,32074,null,345,null,30788,null,792,null,1286,null,728,null,21463,null,619,null,21015,null,783,null,448,null,372,null,21258,null,326,null,20340,null,466,null,918,null,379,null,12355,null,56,null,12355,null,56,null,0,null,296,null,8089,null,1654,null,8089,null,1654,null,0,null,296,null,0400000US11,District of Columbia,11
10805125,null,7844,null,603742,null,5740,null,542064,null,7571,null,61678,null,5736,null,1342896,null,6489,null,1184393,null,9558,null,158503,null,8559,null,827693,null,3879,null,580221,null,9165,null,247472,null,9773,null,1149602,null,4195,null,814444,null,9030,null,335158,null,8738,null,1289826,null,3799,null,998362,null,9747,null,291464,null,8753,null,1640706,null,2302,null,1341904,null,9583,null,298802,null,9274,null,1526487,null,2875,null,1342037,null,8070,null,184450,null,7288,null,1156829,null,2187,null,1148597,null,2957,null,8232,null,1970,null,1267344,null,5451,null,1262391,null,5651,null,4953,null,1548,null,0400000US12,Florida,12
