B25006_001E,B25006_001EA,B25006_001M,B25006_001MA,B25006_002E,B25006_002EA,B25006_002M,B25006_002MA,B25006_003E,B25006_003EA,B25006_003M,B25006_003MA,B25006_004E,B25006_004EA,B25006_004M,B25006_004MA,B25006_005E,B25006_005EA,B25006_005M,B25006_005MA,B25006_006E,B25006_006EA,B25006_006M,B25006_006MA,B25006_007E,B25006_007EA,B25006_007M,B25006_007MA,B25006_008E,B25006_008EA,B25006_008M,B25006_008MA,B25006_009E,B25006_009EA,B25006_009M,B25006_009MA,B25006_010E,B25006_010EA,B25006_010M,B25006_010MA,GEO_ID,NAME,state
1848051,null,10312,null,1319682,null,7402,null,472146,null,6413,null,9660,null,1374,null,17074,null,1220,null,934,null,555,null,10848,null,1471,null,17707,null,1875,null,722,null,427,null,16985,null,1936,null,0400000US01,Alabama,01
236597,null,2353,null,178988,null,2831,null,8999,null,1115,null,25003,null,1713,null,8024,null,899,null,840,null,247,null,3833,null,1150,null,10910,null,1522,null,437,null,302,null,10473,null,1512,null,0400000US02,Alaska,02
2276865,null,11778,null,1931808,null,11446,null,81789,null,3598,null,71837,null,3399,null,51858,null,2570,null,2510,null,794,null,103993,null,4829,null,33070,null,3060,null,6926,null,1304,null,26144,null,2821,null,0400000US04,Arizona,04
1124947,null,8066,null,898857,null,6889,null,175441,null,4291,null,7360,null,1399,null,9705,null,1265,null,596,null,342,null,16340,null,1773,null,16648,null,2018,null,1064,null,499,null,15584,null,2006,null,0400000US05,Arkansas,05
12214891,null,20992,null,8313921,null,24121,null,799396,null,11389,null,95823,null,4583,null,1433166,null,10591,null,37585,null,2668,null,1233793,null,16815,null,301207,null,7951,null,68798,null,3639,null,232409,null,7372,null,0400000US06,California,06
1910146,null,9468,null,1677418,null,9287,null,69511,null,2658,null,18600,null,1996,null,41447,null,2281,null,1624,null,472,null,63783,null,3881,null,37763,null,2981,null,6021,null,1176,null,31742,null,2743,null,0400000US08,Colorado,08
1326329,null,5869,null,1091612,null,5789,null,121659,null,3380,null,3128,null,812,null,39805,null,1534,null,160,null,276,null,54746,null,3595,null,15219,null,1821,null,2345,null,740,null,12874,null,1609,null,0400000US09,Connecticut,09
327252,null,4316,null,246942,null,3467,null,63473,null,2224,null,747,null,358,null,8460,null,888,null,0,null,263,null,3900,null,853,null,3730,null,873,null,346,null,270,null,3384,null,832,null,0400000US10,Delaware,10
249280,null,3172,null,108414,null,2600,null,123326,null,2860,null,559,null,358,null,7374,null,929,null,320,null,403,null,5714,null,1095,null,3573,null,860,null,283,null,210,null,3290,null,855,null,0400000US11,District of Columbia,11
6987647,null,25717,null,5659824,null,21930,null,937767,null,11642,null,19972,null,2371,null,140117,null,4132,null,2001,null,831,null,139250,null,6803,null,88716,null,4433,null,21729,null,2306,null,66987,null,4136,null,0400000US12,Florida,12
3469250,null,16258,null,2256819,null,13442,null,1006660,null,11351,null,8642,null,1402,null,89830,null,3139,null,1926,null,846,null,71423,null,4331,null,33950,null,3111,null,4470,null,1003,null,29480,null,2845,null,0400000US13,Georgia,13
