C11001F_001E,C11001F_001EA,C11001F_001M,C11001F_001MA,C11001F_002E,C11001F_002EA,C11001F_002M,C11001F_002MA,C11001F_003E,C11001F_003EA,C11001F_003M,C11001F_003MA,C11001F_004E,C11001F_004EA,C11001F_004M,C11001F_004MA,C11001F_005E,C11001F_005EA,C11001F_005M,C11001F_005MA,GEO_ID,NAME,state
10848,null,1471,null,7958,null,1270,null,5021,null,1152,null,2937,null,739,null,2890,null,855,null,0400000US01,Alabama,01
3833,null,1150,null,2462,null,740,null,2050,null,715,null,412,null,304,null,1371,null,814,null,0400000US02,Alaska,02
103993,null,4829,null,85482,null,4633,null,58499,null,4126,null,26983,null,2658,null,18511,null,2547,null,0400000US04,Arizona,04
16340,null,1773,null,14453,null,1639,null,10719,null,1574,null,3734,null,1084,null,1887,null,719,null,0400000US05,Arkansas,05
1233793,null,16815,null,1026944,null,15931,null,639132,null,12949,null,387812,null,11392,null,206849,null,8613,null,0400000US06,California,06
63783,null,3881,null,50111,null,3350,null,34607,null,2896,null,15504,null,2145,null,13672,null,2038,null,0400000US08,Colorado,08
54746,null,3595,null,41138,null,3210,null,21196,null,2496,null,19942,null,2351,null,13608,null,1968,null,0400000US09,Connecticut,09
3900,null,853,null,2850,null,804,null,2130,null,672,null,720,null,363,null,1050,null,463,null,0400000US10,Delaware,10
5714,null,1095,null,3226,null,976,null,1633,null,700,null,1593,null,723,null,2488,null,869,null,0400000US11,District of Columbia,11
139250,null,6803,null,107335,null,5617,null,68589,null,4279,null,38746,null,3484,null,31915,null,3133,null,0400000US12,Florida,12
71423,null,4331,null,58439,null,4023,null,38667,null,3610,null,19772,null,3043,null,12984,null,1978,null,0400000US13,Georgia,13
3810,null,886,null,3263,null,901,null,2345,null,850,null,918,null,448,null,547,null,274,null,0400000US15,Hawaii,15
7651,null,1029,null,6509,null,991,null,5375,null,986,null,1134,null,562,null,1142,null,486,null,0400000US16,Idaho,16
207272,null,6269,null,175192,null,6263,null,116790,null,5134,null,58402,null,4092,null,32080,null,3680,null,0400000US17,Illinois,17
35911,null,2836,null,28815,null,2444,null,17587,null,2142,null,11228,null,1926,null,7096,null,1492,null,0400000US18,Indiana,18
12588,null,1422,null,10099,null,1341,null,5339,null,1128,null,4760,null,1242,null,2489,null,763,null,0400000US19,Iowa,19
17925,null,2070,null,14400,null,1940,null,10315,null,1831,null,4085,null,1089,null,3525,null,882,null,0400000US20,Kansas,20
8813,null,1576,null,6892,null,1508,null,4000,null,1328,null,2892,null,934,null,1921,null,790,null,0400000US21,Kentucky,21
13440,null,1955,null,8788,null,1510,null,5208,null,1216,null,3580,null,1094,null,4652,null,1413,null,0400000US22,Louisiana,22
537,null,238,null,436,null,233,null,202,null,165,null,234,null,190,null,101,null,90,null,0400000US23,Maine,23
40466,null,3238,null,33011,null,3234,null,20519,null,2225,null,12492,null,1812,null,7455,null,1600,null,0400000US24,Maryland,24
75054,null,4313,null,52561,null,3485,null,21624,null,2212,null,30937,null,2582,null,22493,null,2450,null,0400000US25,Massachusetts,25
34289,null,2980,null,25501,null,2838,null,15622,null,2102,null,9879,null,1846,null,8788,null,1507,null,0400000US26,Michigan,26
18723,null,2020,null,14333,null,1673,null,8135,null,1360,null,6198,null,1354,null,4390,null,1061,null,0400000US27,Minnesota,27
5805,null,1295,null,3965,null,1036,null,2353,null,707,null,1612,null,727,null,1840,null,908,null,0400000US28,Mississippi,28
16942,null,2303,null,12095,null,1875,null,8085,null,1520,null,4010,null,1024,null,4847,null,1487,null,0400000US29,Missouri,29
1722,null,606,null,1086,null,478,null,491,null,281,null,595,null,344,null,636,null,419,null,0400000US30,Montana,30
12789,null,1690,null,10783,null,1590,null,7411,null,1447,null,3372,null,928,null,2006,null,816,null,0400000US31,Nebraska,31
