B13014_001E,B13014_001EA,B13014_001M,B13014_001MA,B13014_002E,B13014_002EA,B13014_002M,B13014_002MA,B13014_003E,B13014_003EA,B13014_003M,B13014_003MA,B13014_004E,B13014_004EA,B13014_004M,B13014_004MA,B13014_005E,B13014_005EA,B13014_005M,B13014_005MA,B13014_006E,B13014_006EA,B13014_006M,B13014_006MA,B13014_007E,B13014_007EA,B13014_007M,B13014_007MA,B13014_008E,B13014_008EA,B13014_008M,B13014_008MA,B13014_009E,B13014_009EA,B13014_009M,B13014_009MA,B13014_010E,B13014_010EA,B13014_010M,B13014_010MA,B13014_011E,B13014_011EA,B13014_011M,B13014_011MA,B13014_012E,B13014_012EA,B13014_012M,B13014_012MA,B13014_013E,B13014_013EA,B13014_013M,B13014_013MA,B13014_014E,B13014_014EA,B13014_014M,B13014_014MA,B13014_015E,B13014_015EA,B13014_015M,B13014_015MA,B13014_016E,B13014_016EA,B13014_016M,B13014_016MA,B13014_017E,B13014_017EA,B13014_017M,B13014_017MA,B13014_018E,B13014_018EA,B13014_018M,B13014_018MA,B13014_019E,B13014_019EA,B13014_019M,B13014_019MA,B13014_020E,B13014_020EA,B13014_020M,B13014_020MA,B13014_021E,B13014_021EA,B13014_021M,B13014_021MA,B13014_022E,B13014_022EA,B13014_022M,B13014_022MA,B13014_023E,B13014_023EA,B13014_023M,B13014_023MA,B13014_024E,B13014_024EA,B13014_024M,B13014_024MA,B13014_025E,B13014_025EA,B13014_025M,B13014_025MA,B13014_026E,B13014_026EA,B13014_026M,B13014_026MA,B13014_027E,B13014_027EA,B13014_027M,B13014_027MA,GEO_ID,NAME,state
1159945,null,4168,null,69364,null,4929,null,40000,null,3198,null,4690,null,1201,null,9307,null,1669,null,13662,null,2007,null,8222,null,1502,null,4119,null,978,null,29364,null,3596,null,8237,null,1595,null,11034,null,2037,null,8907,null,1941,null,1088,null,534,null,98,null,124,null,1090581,null,5536,null,520440,null,8622,null,60088,null,3973,null,133561,null,5211,null,180856,null,6130,null,101263,null,4519,null,44672,null,2912,null,570141,null,9633,null,163549,null,5042,null,125333,null,5794,null,198989,null,6136,null,61561,null,4574,null,20709,null,2234,null,0400000US01,Alabama,01
178638,null,1725,null,13598,null,1882,null,8384,null,1494,null,523,null,344,null,2148,null,787,null,3403,null,798,null,1463,null,533,null,847,null,405,null,5214,null,1025,null,828,null,383,null,2495,null,864,null,1674,null,652,null,129,null,168,null,88,null,133,null,165040,null,2277,null,78718,null,3332,null,4660,null,1142,null,19009,null,2023,null,32592,null,2393,null,17133,null,2163,null,5324,null,1069,null,86322,null,3451,null,24739,null,2023,null,19581,null,2545,null,30058,null,2728,null,8578,null,1548,null,3366,null,959,null,0400000US02,Alaska,02
1569825,null,2978,null,93353,null,5473,null,56325,null,3905,null,7989,null,1569,null,13344,null,1962,null,19872,null,2769,null,10433,null,1600,null,4687,null,999,null,37028,null,4064,null,11890,null,2063,null,9584,null,1967,null,12192,null,2229,null,2654,null,1049,null,708,null,489,null,1476472,null,6557,null,656956,null,11241,null,94091,null,4965,null,147854,null,7019,null,233161,null,7401,null,126112,null,4966,null,55738,null,3835,null,819516,null,11609,null,225842,null,6872,null,182339,null,7079,null,278696,null,10267,null,96253,null,6121,null,36386,null,4123,null,0400000US04,Arizona,04
695530,null,3758,null,41732,null,3006,null,24825,null,2474,null,3671,null,1010,null,5318,null,1252,null,8799,null,1628,null,4849,null,1170,null,2188,null,670,null,16907,null,2299,null,3630,null,976,null,7043,null,1635,null,5465,null,1358,null,668,null,476,null,101,null,131,null,653798,null,5028,null,329746,null,8694,null,36606,null,3472,null,99163,null,4812,null,115379,null,6058,null,55818,null,3873,null,22780,null,2398,null,324052,null,8220,null,88102,null,4080,null,82891,null,5169,null,116286,null,5026,null,28171,null,2945,null,8602,null,1332,null,0400000US05,Arkansas,05
9307715,null,8037,null,532289,null,12908,null,356209,null,9796,null,64006,null,3800,null,68999,null,5589,null,100077,null,5423,null,77830,null,4619,null,45297,null,2939,null,176080,null,7024,null,55419,null,4217,null,51310,null,3814,null,55907,null,4562,null,10775,null,1813,null,2669,null,852,null,8775426,null,12967,null,3938706,null,27056,null,727766,null,15728,null,768892,null,12996,null,1202074,null,17122,null,819387,null,14437,null,420587,null,9120,null,4836720,null,27741,null,1305484,null,15840,null,886916,null,18034,null,1655899,null,20107,null,744502,null,13990,null,243919,null,9134,null,0400000US06,California,06
1258883,null,3972,null,72492,null,4281,null,52527,null,3547,null,6335,null,1466,null,11223,null,2031,null,13801,null,1827,null,13095,null,1773,null,8073,null,1350,null,19965,null,2408,null,6426,null,1517,null,6489,null,1479,null,5628,null,1294,null,1108,null,523,null,314,null,259,null,1186391,null,5013,null,582862,null,9103,null,60403,null,4020,null,105375,null,4654,null,190659,null,6026,null,155540,null,5600,null,70885,null,3777,null,603529,null,8838,null,145594,null,4923,null,104646,null,5130,null,204986,null,6472,null,109109,null,6042,null,39194,null,3300,null,0400000US08,Colorado,08
868452,null,3303,null,40387,null,2917,null,27623,null,2457,null,1127,null,498,null,3970,null,1045,null,7873,null,1303,null,8346,null,1265,null,6307,null,977,null,12764,null,1658,null,3406,null,787,null,5013,null,1334,null,3254,null,910,null,657,null,336,null,434,null,279,null,828065,null,4369,null,370893,null,7330,null,21614,null,2302,null,78703,null,4632,null,108141,null,4876,null,97458,null,4323,null,64977,null,3346,null,457172,null,7306,null,104139,null,4018,null,101800,null,5526,null,145963,null,6156,null,71397,null,3911,null,33873,null,3207,null,0400000US09,Connecticut,09
218933,null,1534,null,12190,null,1850,null,7278,null,1365,null,493,null,328,null,1254,null,643,null,2245,null,941,null,1969,null,738,null,1317,null,506,null,4912,null,1287,null,691,null,647,null,2423,null,923,null,1322,null,516,null,364,null,316,null,112,null,118,null,206743,null,2265,null,88371,null,3872,null,6592,null,1028,null,21045,null,2280,null,27878,null,2621,null,21063,null,2203,null,11793,null,1458,null,118372,null,3698,null,28285,null,2387,null,32613,null,2836,null,35892,null,2967,null,16010,null,2044,null,5572,null,1243,null,0400000US10,Delaware,10
176238,null,1120,null,7915,null,1514,null,3969,null,825,null,139,null,187,null,244,null,218,null,492,null,426,null,888,null,450,null,2206,null,786,null,3946,null,1313,null,821,null,502,null,1957,null,900,null,761,null,540,null,160,null,159,null,247,null,216,null,168323,null,1835,null,37454,null,2971,null,2521,null,874,null,5685,null,1395,null,6296,null,1364,null,8771,null,1700,null,14181,null,1772,null,130869,null,3386,null,21184,null,1957,null,22420,null,2459,null,33721,null,3320,null,28301,null,2708,null,25243,null,2483,null,0400000US11,District of Columbia,11
4327036,null,7736,null,231153,null,7994,null,138731,null,5349,null,14719,null,2022,null,28288,null,3089,null,45896,null,3312,null,31043,null,2662,null,18785,null,2274,null,92422,null,5808,null,23414,null,2865,null,32907,null,3581,null,28946,null,3705,null,5705,null,1439,null,1450,null,561,null,4095883,null,10923,null,1827802,null,17399,null,177468,null,7411,null,487986,null,12539,null,625932,null,13074,null,367117,null,10675,null,169299,null,6206,null,2268081,null,19205,null,558543,null,10949,null,552474,null,13527,null,774495,null,14674,null,280632,null,9733,null,101937,null,5426,null,0400000US12,Florida,12
