B12002G_001E,B12002G_001EA,B12002G_001M,B12002G_001MA,B12002G_002E,B12002G_002EA,B12002G_002M,B12002G_002MA,B12002G_003E,B12002G_003EA,B12002G_003M,B12002G_003MA,B12002G_004E,B12002G_004EA,B12002G_004M,B12002G_004MA,B12002G_005E,B12002G_005EA,B12002G_005M,B12002G_005MA,B12002G_006E,B12002G_006EA,B12002G_006M,B12002G_006MA,B12002G_007E,B12002G_007EA,B12002G_007M,B12002G_007MA,B12002G_008E,B12002G_008EA,B12002G_008M,B12002G_008MA,B12002G_009E,B12002G_009EA,B12002G_009M,B12002G_009MA,B12002G_010E,B12002G_010EA,B12002G_010M,B12002G_010MA,B12002G_011E,B12002G_011EA,B12002G_011M,B12002G_011MA,B12002G_012E,B12002G_012EA,B12002G_012M,B12002G_012MA,B12002G_013E,B12002G_013EA,B12002G_013M,B12002G_013MA,GEO_ID,NAME,state
39439,null,3500,null,19862,null,2277,null,7612,null,1588,null,7994,null,1356,null,752,null,488,null,394,null,317,null,3110,null,943,null,19577,null,2264,null,5274,null,1094,null,8667,null,1409,null,514,null,273,null,1747,null,492,null,3375,null,888,null,0400000US01,Alabama,01
29046,null,2781,null,13724,null,1665,null,7884,null,1193,null,3442,null,789,null,621,null,366,null,0,null,244,null,1777,null,732,null,15322,null,1942,null,6979,null,1312,null,5752,null,955,null,375,null,298,null,318,null,236,null,1898,null,675,null,0400000US02,Alaska,02
101449,null,6941,null,47087,null,3948,null,23498,null,3033,null,15781,null,2193,null,1068,null,560,null,568,null,312,null,6172,null,1652,null,54362,null,4894,null,26136,null,3301,null,18305,null,2225,null,1210,null,660,null,3263,null,1012,null,5448,null,1310,null,0400000US04,Arizona,04
35811,null,3598,null,17265,null,1957,null,6931,null,1514,null,6293,null,1226,null,666,null,511,null,786,null,573,null,2589,null,834,null,18546,null,2327,null,6651,null,1625,null,6561,null,1534,null,1108,null,556,null,1556,null,573,null,2670,null,827,null,0400000US05,Arkansas,05
840896,null,20691,null,411902,null,12348,null,223088,null,9634,null,143503,null,5415,null,6934,null,1332,null,5785,null,1277,null,32592,null,2910,null,428994,null,11886,null,197976,null,8032,null,146217,null,6124,null,11881,null,1691,null,23246,null,2514,null,49674,null,3423,null,0400000US06,California,06
90698,null,5694,null,45060,null,3656,null,22183,null,2792,null,16917,null,2056,null,396,null,234,null,778,null,586,null,4786,null,1168,null,45638,null,3568,null,17625,null,2417,null,18072,null,1728,null,1389,null,599,null,2212,null,811,null,6340,null,1370,null,0400000US08,Colorado,08
41185,null,3586,null,19096,null,2213,null,11659,null,1747,null,5711,null,1200,null,80,null,106,null,255,null,218,null,1391,null,563,null,22089,null,2367,null,12622,null,1990,null,5517,null,1174,null,723,null,468,null,586,null,281,null,2641,null,810,null,0400000US09,Connecticut,09
9938,null,1816,null,4180,null,1045,null,1994,null,587,null,1366,null,658,null,141,null,152,null,64,null,106,null,615,null,416,null,5758,null,1228,null,2554,null,812,null,1496,null,669,null,333,null,261,null,626,null,607,null,749,null,445,null,0400000US10,Delaware,10
7432,null,1473,null,2871,null,857,null,2354,null,789,null,249,null,171,null,40,null,74,null,0,null,296,null,228,null,303,null,4561,null,1247,null,2947,null,1026,null,662,null,339,null,160,null,202,null,366,null,259,null,426,null,258,null,0400000US11,District of Columbia,11
219196,null,9527,null,104222,null,5902,null,48642,null,3741,null,39375,null,3440,null,1914,null,751,null,1643,null,674,null,12648,null,1629,null,114974,null,5703,null,43476,null,3735,null,41493,null,3037,null,3554,null,1057,null,7503,null,1384,null,18948,null,2038,null,0400000US12,Florida,12
88787,null,7006,null,41698,null,4461,null,20516,null,3140,null,15210,null,2386,null,676,null,400,null,520,null,361,null,4776,null,1240,null,47089,null,4688,null,19610,null,2676,null,17949,null,2468,null,2064,null,1016,null,1574,null,661,null,5892,null,1192,null,0400000US13,Georgia,13
204701,null,9311,null,103208,null,5770,null,47582,null,3776,null,43042,null,3371,null,1940,null,840,null,1058,null,396,null,9586,null,1701,null,101493,null,5361,null,42633,null,3559,null,42041,null,3291,null,1872,null,609,null,5059,null,1041,null,9888,null,1450,null,0400000US15,Hawaii,15
21850,null,2644,null,11411,null,1769,null,5319,null,1322,null,5321,null,1043,null,251,null,198,null,128,null,169,null,392,null,245,null,10439,null,1566,null,4108,null,1030,null,4577,null,1012,null,388,null,414,null,489,null,297,null,877,null,501,null,0400000US16,Idaho,16
116808,null,6612,null,57640,null,4099,null,33515,null,3189,null,18265,null,1775,null,1118,null,590,null,603,null,352,null,4139,null,1048,null,59168,null,3874,null,29913,null,2519,null,18811,null,2026,null,1821,null,735,null,2614,null,818,null,6009,null,1338,null,0400000US17,Illinois,17
