B07004A_001E,B07004A_001EA,B07004A_001M,B07004A_001MA,B07004A_002E,B07004A_002EA,B07004A_002M,B07004A_002MA,B07004A_003E,B07004A_003EA,B07004A_003M,B07004A_003MA,B07004A_004E,B07004A_004EA,B07004A_004M,B07004A_004MA,B07004A_005E,B07004A_005EA,B07004A_005M,B07004A_005MA,B07004A_006E,B07004A_006EA,B07004A_006M,B07004A_006MA,GEO_ID,NAME,state
3261752,null,6225,null,2811458,null,19850,null,246818,null,12596,null,105089,null,8872,null,89663,null,8967,null,8724,null,2283,null,0400000US01,Alabama,01
470137,null,2947,null,370056,null,7999,null,55362,null,6111,null,10587,null,2382,null,30168,null,5261,null,3964,null,1743,null,0400000US02,Alaska,02
5202001,null,22533,null,4175252,null,33938,null,723092,null,30506,null,88474,null,7932,null,183763,null,10892,null,31420,null,5068,null,0400000US04,Arizona,04
2238702,null,6945,null,1860930,null,17505,null,226548,null,15114,null,83104,null,7334,null,63681,null,5802,null,4439,null,1358,null,0400000US05,Arkansas,05
22869931,null,75356,null,19321479,null,84209,null,2414721,null,38070,null,688156,null,21671,null,326613,null,15374,null,118962,null,8945,null,0400000US06,California,06
4196331,null,14980,null,3435539,null,23316,null,396211,null,16549,null,184358,null,12159,null,158372,null,11439,null,21851,null,3066,null,0400000US08,Colorado,08
2756551,null,11206,null,2483021,null,14101,null,163697,null,10053,null,46083,null,5352,null,52586,null,5063,null,11164,null,2741,null,0400000US09,Connecticut,09
628849,null,4417,null,554483,null,8226,null,47804,null,5661,null,3650,null,1101,null,20776,null,2935,null,2136,null,1401,null,0400000US10,Delaware,10
228954,null,4110,null,185821,null,5190,null,16537,null,2304,null,0,null,296,null,21873,null,2532,null,4723,null,1515,null,0400000US11,District of Columbia,11
14105058,null,28672,null,11918070,null,48280,null,1303513,null,32825,null,423930,null,20400,null,370451,null,16546,null,89094,null,8609,null,0400000US12,Florida,12
6001388,null,19090,null,5127839,null,27544,null,423792,null,22524,null,259782,null,13386,null,167280,null,8413,null,22695,null,3949,null,0400000US13,Georgia,13
343596,null,3661,null,257008,null,6675,null,40058,null,4828,null,2605,null,1239,null,36480,null,4234,null,7445,null,2184,null,0400000US15,Hawaii,15
1405136,null,5813,null,1169003,null,10327,null,134732,null,9159,null,42600,null,5719,null,53434,null,4835,null,5367,null,1969,null,0400000US16,Idaho,16
9250944,null,24196,null,8162429,null,34031,null,673755,null,24084,null,228857,null,10569,null,150332,null,8376,null,35571,null,5817,null,0400000US17,Illinois,17
5430971,null,8273,null,4649518,null,21310,null,470343,null,17565,null,199325,null,10485,null,96246,null,7297,null,15539,null,3524,null,0400000US18,Indiana,18
2740129,null,5533,null,2334783,null,14010,null,244933,null,10228,null,94650,null,6328,null,59799,null,5051,null,5964,null,1699,null,0400000US19,Iowa,19
2398717,null,7788,null,2001270,null,13500,null,225967,null,9976,null,86878,null,7123,null,77623,null,6898,null,6979,null,1599,null,0400000US20,Kansas,20
3784634,null,6578,null,3218853,null,21348,null,329388,null,16566,null,125451,null,9724,null,101864,null,7776,null,9078,null,2141,null,0400000US21,Kentucky,21
2825528,null,5583,null,2447227,null,19078,null,215175,null,13375,null,97374,null,7740,null,57635,null,6214,null,8117,null,2293,null,0400000US22,Louisiana,22
1238872,null,4393,null,1088442,null,7662,null,88028,null,6252,null,37567,null,4063,null,22670,null,2813,null,2165,null,680,null,0400000US23,Maine,23
3392152,null,11220,null,2988641,null,20373,null,202873,null,12187,null,79849,null,7370,null,101763,null,8105,null,19026,null,3766,null,0400000US24,Maryland,24
5380737,null,12393,null,4737558,null,17894,null,365979,null,15411,null,137102,null,7917,null,113414,null,8895,null,26684,null,3703,null,0400000US25,Massachusetts,25
7879888,null,8774,null,6851215,null,24156,null,655326,null,18387,null,256169,null,10520,null,90726,null,5911,null,26452,null,4812,null,0400000US26,Michigan,26
4549535,null,8684,null,3965457,null,18056,null,310730,null,12695,null,188243,null,7905,null,72913,null,5650,null,12192,null,2059,null,0400000US27,Minnesota,27
