C12002G_001E,C12002G_001EA,C12002G_001M,C12002G_001MA,C12002G_002E,C12002G_002EA,C12002G_002M,C12002G_002MA,C12002G_003E,C12002G_003EA,C12002G_003M,C12002G_003MA,C12002G_004E,C12002G_004EA,C12002G_004M,C12002G_004MA,C12002G_005E,C12002G_005EA,C12002G_005M,C12002G_005MA,C12002G_006E,C12002G_006EA,C12002G_006M,C12002G_006MA,GEO_ID,NAME,state
39439,null,3500,null,12886,null,1963,null,16661,null,2141,null,1266,null,537,null,2141,null,553,null,6485,null,1360,null,0400000US01,Alabama,01
29046,null,2781,null,14863,null,1832,null,9194,null,1307,null,996,null,530,null,318,null,236,null,3675,null,895,null,0400000US02,Alaska,02
101449,null,6941,null,49634,null,4669,null,34086,null,3251,null,2278,null,799,null,3831,null,1066,null,11620,null,2277,null,0400000US04,Arizona,04
35811,null,3598,null,13582,null,2627,null,12854,null,2293,null,1774,null,723,null,2342,null,771,null,5259,null,1142,null,0400000US05,Arkansas,05
840896,null,20691,null,421064,null,14219,null,289720,null,9218,null,18815,null,2142,null,29031,null,2926,null,82266,null,4653,null,0400000US06,California,06
90698,null,5694,null,39808,null,4152,null,34989,null,2976,null,1785,null,654,null,2990,null,972,null,11126,null,1721,null,0400000US08,Colorado,08
41185,null,3586,null,24281,null,2689,null,11228,null,1777,null,803,null,442,null,841,null,341,null,4032,null,988,null,0400000US09,Connecticut,09
9938,null,1816,null,4548,null,1147,null,2862,null,1164,null,474,null,311,null,690,null,620,null,1364,null,616,null,0400000US10,Delaware,10
7432,null,1473,null,5301,null,1289,null,911,null,389,null,200,null,219,null,366,null,259,null,654,null,413,null,0400000US11,District of Columbia,11
219196,null,9527,null,92118,null,5753,null,80868,null,5382,null,5468,null,1312,null,9146,null,1465,null,31596,null,2803,null,0400000US12,Florida,12
88787,null,7006,null,40126,null,4173,null,33159,null,3981,null,2740,null,1064,null,2094,null,737,null,10668,null,1621,null,0400000US13,Georgia,13
204701,null,9311,null,90215,null,5615,null,85083,null,5425,null,3812,null,951,null,6117,null,1174,null,19474,null,2243,null,0400000US15,Hawaii,15
21850,null,2644,null,9427,null,1863,null,9898,null,1544,null,639,null,459,null,617,null,322,null,1269,null,562,null,0400000US16,Idaho,16
