C16005_001E,C16005_001EA,C16005_001M,C16005_001MA,C16005_002E,C16005_002EA,C16005_002M,C16005_002MA,C16005_003E,C16005_003EA,C16005_003M,C16005_003MA,C16005_004E,C16005_004EA,C16005_004M,C16005_004MA,C16005_005E,C16005_005EA,C16005_005M,C16005_005MA,C16005_006E,C16005_006EA,C16005_006M,C16005_006MA,C16005_007E,C16005_007EA,C16005_007M,C16005_007MA,C16005_008E,C16005_008EA,C16005_008M,C16005_008MA,C16005_009E,C16005_009EA,C16005_009M,C16005_009MA,C16005_010E,C16005_010EA,C16005_010M,C16005_010MA,C16005_011E,C16005_011EA,C16005_011M,C16005_011MA,C16005_012E,C16005_012EA,C16005_012M,C16005_012MA,C16005_013E,C16005_013EA,C16005_013M,C16005_013MA,C16005_014E,C16005_014EA,C16005_014M,C16005_014MA,C16005_015E,C16005_015EA,C16005_015M,C16005_015MA,C16005_016E,C16005_016EA,C16005_016M,C16005_016MA,C16005_017E,C16005_017EA,C16005_017M,C16005_017MA,C16005_018E,C16005_018EA,C16005_018M,C16005_018MA,C16005_019E,C16005_019EA,C16005_019M,C16005_019MA,C16005_020E,C16005_020EA,C16005_020M,C16005_020MA,C16005_021E,C16005_021EA,C16005_021M,C16005_021MA,C16005_022E,C16005_022EA,C16005_022M,C16005_022MA,C16005_023E,C16005_023EA,C16005_023M,C16005_023MA,C16005_024E,C16005_024EA,C16005_024M,C16005_024MA,C16005_025E,C16005_025EA,C16005_025M,C16005_025MA,C16005_026E,C16005_026EA,C16005_026M,C16005_026MA,C16005_027E,C16005_027EA,C16005_027M,C16005_027MA,C16005_028E,C16005_028EA,C16005_028M,C16005_028MA,C16005_029E,C16005_029EA,C16005_029M,C16005_029MA,GEO_ID,NAME,state
4394837,null,2930,null,4250109,null,4821,null,4164437,null,6507,null,58218,null,4455,null,44840,null,4308,null,13378,null,2139,null,15835,null,1917,null,14338,null,1853,null,1497,null,537,null,8987,null,1748,null,8212,null,1663,null,775,null,393,null,2632,null,1007,null,2277,null,826,null,355,null,353,null,144728,null,4204,null,26736,null,3013,null,66081,null,3443,null,13788,null,2246,null,52293,null,3539,null,21030,null,2393,null,14436,null,1776,null,6594,null,1420,null,23780,null,2306,null,9642,null,1854,null,14138,null,2044,null,7101,null,2597,null,5189,null,1824,null,1912,null,1430,null,0400000US01,Alabama,01
643692,null,1295,null,594902,null,3537,null,529358,null,5369,null,17153,null,2059,null,16066,null,2044,null,1087,null,532,null,8138,null,2017,null,7436,null,1912,null,702,null,463,null,8787,null,1646,null,6760,null,1309,null,2027,null,884,null,31466,null,2299,null,21573,null,1956,null,9893,null,1187,null,48790,null,3394,null,8685,null,1631,null,9706,null,2246,null,3801,null,1149,null,5905,null,2066,null,6074,null,1531,null,3617,null,1144,null,2457,null,909,null,22705,null,1812,null,7176,null,1690,null,15529,null,1994,null,1620,null,978,null,577,null,360,null,1043,null,648,null,0400000US02,Alaska,02
6079191,null,1576,null,5158409,null,20649,null,4267652,null,24693,null,696561,null,15549,null,587898,null,13545,null,108663,null,7477,null,46134,null,4189,null,40408,null,3922,null,5726,null,1083,null,22348,null,3157,null,19102,null,2881,null,3246,null,1100,null,125714,null,5822,null,96270,null,5819,null,29444,null,3043,null,920782,null,20357,null,127927,null,7386,null,607596,null,15438,null,182547,null,7806,null,425049,null,14199,null,80167,null,7021,null,52482,null,4704,null,27685,null,3718,null,76276,null,4057,null,37186,null,3721,null,39090,null,4025,null,28816,null,5366,null,15097,null,2989,null,13719,null,4280,null,0400000US04,Arizona,04
2687139,null,2239,null,2567951,null,5308,null,2487491,null,7108,null,61893,null,4373,null,47658,null,4243,null,14235,null,2307,null,10250,null,2027,null,8597,null,1810,null,1653,null,655,null,5531,null,1178,null,4766,null,1153,null,765,null,518,null,2786,null,1766,null,2468,null,1726,null,318,null,287,null,119188,null,4645,null,17133,null,2374,null,74645,null,3326,null,21105,null,2439,null,53540,null,3505,null,9373,null,2213,null,5450,null,1461,null,3923,null,1514,null,16707,null,1883,null,7578,null,1598,null,9129,null,1704,null,1330,null,701,null,1022,null,552,null,308,null,281,null,0400000US05,Arkansas,05
34212484,null,3343,null,24313160,null,46710,null,18538553,null,52729,null,4604341,null,32918,null,3801176,null,28087,null,803165,null,16335,null,416583,null,13347,null,374057,null,12643,null,42526,null,3907,null,667635,null,14197,null,540706,null,13115,null,126929,null,6440,null,86048,null,7162,null,76905,null,6423,null,9143,null,2128,null,9899324,null,46378,null,923217,null,16802,null,5212091,null,37296,null,1357041,null,22800,null,3855050,null,38412,null,1088802,null,24659,null,634913,null,16996,null,453889,null,15537,null,2457701,null,22067,null,1043898,null,18736,null,1413803,null,18804,null,217513,null,11566,null,132854,null,8849,null,84659,null,7377,null,0400000US06,California,06
4660034,null,1862,null,4176622,null,14901,null,3808217,null,15863,null,287293,null,9029,null,228065,null,8212,null,59228,null,4875,null,48577,null,4049,null,42798,null,4046,null,5779,null,1036,null,22618,null,2780,null,17680,null,2418,null,4938,null,1724,null,9917,null,2505,null,8127,null,2103,null,1790,null,771,null,483412,null,14570,null,74886,null,5300,null,265635,null,12118,null,71763,null,6318,null,193872,null,9339,null,61602,null,5237,null,41035,null,3433,null,20567,null,3756,null,60957,null,3378,null,27128,null,2900,null,33829,null,2819,null,20332,null,3866,null,9763,null,2365,null,10569,null,2815,null,0400000US08,Colorado,08
3308919,null,1147,null,2852705,null,11479,null,2518586,null,12857,null,227583,null,7790,null,164534,null,7106,null,63049,null,4453,null,87260,null,5862,null,75349,null,5469,null,11911,null,1745,null,13066,null,1967,null,10668,null,1682,null,2398,null,921,null,6210,null,1647,null,5642,null,1510,null,568,null,414,null,456214,null,11328,null,114439,null,6170,null,112982,null,6609,null,33742,null,3831,null,79240,null,5627,null,160041,null,8847,null,88534,null,6539,null,71507,null,5145,null,55950,null,4294,null,26254,null,2569,null,29696,null,3664,null,12802,null,2463,null,7341,null,1499,null,5461,null,1536,null,0400000US09,Connecticut,09
825661,null,256,null,752454,null,4961,null,713040,null,6372,null,24254,null,2752,null,18463,null,2640,null,5791,null,1018,null,10756,null,2244,null,9638,null,2005,null,1118,null,541,null,3570,null,1235,null,2877,null,1132,null,693,null,568,null,834,null,436,null,710,null,386,null,124,null,219,null,73207,null,4946,null,18221,null,3332,null,21623,null,2643,null,5828,null,1757,null,15795,null,2509,null,16251,null,3027,null,9284,null,1966,null,6967,null,2069,null,12739,null,2301,null,7578,null,1820,null,5161,null,1200,null,4373,null,1615,null,3317,null,1088,null,1056,null,847,null,0400000US10,Delaware,10
561505,null,772,null,490849,null,4638,null,463191,null,4470,null,16631,null,2509,null,13950,null,2346,null,2681,null,927,null,7590,null,1388,null,6631,null,1365,null,959,null,388,null,2159,null,662,null,1921,null,631,null,238,null,189,null,1278,null,527,null,899,null,438,null,379,null,384,null,70656,null,4673,null,27788,null,3934,null,18967,null,2760,null,7195,null,1585,null,11772,null,2461,null,12875,null,2059,null,10857,null,1858,null,2018,null,948,null,5565,null,1167,null,3358,null,923,null,2207,null,754,null,5461,null,1468,null,3014,null,975,null,2447,null,872,null,0400000US11,District of Columbia,11
17374812,null,2501,null,13907531,null,36036,null,12127183,null,35507,null,1431360,null,25549,null,1147912,null,20515,null,283448,null,11321,null,273691,null,12487,null,239322,null,11861,null,34369,null,3515,null,49386,null,4300,null,42241,null,4028,null,7145,null,1673,null,25911,null,4102,null,23194,null,4088,null,2717,null,882,null,3467281,null,36325,null,674671,null,17785,null,1921445,null,24243,null,648142,null,14806,null,1273303,null,22618,null,612426,null,19657,null,319910,null,11832,null,292516,null,13792,null,203298,null,7603,null,96152,null,5782,null,107146,null,7314,null,55441,null,6156,null,37935,null,4768,null,17506,null,2786,null,0400000US12,Florida,12
