C27001I_001E,C27001I_001EA,C27001I_001M,C27001I_001MA,C27001I_002E,C27001I_002EA,C27001I_002M,C27001I_002MA,C27001I_003E,C27001I_003EA,C27001I_003M,C27001I_003MA,C27001I_004E,C27001I_004EA,C27001I_004M,C27001I_004MA,C27001I_005E,C27001I_005EA,C27001I_005M,C27001I_005MA,C27001I_006E,C27001I_006EA,C27001I_006M,C27001I_006MA,C27001I_007E,C27001I_007EA,C27001I_007M,C27001I_007MA,C27001I_008E,C27001I_008EA,C27001I_008M,C27001I_008MA,C27001I_009E,C27001I_009EA,C27001I_009M,C27001I_009MA,C27001I_010E,C27001I_010EA,C27001I_010M,C27001I_010MA,GEO_ID,NAME,state
145199,null,2002,null,61818,null,1862,null,52956,null,2400,null,8862,null,2036,null,78541,null,2185,null,30925,null,2982,null,47616,null,3507,null,4840,null,1170,null,4043,null,1179,null,797,null,439,null,0400000US01,Alabama,01
42190,null,426,null,15469,null,432,null,13020,null,954,null,2449,null,875,null,25458,null,788,null,16884,null,1650,null,8574,null,1665,null,1263,null,462,null,1263,null,462,null,0,null,244,null,0400000US02,Alaska,02
1999088,null,2097,null,753363,null,389,null,635580,null,8575,null,117783,null,8600,null,1150574,null,2017,null,715754,null,14346,null,434820,null,14399,null,95151,null,883,null,89337,null,1832,null,5814,null,1581,null,0400000US04,Arizona,04
170501,null,2152,null,72201,null,1227,null,59777,null,2965,null,12424,null,2778,null,94004,null,2122,null,43060,null,3831,null,50944,null,3683,null,4296,null,1132,null,3729,null,1038,null,567,null,359,null,0400000US05,Arkansas,05
13512047,null,5426,null,4730947,null,1191,null,4113159,null,20775,null,617788,null,20926,null,8065074,null,5186,null,4813726,null,34949,null,3251348,null,34986,null,716026,null,2289,null,673870,null,4878,null,42156,null,4025,null,0400000US06,California,06
997904,null,1736,null,365312,null,722,null,296250,null,6841,null,69062,null,6736,null,581477,null,2458,null,333592,null,9723,null,247885,null,9665,null,51115,null,1640,null,48169,null,1498,null,2946,null,1258,null,0400000US08,Colorado,08
424910,null,943,null,144268,null,198,null,134575,null,2767,null,9693,null,2755,null,260072,null,1302,null,180076,null,5237,null,79996,null,5234,null,20570,null,827,null,19602,null,926,null,968,null,482,null,0400000US09,Connecticut,09
63392,null,247,null,25004,null,4,null,21661,null,1509,null,3343,null,1509,null,36298,null,804,null,21755,null,2202,null,14543,null,2156,null,2090,null,706,null,2090,null,706,null,0,null,263,null,0400000US10,Delaware,10
52605,null,226,null,13960,null,3,null,12955,null,656,null,1005,null,656,null,35632,null,644,null,29027,null,1673,null,6605,null,1431,null,3013,null,603,null,2930,null,634,null,83,null,142,null,0400000US11,District of Columbia,11
3943669,null,3367,null,1067716,null,1353,null,848341,null,10279,null,219375,null,10417,null,2464419,null,4107,null,1354733,null,17408,null,1109686,null,17939,null,411534,null,2325,null,393257,null,3282,null,18277,null,2800,null,0400000US12,Florida,12
