C25122_001E,C25122_001EA,C25122_001M,C25122_001MA,C25122_002E,C25122_002EA,C25122_002M,C25122_002MA,C25122_003E,C25122_003EA,C25122_003M,C25122_003MA,C25122_004E,C25122_004EA,C25122_004M,C25122_004MA,C25122_005E,C25122_005EA,C25122_005M,C25122_005MA,C25122_006E,C25122_006EA,C25122_006M,C25122_006MA,C25122_007E,C25122_007EA,C25122_007M,C25122_007MA,C25122_008E,C25122_008EA,C25122_008M,C25122_008MA,C25122_009E,C25122_009EA,C25122_009M,C25122_009MA,C25122_010E,C25122_010EA,C25122_010M,C25122_010MA,C25122_011E,C25122_011EA,C25122_011M,C25122_011MA,C25122_012E,C25122_012EA,C25122_012M,C25122_012MA,C25122_013E,C25122_013EA,C25122_013M,C25122_013MA,C25122_014E,C25122_014EA,C25122_014M,C25122_014MA,C25122_015E,C25122_015EA,C25122_015M,C25122_015MA,C25122_016E,C25122_016EA,C25122_016M,C25122_016MA,C25122_017E,C25122_017EA,C25122_017M,C25122_017MA,C25122_018E,C25122_018EA,C25122_018M,C25122_018MA,C25122_019E,C25122_019EA,C25122_019M,C25122_019MA,C25122_020E,C25122_020EA,C25122_020M,C25122_020MA,C25122_021E,C25122_021EA,C25122_021M,C25122_021MA,C25122_022E,C25122_022EA,C25122_022M,C25122_022MA,C25122_023E,C25122_023EA,C25122_023M,C25122_023MA,C25122_024E,C25122_024EA,C25122_024M,C25122_024MA,C25122_025E,C25122_025EA,C25122_025M,C25122_025MA,C25122_026E,C25122_026EA,C25122_026M,C25122_026MA,C25122_027E,C25122_027EA,C25122_027M,C25122_027MA,C25122_028E,C25122_028EA,C25122_028M,C25122_028MA,C25122_029E,C25122_029EA,C25122_029M,C25122_029MA,C25122_030E,C25122_030EA,C25122_030M,C25122_030MA,C25122_031E,C25122_031EA,C25122_031M,C25122_031MA,GEO_ID,NAME,state
562172,null,10797,null,124032,null,5374,null,52093,null,3912,null,47809,null,3800,null,6430,null,1463,null,17700,null,2149,null,127699,null,6028,null,43813,null,3509,null,60603,null,4223,null,6520,null,1218,null,16763,null,2017,null,128393,null,5940,null,24918,null,2355,null,76482,null,4732,null,12808,null,2193,null,14185,null,1702,null,84510,null,6059,null,7985,null,1531,null,54800,null,4220,null,13789,null,2254,null,7936,null,1474,null,56710,null,3591,null,4066,null,865,null,33194,null,3295,null,13843,null,1841,null,5607,null,1073,null,40828,null,3250,null,1790,null,784,null,19644,null,2212,null,15012,null,2435,null,4382,null,1035,null,0400000US01,Alabama,01
82260,null,3476,null,4985,null,1138,null,898,null,562,null,2138,null,667,null,1154,null,547,null,795,null,361,null,9593,null,1722,null,2518,null,761,null,4085,null,1020,null,2008,null,908,null,982,null,406,null,15083,null,1901,null,1381,null,478,null,7607,null,1460,null,4741,null,1130,null,1354,null,501,null,15368,null,2027,null,624,null,311,null,6943,null,1361,null,5613,null,1390,null,2188,null,664,null,17239,null,2188,null,223,null,267,null,6095,null,1155,null,9137,null,1734,null,1784,null,584,null,19992,null,1968,null,118,null,97,null,3880,null,1017,null,14592,null,1773,null,1402,null,430,null,0400000US02,Alaska,02
750075,null,11978,null,106018,null,6017,null,27660,null,2537,null,52269,null,4961,null,17364,null,2283,null,8725,null,1527,null,123602,null,5752,null,21115,null,2334,null,76440,null,5013,null,18467,null,2490,null,7580,null,1513,null,170908,null,7358,null,13230,null,1854,null,107639,null,5919,null,42563,null,3942,null,7476,null,1387,null,126339,null,7544,null,6044,null,1317,null,67950,null,4399,null,47281,null,4761,null,5064,null,1178,null,122507,null,6381,null,4911,null,1277,null,50409,null,3730,null,61405,null,4937,null,5782,null,1147,null,100701,null,5605,null,2090,null,829,null,24886,null,2845,null,70110,null,4838,null,3615,null,1076,null,0400000US04,Arizona,04
382087,null,9861,null,79184,null,5214,null,37511,null,3381,null,29454,null,3317,null,3142,null,1127,null,9077,null,1602,null,90128,null,4863,null,34687,null,3000,null,43242,null,3380,null,3330,null,972,null,8869,null,1446,null,92390,null,5634,null,21097,null,2453,null,56757,null,4864,null,6124,null,1502,null,8412,null,1343,null,57338,null,4271,null,8305,null,1452,null,38448,null,3688,null,5126,null,1293,null,5459,null,962,null,40968,null,3553,null,4824,null,1262,null,25327,null,2690,null,6699,null,1530,null,4118,null,1024,null,22079,null,2548,null,1220,null,521,null,11122,null,1820,null,7728,null,1502,null,2009,null,648,null,0400000US05,Arkansas,05
5304837,null,27827,null,499901,null,11511,null,99404,null,5573,null,188455,null,7853,null,182516,null,7340,null,29526,null,2844,null,849426,null,16148,null,171122,null,6281,null,378214,null,9881,null,268511,null,10435,null,31579,null,2690,null,1024312,null,18425,null,45972,null,3927,null,450797,null,12108,null,495023,null,12748,null,32520,null,2438,null,837942,null,15357,null,17761,null,2183,null,279310,null,9010,null,515472,null,11790,null,25399,null,2327,null,927060,null,16665,null,12723,null,1642,null,199840,null,7064,null,691747,null,14227,null,22750,null,2608,null,1166196,null,18750,null,7167,null,1400,null,110931,null,6662,null,1019601,null,17056,null,28497,null,2651,null,0400000US06,California,06
630191,null,8889,null,89408,null,5586,null,25120,null,2216,null,44450,null,3721,null,14152,null,2342,null,5686,null,1188,null,112033,null,6534,null,19209,null,2205,null,69287,null,5028,null,18974,null,2204,null,4563,null,1172,null,144699,null,5613,null,11198,null,1712,null,94377,null,4779,null,35087,null,3309,null,4037,null,1028,null,106449,null,4967,null,5180,null,1339,null,59032,null,3566,null,38564,null,3834,null,3673,null,961,null,96497,null,5041,null,1425,null,620,null,42036,null,3230,null,49909,null,3978,null,3127,null,868,null,81105,null,5382,null,911,null,543,null,19155,null,2294,null,58359,null,4396,null,2680,null,929,null,0400000US08,Colorado,08
413163,null,7387,null,62130,null,4576,null,18860,null,1808,null,22277,null,3133,null,18348,null,2303,null,2645,null,836,null,66283,null,3437,null,19416,null,1845,null,23042,null,2144,null,20990,null,2200,null,2835,null,701,null,80489,null,4297,null,7035,null,1215,null,38869,null,3056,null,31437,null,2723,null,3148,null,928,null,62514,null,4352,null,1608,null,701,null,26184,null,2431,null,32306,null,3209,null,2416,null,778,null,69972,null,4484,null,950,null,464,null,24387,null,2860,null,41991,null,3541,null,2644,null,760,null,71775,null,3749,null,1945,null,814,null,11266,null,1807,null,54835,null,3354,null,3729,null,955,null,0400000US09,Connecticut,09
86344,null,3763,null,10217,null,1638,null,2867,null,772,null,3921,null,1025,null,2869,null,944,null,560,null,291,null,13685,null,2201,null,3198,null,1063,null,6515,null,1516,null,3482,null,996,null,490,null,301,null,21223,null,2558,null,1677,null,872,null,11904,null,2013,null,6650,null,1440,null,992,null,494,null,12850,null,1875,null,587,null,507,null,5936,null,1500,null,5649,null,1058,null,678,null,379,null,15478,null,2259,null,286,null,315,null,6691,null,1638,null,7860,null,1430,null,641,null,427,null,12891,null,1803,null,102,null,115,null,3192,null,919,null,9166,null,1457,null,431,null,325,null,0400000US10,Delaware,10
137662,null,3905,null,24608,null,2609,null,8988,null,1624,null,8776,null,1688,null,6159,null,1332,null,685,null,380,null,17551,null,2170,null,6165,null,1138,null,6232,null,1436,null,4749,null,1199,null,405,null,316,null,21555,null,2617,null,1681,null,608,null,10903,null,1705,null,8351,null,1587,null,620,null,406,null,18907,null,2044,null,888,null,504,null,7882,null,1452,null,9820,null,1799,null,317,null,214,null,21220,null,2163,null,478,null,366,null,5694,null,1112,null,14780,null,1962,null,268,null,202,null,33821,null,2604,null,528,null,302,null,3800,null,1163,null,28375,null,2437,null,1118,null,604,null,0400000US11,District of Columbia,11
2202583,null,21786,null,311940,null,10521,null,71320,null,5028,null,149840,null,8434,null,64978,null,4467,null,25802,null,2303,null,409722,null,10150,null,55077,null,4240,null,230347,null,7745,null,99196,null,5487,null,25102,null,2753,null,518139,null,14161,null,22629,null,2808,null,286361,null,10659,null,183777,null,7672,null,25372,null,2697,null,389942,null,11110,null,10075,null,1876,null,182196,null,8422,null,181530,null,7592,null,16141,null,2373,null,331460,null,10444,null,4084,null,1312,null,104969,null,6199,null,208005,null,8494,null,14402,null,2227,null,241380,null,8868,null,2484,null,892,null,45719,null,4343,null,184313,null,7082,null,8864,null,1719,null,0400000US12,Florida,12
