C20005_001E,C20005_001EA,C20005_001M,C20005_001MA,C20005_002E,C20005_002EA,C20005_002M,C20005_002MA,C20005_003E,C20005_003EA,C20005_003M,C20005_003MA,C20005_004E,C20005_004EA,C20005_004M,C20005_004MA,C20005_005E,C20005_005EA,C20005_005M,C20005_005MA,C20005_006E,C20005_006EA,C20005_006M,C20005_006MA,C20005_007E,C20005_007EA,C20005_007M,C20005_007MA,C20005_008E,C20005_008EA,C20005_008M,C20005_008MA,C20005_009E,C20005_009EA,C20005_009M,C20005_009MA,C20005_010E,C20005_010EA,C20005_010M,C20005_010MA,C20005_011E,C20005_011EA,C20005_011M,C20005_011MA,C20005_012E,C20005_012EA,C20005_012M,C20005_012MA,C20005_013E,C20005_013EA,C20005_013M,C20005_013MA,C20005_014E,C20005_014EA,C20005_014M,C20005_014MA,C20005_015E,C20005_015EA,C20005_015M,C20005_015MA,C20005_016E,C20005_016EA,C20005_016M,C20005_016MA,C20005_017E,C20005_017EA,C20005_017M,C20005_017MA,C20005_018E,C20005_018EA,C20005_018M,C20005_018MA,C20005_019E,C20005_019EA,C20005_019M,C20005_019MA,C20005_020E,C20005_020EA,C20005_020M,C20005_020MA,C20005_021E,C20005_021EA,C20005_021M,C20005_021MA,C20005_022E,C20005_022EA,C20005_022M,C20005_022MA,C20005_023E,C20005_023EA,C20005_023M,C20005_023MA,C20005_024E,C20005_024EA,C20005_024M,C20005_024MA,C20005_025E,C20005_025EA,C20005_025M,C20005_025MA,C20005_026E,C20005_026EA,C20005_026M,C20005_026MA,C20005_027E,C20005_027EA,C20005_027M,C20005_027MA,C20005_028E,C20005_028EA,C20005_028M,C20005_028MA,C20005_029E,C20005_029EA,C20005_029M,C20005_029MA,C20005_030E,C20005_030EA,C20005_030M,C20005_030MA,C20005_031E,C20005_031EA,C20005_031M,C20005_031MA,C20005_032E,C20005_032EA,C20005_032M,C20005_032MA,C20005_033E,C20005_033EA,C20005_033M,C20005_033MA,C20005_034E,C20005_034EA,C20005_034M,C20005_034MA,C20005_035E,C20005_035EA,C20005_035M,C20005_035MA,C20005_036E,C20005_036EA,C20005_036M,C20005_036MA,C20005_037E,C20005_037EA,C20005_037M,C20005_037MA,C20005_038E,C20005_038EA,C20005_038M,C20005_038MA,C20005_039E,C20005_039EA,C20005_039M,C20005_039MA,GEO_ID,NAME,state
7527376,null,6444,null,3643090,null,7926,null,1774596,null,20117,null,150,null,190,null,1774446,null,20135,null,40489,null,3767,null,198640,null,7967,null,300408,null,11505,null,504482,null,11488,null,353316,null,8318,null,377111,null,9298,null,1868494,null,20162,null,1014918,null,17439,null,853576,null,17064,null,410774,null,12290,null,197947,null,8967,null,92867,null,5853,null,85358,null,6520,null,35564,null,3225,null,31066,null,2591,null,3884286,null,8097,null,1402195,null,14485,null,0,null,296,null,1402195,null,14485,null,45605,null,3448,null,245023,null,8868,null,311303,null,8585,null,430761,null,11241,null,243330,null,8238,null,126173,null,5849,null,2482091,null,13640,null,1501074,null,16098,null,981017,null,16769,null,525790,null,13107,null,236495,null,8333,null,96250,null,5270,null,72962,null,4281,null,33921,null,2590,null,15599,null,2270,null,0400000US13,Georgia,13
1037673,null,1653,null,521105,null,1398,null,270581,null,4564,null,14,null,24,null,270567,null,4563,null,4741,null,1110,null,22878,null,2151,null,41174,null,3605,null,83763,null,4502,null,64199,null,3700,null,53812,null,3882,null,250524,null,4774,null,129658,null,3863,null,120866,null,5189,null,49349,null,3698,null,26845,null,2739,null,15925,null,2322,null,18992,null,2151,null,5813,null,1179,null,3942,null,890,null,516568,null,1270,null,199617,null,5407,null,73,null,119,null,199544,null,5433,null,5267,null,1151,null,23713,null,2213,null,46467,null,3593,null,69878,null,3794,null,35393,null,2721,null,18826,null,1910,null,316951,null,5435,null,189212,null,4987,null,127739,null,4803,null,58115,null,3553,null,32535,null,2581,null,16231,null,2017,null,13185,null,1828,null,5718,null,1341,null,1955,null,541,null,0400000US15,Hawaii,15
1173346,null,2235,null,584204,null,2169,null,262760,null,5528,null,0,null,263,null,262760,null,5528,null,5909,null,874,null,26838,null,2727,null,48841,null,3534,null,84698,null,4168,null,53169,null,3169,null,43305,null,2793,null,321444,null,5975,null,143053,null,4319,null,178391,null,6084,null,87303,null,4196,null,42269,null,2952,null,20746,null,2600,null,18179,null,2023,null,4970,null,1047,null,4924,null,1147,null,589142,null,2260,null,182749,null,4733,null,0,null,263,null,182749,null,4733,null,7571,null,1397,null,37863,null,2849,null,50061,null,3576,null,55249,null,3459,null,22209,null,2096,null,9796,null,1850,null,406393,null,4549,null,212647,null,4341,null,193746,null,4680,null,116030,null,4008,null,46098,null,3117,null,15743,null,1918,null,11000,null,1559,null,3402,null,875,null,1473,null,599,null,0400000US16,Idaho,16
10094124,null,6248,null,4919259,null,5679,null,2370355,null,18293,null,57,null,93,null,2370298,null,18289,null,45414,null,3702,null,211562,null,9292,null,322324,null,9707,null,631988,null,12822,null,535632,null,10026,null,623378,null,11283,null,2548904,null,18879,null,1274740,null,16707,null,1274164,null,14496,null,577466,null,11794,null,279345,null,8438,null,138276,null,6258,null,150201,null,5468,null,72446,null,4133,null,56430,null,2951,null,5174865,null,4360,null,1796273,null,14873,null,187,null,192,null,1796086,null,14883,null,42773,null,3281,null,251609,null,9003,null,359182,null,9716,null,565157,null,11875,null,346430,null,8744,null,230935,null,6798,null,3378592,null,15461,null,1900482,null,11890,null,1478110,null,15104,null,762859,null,12078,null,361728,null,9477,null,143481,null,6383,null,123793,null,4874,null,56283,null,3817,null,29966,null,2478,null,0400000US17,Illinois,17
5012860,null,4883,null,2440498,null,3998,null,1144041,null,11115,null,69,null,99,null,1143972,null,11111,null,21584,null,2554,null,103574,null,4969,null,172907,null,6754,null,379048,null,8429,null,256936,null,7112,null,209923,null,6514,null,1296457,null,11238,null,631701,null,10003,null,664756,null,10489,null,317694,null,8957,null,144104,null,6230,null,76458,null,4273,null,79120,null,4529,null,29561,null,2646,null,17819,null,2226,null,2572362,null,3907,null,842002,null,11074,null,50,null,83,null,841952,null,11074,null,25617,null,2843,null,138451,null,5421,null,219113,null,6830,null,278310,null,7430,null,125414,null,4683,null,55047,null,2924,null,1730360,null,11275,null,947212,null,11666,null,783148,null,10334,null,429427,null,10045,null,187430,null,7098,null,76779,null,5028,null,57740,null,3694,null,26430,null,2387,null,5342,null,1002,null,0400000US18,Indiana,18
2382285,null,2916,null,1163181,null,2858,null,612597,null,7267,null,0,null,228,null,612597,null,7267,null,12980,null,1879,null,50325,null,3696,null,101334,null,4106,null,208406,null,6693,null,137974,null,4823,null,101578,null,3913,null,550584,null,7371,null,248087,null,5457,null,302497,null,6503,null,166853,null,5039,null,57898,null,3388,null,31232,null,2643,null,29034,null,2256,null,9227,null,1268,null,8253,null,1272,null,1219104,null,3064,null,463184,null,6723,null,19,null,33,null,463165,null,6716,null,17536,null,2006,null,72275,null,3362,null,125267,null,4791,null,156481,null,4549,null,63452,null,3206,null,28154,null,2544,null,755920,null,7090,null,374432,null,5639,null,381488,null,6098,null,213824,null,5757,null,93997,null,4475,null,35483,null,3095,null,28279,null,2339,null,7646,null,1204,null,2259,null,684,null,0400000US19,Iowa,19
2193800,null,2636,null,1079406,null,2704,null,574122,null,6681,null,0,null,244,null,574122,null,6681,null,16584,null,1747,null,51336,null,3839,null,95943,null,5734,null,183956,null,5710,null,116978,null,4766,null,109325,null,3830,null,505284,null,7303,null,234268,null,4357,null,271016,null,6722,null,143803,null,6141,null,56610,null,4312,null,24647,null,2328,null,25588,null,2533,null,12025,null,1830,null,8343,null,1061,null,1114394,null,2625,null,414457,null,7303,null,0,null,244,null,414457,null,7303,null,15130,null,1806,null,69688,null,4411,null,100463,null,4406,null,136311,null,5251,null,62089,null,3175,null,30776,null,2672,null,699937,null,7456,null,365291,null,6434,null,334646,null,6755,null,193003,null,4671,null,78592,null,4045,null,28258,null,2398,null,24879,null,2282,null,7568,null,1057,null,2346,null,671,null,0400000US20,Kansas,20
3414074,null,4104,null,1653446,null,4010,null,740287,null,10764,null,111,null,170,null,740176,null,10744,null,19955,null,2267,null,84855,null,4717,null,133413,null,5747,null,230104,null,7667,null,152307,null,6566,null,119542,null,4681,null,913159,null,11233,null,511716,null,10288,null,401443,null,9265,null,204799,null,6495,null,92263,null,5713,null,42245,null,3227,null,37441,null,2891,null,16967,null,2198,null,7728,null,991,null,1760628,null,4387,null,564058,null,8793,null,174,null,265,null,563884,null,8803,null,22928,null,2477,null,109902,null,5781,null,143015,null,6294,null,180371,null,6630,null,75176,null,4064,null,32492,null,2824,null,1196570,null,9771,null,735962,null,10066,null,460608,null,8202,null,260366,null,6935,null,110034,null,4591,null,41523,null,2942,null,32310,null,2753,null,12339,null,1734,null,4036,null,867,null,0400000US21,Kentucky,21
3497996,null,3755,null,1676102,null,3843,null,809943,null,11709,null,86,null,104,null,809857,null,11729,null,19869,null,2534,null,85914,null,5162,null,123160,null,6364,null,242849,null,8179,null,173154,null,7059,null,164911,null,5934,null,866159,null,12458,null,485094,null,10166,null,381065,null,10326,null,179545,null,6274,null,81626,null,5013,null,39585,null,3968,null,38942,null,3326,null,18530,null,2344,null,22837,null,2496,null,1821894,null,3240,null,651393,null,10546,null,0,null,281,null,651393,null,10546,null,27699,null,2972,null,152141,null,6210,null,156595,null,6629,null,200078,null,7600,null,80161,null,4900,null,34719,null,2946,null,1170501,null,10728,null,727004,null,9608,null,443497,null,9573,null,258696,null,7269,null,101186,null,5532,null,37938,null,2774,null,31853,null,2909,null,9517,null,1560,null,4307,null,880,null,0400000US22,Louisiana,22
1083206,null,1721,null,522844,null,1702,null,240133,null,5366,null,42,null,35,null,240091,null,5363,null,7661,null,1259,null,19289,null,2109,null,40207,null,3216,null,83412,null,3374,null,51659,null,3462,null,37863,null,2459,null,282711,null,5315,null,139173,null,4176,null,143538,null,4491,null,67986,null,3199,null,31866,null,1950,null,20190,null,2357,null,13902,null,1595,null,5005,null,1063,null,4589,null,944,null,560362,null,1522,null,187346,null,5596,null,17,null,29,null,187329,null,5591,null,5931,null,1201,null,27575,null,2415,null,47862,null,3380,null,65769,null,3412,null,28549,null,2412,null,11643,null,1174,null,373016,null,5646,null,195623,null,3908,null,177393,null,4886,null,93340,null,3667,null,45192,null,3078,null,19852,null,2184,null,13095,null,1778,null,4150,null,849,null,1764,null,521,null,0400000US23,Maine,23
