B01001G_001E,B01001G_001EA,B01001G_001M,B01001G_001MA,B01001G_002E,B01001G_002EA,B01001G_002M,B01001G_002MA,B01001G_003E,B01001G_003EA,B01001G_003M,B01001G_003MA,B01001G_004E,B01001G_004EA,B01001G_004M,B01001G_004MA,B01001G_005E,B01001G_005EA,B01001G_005M,B01001G_005MA,B01001G_006E,B01001G_006EA,B01001G_006M,B01001G_006MA,B01001G_007E,B01001G_007EA,B01001G_007M,B01001G_007MA,B01001G_008E,B01001G_008EA,B01001G_008M,B01001G_008MA,B01001G_009E,B01001G_009EA,B01001G_009M,B01001G_009MA,B01001G_010E,B01001G_010EA,B01001G_010M,B01001G_010MA,B01001G_011E,B01001G_011EA,B01001G_011M,B01001G_011MA,B01001G_012E,B01001G_012EA,B01001G_012M,B01001G_012MA,B01001G_013E,B01001G_013EA,B01001G_013M,B01001G_013MA,B01001G_014E,B01001G_014EA,B01001G_014M,B01001G_014MA,B01001G_015E,B01001G_015EA,B01001G_015M,B01001G_015MA,B01001G_016E,B01001G_016EA,B01001G_016M,B01001G_016MA,B01001G_017E,B01001G_017EA,B01001G_017M,B01001G_017MA,B01001G_018E,B01001G_018EA,B01001G_018M,B01001G_018MA,B01001G_019E,B01001G_019EA,B01001G_019M,B01001G_019MA,B01001G_020E,B01001G_020EA,B01001G_020M,B01001G_020MA,B01001G_021E,B01001G_021EA,B01001G_021M,B01001G_021MA,B01001G_022E,B01001G_022EA,B01001G_022M,B01001G_022MA,B01001G_023E,B01001G_023EA,B01001G_023M,B01001G_023MA,B01001G_024E,B01001G_024EA,B01001G_024M,B01001G_024MA,B01001G_025E,B01001G_025EA,B01001G_025M,B01001G_025MA,B01001G_026E,B01001G_026EA,B01001G_026M,B01001G_026MA,B01001G_027E,B01001G_027EA,B01001G_027M,B01001G_027MA,B01001G_028E,B01001G_028EA,B01001G_028M,B01001G_028MA,B01001G_029E,B01001G_029EA,B01001G_029M,B01001G_029MA,B01001G_030E,B01001G_030EA,B01001G_030M,B01001G_030MA,B01001G_031E,B01001G_031EA,B01001G_031M,B01001G_031MA,GEO_ID,NAME,state
64085,null,5544,null,32583,null,3514,null,4830,null,1282,null,4295,null,1175,null,3596,null,996,null,1772,null,641,null,1490,null,703,null,2187,null,796,null,1618,null,793,null,1702,null,522,null,2643,null,917,null,2644,null,607,null,2671,null,824,null,2065,null,723,null,630,null,423,null,440,null,279,null,31502,null,3150,null,5516,null,1444,null,4047,null,806,null,2362,null,787,null,1612,null,514,null,1211,null,648,null,1821,null,606,null,1602,null,540,null,1387,null,617,null,2509,null,740,null,3950,null,906,null,2791,null,662,null,1303,null,448,null,674,null,297,null,717,null,447,null,0400000US01,Alabama,01
51339,null,3796,null,25030,null,2105,null,6037,null,1011,null,2205,null,621,null,3064,null,721,null,1535,null,585,null,1316,null,726,null,2197,null,708,null,1310,null,464,null,1830,null,708,null,1819,null,590,null,1871,null,645,null,1087,null,482,null,595,null,391,null,164,null,142,null,0,null,244,null,26309,null,2606,null,4717,null,1046,null,3812,null,844,null,2458,null,575,null,1702,null,691,null,1532,null,642,null,1865,null,751,null,2466,null,820,null,1250,null,550,null,2331,null,700,null,1706,null,511,null,1824,null,621,null,399,null,259,null,166,null,157,null,81,null,60,null,0400000US02,Alaska,02
183364,null,10417,null,89262,null,5715,null,14987,null,2538,null,13115,null,2139,null,14073,null,2125,null,6284,null,1386,null,3615,null,1088,null,7047,null,1788,null,5151,null,1466,null,3857,null,1020,null,6048,null,1336,null,7483,null,1373,null,4366,null,1037,null,2037,null,663,null,1069,null,448,null,130,null,147,null,94102,null,6737,null,16206,null,2088,null,13063,null,2103,null,10471,null,2011,null,6397,null,1702,null,3482,null,938,null,8135,null,1614,null,7744,null,1478,null,4766,null,1193,null,7330,null,1527,null,6693,null,1221,null,5676,null,1442,null,2478,null,661,null,781,null,282,null,880,null,624,null,0400000US04,Arizona,04
57052,null,4396,null,29754,null,2529,null,5457,null,1375,null,3653,null,1091,null,3379,null,768,null,1644,null,638,null,849,null,450,null,2500,null,1042,null,1253,null,821,null,2094,null,814,null,2551,null,809,null,3079,null,878,null,1722,null,639,null,733,null,334,null,773,null,393,null,67,null,66,null,27298,null,3022,null,4098,null,1248,null,2513,null,744,null,2141,null,792,null,2200,null,709,null,943,null,528,null,1925,null,897,null,2165,null,935,null,1388,null,492,null,3117,null,884,null,2454,null,784,null,1786,null,670,null,1366,null,541,null,1076,null,465,null,126,null,126,null,0400000US05,Arkansas,05
1406584,null,28150,null,705381,null,17376,null,118436,null,6279,null,90832,null,5189,null,84211,null,4530,null,45190,null,3197,null,28607,null,2916,null,55568,null,4260,null,48936,null,3853,null,41373,null,3782,null,73627,null,4090,null,58725,null,3675,null,32828,null,2737,null,16772,null,1727,null,8100,null,1252,null,2176,null,850,null,701203,null,14700,null,107633,null,5479,null,85678,null,4635,null,78898,null,4464,null,44102,null,2773,null,30240,null,2793,null,54507,null,4131,null,47472,null,3950,null,39253,null,3365,null,71609,null,3932,null,62672,null,3619,null,40998,null,2801,null,22950,null,2133,null,11361,null,1403,null,3830,null,1007,null,0400000US06,California,06
162136,null,8765,null,79896,null,5078,null,12784,null,1770,null,11726,null,1692,null,10326,null,1817,null,5464,null,1245,null,3262,null,947,null,6347,null,1619,null,4489,null,1302,null,4446,null,1073,null,8619,null,1452,null,5548,null,1176,null,4158,null,1011,null,1813,null,571,null,640,null,360,null,274,null,240,null,82240,null,5283,null,14290,null,2290,null,12628,null,2147,null,9684,null,1359,null,4636,null,1152,null,2844,null,815,null,7242,null,1480,null,3628,null,853,null,4837,null,1306,null,8676,null,1249,null,5941,null,1067,null,4308,null,1005,null,2023,null,694,null,1345,null,588,null,158,null,134,null,0400000US08,Colorado,08
78523,null,5538,null,39323,null,3570,null,8098,null,1468,null,5467,null,1151,null,6662,null,1216,null,2829,null,752,null,1635,null,560,null,4163,null,1131,null,1698,null,665,null,1452,null,584,null,1766,null,695,null,2811,null,732,null,1471,null,560,null,627,null,359,null,312,null,293,null,332,null,271,null,39200,null,3234,null,6929,null,1240,null,5973,null,1188,null,4209,null,1009,null,2144,null,799,null,2812,null,835,null,2807,null,845,null,2193,null,755,null,2006,null,662,null,4686,null,1090,null,2761,null,821,null,1520,null,487,null,727,null,359,null,371,null,251,null,62,null,109,null,0400000US09,Connecticut,09
18894,null,2871,null,8223,null,1563,null,1622,null,718,null,1548,null,570,null,873,null,419,null,329,null,247,null,161,null,139,null,1072,null,553,null,507,null,371,null,403,null,353,null,556,null,314,null,498,null,282,null,558,null,320,null,51,null,86,null,45,null,83,null,0,null,263,null,10671,null,1884,null,2249,null,893,null,1574,null,844,null,1090,null,576,null,543,null,504,null,220,null,178,null,663,null,416,null,1213,null,584,null,377,null,277,null,437,null,289,null,804,null,524,null,588,null,312,null,506,null,315,null,163,null,232,null,244,null,345,null,0400000US10,Delaware,10
11049,null,1940,null,5145,null,1125,null,1627,null,777,null,336,null,280,null,311,null,304,null,101,null,127,null,141,null,160,null,730,null,477,null,617,null,385,null,160,null,192,null,572,null,403,null,442,null,362,null,57,null,95,null,51,null,87,null,0,null,296,null,0,null,296,null,5904,null,1386,null,1169,null,600,null,174,null,285,null,0,null,296,null,338,null,366,null,568,null,492,null,257,null,223,null,251,null,218,null,608,null,305,null,1178,null,573,null,565,null,353,null,382,null,246,null,186,null,184,null,166,null,161,null,62,null,104,null,0400000US11,District of Columbia,11
357839,null,15399,null,175401,null,9509,null,29812,null,3305,null,22117,null,2704,null,19250,null,2526,null,10582,null,1631,null,5877,null,1097,null,10981,null,2086,null,10229,null,1512,null,11472,null,2064,null,18376,null,2461,null,14987,null,1954,null,11520,null,1728,null,5356,null,1089,null,4140,null,1040,null,702,null,539,null,182438,null,9035,null,27739,null,3387,null,22952,null,3139,null,16773,null,2344,null,10389,null,1499,null,7791,null,1781,null,11583,null,1850,null,12859,null,1949,null,10017,null,1564,null,17283,null,2351,null,17155,null,2047,null,13995,null,1670,null,8155,null,1587,null,3504,null,993,null,2243,null,762,null,0400000US12,Florida,12
