B01001I_001E,B01001I_001EA,B01001I_001M,B01001I_001MA,B01001I_002E,B01001I_002EA,B01001I_002M,B01001I_002MA,B01001I_003E,B01001I_003EA,B01001I_003M,B01001I_003MA,B01001I_004E,B01001I_004EA,B01001I_004M,B01001I_004MA,B01001I_005E,B01001I_005EA,B01001I_005M,B01001I_005MA,B01001I_006E,B01001I_006EA,B01001I_006M,B01001I_006MA,B01001I_007E,B01001I_007EA,B01001I_007M,B01001I_007MA,B01001I_008E,B01001I_008EA,B01001I_008M,B01001I_008MA,B01001I_009E,B01001I_009EA,B01001I_009M,B01001I_009MA,B01001I_010E,B01001I_010EA,B01001I_010M,B01001I_010MA,B01001I_011E,B01001I_011EA,B01001I_011M,B01001I_011MA,B01001I_012E,B01001I_012EA,B01001I_012M,B01001I_012MA,B01001I_013E,B01001I_013EA,B01001I_013M,B01001I_013MA,B01001I_014E,B01001I_014EA,B01001I_014M,B01001I_014MA,B01001I_015E,B01001I_015EA,B01001I_015M,B01001I_015MA,B01001I_016E,B01001I_016EA,B01001I_016M,B01001I_016MA,B01001I_017E,B01001I_017EA,B01001I_017M,B01001I_017MA,B01001I_018E,B01001I_018EA,B01001I_018M,B01001I_018MA,B01001I_019E,B01001I_019EA,B01001I_019M,B01001I_019MA,B01001I_020E,B01001I_020EA,B01001I_020M,B01001I_020MA,B01001I_021E,B01001I_021EA,B01001I_021M,B01001I_021MA,B01001I_022E,B01001I_022EA,B01001I_022M,B01001I_022MA,B01001I_023E,B01001I_023EA,B01001I_023M,B01001I_023MA,B01001I_024E,B01001I_024EA,B01001I_024M,B01001I_024MA,B01001I_025E,B01001I_025EA,B01001I_025M,B01001I_025MA,B01001I_026E,B01001I_026EA,B01001I_026M,B01001I_026MA,B01001I_027E,B01001I_027EA,B01001I_027M,B01001I_027MA,B01001I_028E,B01001I_028EA,B01001I_028M,B01001I_028MA,B01001I_029E,B01001I_029EA,B01001I_029M,B01001I_029MA,B01001I_030E,B01001I_030EA,B01001I_030M,B01001I_030MA,B01001I_031E,B01001I_031EA,B01001I_031M,B01001I_031MA,GEO_ID,NAME,state
148279,null,1956,null,79182,null,2397,null,13101,null,1509,null,9614,null,1281,null,6289,null,1034,null,1876,null,528,null,1844,null,519,null,8236,null,1362,null,10304,null,1234,null,8619,null,1158,null,8280,null,1154,null,6189,null,988,null,3142,null,850,null,920,null,579,null,546,null,338,null,222,null,218,null,69097,null,2208,null,13109,null,1559,null,9173,null,1175,null,6125,null,1060,null,2573,null,903,null,1326,null,569,null,4487,null,834,null,7852,null,1158,null,5362,null,1036,null,7915,null,1237,null,5822,null,1067,null,2201,null,550,null,1244,null,514,null,1324,null,587,null,584,null,338,null,0400000US01,Alabama,01
43373,null,231,null,23189,null,828,null,2566,null,488,null,2300,null,590,null,2401,null,667,null,842,null,404,null,585,null,669,null,3020,null,1057,null,2245,null,1055,null,2484,null,1001,null,2613,null,845,null,2637,null,898,null,969,null,334,null,379,null,261,null,148,null,134,null,0,null,244,null,20184,null,783,null,2088,null,344,null,1661,null,402,null,2345,null,465,null,1279,null,310,null,1127,null,528,null,2284,null,811,null,1802,null,440,null,1239,null,204,null,2547,null,461,null,2075,null,466,null,989,null,329,null,453,null,303,null,243,null,177,null,52,null,89,null,0400000US02,Alaska,02
2031651,null,0,*****,1058398,null,1456,null,123519,null,1252,null,105494,null,4269,null,102557,null,4450,null,56243,null,883,null,36384,null,1295,null,89451,null,1176,null,100964,null,1334,null,97260,null,1103,null,150339,null,1418,null,98827,null,1189,null,55058,null,404,null,25594,null,579,null,13282,null,910,null,3426,null,743,null,973253,null,1456,null,118590,null,1160,null,101829,null,4758,null,95669,null,4712,null,50468,null,727,null,32288,null,850,null,75713,null,956,null,82608,null,986,null,79130,null,971,null,131906,null,1186,null,93653,null,1093,null,57320,null,349,null,31244,null,748,null,16236,null,1757,null,6599,null,1696,null,0400000US04,Arizona,04
172493,null,1908,null,90707,null,2230,null,13049,null,1217,null,11075,null,1310,null,8449,null,1403,null,5181,null,897,null,2476,null,862,null,8583,null,1204,null,7157,null,1138,null,9036,null,1529,null,13347,null,1667,null,7132,null,1383,null,3584,null,870,null,862,null,482,null,721,null,357,null,55,null,93,null,81786,null,2208,null,12215,null,1072,null,10101,null,1430,null,8240,null,1326,null,3971,null,726,null,2274,null,889,null,6866,null,1172,null,6116,null,1054,null,7773,null,1162,null,12941,null,1540,null,5358,null,1232,null,3273,null,910,null,2080,null,775,null,538,null,279,null,40,null,65,null,0400000US05,Arkansas,05
13681370,null,0,*****,7038377,null,1913,null,751850,null,1121,null,639586,null,11336,null,649202,null,11309,null,383344,null,794,null,255598,null,1361,null,599908,null,1874,null,632315,null,1149,null,595272,null,1222,null,1062288,null,1784,null,756244,null,1727,null,400395,null,1220,null,186980,null,1185,null,97621,null,2908,null,27774,null,2936,null,6642993,null,1914,null,717238,null,996,null,614347,null,11340,null,617235,null,11465,null,363928,null,1137,null,238402,null,992,null,538243,null,1554,null,537034,null,1516,null,503932,null,792,null,938370,null,1227,null,725691,null,1133,null,428533,null,1232,null,228385,null,1186,null,140683,null,3658,null,50972,null,3731,null,0400000US06,California,06
1018208,null,0,*****,530462,null,1631,null,61578,null,1101,null,53171,null,3168,null,46493,null,3182,null,25164,null,852,null,15807,null,1070,null,46014,null,1655,null,48810,null,1354,null,48617,null,1261,null,77208,null,1809,null,53701,null,1519,null,30534,null,844,null,15439,null,962,null,6313,null,625,null,1613,null,663,null,487746,null,1632,null,59596,null,1161,null,52431,null,2633,null,44193,null,2650,null,23680,null,979,null,15945,null,1267,null,38225,null,1392,null,39004,null,824,null,39570,null,1554,null,65955,null,1629,null,49297,null,1454,null,30874,null,939,null,16211,null,888,null,9482,null,1105,null,3283,null,816,null,0400000US08,Colorado,08
434471,null,0,*****,219641,null,1068,null,23034,null,751,null,18092,null,1627,null,21413,null,1667,null,11380,null,433,null,8407,null,444,null,20835,null,994,null,19581,null,367,null,19426,null,754,null,32637,null,712,null,23614,null,717,null,12327,null,521,null,5687,null,294,null,2587,null,502,null,621,null,289,null,214830,null,1068,null,22043,null,393,null,21630,null,1704,null,16142,null,1579,null,10769,null,570,null,8130,null,536,null,15861,null,543,null,17471,null,639,null,17152,null,563,null,32668,null,785,null,26015,null,805,null,14293,null,427,null,7648,null,429,null,4000,null,486,null,1008,null,485,null,0400000US09,Connecticut,09
63892,null,0,*****,33743,null,681,null,4599,null,201,null,4260,null,622,null,2341,null,622,null,1705,null,538,null,979,null,412,null,2552,null,430,null,3363,null,262,null,3423,null,257,null,5027,null,291,null,2905,null,291,null,2030,null,441,null,405,null,293,null,154,null,172,null,0,null,263,null,30149,null,681,null,4666,null,201,null,3014,null,748,null,2996,null,852,null,1423,null,541,null,1041,null,477,null,2141,null,574,null,2392,null,238,null,2432,null,289,null,4262,null,368,null,2778,null,431,null,1451,null,705,null,701,null,341,null,318,null,336,null,534,null,436,null,0400000US10,Delaware,10
53025,null,0,*****,27616,null,337,null,3041,null,0,*****,1502,null,472,null,1726,null,473,null,791,null,338,null,128,null,144,null,2888,null,144,null,3321,null,0,*****,3253,null,0,*****,4973,null,0,*****,3039,null,0,*****,1757,null,612,null,1102,null,628,null,95,null,155,null,0,null,296,null,25409,null,337,null,2810,null,0,*****,2257,null,531,null,1017,null,531,null,816,null,337,null,1024,null,541,null,1985,null,541,null,2448,null,0,*****,2647,null,0,*****,3723,null,0,*****,2778,null,0,*****,2049,null,0,*****,933,null,459,null,851,null,467,null,71,null,122,null,0400000US11,District of Columbia,11
3988758,null,1790,null,2028532,null,3628,null,183795,null,1938,null,139626,null,6474,null,145746,null,6363,null,80382,null,1308,null,58109,null,2207,null,160614,null,3048,null,169688,null,1726,null,176323,null,2298,null,329006,null,2635,null,256622,null,2663,null,152750,null,1283,null,97320,null,1586,null,62467,null,2009,null,16084,null,1757,null,1960226,null,3546,null,173531,null,2079,null,134132,null,4859,null,134917,null,5001,null,76423,null,1256,null,56118,null,2262,null,131607,null,2301,null,136741,null,1535,null,143201,null,1834,null,299747,null,1952,null,257461,null,1787,null,174337,null,1528,null,124375,null,1290,null,82474,null,3104,null,35162,null,3290,null,0400000US12,Florida,12
