C17001I_001E,C17001I_001EA,C17001I_001M,C17001I_001MA,C17001I_002E,C17001I_002EA,C17001I_002M,C17001I_002MA,C17001I_003E,C17001I_003EA,C17001I_003M,C17001I_003MA,C17001I_004E,C17001I_004EA,C17001I_004M,C17001I_004MA,C17001I_005E,C17001I_005EA,C17001I_005M,C17001I_005MA,C17001I_006E,C17001I_006EA,C17001I_006M,C17001I_006MA,C17001I_007E,C17001I_007EA,C17001I_007M,C17001I_007MA,C17001I_008E,C17001I_008EA,C17001I_008M,C17001I_008MA,C17001I_009E,C17001I_009EA,C17001I_009M,C17001I_009MA,C17001I_010E,C17001I_010EA,C17001I_010M,C17001I_010MA,C17001I_011E,C17001I_011EA,C17001I_011M,C17001I_011MA,C17001I_012E,C17001I_012EA,C17001I_012M,C17001I_012MA,C17001I_013E,C17001I_013EA,C17001I_013M,C17001I_013MA,C17001I_014E,C17001I_014EA,C17001I_014M,C17001I_014MA,C17001I_015E,C17001I_015EA,C17001I_015M,C17001I_015MA,C17001I_016E,C17001I_016EA,C17001I_016M,C17001I_016MA,C17001I_017E,C17001I_017EA,C17001I_017M,C17001I_017MA,C17001I_018E,C17001I_018EA,C17001I_018M,C17001I_018MA,C17001I_019E,C17001I_019EA,C17001I_019M,C17001I_019MA,GEO_ID,NAME,state
144782,null,2065,null,48312,null,6141,null,23118,null,3175,null,13533,null,2180,null,9359,null,1477,null,226,null,238,null,25194,null,3634,null,13292,null,2303,null,11555,null,1909,null,347,null,279,null,96470,null,5765,null,53089,null,3427,null,17010,null,2259,null,34617,null,1920,null,1462,null,626,null,43381,null,3435,null,17623,null,2172,null,22953,null,2043,null,2805,null,835,null,0400000US01,Alabama,01
42131,null,517,null,5868,null,1740,null,2653,null,1045,null,1722,null,695,null,919,null,726,null,12,null,26,null,3215,null,1177,null,1428,null,661,null,1787,null,770,null,0,null,244,null,36263,null,1812,null,19667,null,1264,null,6083,null,879,null,13069,null,948,null,515,null,279,null,16596,null,1351,null,5912,null,866,null,9948,null,991,null,736,null,279,null,0400000US02,Alaska,02
1989725,null,3513,null,522141,null,26240,null,250876,null,13566,null,122831,null,8252,null,121067,null,7595,null,6978,null,1378,null,271265,null,14903,null,124795,null,9037,null,136623,null,7543,null,9847,null,1666,null,1467584,null,27142,null,776238,null,14178,null,258473,null,8596,null,482878,null,7712,null,34887,null,1499,null,691346,null,15321,null,236416,null,9544,null,411491,null,7495,null,43439,null,1731,null,0400000US04,Arizona,04
168813,null,2143,null,60335,null,7246,null,29158,null,4150,null,15887,null,2654,null,12836,null,2269,null,435,null,341,null,31177,null,3932,null,14872,null,2764,null,15635,null,2018,null,670,null,404,null,108478,null,7249,null,59174,null,3947,null,21459,null,2449,null,36512,null,2368,null,1203,null,521,null,49304,null,4054,null,19039,null,2667,null,28277,null,2150,null,1988,null,678,null,0400000US05,Arkansas,05
13428180,null,9176,null,2772597,null,49163,null,1301477,null,28226,null,645777,null,17780,null,617412,null,14393,null,38288,null,3470,null,1471120,null,26861,null,635970,null,15540,null,774514,null,15709,null,60636,null,3749,null,10655583,null,50593,null,5562033,null,29498,null,1733774,null,18158,null,3561303,null,15025,null,266956,null,3483,null,5093550,null,27927,null,1638104,null,15408,null,3105300,null,16169,null,350146,null,3948,null,0400000US06,California,06
993297,null,2363,null,261976,null,16458,null,127350,null,9132,null,63595,null,4766,null,60964,null,5942,null,2791,null,879,null,134626,null,8732,null,59051,null,4637,null,70249,null,5139,null,5326,null,917,null,731321,null,16474,null,384458,null,9484,null,119358,null,5094,null,245053,null,6399,null,20047,null,957,null,346863,null,8870,null,118565,null,4965,null,205347,null,5243,null,22951,null,1327,null,0400000US08,Colorado,08
420466,null,1560,null,109432,null,8553,null,49189,null,4342,null,24305,null,2715,null,22860,null,2846,null,2024,null,658,null,60243,null,5362,null,20424,null,2815,null,36173,null,3211,null,3646,null,721,null,311034,null,8713,null,161171,null,4584,null,48554,null,2942,null,106290,null,3080,null,6327,null,715,null,149863,null,5290,null,48946,null,2924,null,92344,null,3119,null,8573,null,851,null,0400000US09,Connecticut,09
62043,null,506,null,14439,null,2924,null,6993,null,1740,null,3466,null,1065,null,3311,null,1269,null,216,null,234,null,7446,null,1723,null,3034,null,969,null,4303,null,982,null,109,null,152,null,47604,null,2824,null,25965,null,1717,null,9107,null,1008,null,16537,null,1358,null,321,null,222,null,21639,null,1730,null,8610,null,1060,null,11585,null,1113,null,1444,null,639,null,0400000US10,Delaware,10
52063,null,433,null,5566,null,1995,null,2540,null,1076,null,1082,null,769,null,1232,null,484,null,226,null,247,null,3026,null,1252,null,714,null,528,null,2254,null,879,null,58,null,104,null,46497,null,2023,null,24646,null,1145,null,5896,null,813,null,17805,null,855,null,945,null,565,null,21851,null,1286,null,6102,null,616,null,13965,null,881,null,1784,null,110,null,0400000US11,District of Columbia,11
3928703,null,4652,null,757099,null,22356,null,358741,null,10848,null,139821,null,7587,null,187975,null,7976,null,30945,null,2825,null,398358,null,15063,null,126419,null,8141,null,216987,null,8175,null,54952,null,4136,null,3171604,null,22407,null,1628633,null,12031,null,401682,null,8267,null,1083993,null,8267,null,142958,null,3047,null,1542971,null,14910,null,385227,null,8083,null,975065,null,7908,null,182679,null,4251,null,0400000US12,Florida,12
793518,null,4279,null,272110,null,15145,null,141804,null,9037,null,68832,null,5494,null,72163,null,5622,null,809,null,450,null,130306,null,8291,null,62425,null,5415,null,65006,null,3893,null,2875,null,992,null,521408,null,15286,null,294658,null,9196,null,91979,null,5001,null,196913,null,5779,null,5766,null,1307,null,226750,null,9086,null,89500,null,5486,null,128284,null,4704,null,8966,null,1541,null,0400000US13,Georgia,13
112086,null,922,null,16383,null,2909,null,7643,null,1649,null,4969,null,1099,null,2455,null,901,null,219,null,168,null,8740,null,1722,null,3046,null,1042,null,5186,null,1134,null,508,null,348,null,95703,null,2825,null,50223,null,1716,null,16541,null,1208,null,31240,null,1185,null,2442,null,302,null,45480,null,1978,null,17793,null,1273,null,25516,null,1220,null,2171,null,481,null,0400000US15,Hawaii,15
161603,null,627,null,46940,null,6120,null,23910,null,3684,null,12837,null,2312,null,10795,null,2049,null,278,null,210,null,23030,null,3315,null,11357,null,2080,null,11189,null,1846,null,484,null,284,null,114663,null,6067,null,61104,null,3860,null,23370,null,2339,null,35897,null,2340,null,1837,null,530,null,53559,null,3646,null,20999,null,2425,null,30831,null,1896,null,1729,null,727,null,0400000US16,Idaho,16
1941134,null,3729,null,383255,null,18762,null,179044,null,11658,null,89720,null,6915,null,84738,null,6212,null,4586,null,1000,null,204211,null,9970,null,89677,null,5929,null,105749,null,5854,null,8785,null,1446,null,1557879,null,18657,null,838600,null,11420,null,266885,null,7064,null,537901,null,5868,null,33814,null,1229,null,719279,null,10917,null,249110,null,6073,null,432961,null,6546,null,37208,null,1730,null,0400000US17,Illinois,17
341049,null,2127,null,99726,null,9285,null,48200,null,5056,null,24697,null,3007,null,23250,null,2921,null,253,null,211,null,51526,null,5011,null,24144,null,2944,null,25944,null,2680,null,1438,null,583,null,241323,null,9131,null,133612,null,5222,null,42667,null,3182,null,86001,null,3158,null,4944,null,675,null,107711,null,4903,null,41697,null,2776,null,60731,null,2623,null,5283,null,738,null,0400000US18,Indiana,18
127529,null,1747,null,31240,null,4154,null,15179,null,2434,null,8201,null,1391,null,6937,null,1643,null,41,null,67,null,16061,null,2370,null,8094,null,1452,null,7594,null,1397,null,373,null,526,null,96289,null,4394,null,53884,null,2924,null,19559,null,1675,null,32536,null,2152,null,1789,null,611,null,42405,null,2685,null,15769,null,1893,null,24492,null,1460,null,2144,null,630,null,0400000US19,Iowa,19
256490,null,1327,null,66345,null,7342,null,31384,null,4303,null,16340,null,2382,null,13968,null,2593,null,1076,null,501,null,34961,null,4029,null,15303,null,2138,null,18277,null,2494,null,1381,null,363,null,190145,null,7384,null,104702,null,4628,null,35073,null,2545,null,65618,null,2866,null,4011,null,826,null,85443,null,4004,null,33485,null,2248,null,47968,null,2483,null,3990,null,857,null,0400000US20,Kansas,20
109384,null,2884,null,34839,null,5176,null,17414,null,3021,null,8294,null,1630,null,8901,null,2493,null,219,null,201,null,17425,null,2975,null,9326,null,2109,null,7620,null,1470,null,479,null,395,null,74545,null,4361,null,41059,null,3329,null,14153,null,1889,null,25838,null,2433,null,1068,null,459,null,33486,null,2641,null,13810,null,1872,null,18627,null,1469,null,1049,null,391,null,0400000US21,Kentucky,21
