B06004H_001E,B06004H_001EA,B06004H_001M,B06004H_001MA,B06004H_002E,B06004H_002EA,B06004H_002M,B06004H_002MA,B06004H_003E,B06004H_003EA,B06004H_003M,B06004H_003MA,B06004H_004E,B06004H_004EA,B06004H_004M,B06004H_004MA,B06004H_005E,B06004H_005EA,B06004H_005M,B06004H_005MA,GEO_ID,NAME,state
3198640,null,1785,null,2171436,null,17001,null,971824,null,16129,null,24214,null,2578,null,31166,null,3228,null,0400000US01,Alabama,01
454124,null,704,null,143261,null,5153,null,291305,null,5028,null,9444,null,1675,null,10114,null,1630,null,0400000US02,Alaska,02
3767988,null,3913,null,1102692,null,16183,null,2469202,null,17688,null,36559,null,3004,null,159535,null,9115,null,0400000US04,Arizona,04
2166895,null,1752,null,1327853,null,12382,null,810479,null,11907,null,11511,null,1824,null,17052,null,2869,null,0400000US05,Arkansas,05
15325751,null,6499,null,8779908,null,31422,null,5004558,null,33048,null,145942,null,6015,null,1395343,null,25847,null,0400000US06,California,06
3540663,null,3902,null,1421920,null,14781,null,1974975,null,15762,null,41166,null,3776,null,102602,null,6408,null,0400000US08,Colorado,08
2562302,null,3868,null,1582647,null,13659,null,786265,null,10849,null,19413,null,2348,null,173977,null,7516,null,0400000US09,Connecticut,09
596365,null,638,null,284640,null,7132,null,292401,null,7095,null,3548,null,717,null,15776,null,3135,null,0400000US10,Delaware,10
199898,null,1211,null,30331,null,2542,null,148703,null,3131,null,3977,null,951,null,16887,null,2457,null,0400000US11,District of Columbia,11
10988592,null,6103,null,3652767,null,29159,null,6585206,null,32880,null,116749,null,6033,null,633870,null,18721,null,0400000US12,Florida,12
5636308,null,2952,null,3244446,null,23376,null,2201319,null,23834,null,47688,null,4037,null,142855,null,8878,null,0400000US13,Georgia,13
322423,null,1346,null,66225,null,4073,null,230078,null,4926,null,6397,null,1513,null,19723,null,2775,null,0400000US15,Hawaii,15
1305296,null,1309,null,619736,null,11190,null,650485,null,10420,null,10065,null,1678,null,25010,null,3135,null,0400000US16,Idaho,16
8319709,null,5551,null,6024974,null,20059,null,1756492,null,20432,null,47847,null,3235,null,490396,null,15576,null,0400000US17,Illinois,17
5307393,null,3203,null,3829705,null,20877,null,1390053,null,21176,null,19660,null,2305,null,67975,null,5947,null,0400000US18,Indiana,18
2704080,null,1680,null,2061375,null,11666,null,609458,null,11700,null,9159,null,1311,null,24088,null,2981,null,0400000US19,Iowa,19
2249960,null,1885,null,1404364,null,11870,null,807951,null,12221,null,12758,null,1823,null,24887,null,2763,null,0400000US20,Kansas,20
3762991,null,3203,null,2706700,null,16819,null,1004228,null,16898,null,17935,null,1866,null,34128,null,3810,null,0400000US21,Kentucky,21
2755285,null,1936,null,2131685,null,12883,null,578402,null,12118,null,14583,null,2341,null,30615,null,3856,null,0400000US22,Louisiana,22
1241512,null,3694,null,819046,null,10240,null,387307,null,10010,null,10202,null,1685,null,24957,null,2740,null,0400000US23,Maine,23
3228314,null,2859,null,1716944,null,17033,null,1342805,null,17642,null,32755,null,3139,null,135810,null,7207,null,0400000US24,Maryland,24
5154939,null,5481,null,3649920,null,20315,null,1097091,null,15663,null,37693,null,3177,null,370235,null,14836,null,0400000US25,Massachusetts,25
7703149,null,2510,null,6140689,null,17211,null,1225634,null,15740,null,36886,null,2486,null,299940,null,11570,null,0400000US26,Michigan,26
4462246,null,2923,null,3304328,null,14039,null,1065871,null,13146,null,20297,null,2342,null,71750,null,5670,null,0400000US27,Minnesota,27
1719121,null,863,null,1128980,null,11508,null,569397,null,11516,null,8605,null,1699,null,12139,null,2674,null,0400000US28,Mississippi,28
4895813,null,2837,null,3335741,null,19013,null,1464012,null,18778,null,26692,null,2555,null,69368,null,5945,null,0400000US29,Missouri,29
854134,null,788,null,456680,null,6800,null,378737,null,6582,null,7933,null,1821,null,10784,null,1743,null,0400000US30,Montana,30
1496386,null,1781,null,1062081,null,10085,null,412036,null,9265,null,9769,null,1573,null,12500,null,2273,null,0400000US31,Nebraska,31
1470474,null,2758,null,335141,null,9689,null,1039754,null,10430,null,16900,null,2242,null,78679,null,5775,null,0400000US32,Nevada,32
1227367,null,851,null,537743,null,9717,null,649664,null,10313,null,6824,null,1340,null,33136,null,3955,null,0400000US33,New Hampshire,33
5301673,null,4203,null,3215653,null,24185,null,1594511,null,21698,null,37508,null,3308,null,454001,null,15102,null,0400000US34,New Jersey,34
823796,null,3525,null,277123,null,7716,null,511750,null,6864,null,12716,null,2154,null,22207,null,2298,null,0400000US35,New Mexico,35
11663600,null,5905,null,8836914,null,25603,null,1676770,null,21351,null,81687,null,5005,null,1068229,null,22832,null,0400000US36,New York,36
6253124,null,2750,null,3658776,null,25205,null,2421888,null,25085,null,47076,null,3543,null,125384,null,8223,null,0400000US37,North Carolina,37
576099,null,395,null,411172,null,6170,null,155223,null,6003,null,3214,null,693,null,6490,null,1249,null,0400000US38,North Dakota,38
9476496,null,2975,null,7361261,null,24739,null,1911031,null,23365,null,35978,null,2931,null,168226,null,7756,null,0400000US39,Ohio,39
2607141,null,2378,null,1578495,null,13804,null,982142,null,13570,null,17617,null,1987,null,28887,null,3338,null,0400000US40,Oklahoma,40
3038879,null,1954,null,1451834,null,16371,null,1469834,null,14837,null,25308,null,2250,null,91903,null,6612,null,0400000US41,Oregon,41
10177758,null,4088,null,8034122,null,20881,null,1851031,null,20671,null,49084,null,3641,null,243521,null,11354,null,0400000US42,Pennsylvania,42
818632,null,2207,null,544862,null,9148,null,227621,null,7590,null,6124,null,1184,null,40025,null,4309,null,0400000US44,Rhode Island,44
2954621,null,2269,null,1577055,null,16748,null,1296980,null,16965,null,24808,null,2643,null,55778,null,5146,null,0400000US45,South Carolina,45
691233,null,2707,null,457937,null,6936,null,222518,null,7089,null,3214,null,839,null,7564,null,2338,null,0400000US46,South Dakota,46
4814198,null,1266,null,2989145,null,19185,null,1729017,null,19938,null,28528,null,3499,null,67508,null,7159,null,0400000US47,Tennessee,47
11546095,null,5746,null,7165226,null,30436,null,3915107,null,32336,null,119667,null,6457,null,346095,null,14202,null,0400000US48,Texas,48
2257105,null,1453,null,1527354,null,13248,null,672015,null,13289,null,14947,null,1743,null,42789,null,4270,null,0400000US49,Utah,49
