C15010I_001E,C15010I_001EA,C15010I_001M,C15010I_001MA,C15010I_002E,C15010I_002EA,C15010I_002M,C15010I_002MA,C15010I_003E,C15010I_003EA,C15010I_003M,C15010I_003MA,C15010I_004E,C15010I_004EA,C15010I_004M,C15010I_004MA,C15010I_005E,C15010I_005EA,C15010I_005M,C15010I_005MA,C15010I_006E,C15010I_006EA,C15010I_006M,C15010I_006MA,GEO_ID,NAME,state
9191,null,1280,null,4019,null,959,null,749,null,442,null,2438,null,726,null,953,null,459,null,1032,null,534,null,0400000US01,Alabama,01
3622,null,823,null,1408,null,557,null,341,null,212,null,646,null,425,null,850,null,467,null,377,null,314,null,0400000US02,Alaska,02
106485,null,6598,null,34219,null,3386,null,8781,null,2194,null,24829,null,2696,null,16295,null,2522,null,22361,null,3118,null,0400000US04,Arizona,04
5719,null,1080,null,1810,null,593,null,212,null,198,null,1185,null,609,null,686,null,330,null,1826,null,683,null,0400000US05,Arkansas,05
724431,null,16505,null,263645,null,9099,null,50724,null,3565,null,154310,null,8165,null,63737,null,4661,null,192015,null,7519,null,0400000US06,California,06
68783,null,4989,null,25071,null,2692,null,4542,null,1206,null,16577,null,2303,null,7678,null,1378,null,14915,null,2251,null,0400000US08,Colorado,08
32716,null,2848,null,12051,null,2121,null,2048,null,651,null,7824,null,1339,null,3318,null,966,null,7475,null,1301,null,0400000US09,Connecticut,09
3857,null,1332,null,1934,null,1102,null,320,null,225,null,490,null,334,null,192,null,280,null,921,null,492,null,0400000US10,Delaware,10
11434,null,1937,null,5122,null,1212,null,290,null,259,null,2335,null,783,null,708,null,438,null,2979,null,1027,null,0400000US11,District of Columbia,11
501826,null,13190,null,162036,null,6782,null,47938,null,3858,null,149448,null,6746,null,64932,null,4578,null,77472,null,5316,null,0400000US12,Florida,12
52485,null,4235,null,19655,null,3047,null,3493,null,1119,null,15622,null,2139,null,5082,null,1086,null,8633,null,1513,null,0400000US13,Georgia,13
11179,null,1546,null,4342,null,1151,null,895,null,597,null,1381,null,566,null,861,null,360,null,3700,null,1022,null,0400000US15,Hawaii,15
5283,null,1114,null,2139,null,729,null,220,null,198,null,1155,null,490,null,643,null,343,null,1126,null,561,null,0400000US16,Idaho,16
125181,null,5206,null,41793,null,3781,null,11398,null,1817,null,30841,null,2941,null,16293,null,2093,null,24856,null,2413,null,0400000US17,Illinois,17
19679,null,2375,null,6652,null,1379,null,2574,null,856,null,3801,null,891,null,2548,null,772,null,4104,null,1196,null,0400000US18,Indiana,18
7254,null,1509,null,2814,null,882,null,644,null,547,null,1536,null,713,null,868,null,480,null,1392,null,609,null,0400000US19,Iowa,19
12652,null,1916,null,4206,null,947,null,1285,null,540,null,3238,null,1014,null,1677,null,675,null,2246,null,737,null,0400000US20,Kansas,20
6457,null,1321,null,2093,null,747,null,813,null,398,null,1799,null,594,null,845,null,464,null,907,null,436,null,0400000US21,Kentucky,21
