B05003F_001E,B05003F_001EA,B05003F_001M,B05003F_001MA,B05003F_002E,B05003F_002EA,B05003F_002M,B05003F_002MA,B05003F_003E,B05003F_003EA,B05003F_003M,B05003F_003MA,B05003F_004E,B05003F_004EA,B05003F_004M,B05003F_004MA,B05003F_005E,B05003F_005EA,B05003F_005M,B05003F_005MA,B05003F_006E,B05003F_006EA,B05003F_006M,B05003F_006MA,B05003F_007E,B05003F_007EA,B05003F_007M,B05003F_007MA,B05003F_008E,B05003F_008EA,B05003F_008M,B05003F_008MA,B05003F_009E,B05003F_009EA,B05003F_009M,B05003F_009MA,B05003F_010E,B05003F_010EA,B05003F_010M,B05003F_010MA,B05003F_011E,B05003F_011EA,B05003F_011M,B05003F_011MA,B05003F_012E,B05003F_012EA,B05003F_012M,B05003F_012MA,B05003F_013E,B05003F_013EA,B05003F_013M,B05003F_013MA,B05003F_014E,B05003F_014EA,B05003F_014M,B05003F_014MA,B05003F_015E,B05003F_015EA,B05003F_015M,B05003F_015MA,B05003F_016E,B05003F_016EA,B05003F_016M,B05003F_016MA,B05003F_017E,B05003F_017EA,B05003F_017M,B05003F_017MA,B05003F_018E,B05003F_018EA,B05003F_018M,B05003F_018MA,B05003F_019E,B05003F_019EA,B05003F_019M,B05003F_019MA,B05003F_020E,B05003F_020EA,B05003F_020M,B05003F_020MA,B05003F_021E,B05003F_021EA,B05003F_021M,B05003F_021MA,B05003F_022E,B05003F_022EA,B05003F_022M,B05003F_022MA,B05003F_023E,B05003F_023EA,B05003F_023M,B05003F_023MA,GEO_ID,NAME,state
42671,null,5367,null,25033,null,3282,null,8528,null,1813,null,6422,null,1632,null,2106,null,831,null,111,null,168,null,1995,null,838,null,16505,null,2124,null,2877,null,893,null,13628,null,1984,null,1243,null,693,null,12385,null,1910,null,17638,null,2645,null,6579,null,1548,null,4495,null,1349,null,2084,null,908,null,204,null,275,null,1880,null,896,null,11059,null,1776,null,3304,null,956,null,7755,null,1592,null,850,null,502,null,6905,null,1533,null,0400000US01,Alabama,01
11743,null,2551,null,5448,null,1824,null,1124,null,772,null,540,null,412,null,584,null,614,null,91,null,141,null,493,null,603,null,4324,null,1489,null,1902,null,772,null,2422,null,1209,null,886,null,687,null,1536,null,1143,null,6295,null,1244,null,1386,null,645,null,935,null,532,null,451,null,469,null,74,null,126,null,377,null,456,null,4909,null,942,null,2950,null,960,null,1959,null,595,null,1313,null,525,null,646,null,338,null,0400000US02,Alaska,02
409874,null,20106,null,208793,null,11631,null,70969,null,5771,null,64390,null,5498,null,6579,null,1951,null,760,null,796,null,5819,null,1825,null,137824,null,7887,null,76457,null,5090,null,61367,null,6087,null,16147,null,2620,null,45220,null,5301,null,201081,null,10790,null,76130,null,5553,null,70088,null,5372,null,6042,null,1524,null,628,null,517,null,5414,null,1395,null,124951,null,7116,null,67057,null,5635,null,57894,null,5054,null,19950,null,2482,null,37944,null,4555,null,0400000US04,Arizona,04
66303,null,6069,null,35948,null,3941,null,14564,null,2296,null,12155,null,2039,null,2409,null,970,null,421,null,390,null,1988,null,852,null,21384,null,2458,null,4354,null,1147,null,17030,null,2151,null,2977,null,899,null,14053,null,1890,null,30355,null,3045,null,12028,null,1962,null,10442,null,1936,null,1586,null,560,null,261,null,204,null,1325,null,557,null,18327,null,1882,null,5604,null,1330,null,12723,null,1584,null,2448,null,826,null,10275,null,1574,null,0400000US05,Arkansas,05
5097436,null,73157,null,2663281,null,41449,null,855286,null,18860,null,784638,null,18557,null,70648,null,4997,null,5182,null,1323,null,65466,null,4671,null,1807995,null,30764,null,679032,null,19713,null,1128963,null,21540,null,310188,null,9562,null,818775,null,21613,null,2434155,null,37437,null,808645,null,18383,null,743803,null,18318,null,64842,null,5864,null,4716,null,1447,null,60126,null,5891,null,1625510,null,23741,null,636049,null,16381,null,989461,null,19811,null,340116,null,10828,null,649345,null,16886,null,0400000US06,California,06
231507,null,16039,null,120168,null,9471,null,42659,null,4266,null,38233,null,4082,null,4426,null,1592,null,64,null,113,null,4362,null,1570,null,77509,null,6558,null,41847,null,4427,null,35662,null,4497,null,8213,null,1673,null,27449,null,4395,null,111339,null,8014,null,39228,null,4453,null,35067,null,3926,null,4161,null,1734,null,262,null,363,null,3899,null,1682,null,72111,null,4858,null,42135,null,3561,null,29976,null,3286,null,6702,null,1403,null,23274,null,3403,null,0400000US08,Colorado,08
185642,null,11639,null,95918,null,6519,null,29805,null,3135,null,26172,null,2877,null,3633,null,1317,null,420,null,300,null,3213,null,1292,null,66113,null,4814,null,35884,null,3610,null,30229,null,3704,null,5949,null,1624,null,24280,null,3646,null,89724,null,6110,null,29160,null,2927,null,25306,null,2604,null,3854,null,1332,null,458,null,368,null,3396,null,1284,null,60564,null,4182,null,38044,null,2992,null,22520,null,3187,null,6214,null,1355,null,16306,null,2918,null,0400000US09,Connecticut,09
16040,null,3257,null,8621,null,1931,null,2329,null,943,null,2111,null,931,null,218,null,256,null,115,null,192,null,103,null,153,null,6292,null,1515,null,2406,null,875,null,3886,null,1166,null,829,null,503,null,3057,null,1217,null,7419,null,1709,null,2688,null,878,null,2559,null,873,null,129,null,134,null,113,null,131,null,16,null,30,null,4731,null,1161,null,1857,null,675,null,2874,null,928,null,1273,null,683,null,1601,null,596,null,0400000US10,Delaware,10
17600,null,3915,null,9332,null,2066,null,3163,null,1390,null,2828,null,1350,null,335,null,371,null,148,null,238,null,187,null,292,null,6169,null,1278,null,1629,null,762,null,4540,null,1115,null,1382,null,676,null,3158,null,1081,null,8268,null,2314,null,2901,null,1094,null,1810,null,932,null,1091,null,720,null,0,null,296,null,1091,null,720,null,5367,null,1546,null,1400,null,690,null,3967,null,1188,null,1052,null,623,null,2915,null,857,null,0400000US11,District of Columbia,11
513581,null,26082,null,270327,null,15805,null,70781,null,5346,null,63633,null,4924,null,7148,null,1513,null,1143,null,615,null,6005,null,1391,null,199546,null,12818,null,68595,null,5304,null,130951,null,11830,null,38416,null,3978,null,92535,null,10393,null,243254,null,13531,null,71999,null,6621,null,63152,null,6245,null,8847,null,1513,null,2031,null,858,null,6816,null,1381,null,171255,null,9386,null,71612,null,5443,null,99643,null,7378,null,40700,null,3975,null,58943,null,5778,null,0400000US12,Florida,12
