C27001H_001E,C27001H_001EA,C27001H_001M,C27001H_001MA,C27001H_002E,C27001H_002EA,C27001H_002M,C27001H_002MA,C27001H_003E,C27001H_003EA,C27001H_003M,C27001H_003MA,C27001H_004E,C27001H_004EA,C27001H_004M,C27001H_004MA,C27001H_005E,C27001H_005EA,C27001H_005M,C27001H_005MA,C27001H_006E,C27001H_006EA,C27001H_006M,C27001H_006MA,C27001H_007E,C27001H_007EA,C27001H_007M,C27001H_007MA,C27001H_008E,C27001H_008EA,C27001H_008M,C27001H_008MA,C27001H_009E,C27001H_009EA,C27001H_009M,C27001H_009MA,C27001H_010E,C27001H_010EA,C27001H_010M,C27001H_010MA,GEO_ID,NAME,state
3143401,null,3378,null,683382,null,1068,null,649159,null,4585,null,34223,null,4355,null,1960526,null,2967,null,1648031,null,9618,null,312495,null,9913,null,499493,null,1710,null,498593,null,1686,null,900,null,509,null,0400000US01,Alabama,01
439385,null,2296,null,101407,null,284,null,91779,null,2079,null,9628,null,2082,null,300061,null,2393,null,236351,null,4720,null,63710,null,4457,null,37917,null,441,null,37804,null,445,null,113,null,127,null,0400000US02,Alaska,02
3723341,null,4579,null,720636,null,2162,null,664865,null,5237,null,55771,null,5057,null,2298279,null,3142,null,1944251,null,12462,null,354028,null,12366,null,704426,null,1911,null,701395,null,2200,null,3031,null,1134,null,0400000US04,Arizona,04
2127298,null,3212,null,468714,null,494,null,444548,null,3348,null,24166,null,3258,null,1313756,null,2551,null,1019237,null,10500,null,294519,null,10762,null,344828,null,1782,null,344130,null,1865,null,698,null,470,null,0400000US05,Arkansas,05
15065605,null,9080,null,2745492,null,3559,null,2604550,null,9811,null,140942,null,9353,null,9802101,null,7229,null,8431889,null,22549,null,1370212,null,21495,null,2518012,null,4474,null,2506377,null,5039,null,11635,null,1894,null,0400000US06,California,06
3484229,null,4778,null,716568,null,1908,null,672104,null,5247,null,44464,null,5022,null,2333019,null,3864,null,1993305,null,12369,null,339714,null,12857,null,434642,null,1626,null,432556,null,1750,null,2086,null,874,null,0400000US08,Colorado,08
2523329,null,4127,null,513415,null,1571,null,500335,null,3304,null,13080,null,2548,null,1607035,null,3335,null,1463784,null,8966,null,143251,null,8121,null,402879,null,1388,null,402231,null,1468,null,648,null,364,null,0400000US09,Connecticut,09
587353,null,1275,null,118530,null,401,null,112522,null,1903,null,6008,null,1898,null,366986,null,1064,null,326198,null,3882,null,40788,null,3831,null,101837,null,546,null,101302,null,741,null,535,null,451,null,0400000US10,Delaware,10
196377,null,2082,null,22911,null,673,null,22230,null,1098,null,681,null,916,null,153022,null,1012,null,147124,null,1665,null,5898,null,1236,null,20444,null,1630,null,20444,null,1630,null,0,null,296,null,0400000US11,District of Columbia,11
10805125,null,7844,null,1946638,null,3341,null,1726457,null,10887,null,220181,null,10455,null,6434314,null,7171,null,5076968,null,19966,null,1357346,null,19498,null,2424173,null,6051,null,2410988,null,6552,null,13185,null,2657,null,0400000US12,Florida,12
5521086,null,6610,null,1280305,null,2507,null,1189787,null,7011,null,90518,null,6716,null,3506945,null,5476,null,2867242,null,16690,null,639703,null,16611,null,733836,null,1973,null,731114,null,2152,null,2722,null,967,null,0400000US13,Georgia,13
293201,null,2756,null,53389,null,922,null,52113,null,1179,null,1276,null,508,null,197394,null,2744,null,174912,null,4007,null,22482,null,2897,null,42418,null,787,null,42150,null,801,null,268,null,232,null,0400000US15,Hawaii,15
1284519,null,1988,null,320881,null,945,null,291636,null,3948,null,29245,null,3906,null,792954,null,1672,null,633515,null,6888,null,159439,null,6835,null,170684,null,1232,null,169794,null,1446,null,890,null,698,null,0400000US16,Idaho,16
8202811,null,6541,null,1718369,null,2747,null,1667588,null,6226,null,50781,null,5471,null,5281659,null,5342,null,4612980,null,16721,null,668679,null,15947,null,1202783,null,4570,null,1197473,null,4579,null,5310,null,1606,null,0400000US17,Illinois,17
5227683,null,4654,null,1205318,null,1963,null,1107934,null,8229,null,97384,null,7761,null,3305752,null,3619,null,2749280,null,15209,null,556472,null,15402,null,716613,null,2865,null,714388,null,3067,null,2225,null,770,null,0400000US18,Indiana,18
2659326,null,1906,null,593138,null,1177,null,570586,null,3074,null,22552,null,3049,null,1664237,null,1760,null,1489021,null,7808,null,175216,null,7837,null,401951,null,1281,null,401500,null,1316,null,451,null,315,null,0400000US19,Iowa,19
2204688,null,3245,null,502138,null,811,null,470741,null,3987,null,31397,null,4184,null,1390283,null,3062,null,1194380,null,7882,null,195903,null,7839,null,312267,null,1078,null,311842,null,1085,null,425,null,265,null,0400000US20,Kansas,20
3696188,null,3899,null,832682,null,1532,null,785024,null,5144,null,47658,null,5043,null,2356915,null,3634,null,1907451,null,12820,null,449464,null,12372,null,506591,null,1239,null,504343,null,1467,null,2248,null,893,null,0400000US21,Kentucky,21
2705321,null,3778,null,602938,null,1019,null,572530,null,4397,null,30408,null,4205,null,1713623,null,2533,null,1385898,null,11786,null,327725,null,11529,null,388760,null,2449,null,387266,null,2549,null,1494,null,719,null,0400000US22,Louisiana,22
1225243,null,3802,null,242318,null,2504,null,228492,null,3167,null,13826,null,2338,null,789450,null,2629,null,676527,null,5964,null,112923,null,5578,null,193475,null,576,null,193127,null,619,null,348,null,257,null,0400000US23,Maine,23
3174778,null,5375,null,666007,null,1422,null,641543,null,3858,null,24464,null,3776,null,2027932,null,4801,null,1823552,null,9747,null,204380,null,9046,null,480839,null,2568,null,478983,null,2651,null,1856,null,701,null,0400000US24,Maryland,24
5080770,null,5652,null,998578,null,2392,null,986053,null,3283,null,12525,null,2697,null,3321484,null,4397,null,3170386,null,8772,null,151098,null,8235,null,760708,null,2303,null,759468,null,2308,null,1240,null,715,null,0400000US25,Massachusetts,25
7619189,null,3551,null,1646703,null,1988,null,1577485,null,6192,null,69218,null,5896,null,4853484,null,2559,null,4091413,null,13555,null,762071,null,13747,null,1119002,null,2142,null,1116100,null,2864,null,2902,null,1403,null,0400000US26,Michigan,26
4406646,null,3436,null,957043,null,1707,null,907379,null,4115,null,49664,null,4070,null,2847626,null,2987,null,2578601,null,8997,null,269025,null,8751,null,601977,null,1547,null,601288,null,1609,null,689,null,369,null,0400000US27,Minnesota,27
1683776,null,3174,null,383880,null,632,null,344973,null,5521,null,38907,null,5592,null,1034343,null,2758,null,820241,null,9844,null,214102,null,9397,null,265553,null,1920,null,265318,null,1962,null,235,null,236,null,0400000US28,Mississippi,28
4813705,null,3483,null,1078243,null,1763,null,1010200,null,6384,null,68043,null,5956,null,3033697,null,3363,null,2539912,null,11361,null,493785,null,11244,null,701765,null,1875,null,699941,null,2096,null,1824,null,733,null,0400000US29,Missouri,29
839990,null,1445,null,174613,null,435,null,155358,null,2536,null,19255,null,2556,null,537387,null,1268,null,421263,null,6063,null,116124,null,6046,null,127990,null,582,null,127755,null,653,null,235,null,220,null,0400000US30,Montana,30
1469960,null,2394,null,333174,null,1144,null,316789,null,3111,null,16385,null,2782,null,923186,null,2069,null,802179,null,6947,null,121007,null,6890,null,213600,null,1149,null,213085,null,1241,null,515,null,357,null,0400000US31,Nebraska,31
1452405,null,3006,null,286943,null,1733,null,253643,null,5002,null,33300,null,4954,null,933934,null,2272,null,745576,null,7803,null,188358,null,7569,null,231528,null,1052,null,230334,null,1089,null,1194,null,674,null,0400000US32,Nevada,32
1212743,null,1116,null,254101,null,558,null,243231,null,2140,null,10870,null,2029,null,793555,null,839,null,687384,null,6433,null,106171,null,6421,null,165087,null,320,null,164758,null,527,null,329,null,395,null,0400000US33,New Hampshire,33
5239267,null,5567,null,1081649,null,1843,null,1041529,null,4611,null,40120,null,4506,null,3291677,null,4335,null,2943081,null,13221,null,348596,null,13341,null,865941,null,2392,null,862462,null,2605,null,3479,null,1190,null,0400000US34,New Jersey,34
810059,null,3781,null,149222,null,3299,null,139541,null,3622,null,9681,null,2180,null,506098,null,2953,null,417744,null,5780,null,88354,null,5504,null,154739,null,1822,null,153697,null,1979,null,1042,null,639,null,0400000US35,New Mexico,35
11517687,null,7563,null,2274276,null,2927,null,2196179,null,7579,null,78097,null,6942,null,7397555,null,5449,null,6621224,null,19067,null,776331,null,18563,null,1845856,null,3338,null,1840499,null,3572,null,5357,null,1141,null,0400000US36,New York,36
6111810,null,5550,null,1306029,null,1684,null,1232284,null,6073,null,73745,null,5792,null,3882574,null,4811,null,3234166,null,15229,null,648408,null,15846,null,923207,null,3256,null,921174,null,3226,null,2033,null,781,null,0400000US37,North Carolina,37
561420,null,1149,null,116951,null,177,null,112258,null,977,null,4693,null,985,null,359636,null,1120,null,319497,null,3351,null,40139,null,3048,null,84833,null,215,null,84638,null,277,null,195,null,156,null,0400000US38,North Dakota,38
9343182,null,5126,null,2060907,null,2442,null,1931636,null,9210,null,129271,null,9055,null,5923723,null,4434,null,5028349,null,20238,null,895374,null,19265,null,1358552,null,4131,null,1354649,null,4321,null,3903,null,1022,null,0400000US39,Ohio,39
2546210,null,3784,null,555404,null,1738,null,513898,null,3731,null,41506,null,3502,null,1588117,null,2937,null,1256955,null,9485,null,331162,null,9296,null,402689,null,1890,null,402125,null,1869,null,564,null,314,null,0400000US40,Oklahoma,40
3005535,null,2692,null,591022,null,961,null,536564,null,4829,null,54458,null,4790,null,1949610,null,2352,null,1565879,null,11208,null,383731,null,11142,null,464903,null,1336,null,462993,null,1630,null,1910,null,874,null,0400000US41,Oregon,41
10020630,null,6423,null,2010022,null,2135,null,1912985,null,6453,null,97037,null,6565,null,6344719,null,5310,null,5606300,null,16587,null,738419,null,14890,null,1665889,null,2644,null,1659124,null,3122,null,6765,null,1449,null,0400000US42,Pennsylvania,42
