C25055_001E,C25055_001EA,C25055_001M,C25055_001MA,C25055_002E,C25055_002EA,C25055_002M,C25055_002MA,C25055_003E,C25055_003EA,C25055_003M,C25055_003MA,C25055_004E,C25055_004EA,C25055_004M,C25055_004MA,C25055_005E,C25055_005EA,C25055_005M,C25055_005MA,GEO_ID,NAME,state
495599,null,10205,null,393012,null,9139,null,49924,null,3417,null,26722,null,2320,null,25941,null,2236,null,0400000US01,Alabama,01
73755,null,3559,null,60473,null,3330,null,8655,null,1370,null,3102,null,911,null,1525,null,461,null,0400000US02,Alaska,02
711833,null,11787,null,576727,null,10435,null,66639,null,3910,null,29489,null,2508,null,38978,null,2865,null,0400000US04,Arizona,04
344143,null,9467,null,274888,null,9070,null,33549,null,2719,null,18908,null,2022,null,16798,null,1549,null,0400000US05,Arkansas,05
5134566,null,27735,null,4005206,null,26708,null,576035,null,9689,null,285095,null,8075,null,268230,null,6593,null,0400000US06,California,06
606425,null,8808,null,490709,null,8933,null,56846,null,3349,null,27452,null,2048,null,31418,null,1895,null,0400000US08,Colorado,08
395746,null,7035,null,286615,null,6572,null,47927,null,3143,null,25487,null,2159,null,35717,null,2526,null,0400000US09,Connecticut,09
82552,null,3761,null,60905,null,3418,null,11018,null,1619,null,4902,null,1037,null,5727,null,1024,null,0400000US10,Delaware,10
134249,null,3922,null,100264,null,3456,null,17501,null,1688,null,9214,null,1268,null,7270,null,1167,null,0400000US11,District of Columbia,11
2086900,null,20748,null,1609284,null,19651,null,217108,null,7630,null,112691,null,4476,null,147817,null,6150,null,0400000US12,Florida,12
1070208,null,14510,null,864416,null,13964,null,107396,null,4740,null,55194,null,3561,null,43202,null,2941,null,0400000US13,Georgia,13
180766,null,6251,null,137793,null,5316,null,22752,null,2299,null,10557,null,1359,null,9664,null,1413,null,0400000US15,Hawaii,15
146164,null,5197,null,119045,null,4933,null,12203,null,1428,null,7142,null,1215,null,7774,null,1367,null,0400000US16,Idaho,16
1455659,null,14223,null,1104573,null,12751,null,161811,null,5707,null,90718,null,4673,null,98557,null,4454,null,0400000US17,Illinois,17
