B06004I_001E,B06004I_001EA,B06004I_001M,B06004I_001MA,B06004I_002E,B06004I_002EA,B06004I_002M,B06004I_002MA,B06004I_003E,B06004I_003EA,B06004I_003M,B06004I_003MA,B06004I_004E,B06004I_004EA,B06004I_004M,B06004I_004MA,B06004I_005E,B06004I_005EA,B06004I_005M,B06004I_005MA,GEO_ID,NAME,state
148279,null,1956,null,44149,null,2743,null,29215,null,2366,null,6219,null,1545,null,68696,null,2969,null,0400000US01,Alabama,01
43373,null,231,null,14360,null,2033,null,16683,null,2263,null,1692,null,762,null,10638,null,2155,null,0400000US02,Alaska,02
2031651,null,0,*****,1008585,null,15962,null,370116,null,14330,null,23159,null,2884,null,629791,null,16115,null,0400000US04,Arizona,04
172493,null,1908,null,49578,null,3679,null,42134,null,3604,null,4619,null,1571,null,76162,null,3253,null,0400000US05,Arkansas,05
13681370,null,0,*****,7602388,null,37992,null,611141,null,15777,null,129355,null,8289,null,5338486,null,37439,null,0400000US06,California,06
1018208,null,0,*****,531613,null,11099,null,201269,null,9265,null,12665,null,2719,null,272661,null,11996,null,0400000US08,Colorado,08
434471,null,0,*****,160680,null,6139,null,62171,null,4938,null,96598,null,5453,null,115022,null,6433,null,0400000US09,Connecticut,09
63892,null,0,*****,19942,null,2211,null,14452,null,2521,null,6310,null,1282,null,23188,null,2843,null,0400000US10,Delaware,10
53025,null,0,*****,11688,null,1989,null,11304,null,2276,null,1712,null,971,null,28321,null,2538,null,0400000US11,District of Columbia,11
3988758,null,1790,null,1042896,null,15450,null,585334,null,15965,null,396194,null,15248,null,1964334,null,23819,null,0400000US12,Florida,12
815966,null,2805,null,226532,null,6724,null,154139,null,7053,null,26411,null,3405,null,408884,null,8641,null,0400000US13,Georgia,13
115966,null,0,*****,72666,null,3553,null,28946,null,3165,null,3172,null,970,null,11182,null,1887,null,0400000US15,Hawaii,15
165284,null,0,*****,60152,null,3411,null,44750,null,3864,null,2915,null,846,null,57467,null,4103,null,0400000US16,Idaho,16
1969773,null,1523,null,971574,null,14510,null,134814,null,7237,null,63610,null,4827,null,799775,null,15354,null,0400000US17,Illinois,17
348806,null,1594,null,132564,null,5408,null,77580,null,4757,null,7715,null,1467,null,130947,null,5220,null,0400000US18,Indiana,18
130683,null,1482,null,48443,null,3409,null,31769,null,2806,null,2417,null,1015,null,48054,null,3038,null,0400000US19,Iowa,19
262097,null,847,null,103872,null,4345,null,57723,null,4648,null,5420,null,1510,null,95082,null,4935,null,0400000US20,Kansas,20
113033,null,2728,null,33715,null,2638,null,28244,null,2921,null,3582,null,920,null,47492,null,3751,null,0400000US21,Kentucky,21
161892,null,1757,null,57246,null,3796,null,33611,null,3524,null,4690,null,1053,null,66345,null,3633,null,0400000US22,Louisiana,22
17463,null,336,null,5513,null,1003,null,6762,null,919,null,1751,null,748,null,3437,null,1027,null,0400000US23,Maine,23
