B17010A_001E,B17010A_001EA,B17010A_001M,B17010A_001MA,B17010A_002E,B17010A_002EA,B17010A_002M,B17010A_002MA,B17010A_003E,B17010A_003EA,B17010A_003M,B17010A_003MA,B17010A_004E,B17010A_004EA,B17010A_004M,B17010A_004MA,B17010A_005E,B17010A_005EA,B17010A_005M,B17010A_005MA,B17010A_006E,B17010A_006EA,B17010A_006M,B17010A_006MA,B17010A_007E,B17010A_007EA,B17010A_007M,B17010A_007MA,B17010A_008E,B17010A_008EA,B17010A_008M,B17010A_008MA,B17010A_009E,B17010A_009EA,B17010A_009M,B17010A_009MA,B17010A_010E,B17010A_010EA,B17010A_010M,B17010A_010MA,B17010A_011E,B17010A_011EA,B17010A_011M,B17010A_011MA,B17010A_012E,B17010A_012EA,B17010A_012M,B17010A_012MA,B17010A_013E,B17010A_013EA,B17010A_013M,B17010A_013MA,B17010A_014E,B17010A_014EA,B17010A_014M,B17010A_014MA,B17010A_015E,B17010A_015EA,B17010A_015M,B17010A_015MA,B17010A_016E,B17010A_016EA,B17010A_016M,B17010A_016MA,B17010A_017E,B17010A_017EA,B17010A_017M,B17010A_017MA,B17010A_018E,B17010A_018EA,B17010A_018M,B17010A_018MA,B17010A_019E,B17010A_019EA,B17010A_019M,B17010A_019MA,B17010A_020E,B17010A_020EA,B17010A_020M,B17010A_020MA,B17010A_021E,B17010A_021EA,B17010A_021M,B17010A_021MA,B17010A_022E,B17010A_022EA,B17010A_022M,B17010A_022MA,B17010A_023E,B17010A_023EA,B17010A_023M,B17010A_023MA,B17010A_024E,B17010A_024EA,B17010A_024M,B17010A_024MA,B17010A_025E,B17010A_025EA,B17010A_025M,B17010A_025MA,B17010A_026E,B17010A_026EA,B17010A_026M,B17010A_026MA,B17010A_027E,B17010A_027EA,B17010A_027M,B17010A_027MA,B17010A_028E,B17010A_028EA,B17010A_028M,B17010A_028MA,B17010A_029E,B17010A_029EA,B17010A_029M,B17010A_029MA,B17010A_030E,B17010A_030EA,B17010A_030M,B17010A_030MA,B17010A_031E,B17010A_031EA,B17010A_031M,B17010A_031MA,B17010A_032E,B17010A_032EA,B17010A_032M,B17010A_032MA,B17010A_033E,B17010A_033EA,B17010A_033M,B17010A_033MA,B17010A_034E,B17010A_034EA,B17010A_034M,B17010A_034MA,B17010A_035E,B17010A_035EA,B17010A_035M,B17010A_035MA,B17010A_036E,B17010A_036EA,B17010A_036M,B17010A_036MA,B17010A_037E,B17010A_037EA,B17010A_037M,B17010A_037MA,B17010A_038E,B17010A_038EA,B17010A_038M,B17010A_038MA,B17010A_039E,B17010A_039EA,B17010A_039M,B17010A_039MA,B17010A_040E,B17010A_040EA,B17010A_040M,B17010A_040MA,B17010A_041E,B17010A_041EA,B17010A_041M,B17010A_041MA,GEO_ID,NAME,state
904062,null,9177,null,78888,null,3974,null,36345,null,2905,null,21299,null,2461,null,4937,null,1374,null,6416,null,1398,null,9946,null,1555,null,15046,null,1649,null,42543,null,3344,null,6427,null,1429,null,4277,null,1107,null,408,null,297,null,1182,null,626,null,2687,null,949,null,2150,null,821,null,36116,null,3167,null,30379,null,2783,null,6486,null,1261,null,7116,null,1580,null,16777,null,2047,null,5737,null,1200,null,825174,null,9685,null,691806,null,9227,null,270768,null,6379,null,52231,null,4749,null,50823,null,3411,null,167714,null,5312,null,421038,null,7580,null,133368,null,5930,null,40306,null,3681,null,19757,null,2831,null,5051,null,1417,null,1640,null,861,null,13066,null,2092,null,20549,null,2441,null,93062,null,5241,null,48062,null,3474,null,6764,null,1371,null,5786,null,1331,null,35512,null,3197,null,45000,null,3812,null,0400000US01,Alabama,01
119787,null,3146,null,5470,null,1088,null,1386,null,530,null,1104,null,466,null,392,null,282,null,497,null,303,null,215,null,179,null,282,null,205,null,4084,null,1092,null,379,null,337,null,312,null,321,null,121,null,206,null,22,null,38,null,169,null,240,null,67,null,112,null,3705,null,1056,null,3636,null,1058,null,860,null,547,null,692,null,480,null,2084,null,833,null,69,null,81,null,114317,null,3081,null,94045,null,2833,null,42071,null,2309,null,8210,null,1250,null,7589,null,1412,null,26272,null,1988,null,51974,null,2619,null,20272,null,2257,null,7308,null,1286,null,4344,null,908,null,574,null,280,null,378,null,236,null,3392,null,796,null,2964,null,1055,null,12964,null,1740,null,8730,null,1529,null,1618,null,753,null,853,null,481,null,6259,null,1137,null,4234,null,852,null,0400000US02,Alaska,02
1266194,null,12073,null,125734,null,6220,null,60981,null,4185,null,40090,null,3682,null,5491,null,1367,null,16470,null,2853,null,18129,null,2591,null,20891,null,2344,null,64753,null,4564,null,14146,null,2297,null,11562,null,1989,null,3448,null,1046,null,3112,null,1061,null,5002,null,1315,null,2584,null,1030,null,50607,null,4000,null,44717,null,3764,null,7641,null,1697,null,14517,null,2146,null,22559,null,2608,null,5890,null,1376,null,1140460,null,11472,null,910017,null,10720,null,355400,null,6922,null,61762,null,4118,null,78647,null,4895,null,214991,null,6572,null,554617,null,8851,null,230443,null,8078,null,77075,null,5214,null,44521,null,4242,null,8060,null,1589,null,6644,null,1614,null,29817,null,2748,null,32554,null,3338,null,153368,null,6374,null,96368,null,5609,null,15234,null,1999,null,11250,null,2115,null,69884,null,5025,null,57000,null,3832,null,0400000US04,Arizona,04
618239,null,6976,null,66337,null,3392,null,32531,null,2449,null,19583,null,2495,null,5171,null,1370,null,6678,null,1315,null,7734,null,1368,null,12948,null,1755,null,33806,null,2794,null,5169,null,960,null,3413,null,742,null,1101,null,553,null,479,null,343,null,1833,null,562,null,1756,null,663,null,28637,null,2631,null,25286,null,2585,null,6852,null,1381,null,6026,null,1325,null,12408,null,2063,null,3351,null,958,null,551902,null,7180,null,461089,null,7683,null,179436,null,5288,null,34968,null,3033,null,33144,null,2797,null,111324,null,4515,null,281653,null,6066,null,90813,null,4494,null,29947,null,2963,null,15590,null,2346,null,3777,null,1080,null,1862,null,809,null,9951,null,1782,null,14357,null,1689,null,60866,null,3545,null,36640,null,2742,null,5522,null,1250,null,4479,null,1161,null,26639,null,2446,null,24226,null,2461,null,0400000US05,Arkansas,05
5464271,null,25622,null,479514,null,11421,null,221085,null,8251,null,157643,null,7386,null,24378,null,2917,null,64313,null,3993,null,68952,null,4089,null,63442,null,3912,null,258429,null,9151,null,57083,null,4597,null,46596,null,3967,null,10417,null,2146,null,14257,null,2499,null,21922,null,2625,null,10487,null,1795,null,201346,null,7461,null,175076,null,6877,null,32110,null,3161,null,54913,null,4522,null,88053,null,5101,null,26270,null,2770,null,4984757,null,24754,null,3904709,null,25605,null,1763996,null,20252,null,326616,null,7238,null,359852,null,10219,null,1077528,null,15163,null,2140713,null,17056,null,1080048,null,14971,null,374788,null,10080,null,196450,null,7927,null,37400,null,3700,null,30062,null,2982,null,128988,null,6344,null,178338,null,7365,null,705260,null,13034,null,387230,null,9828,null,61953,null,4343,null,48571,null,3804,null,276706,null,9666,null,318030,null,8913,null,0400000US06,California,06
1077707,null,10493,null,81636,null,4818,null,38493,null,3517,null,24520,null,2808,null,5156,null,1246,null,8512,null,1484,null,10852,null,1905,null,13973,null,1999,null,43143,null,3476,null,7440,null,1619,null,4870,null,1282,null,1423,null,673,null,457,null,330,null,2990,null,1025,null,2570,null,1068,null,35703,null,3025,null,32155,null,2912,null,8272,null,1598,null,9987,null,1573,null,13896,null,2092,null,3548,null,1051,null,996071,null,9988,null,830506,null,9548,null,354820,null,7620,null,72742,null,3888,null,69108,null,4322,null,212970,null,5623,null,475686,null,6766,null,165565,null,6753,null,54128,null,3916,null,28431,null,2857,null,6633,null,1398,null,2785,null,965,null,19013,null,2206,null,25697,null,2864,null,111437,null,5455,null,67514,null,4639,null,10632,null,1486,null,6420,null,1386,null,50462,null,4229,null,43923,null,3169,null,0400000US08,Colorado,08
725654,null,7960,null,29405,null,3002,null,8791,null,1525,null,5034,null,1255,null,1093,null,546,null,1136,null,552,null,2805,null,911,null,3757,null,963,null,20614,null,2326,null,3113,null,920,null,2188,null,834,null,627,null,454,null,321,null,274,null,1240,null,573,null,925,null,509,null,17501,null,2109,null,14868,null,2012,null,3886,null,972,null,2673,null,804,null,8309,null,1448,null,2633,null,866,null,696249,null,7520,null,568898,null,7644,null,247623,null,5667,null,43642,null,2926,null,42708,null,2946,null,161273,null,4933,null,321275,null,6276,null,127351,null,5130,null,37380,null,2843,null,16419,null,2030,null,3102,null,937,null,1268,null,546,null,12049,null,1703,null,20961,null,1915,null,89971,null,4350,null,51616,null,3649,null,7239,null,1574,null,4323,null,1151,null,40054,null,2862,null,38355,null,2378,null,0400000US09,Connecticut,09
165051,null,3404,null,9031,null,1613,null,2922,null,981,null,2167,null,896,null,351,null,270,null,688,null,505,null,1128,null,641,null,755,null,290,null,6109,null,1382,null,1101,null,673,null,657,null,463,null,131,null,217,null,105,null,123,null,421,null,392,null,444,null,396,null,5008,null,1206,null,4502,null,1081,null,840,null,406,null,1422,null,713,null,2240,null,737,null,506,null,399,null,156020,null,3656,null,127685,null,3602,null,48614,null,2833,null,10821,null,1623,null,9402,null,1563,null,28391,null,2484,null,79071,null,2726,null,28335,null,2657,null,9154,null,1729,null,4698,null,1104,null,854,null,408,null,886,null,542,null,2958,null,892,null,4456,null,1106,null,19181,null,1940,null,10947,null,1541,null,1198,null,601,null,1382,null,608,null,8367,null,1282,null,8234,null,1351,null,0400000US10,Delaware,10
39247,null,2191,null,868,null,429,null,148,null,146,null,110,null,131,null,51,null,89,null,0,null,296,null,59,null,96,null,38,null,65,null,720,null,404,null,315,null,253,null,46,null,75,null,0,null,296,null,0,null,296,null,46,null,75,null,269,null,243,null,405,null,295,null,306,null,275,null,0,null,296,null,41,null,73,null,265,null,263,null,99,null,120,null,38379,null,2110,null,32920,null,1926,null,10519,null,1370,null,5029,null,1017,null,1687,null,711,null,3803,null,812,null,22401,null,1693,null,5459,null,1137,null,1411,null,564,null,973,null,532,null,407,null,279,null,0,null,296,null,566,null,519,null,438,null,300,null,4048,null,1033,null,1978,null,663,null,351,null,292,null,281,null,231,null,1346,null,538,null,2070,null,882,null,0400000US11,District of Columbia,11
3626446,null,21456,null,302056,null,8244,null,143840,null,6488,null,72466,null,5051,null,13479,null,2214,null,23073,null,3013,null,35914,null,3327,null,71374,null,4753,null,158216,null,6869,null,33645,null,3261,null,25036,null,3059,null,7323,null,1733,null,5707,null,1456,null,12006,null,2421,null,8609,null,1581,null,124571,null,7066,null,105625,null,6411,null,21975,null,2828,null,23264,null,3003,null,60386,null,4785,null,18946,null,2096,null,3324390,null,20916,null,2695273,null,19205,null,923512,null,12216,null,181885,null,6589,null,160619,null,5994,null,581008,null,10257,null,1771761,null,14696,null,629117,null,14451,null,190008,null,6663,null,95230,null,5886,null,21159,null,3336,null,10311,null,1809,null,63760,null,4428,null,94778,null,4645,null,439109,null,11682,null,239861,null,7691,null,33273,null,3659,null,26851,null,2446,null,179737,null,6817,null,199248,null,7526,null,0400000US12,Florida,12
