B16005F_001E,B16005F_001EA,B16005F_001M,B16005F_001MA,B16005F_002E,B16005F_002EA,B16005F_002M,B16005F_002MA,B16005F_003E,B16005F_003EA,B16005F_003M,B16005F_003MA,B16005F_004E,B16005F_004EA,B16005F_004M,B16005F_004MA,B16005F_005E,B16005F_005EA,B16005F_005M,B16005F_005MA,B16005F_006E,B16005F_006EA,B16005F_006M,B16005F_006MA,B16005F_007E,B16005F_007EA,B16005F_007M,B16005F_007MA,B16005F_008E,B16005F_008EA,B16005F_008M,B16005F_008MA,B16005F_009E,B16005F_009EA,B16005F_009M,B16005F_009MA,B16005F_010E,B16005F_010EA,B16005F_010M,B16005F_010MA,B16005F_011E,B16005F_011EA,B16005F_011M,B16005F_011MA,GEO_ID,NAME,state
35992,null,4460,null,11245,null,2155,null,4521,null,1121,null,6724,null,1647,null,5039,null,1418,null,1685,null,624,null,24747,null,3529,null,1419,null,783,null,23328,null,3485,null,5612,null,1547,null,17716,null,2930,null,0400000US01,Alabama,01
11056,null,2434,null,5640,null,1272,null,2186,null,759,null,3454,null,1152,null,2881,null,1080,null,573,null,405,null,5416,null,2122,null,694,null,615,null,4722,null,2090,null,1907,null,947,null,2815,null,1631,null,0400000US02,Alaska,02
365451,null,18251,null,234077,null,12966,null,89644,null,8564,null,144433,null,9866,null,120154,null,8987,null,24279,null,3616,null,131374,null,11325,null,6254,null,1739,null,125120,null,10802,null,41930,null,4119,null,83190,null,8348,null,0400000US04,Arizona,04
58504,null,5204,null,24859,null,3155,null,7721,null,1844,null,17138,null,2713,null,12802,null,2533,null,4336,null,1310,null,33645,null,3734,null,1677,null,813,null,31968,null,3616,null,8805,null,1474,null,23163,null,3258,null,0400000US05,Arkansas,05
4582692,null,65053,null,2340310,null,46718,null,690863,null,24995,null,1649447,null,36166,null,1374101,null,32603,null,275346,null,10733,null,2242382,null,39527,null,59946,null,4284,null,2182436,null,38756,null,561099,null,16516,null,1621337,null,33248,null,0400000US06,California,06
205515,null,13603,null,131772,null,9997,null,74835,null,6886,null,56937,null,5886,null,45027,null,5196,null,11910,null,2110,null,73743,null,8100,null,4247,null,1409,null,69496,null,8196,null,21997,null,3665,null,47499,null,6413,null,0400000US08,Colorado,08
168811,null,10442,null,109323,null,7801,null,18853,null,3079,null,90470,null,7626,null,60846,null,5489,null,29624,null,3526,null,59488,null,6670,null,3085,null,2265,null,56403,null,6705,null,16313,null,2924,null,40090,null,5615,null,0400000US09,Connecticut,09
13708,null,2688,null,6601,null,1667,null,1880,null,747,null,4721,null,1391,null,3442,null,1284,null,1279,null,633,null,7107,null,1696,null,155,null,232,null,6952,null,1696,null,1120,null,568,null,5832,null,1727,null,0400000US10,Delaware,10
14438,null,3011,null,5007,null,1699,null,681,null,464,null,4326,null,1642,null,3210,null,1339,null,1116,null,680,null,9431,null,2196,null,842,null,723,null,8589,null,2137,null,2702,null,992,null,5887,null,1770,null,0400000US11,District of Columbia,11
468564,null,23592,null,222532,null,12796,null,56566,null,6912,null,165966,null,10479,null,126939,null,8999,null,39027,null,4521,null,246032,null,16932,null,17395,null,3039,null,228637,null,16747,null,74782,null,5966,null,153855,null,14553,null,0400000US12,Florida,12
