B14007A_001E,B14007A_001EA,B14007A_001M,B14007A_001MA,B14007A_002E,B14007A_002EA,B14007A_002M,B14007A_002MA,B14007A_003E,B14007A_003EA,B14007A_003M,B14007A_003MA,B14007A_004E,B14007A_004EA,B14007A_004M,B14007A_004MA,B14007A_005E,B14007A_005EA,B14007A_005M,B14007A_005MA,B14007A_006E,B14007A_006EA,B14007A_006M,B14007A_006MA,B14007A_007E,B14007A_007EA,B14007A_007M,B14007A_007MA,B14007A_008E,B14007A_008EA,B14007A_008M,B14007A_008MA,B14007A_009E,B14007A_009EA,B14007A_009M,B14007A_009MA,B14007A_010E,B14007A_010EA,B14007A_010M,B14007A_010MA,B14007A_011E,B14007A_011EA,B14007A_011M,B14007A_011MA,B14007A_012E,B14007A_012EA,B14007A_012M,B14007A_012MA,B14007A_013E,B14007A_013EA,B14007A_013M,B14007A_013MA,B14007A_014E,B14007A_014EA,B14007A_014M,B14007A_014MA,B14007A_015E,B14007A_015EA,B14007A_015M,B14007A_015MA,B14007A_016E,B14007A_016EA,B14007A_016M,B14007A_016MA,B14007A_017E,B14007A_017EA,B14007A_017M,B14007A_017MA,B14007A_018E,B14007A_018EA,B14007A_018M,B14007A_018MA,B14007A_019E,B14007A_019EA,B14007A_019M,B14007A_019MA,GEO_ID,NAME,state
3180362,null,6473,null,772228,null,7552,null,45404,null,3107,null,45942,null,3776,null,38102,null,2886,null,37964,null,3097,null,45486,null,3405,null,40149,null,2892,null,37043,null,2786,null,41088,null,3690,null,39580,null,3358,null,42463,null,3659,null,36563,null,2468,null,41974,null,2597,null,37857,null,2850,null,39094,null,2686,null,170612,null,5470,null,32907,null,3129,null,2408134,null,7589,null,0400000US01,Alabama,01
458786,null,2962,null,122613,null,4229,null,5007,null,1133,null,5215,null,1148,null,6114,null,1340,null,3768,null,866,null,5769,null,1071,null,6183,null,1219,null,6148,null,1038,null,6505,null,1246,null,7136,null,1269,null,6697,null,1354,null,7274,null,1265,null,5699,null,1070,null,6139,null,1243,null,8310,null,1496,null,30046,null,3237,null,6603,null,1243,null,336173,null,4410,null,0400000US02,Alaska,02
5050405,null,21646,null,1304405,null,16085,null,64603,null,4342,null,73568,null,4935,null,68695,null,4505,null,67084,null,4621,null,64591,null,4368,null,67310,null,4435,null,70721,null,4169,null,69370,null,4414,null,66716,null,4204,null,71952,null,4241,null,71151,null,4327,null,68888,null,4092,null,61484,null,3912,null,70576,null,4510,null,281902,null,8594,null,65794,null,4547,null,3746000,null,16657,null,0400000US04,Arizona,04
2177887,null,6706,null,522718,null,7239,null,35993,null,3442,null,26702,null,2496,null,28695,null,2939,null,29490,null,2552,null,27826,null,2428,null,29986,null,2683,null,28412,null,2721,null,28189,null,3018,null,25526,null,2532,null,27003,null,2436,null,27385,null,2663,null,25762,null,2135,null,27526,null,2312,null,27717,null,2983,null,108767,null,4652,null,17739,null,2429,null,1655169,null,7346,null,0400000US05,Arkansas,05
22234030,null,72888,null,6111320,null,36734,null,363916,null,9458,null,289157,null,9354,null,278395,null,7641,null,290510,null,9666,null,293044,null,8368,null,296807,null,9255,null,294336,null,7583,null,296075,null,8741,null,309867,null,8145,null,313186,null,8433,null,307140,null,9407,null,307103,null,7571,null,321630,null,8049,null,377258,null,8315,null,1464699,null,20813,null,308197,null,9493,null,16122710,null,53070,null,0400000US06,California,06
4083479,null,14801,null,1067510,null,12516,null,75630,null,4283,null,52371,null,3652,null,54494,null,3997,null,57905,null,3420,null,51076,null,3001,null,51875,null,3489,null,51246,null,3388,null,52235,null,3231,null,47858,null,2988,null,49169,null,3169,null,53722,null,3695,null,51128,null,3150,null,51222,null,2961,null,55612,null,3795,null,249723,null,8723,null,62244,null,4062,null,3015969,null,15273,null,0400000US08,Colorado,08
2701747,null,11640,null,694026,null,8080,null,46885,null,2916,null,28938,null,2164,null,29225,null,2541,null,31633,null,2514,null,30996,null,2336,null,32940,null,2378,null,33022,null,2403,null,33611,null,2463,null,35259,null,2372,null,39125,null,2971,null,36062,null,2911,null,35668,null,2145,null,35671,null,2358,null,40314,null,2525,null,162818,null,5890,null,41859,null,3456,null,2007721,null,9748,null,0400000US09,Connecticut,09
614284,null,4176,null,148845,null,3993,null,9421,null,1691,null,5652,null,1062,null,8288,null,1455,null,6303,null,1074,null,8855,null,1535,null,8251,null,1380,null,7564,null,1324,null,6012,null,1149,null,7453,null,1312,null,8009,null,1141,null,7881,null,1503,null,7621,null,1179,null,6678,null,1117,null,8185,null,1439,null,35488,null,2593,null,7184,null,1299,null,465439,null,4305,null,0400000US10,Delaware,10
224214,null,3663,null,53884,null,2794,null,2923,null,856,null,1518,null,697,null,1774,null,846,null,1808,null,816,null,931,null,495,null,1924,null,515,null,1343,null,613,null,1028,null,471,null,1270,null,619,null,1337,null,532,null,382,null,304,null,1182,null,499,null,1256,null,561,null,1250,null,722,null,21440,null,1803,null,12518,null,1706,null,170330,null,3023,null,0400000US11,District of Columbia,11
13785852,null,28475,null,3066763,null,16752,null,196395,null,8561,null,141806,null,6127,null,141388,null,6652,null,150778,null,7808,null,154159,null,6043,null,158587,null,6062,null,155227,null,6330,null,161610,null,6042,null,155638,null,7078,null,168599,null,7654,null,157846,null,6496,null,158235,null,5940,null,144813,null,5631,null,166260,null,6784,null,719770,null,13535,null,135652,null,7108,null,10719089,null,26025,null,0400000US12,Florida,12
