C17010C_001E,C17010C_001EA,C17010C_001M,C17010C_001MA,C17010C_002E,C17010C_002EA,C17010C_002M,C17010C_002MA,C17010C_003E,C17010C_003EA,C17010C_003M,C17010C_003MA,C17010C_004E,C17010C_004EA,C17010C_004M,C17010C_004MA,C17010C_005E,C17010C_005EA,C17010C_005M,C17010C_005MA,C17010C_006E,C17010C_006EA,C17010C_006M,C17010C_006MA,C17010C_007E,C17010C_007EA,C17010C_007M,C17010C_007MA,C17010C_008E,C17010C_008EA,C17010C_008M,C17010C_008MA,C17010C_009E,C17010C_009EA,C17010C_009M,C17010C_009MA,C17010C_010E,C17010C_010EA,C17010C_010M,C17010C_010MA,C17010C_011E,C17010C_011EA,C17010C_011M,C17010C_011MA,C17010C_012E,C17010C_012EA,C17010C_012M,C17010C_012MA,C17010C_013E,C17010C_013EA,C17010C_013M,C17010C_013MA,C17010C_014E,C17010C_014EA,C17010C_014M,C17010C_014MA,C17010C_015E,C17010C_015EA,C17010C_015M,C17010C_015MA,C17010C_016E,C17010C_016EA,C17010C_016M,C17010C_016MA,C17010C_017E,C17010C_017EA,C17010C_017M,C17010C_017MA,GEO_ID,NAME,state
6823,null,932,null,1300,null,762,null,785,null,673,null,656,null,646,null,515,null,333,null,100,null,118,null,100,null,118,null,415,null,314,null,415,null,314,null,5523,null,824,null,4374,null,714,null,1793,null,492,null,1149,null,432,null,296,null,208,null,255,null,190,null,853,null,373,null,553,null,317,null,0400000US01,Alabama,01
17700,null,1385,null,2430,null,427,null,689,null,190,null,677,null,187,null,1741,null,368,null,551,null,257,null,456,null,243,null,1190,null,270,null,1172,null,263,null,15270,null,1326,null,8848,null,1095,null,5674,null,844,null,6422,null,862,null,2393,null,635,null,1117,null,396,null,4029,null,689,null,2325,null,472,null,0400000US02,Alaska,02
52246,null,2908,null,16417,null,1943,null,4812,null,916,null,3509,null,887,null,11605,null,1716,null,2234,null,690,null,1813,null,615,null,9371,null,1695,null,7547,null,1626,null,35829,null,2477,null,20438,null,2064,null,11903,null,1596,null,15391,null,1746,null,3645,null,1186,null,2058,null,705,null,11746,null,1359,null,7461,null,1163,null,0400000US04,Arizona,04
4801,null,1091,null,1339,null,709,null,637,null,376,null,507,null,379,null,702,null,618,null,359,null,518,null,0,null,273,null,343,null,229,null,288,null,219,null,3462,null,963,null,2586,null,880,null,1015,null,485,null,876,null,462,null,345,null,362,null,219,null,304,null,531,null,285,null,409,null,235,null,0400000US05,Arkansas,05
65547,null,3877,null,10855,null,1793,null,3944,null,1093,null,3218,null,962,null,6911,null,1233,null,1539,null,647,null,946,null,530,null,5372,null,1225,null,4557,null,1118,null,54692,null,3241,null,36676,null,2678,null,18577,null,2096,null,18016,null,2240,null,6031,null,1188,null,3337,null,824,null,11985,null,1795,null,7387,null,1558,null,0400000US06,California,06
11897,null,1752,null,2477,null,767,null,649,null,391,null,605,null,399,null,1828,null,675,null,236,null,225,null,236,null,225,null,1592,null,637,null,1496,null,630,null,9420,null,1456,null,6270,null,1234,null,2980,null,878,null,3150,null,1058,null,1346,null,694,null,608,null,518,null,1804,null,801,null,1253,null,694,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
13583,null,1847,null,3166,null,1013,null,1545,null,642,null,1102,null,606,null,1621,null,785,null,173,null,224,null,70,null,126,null,1448,null,760,null,1334,null,688,null,10417,null,1719,null,7237,null,1489,null,3522,null,1159,null,3180,null,928,null,1279,null,612,null,1080,null,586,null,1901,null,781,null,1243,null,692,null,0400000US12,Florida,12
