B19121_001E,B19121_001EA,B19121_001M,B19121_001MA,B19121_002E,B19121_002EA,B19121_002M,B19121_002MA,B19121_003E,B19121_003EA,B19121_003M,B19121_003MA,B19121_004E,B19121_004EA,B19121_004M,B19121_004MA,B19121_005E,B19121_005EA,B19121_005M,B19121_005MA,GEO_ID,NAME,state
50779,null,659,null,25183,null,899,null,38018,null,709,null,70015,null,1038,null,85621,null,3221,null,0400000US01,Alabama,01
79934,null,2485,null,40215,null,6186,null,51112,null,3550,null,89785,null,1895,null,118346,null,5449,null,0400000US02,Alaska,02
57855,null,675,null,33960,null,897,null,41915,null,793,null,74461,null,940,null,92045,null,2258,null,0400000US04,Arizona,04
46868,null,846,null,25409,null,1437,null,32304,null,951,null,63508,null,1245,null,79668,null,3437,null,0400000US05,Arkansas,05
67038,null,377,null,29514,null,584,null,47234,null,649,null,86906,null,575,null,97571,null,1136,null,0400000US06,California,06
68943,null,836,null,35712,null,1546,null,47814,null,1384,null,83137,null,1355,null,98864,null,3330,null,0400000US08,Colorado,08
83069,null,1215,null,34392,null,2284,null,56929,null,1989,null,100833,null,1585,null,117818,null,2717,null,0400000US09,Connecticut,09
67582,null,2170,null,37176,null,3083,null,47634,null,2598,null,85535,null,3178,null,107920,null,5858,null,0400000US10,Delaware,10
71208,null,3818,null,14161,null,3018,null,48034,null,4956,null,116274,null,7087,null,126012,null,28306,null,0400000US11,District of Columbia,11
53509,null,474,null,34124,null,545,null,39383,null,514,null,69898,null,571,null,85308,null,1706,null,0400000US12,Florida,12
56176,null,602,null,24615,null,732,null,38748,null,669,null,75790,null,958,null,88413,null,1685,null,0400000US13,Georgia,13
75066,null,1578,null,36763,null,3742,null,49846,null,2226,null,86149,null,2574,null,116809,null,4209,null,0400000US15,Hawaii,15
51851,null,886,null,33460,null,2139,null,38420,null,1433,null,62729,null,1417,null,78704,null,3656,null,0400000US16,Idaho,16
66806,null,478,null,30254,null,661,null,45607,null,823,null,83149,null,804,null,99615,null,1523,null,0400000US17,Illinois,17
56432,null,584,null,29770,null,751,null,39487,null,658,null,71299,null,851,null,90391,null,1895,null,0400000US18,Indiana,18
61156,null,771,null,32392,null,1297,null,39803,null,1117,null,72320,null,985,null,88700,null,2021,null,0400000US19,Iowa,19
60994,null,915,null,32576,null,1386,null,40982,null,974,null,72680,null,1192,null,92214,null,1947,null,0400000US20,Kansas,20
49801,null,693,null,22637,null,820,null,36999,null,1153,null,68960,null,1151,null,89397,null,2527,null,0400000US21,Kentucky,21
53427,null,939,null,22528,null,848,null,37493,null,834,null,74933,null,1289,null,94866,null,2792,null,0400000US22,Louisiana,22
56566,null,1169,null,28814,null,2110,null,38860,null,1438,null,69347,null,1355,null,88243,null,2687,null,0400000US23,Maine,23
84254,null,913,null,35822,null,1524,null,54874,null,1590,null,102736,null,1233,null,122598,null,2739,null,0400000US24,Maryland,24
81033,null,946,null,29034,null,1134,null,54161,null,1555,null,98513,null,1271,null,119700,null,2508,null,0400000US25,Massachusetts,25
56681,null,426,null,32291,null,535,null,41875,null,570,null,74517,null,721,null,90974,null,1358,null,0400000US26,Michigan,26
69374,null,521,null,35853,null,1272,null,45022,null,1137,null,81592,null,928,null,98019,null,1654,null,0400000US27,Minnesota,27
45601,null,903,null,20508,null,732,null,32131,null,891,null,64262,null,1416,null,83046,null,4081,null,0400000US28,Mississippi,28
56318,null,639,null,29400,null,733,null,38697,null,772,null,71181,null,818,null,91311,null,1611,null,0400000US29,Missouri,29
55010,null,1352,null,30889,null,2069,null,37954,null,2206,null,68000,null,2448,null,88037,null,4960,null,0400000US30,Montana,30
