B05003A_001E,B05003A_001EA,B05003A_001M,B05003A_001MA,B05003A_002E,B05003A_002EA,B05003A_002M,B05003A_002MA,B05003A_003E,B05003A_003EA,B05003A_003M,B05003A_003MA,B05003A_004E,B05003A_004EA,B05003A_004M,B05003A_004MA,B05003A_005E,B05003A_005EA,B05003A_005M,B05003A_005MA,B05003A_006E,B05003A_006EA,B05003A_006M,B05003A_006MA,B05003A_007E,B05003A_007EA,B05003A_007M,B05003A_007MA,B05003A_008E,B05003A_008EA,B05003A_008M,B05003A_008MA,B05003A_009E,B05003A_009EA,B05003A_009M,B05003A_009MA,B05003A_010E,B05003A_010EA,B05003A_010M,B05003A_010MA,B05003A_011E,B05003A_011EA,B05003A_011M,B05003A_011MA,B05003A_012E,B05003A_012EA,B05003A_012M,B05003A_012MA,B05003A_013E,B05003A_013EA,B05003A_013M,B05003A_013MA,B05003A_014E,B05003A_014EA,B05003A_014M,B05003A_014MA,B05003A_015E,B05003A_015EA,B05003A_015M,B05003A_015MA,B05003A_016E,B05003A_016EA,B05003A_016M,B05003A_016MA,B05003A_017E,B05003A_017EA,B05003A_017M,B05003A_017MA,B05003A_018E,B05003A_018EA,B05003A_018M,B05003A_018MA,B05003A_019E,B05003A_019EA,B05003A_019M,B05003A_019MA,B05003A_020E,B05003A_020EA,B05003A_020M,B05003A_020MA,B05003A_021E,B05003A_021EA,B05003A_021M,B05003A_021MA,B05003A_022E,B05003A_022EA,B05003A_022M,B05003A_022MA,B05003A_023E,B05003A_023EA,B05003A_023M,B05003A_023MA,GEO_ID,NAME,state
3295027,null,5329,null,1613635,null,4341,null,371003,null,2612,null,367385,null,2537,null,3618,null,1057,null,564,null,265,null,3054,null,1006,null,1242632,null,3050,null,1206997,null,2823,null,35635,null,2971,null,8681,null,1736,null,26954,null,2711,null,1681392,null,4031,null,354136,null,2817,null,350042,null,2839,null,4094,null,1124,null,1423,null,529,null,2671,null,944,null,1327256,null,2396,null,1296896,null,2803,null,30360,null,2214,null,10022,null,1668,null,20338,null,1927,null,0400000US01,Alabama,01
477384,null,2779,null,251816,null,2037,null,57132,null,1239,null,56772,null,1284,null,360,null,330,null,212,null,239,null,148,null,150,null,194684,null,1393,null,187778,null,1782,null,6906,null,1463,null,3243,null,759,null,3663,null,1372,null,225568,null,1509,null,52603,null,1061,null,52263,null,1056,null,340,null,193,null,66,null,86,null,274,null,186,null,172965,null,933,null,165583,null,1549,null,7382,null,1473,null,4170,null,950,null,3212,null,1091,null,0400000US02,Alaska,02
5275163,null,22502,null,2650266,null,12555,null,657634,null,6767,null,633696,null,7126,null,23938,null,3297,null,1848,null,796,null,22090,null,3162,null,1992632,null,9122,null,1680568,null,10836,null,312064,null,11302,null,86780,null,4908,null,225284,null,10781,null,2624897,null,12394,null,613422,null,6978,null,592452,null,6707,null,20970,null,2935,null,2048,null,678,null,18922,null,2937,null,2011475,null,7709,null,1726336,null,11800,null,285139,null,9472,null,100551,null,6124,null,184588,null,7744,null,0400000US04,Arizona,04
2265537,null,6371,null,1111124,null,4451,null,259942,null,2985,null,257995,null,2985,null,1947,null,653,null,118,null,151,null,1829,null,643,null,851182,null,2555,null,824045,null,2234,null,27137,null,2573,null,7674,null,1615,null,19463,null,2675,null,1154413,null,4335,null,250336,null,3308,null,247189,null,3143,null,3147,null,994,null,320,null,386,null,2827,null,958,null,904077,null,2221,null,878788,null,2497,null,25289,null,2315,null,9369,null,1705,null,15920,null,1791,null,0400000US05,Arkansas,05
23157650,null,76456,null,11610808,null,42333,null,2809361,null,20113,null,2677645,null,21810,null,131716,null,7590,null,15337,null,2262,null,116379,null,6844,null,8801447,null,30664,null,6763190,null,23251,null,2038257,null,24903,null,823888,null,16527,null,1214369,null,22883,null,11546842,null,39336,null,2663579,null,19494,null,2533649,null,20901,null,129930,null,6662,null,14789,null,2273,null,115141,null,6236,null,8883263,null,24814,null,6840622,null,23375,null,2042641,null,20866,null,940909,null,13998,null,1101732,null,17201,null,0400000US06,California,06
4251059,null,15433,null,2139415,null,9201,null,496819,null,4717,null,485782,null,4632,null,11037,null,2108,null,1669,null,497,null,9368,null,2083,null,1642596,null,6864,null,1497815,null,7556,null,144781,null,7670,null,39561,null,3755,null,105220,null,6902,null,2111644,null,8357,null,470421,null,5168,null,458561,null,5773,null,11860,null,2523,null,1887,null,811,null,9973,null,2339,null,1641223,null,5016,null,1512135,null,6706,null,129088,null,5475,null,43399,null,3300,null,85689,null,5023,null,0400000US08,Colorado,08
2782023,null,11137,null,1352800,null,6308,null,298269,null,3068,null,290957,null,3275,null,7312,null,1584,null,1453,null,580,null,5859,null,1432,null,1054531,null,4497,null,948458,null,5224,null,106073,null,5582,null,53151,null,3842,null,52922,null,4796,null,1429223,null,5860,null,283767,null,2960,null,277147,null,2882,null,6620,null,1694,null,1986,null,703,null,4634,null,1412,null,1145456,null,3855,null,1036355,null,4999,null,109101,null,4405,null,60171,null,3467,null,48930,null,3561,null,0400000US09,Connecticut,09
636530,null,4204,null,310597,null,2564,null,69820,null,1370,null,68088,null,1377,null,1732,null,852,null,541,null,513,null,1191,null,651,null,240777,null,1820,null,227288,null,1867,null,13489,null,2282,null,4745,null,946,null,8744,null,2030,null,325933,null,2028,null,64734,null,1231,null,63443,null,1339,null,1291,null,650,null,527,null,492,null,764,null,517,null,261199,null,1146,null,246883,null,1929,null,14316,null,2104,null,5760,null,1221,null,8556,null,1687,null,0400000US10,Delaware,10
232247,null,4198,null,115399,null,2026,null,14321,null,1229,null,13051,null,1309,null,1270,null,719,null,90,null,147,null,1180,null,706,null,101078,null,1339,null,84476,null,1954,null,16602,null,2117,null,5344,null,1166,null,11258,null,1928,null,116848,null,2642,null,15548,null,1246,null,14761,null,1209,null,787,null,567,null,73,null,128,null,714,null,551,null,101300,null,1685,null,84614,null,1734,null,16686,null,2119,null,6633,null,1261,null,10053,null,1781,null,0400000US11,District of Columbia,11
14258610,null,28885,null,7027711,null,16991,null,1441275,null,7351,null,1368764,null,8924,null,72511,null,5271,null,12121,null,2560,null,60390,null,4385,null,5586436,null,12766,null,4550275,null,16372,null,1036161,null,18680,null,466413,null,11202,null,569748,null,17652,null,7230899,null,15543,null,1362064,null,7674,null,1295044,null,8850,null,67020,null,5419,null,9323,null,1368,null,57697,null,5431,null,5868835,null,10807,null,4769125,null,15696,null,1099710,null,17049,null,591231,null,12309,null,508479,null,14425,null,0400000US12,Florida,12
