B25003G_001E,B25003G_001EA,B25003G_001M,B25003G_001MA,B25003G_002E,B25003G_002EA,B25003G_002M,B25003G_002MA,B25003G_003E,B25003G_003EA,B25003G_003M,B25003G_003MA,GEO_ID,NAME,state
17707,null,1875,null,11188,null,1419,null,6519,null,1251,null,0400000US01,Alabama,01
10910,null,1522,null,6173,null,1118,null,4737,null,1150,null,0400000US02,Alaska,02
33070,null,3060,null,18377,null,2045,null,14693,null,2187,null,0400000US04,Arizona,04
16648,null,2018,null,9489,null,1718,null,7159,null,1498,null,0400000US05,Arkansas,05
301207,null,7951,null,146780,null,5241,null,154427,null,7108,null,0400000US06,California,06
37763,null,2981,null,21992,null,2101,null,15771,null,2426,null,0400000US08,Colorado,08
15219,null,1821,null,7895,null,1067,null,7324,null,1437,null,0400000US09,Connecticut,09
3730,null,873,null,1928,null,646,null,1802,null,731,null,0400000US10,Delaware,10
3573,null,860,null,1325,null,557,null,2248,null,691,null,0400000US11,District of Columbia,11
88716,null,4433,null,53241,null,3131,null,35475,null,3361,null,0400000US12,Florida,12
33950,null,3111,null,19677,null,2275,null,14273,null,2305,null,0400000US13,Georgia,13
72897,null,3871,null,33972,null,2872,null,38925,null,3207,null,0400000US15,Hawaii,15
8160,null,1480,null,4160,null,1028,null,4000,null,1091,null,0400000US16,Idaho,16
46479,null,3701,null,24522,null,1948,null,21957,null,2549,null,0400000US17,Illinois,17
26713,null,2234,null,13869,null,1534,null,12844,null,1874,null,0400000US18,Indiana,18
11178,null,1914,null,6250,null,1325,null,4928,null,1242,null,0400000US19,Iowa,19
19094,null,1692,null,9824,null,1357,null,9270,null,1225,null,0400000US20,Kansas,20
16227,null,2134,null,9115,null,1700,null,7112,null,1297,null,0400000US21,Kentucky,21
15125,null,2182,null,9227,null,1471,null,5898,null,1459,null,0400000US22,Louisiana,22
8041,null,1248,null,3202,null,762,null,4839,null,1116,null,0400000US23,Maine,23
26948,null,2604,null,14991,null,1715,null,11957,null,1858,null,0400000US24,Maryland,24
34601,null,3010,null,13510,null,1945,null,21091,null,2431,null,0400000US25,Massachusetts,25
46711,null,3293,null,25783,null,2162,null,20928,null,2318,null,0400000US26,Michigan,26
19792,null,1971,null,10573,null,1469,null,9219,null,1622,null,0400000US27,Minnesota,27
9553,null,1721,null,6286,null,1197,null,3267,null,1008,null,0400000US28,Mississippi,28
31359,null,3002,null,16482,null,1999,null,14877,null,2237,null,0400000US29,Missouri,29
4295,null,1040,null,2474,null,699,null,1821,null,692,null,0400000US30,Montana,30
10313,null,1250,null,5150,null,860,null,5163,null,1079,null,0400000US31,Nebraska,31
22898,null,2462,null,11190,null,1514,null,11708,null,1939,null,0400000US32,Nevada,32
4065,null,995,null,2513,null,743,null,1552,null,615,null,0400000US33,New Hampshire,33
42629,null,3468,null,19341,null,2346,null,23288,null,2888,null,0400000US34,New Jersey,34
15662,null,1964,null,10081,null,1662,null,5581,null,1466,null,0400000US35,New Mexico,35
103079,null,5477,null,37510,null,2914,null,65569,null,5353,null,0400000US36,New York,36
43735,null,3704,null,21327,null,2520,null,22408,null,2914,null,0400000US37,North Carolina,37
2301,null,722,null,1345,null,484,null,956,null,534,null,0400000US38,North Dakota,38
44906,null,3221,null,21958,null,2381,null,22948,null,2142,null,0400000US39,Ohio,39
76884,null,3450,null,45916,null,3062,null,30968,null,2626,null,0400000US40,Oklahoma,40
31518,null,3141,null,15549,null,2010,null,15969,null,2274,null,0400000US41,Oregon,41
41313,null,3073,null,20998,null,1919,null,20315,null,2340,null,0400000US42,Pennsylvania,42
5350,null,1448,null,2123,null,829,null,3227,null,1201,null,0400000US44,Rhode Island,44
11757,null,1751,null,5741,null,1197,null,6016,null,1282,null,0400000US45,South Carolina,45
3592,null,1046,null,1538,null,728,null,2054,null,703,null,0400000US46,South Dakota,46
25434,null,2154,null,15556,null,1936,null,9878,null,1607,null,0400000US47,Tennessee,47
131056,null,6188,null,76973,null,4145,null,54083,null,4658,null,0400000US48,Texas,48
9235,null,1524,null,6322,null,1184,null,2913,null,871,null,0400000US49,Utah,49
3877,null,791,null,1531,null,464,null,2346,null,785,null,0400000US50,Vermont,50
39452,null,3701,null,21250,null,2459,null,18202,null,2383,null,0400000US51,Virginia,51
63406,null,3915,null,32623,null,2749,null,30783,null,2791,null,0400000US53,Washington,53
8990,null,1379,null,3870,null,989,null,5120,null,1012,null,0400000US54,West Virginia,54
18488,null,2074,null,8747,null,1318,null,9741,null,1694,null,0400000US55,Wisconsin,55
4093,null,1032,null,2433,null,1021,null,1660,null,643,null,0400000US56,Wyoming,56
126599,null,4483,null,80652,null,4128,null,45947,null,3115,null,0400000US72,Puerto Rico,72
