B16005I_001E,B16005I_001EA,B16005I_001M,B16005I_001MA,B16005I_002E,B16005I_002EA,B16005I_002M,B16005I_002MA,B16005I_003E,B16005I_003EA,B16005I_003M,B16005I_003MA,B16005I_004E,B16005I_004EA,B16005I_004M,B16005I_004MA,B16005I_005E,B16005I_005EA,B16005I_005M,B16005I_005MA,B16005I_006E,B16005I_006EA,B16005I_006M,B16005I_006MA,B16005I_007E,B16005I_007EA,B16005I_007M,B16005I_007MA,B16005I_008E,B16005I_008EA,B16005I_008M,B16005I_008MA,B16005I_009E,B16005I_009EA,B16005I_009M,B16005I_009MA,B16005I_010E,B16005I_010EA,B16005I_010M,B16005I_010MA,B16005I_011E,B16005I_011EA,B16005I_011M,B16005I_011MA,GEO_ID,NAME,state
122069,null,2400,null,54315,null,2923,null,28990,null,2964,null,25325,null,2701,null,19237,null,2803,null,6088,null,1544,null,67754,null,2820,null,3277,null,1065,null,64477,null,3038,null,13488,null,2196,null,50989,null,3274,null,0400000US01,Alabama,01
38719,null,689,null,28140,null,2008,null,17471,null,2314,null,10669,null,1586,null,9585,null,1458,null,1084,null,543,null,10579,null,2150,null,1129,null,729,null,9450,null,2217,null,3620,null,1132,null,5830,null,2021,null,0400000US02,Alaska,02
1789542,null,1063,null,1162027,null,15978,null,534663,null,17054,null,627364,null,13462,null,527947,null,12297,null,99417,null,6976,null,627515,null,16033,null,24217,null,3396,null,603298,null,15429,null,180786,null,7755,null,422512,null,14270,null,0400000US04,Arizona,04
147229,null,2198,null,71544,null,2967,null,32536,null,2839,null,39008,null,3395,null,29949,null,3417,null,9059,null,1901,null,75685,null,3306,null,2414,null,971,null,73271,null,3250,null,20303,null,2308,null,52968,null,3431,null,0400000US05,Arkansas,05
12212282,null,896,null,6899071,null,36747,null,2619619,null,40249,null,4279452,null,32805,null,3514635,null,29374,null,764817,null,16668,null,5313211,null,36687,null,156978,null,8007,null,5156233,null,37133,null,1324585,null,23038,null,3831648,null,37867,null,0400000US06,California,06
897034,null,633,null,625317,null,11965,null,387945,null,12955,null,237372,null,8354,null,186182,null,7719,null,51190,null,4642,null,271717,null,11929,null,10496,null,2873,null,261221,null,12218,null,69685,null,6289,null,191536,null,9421,null,0400000US08,Colorado,08
389394,null,756,null,275473,null,6579,null,78569,null,5134,null,196904,null,7086,null,137893,null,6673,null,59011,null,4237,null,113921,null,6387,null,4335,null,1177,null,109586,null,6427,null,31609,null,3682,null,77977,null,5438,null,0400000US09,Connecticut,09
54627,null,0,*****,31794,null,2782,null,16003,null,2623,null,15791,null,2021,null,11367,null,1845,null,4424,null,961,null,22833,null,2781,null,2124,null,872,null,20709,null,2519,null,5134,null,1749,null,15575,null,2452,null,0400000US10,Delaware,10
47174,null,0,*****,19569,null,2492,null,8520,null,2056,null,11049,null,2096,null,8979,null,1862,null,2070,null,837,null,27605,null,2492,null,9211,null,2218,null,18394,null,2630,null,7086,null,1585,null,11308,null,2226,null,0400000US11,District of Columbia,11
3631432,null,2072,null,1675666,null,23476,null,447950,null,15738,null,1227716,null,23520,null,972368,null,18738,null,255348,null,11052,null,1955766,null,23584,null,71575,null,5643,null,1884191,null,23690,null,623365,null,13717,null,1260826,null,22922,null,0400000US12,Florida,12
695493,null,3007,null,290571,null,8472,null,103219,null,6668,null,187352,null,8132,null,146852,null,7579,null,40500,null,3826,null,404922,null,8471,null,17558,null,2866,null,387364,null,8989,null,97138,null,6226,null,290226,null,8874,null,0400000US13,Georgia,13
100012,null,0,*****,89023,null,1888,null,75203,null,3408,null,13820,null,2671,null,11316,null,2178,null,2504,null,1912,null,10989,null,1887,null,1668,null,861,null,9321,null,1705,null,4831,null,1032,null,4490,null,1168,null,0400000US15,Hawaii,15
143931,null,846,null,87085,null,4035,null,47654,null,3898,null,39431,null,3621,null,33473,null,3476,null,5958,null,1328,null,56846,null,4038,null,6491,null,1624,null,50355,null,3955,null,14914,null,2511,null,35441,null,3019,null,0400000US16,Idaho,16
1744978,null,1921,null,948202,null,16022,null,301182,null,13678,null,647020,null,13585,null,515247,null,13482,null,131773,null,7407,null,796776,null,15313,null,21920,null,2662,null,774856,null,15590,null,207371,null,9718,null,567485,null,14762,null,0400000US17,Illinois,17
301354,null,1810,null,172396,null,5254,null,93204,null,5914,null,79192,null,4470,null,60149,null,3991,null,19043,null,2705,null,128958,null,4998,null,5352,null,1429,null,123606,null,5010,null,33884,null,3490,null,89722,null,4721,null,0400000US18,Indiana,18
113816,null,1851,null,66043,null,3056,null,34865,null,3046,null,31178,null,2598,null,25376,null,2327,null,5802,null,1474,null,47773,null,3041,null,1706,null,492,null,46067,null,3064,null,11554,null,1837,null,34513,null,2878,null,0400000US19,Iowa,19
227761,null,1291,null,133377,null,4561,null,69314,null,4925,null,64063,null,3405,null,51520,null,3504,null,12543,null,1787,null,94384,null,4847,null,2256,null,862,null,92128,null,4851,null,24658,null,2746,null,67470,null,3805,null,0400000US20,Kansas,20
93424,null,2551,null,46898,null,3655,null,29389,null,2735,null,17509,null,2497,null,13272,null,2297,null,4237,null,1090,null,46526,null,3674,null,1663,null,752,null,44863,null,3544,null,10875,null,2361,null,33988,null,3503,null,0400000US21,Kentucky,21
145261,null,1988,null,79168,null,4174,null,51560,null,4205,null,27608,null,2819,null,22087,null,2336,null,5521,null,1532,null,66093,null,3595,null,4852,null,1488,null,61241,null,3859,null,24600,null,2775,null,36641,null,3499,null,0400000US22,Louisiana,22
15443,null,678,null,12006,null,891,null,8351,null,1158,null,3655,null,980,null,2773,null,743,null,882,null,556,null,3437,null,1027,null,1385,null,795,null,2052,null,719,null,1195,null,464,null,857,null,472,null,0400000US23,Maine,23
358098,null,1458,null,142865,null,5188,null,62054,null,4474,null,80811,null,4566,null,65892,null,4585,null,14919,null,2436,null,215233,null,5196,null,30119,null,4006,null,185114,null,6482,null,54775,null,4277,null,130339,null,5825,null,0400000US24,Maryland,24
522047,null,891,null,330904,null,7612,null,105116,null,7360,null,225788,null,6973,null,156086,null,7368,null,69702,null,4650,null,191143,null,7695,null,12349,null,1875,null,178794,null,7643,null,54548,null,4970,null,124246,null,5885,null,0400000US25,Massachusetts,25
374344,null,1454,null,267354,null,7392,null,157478,null,6839,null,109876,null,6199,null,87483,null,5408,null,22393,null,3085,null,106990,null,7385,null,6443,null,1341,null,100547,null,7123,null,33378,null,3739,null,67169,null,5714,null,0400000US26,Michigan,26
191298,null,1224,null,100144,null,3812,null,54774,null,3694,null,45370,null,3258,null,35239,null,2737,null,10131,null,1495,null,91154,null,3879,null,8301,null,1677,null,82853,null,3879,null,22336,null,2472,null,60517,null,3939,null,0400000US27,Minnesota,27
58243,null,2864,null,29768,null,3244,null,15628,null,3118,null,14140,null,2118,null,10284,null,2095,null,3856,null,1094,null,28475,null,3315,null,2039,null,1098,null,26436,null,3023,null,7339,null,1429,null,19097,null,2973,null,0400000US28,Mississippi,28
173269,null,1665,null,111678,null,4350,null,71428,null,4520,null,40250,null,3321,null,32792,null,3182,null,7458,null,1210,null,61591,null,3886,null,5142,null,1082,null,56449,null,3870,null,17302,null,2394,null,39147,null,3530,null,0400000US29,Missouri,29
24450,null,1311,null,20966,null,1600,null,16821,null,1753,null,4145,null,935,null,3457,null,905,null,688,null,417,null,3484,null,941,null,1073,null,636,null,2411,null,882,null,1274,null,583,null,1137,null,627,null,0400000US30,Montana,30
126093,null,1345,null,67483,null,3160,null,33188,null,3765,null,34295,null,2669,null,28624,null,2772,null,5671,null,1252,null,58610,null,3068,null,2431,null,861,null,56179,null,3079,null,12490,null,1962,null,43689,null,2901,null,0400000US31,Nebraska,31
616984,null,1401,null,327688,null,7592,null,138457,null,8243,null,189231,null,8131,null,147798,null,8201,null,41433,null,5613,null,289296,null,7705,null,15977,null,3150,null,273319,null,7338,null,74357,null,5389,null,198962,null,7695,null,0400000US32,Nevada,32
32941,null,612,null,22819,null,1725,null,11509,null,1625,null,11310,null,1354,null,8319,null,1242,null,2991,null,941,null,10122,null,1570,null,1856,null,875,null,8266,null,1450,null,3487,null,988,null,4779,null,1392,null,0400000US33,New Hampshire,33
1306418,null,838,null,676622,null,15040,null,196010,null,10975,null,480612,null,13808,null,364800,null,11891,null,115812,null,6527,null,629796,null,15020,null,29229,null,3603,null,600567,null,15583,null,168130,null,8610,null,432437,null,14336,null,0400000US34,New Jersey,34
830313,null,1299,null,678186,null,8829,null,327091,null,10495,null,351095,null,9066,null,301644,null,8753,null,49451,null,3082,null,152127,null,8778,null,5926,null,1794,null,146201,null,8642,null,45094,null,5138,null,101107,null,7673,null,0400000US35,New Mexico,35
2970736,null,1412,null,1687018,null,17841,null,500878,null,14811,null,1186140,null,19101,null,916878,null,18692,null,269262,null,9402,null,1283718,null,18017,null,49032,null,4620,null,1234686,null,17101,null,317796,null,11146,null,916890,null,17569,null,0400000US36,New York,36
602874,null,2392,null,248062,null,9087,null,88780,null,7365,null,159282,null,7811,null,119361,null,7337,null,39921,null,3582,null,354812,null,9085,null,17863,null,3767,null,336949,null,8718,null,88240,null,5693,null,248709,null,8581,null,0400000US37,North Carolina,37
11685,null,656,null,10287,null,752,null,6322,null,980,null,3965,null,901,null,3543,null,919,null,422,null,321,null,1398,null,545,null,16,null,23,null,1382,null,547,null,994,null,494,null,388,null,204,null,0400000US38,North Dakota,38
