B07404G_001E,B07404G_001EA,B07404G_001M,B07404G_001MA,B07404G_002E,B07404G_002EA,B07404G_002M,B07404G_002MA,B07404G_003E,B07404G_003EA,B07404G_003M,B07404G_003MA,B07404G_004E,B07404G_004EA,B07404G_004M,B07404G_004MA,B07404G_005E,B07404G_005EA,B07404G_005M,B07404G_005MA,GEO_ID,NAME,state
60140,null,5019,null,48104,null,4671,null,7372,null,1732,null,3381,null,1244,null,1283,null,652,null,0400000US01,Alabama,01
49166,null,3676,null,35891,null,3609,null,7513,null,1716,null,3659,null,1435,null,2103,null,963,null,0400000US02,Alaska,02
171301,null,10117,null,133977,null,8689,null,29425,null,4313,null,3311,null,1271,null,4588,null,1350,null,0400000US04,Arizona,04
55827,null,4533,null,42425,null,3895,null,7646,null,1868,null,2407,null,935,null,3349,null,1478,null,0400000US05,Arkansas,05
1353154,null,26958,null,1100317,null,21186,null,173972,null,11676,null,56005,null,5577,null,22860,null,3532,null,0400000US06,California,06
155443,null,8402,null,113345,null,6729,null,26724,null,4744,null,8765,null,2047,null,6609,null,1747,null,0400000US08,Colorado,08
75503,null,5387,null,61511,null,5156,null,9851,null,2433,null,2324,null,670,null,1817,null,741,null,0400000US09,Connecticut,09
18242,null,2672,null,15416,null,2390,null,1540,null,938,null,221,null,170,null,1065,null,731,null,0400000US10,Delaware,10
10289,null,2094,null,7887,null,1814,null,1030,null,480,null,0,null,271,null,1372,null,718,null,0400000US11,District of Columbia,11
341710,null,14486,null,275727,null,12341,null,41868,null,5603,null,13780,null,3337,null,10335,null,2062,null,0400000US12,Florida,12
152602,null,10481,null,118538,null,8403,null,17507,null,3677,null,9768,null,2152,null,6789,null,1780,null,0400000US13,Georgia,13
299106,null,12793,null,250397,null,12791,null,36153,null,4917,null,4694,null,2008,null,7862,null,2592,null,0400000US15,Hawaii,15
37684,null,3572,null,29898,null,3500,null,3406,null,1217,null,2355,null,1127,null,2025,null,901,null,0400000US16,Idaho,16
218707,null,11210,null,176469,null,9751,null,28044,null,4531,null,8117,null,2349,null,6077,null,1465,null,0400000US17,Illinois,17
113306,null,6726,null,84024,null,6157,null,19995,null,2706,null,4982,null,1117,null,4305,null,1142,null,0400000US18,Indiana,18
