C16007_001E,C16007_001EA,C16007_001M,C16007_001MA,C16007_002E,C16007_002EA,C16007_002M,C16007_002MA,C16007_003E,C16007_003EA,C16007_003M,C16007_003MA,C16007_004E,C16007_004EA,C16007_004M,C16007_004MA,C16007_005E,C16007_005EA,C16007_005M,C16007_005MA,C16007_006E,C16007_006EA,C16007_006M,C16007_006MA,C16007_007E,C16007_007EA,C16007_007M,C16007_007MA,C16007_008E,C16007_008EA,C16007_008M,C16007_008MA,C16007_009E,C16007_009EA,C16007_009M,C16007_009MA,C16007_010E,C16007_010EA,C16007_010M,C16007_010MA,C16007_011E,C16007_011EA,C16007_011M,C16007_011MA,C16007_012E,C16007_012EA,C16007_012M,C16007_012MA,C16007_013E,C16007_013EA,C16007_013M,C16007_013MA,GEO_ID,NAME,state
4394837,null,2930,null,812304,null,3177,null,769024,null,4385,null,29419,null,3042,null,13861,null,2462,null,2933487,null,2874,null,2785494,null,5435,null,91045,null,4237,null,56948,null,3574,null,649046,null,2514,null,636655,null,2846,null,3835,null,1137,null,8556,null,1262,null,0400000US01,Alabama,01
643692,null,1295,null,128731,null,1234,null,107941,null,2384,null,6065,null,1262,null,14725,null,1574,null,463018,null,1545,null,386238,null,3965,null,19725,null,2382,null,57055,null,3545,null,51943,null,1368,null,43864,null,1025,null,1069,null,405,null,7010,null,1082,null,0400000US02,Alaska,02
6079191,null,1576,null,1215277,null,1691,null,842835,null,11522,null,316407,null,9521,null,56035,null,5151,null,3996835,null,1849,null,2826587,null,17527,null,899711,null,13520,null,270537,null,11325,null,867079,null,1534,null,726157,null,4279,null,88039,null,2222,null,52883,null,3685,null,0400000US04,Arizona,04
2687139,null,2239,null,505416,null,2902,null,457608,null,4051,null,40158,null,2760,null,7650,null,1832,null,1769141,null,2451,null,1645226,null,4690,null,91661,null,2912,null,32254,null,2977,null,412582,null,2017,null,401790,null,2023,null,4719,null,1478,null,6073,null,1180,null,0400000US05,Arkansas,05
34212484,null,3343,null,6685922,null,3504,null,3685466,null,26570,null,2359208,null,20954,null,641248,null,12590,null,23383331,null,3658,null,13034547,null,36731,null,6803874,null,27315,null,3544910,null,23923,null,4143231,null,3033,null,2741757,null,10720,null,653350,null,6162,null,748124,null,9896,null,0400000US06,California,06
4660034,null,1862,null,863375,null,2140,null,699116,null,7784,null,133086,null,6846,null,31173,null,3073,null,3262718,null,2059,null,2719694,null,11506,null,378595,null,9339,null,164429,null,6980,null,533941,null,2003,null,464293,null,2878,null,41247,null,2496,null,28401,null,2316,null,0400000US08,Colorado,08
3308919,null,1147,null,597984,null,1184,null,487427,null,5021,null,69204,null,3808,null,41353,null,3146,null,2223898,null,1484,null,1740254,null,10561,null,249825,null,5434,null,233819,null,9158,null,487037,null,1379,null,405344,null,3501,null,21536,null,1348,null,60157,null,3523,null,0400000US09,Connecticut,09
825661,null,256,null,147303,null,374,null,132281,null,1788,null,8525,null,1288,null,6497,null,1327,null,552536,null,1032,null,481549,null,4508,null,35791,null,3035,null,35196,null,3267,null,125822,null,930,null,117431,null,1567,null,1561,null,669,null,6830,null,1641,null,0400000US10,Delaware,10
561505,null,772,null,75558,null,772,null,67105,null,1761,null,6133,null,1252,null,2320,null,911,null,415925,null,711,null,359240,null,3282,null,27966,null,2255,null,28719,null,2639,null,70022,null,710,null,64634,null,1526,null,1499,null,634,null,3889,null,1055,null,0400000US11,District of Columbia,11
17374812,null,2501,null,2894262,null,3333,null,2138265,null,14915,null,576840,null,9668,null,179157,null,9973,null,11281585,null,4974,null,8088270,null,25364,null,2364322,null,16416,null,828993,null,21451,null,3198965,null,4311,null,2575319,null,8783,null,411643,null,4102,null,212003,null,7405,null,0400000US12,Florida,12
