C17010A_001E,C17010A_001EA,C17010A_001M,C17010A_001MA,C17010A_002E,C17010A_002EA,C17010A_002M,C17010A_002MA,C17010A_003E,C17010A_003EA,C17010A_003M,C17010A_003MA,C17010A_004E,C17010A_004EA,C17010A_004M,C17010A_004MA,C17010A_005E,C17010A_005EA,C17010A_005M,C17010A_005MA,C17010A_006E,C17010A_006EA,C17010A_006M,C17010A_006MA,C17010A_007E,C17010A_007EA,C17010A_007M,C17010A_007MA,C17010A_008E,C17010A_008EA,C17010A_008M,C17010A_008MA,C17010A_009E,C17010A_009EA,C17010A_009M,C17010A_009MA,C17010A_010E,C17010A_010EA,C17010A_010M,C17010A_010MA,C17010A_011E,C17010A_011EA,C17010A_011M,C17010A_011MA,C17010A_012E,C17010A_012EA,C17010A_012M,C17010A_012MA,C17010A_013E,C17010A_013EA,C17010A_013M,C17010A_013MA,C17010A_014E,C17010A_014EA,C17010A_014M,C17010A_014MA,C17010A_015E,C17010A_015EA,C17010A_015M,C17010A_015MA,C17010A_016E,C17010A_016EA,C17010A_016M,C17010A_016MA,C17010A_017E,C17010A_017EA,C17010A_017M,C17010A_017MA,GEO_ID,NAME,state
904062,null,9177,null,78888,null,3974,null,36345,null,2905,null,21299,null,2461,null,42543,null,3344,null,6427,null,1429,null,4277,null,1107,null,36116,null,3167,null,30379,null,2783,null,825174,null,9685,null,691806,null,9227,null,270768,null,6379,null,133368,null,5930,null,40306,null,3681,null,19757,null,2831,null,93062,null,5241,null,48062,null,3474,null,0400000US01,Alabama,01
119787,null,3146,null,5470,null,1088,null,1386,null,530,null,1104,null,466,null,4084,null,1092,null,379,null,337,null,312,null,321,null,3705,null,1056,null,3636,null,1058,null,114317,null,3081,null,94045,null,2833,null,42071,null,2309,null,20272,null,2257,null,7308,null,1286,null,4344,null,908,null,12964,null,1740,null,8730,null,1529,null,0400000US02,Alaska,02
1266194,null,12073,null,125734,null,6220,null,60981,null,4185,null,40090,null,3682,null,64753,null,4564,null,14146,null,2297,null,11562,null,1989,null,50607,null,4000,null,44717,null,3764,null,1140460,null,11472,null,910017,null,10720,null,355400,null,6922,null,230443,null,8078,null,77075,null,5214,null,44521,null,4242,null,153368,null,6374,null,96368,null,5609,null,0400000US04,Arizona,04
618239,null,6976,null,66337,null,3392,null,32531,null,2449,null,19583,null,2495,null,33806,null,2794,null,5169,null,960,null,3413,null,742,null,28637,null,2631,null,25286,null,2585,null,551902,null,7180,null,461089,null,7683,null,179436,null,5288,null,90813,null,4494,null,29947,null,2963,null,15590,null,2346,null,60866,null,3545,null,36640,null,2742,null,0400000US05,Arkansas,05
5464271,null,25622,null,479514,null,11421,null,221085,null,8251,null,157643,null,7386,null,258429,null,9151,null,57083,null,4597,null,46596,null,3967,null,201346,null,7461,null,175076,null,6877,null,4984757,null,24754,null,3904709,null,25605,null,1763996,null,20252,null,1080048,null,14971,null,374788,null,10080,null,196450,null,7927,null,705260,null,13034,null,387230,null,9828,null,0400000US06,California,06
1077707,null,10493,null,81636,null,4818,null,38493,null,3517,null,24520,null,2808,null,43143,null,3476,null,7440,null,1619,null,4870,null,1282,null,35703,null,3025,null,32155,null,2912,null,996071,null,9988,null,830506,null,9548,null,354820,null,7620,null,165565,null,6753,null,54128,null,3916,null,28431,null,2857,null,111437,null,5455,null,67514,null,4639,null,0400000US08,Colorado,08
725654,null,7960,null,29405,null,3002,null,8791,null,1525,null,5034,null,1255,null,20614,null,2326,null,3113,null,920,null,2188,null,834,null,17501,null,2109,null,14868,null,2012,null,696249,null,7520,null,568898,null,7644,null,247623,null,5667,null,127351,null,5130,null,37380,null,2843,null,16419,null,2030,null,89971,null,4350,null,51616,null,3649,null,0400000US09,Connecticut,09
165051,null,3404,null,9031,null,1613,null,2922,null,981,null,2167,null,896,null,6109,null,1382,null,1101,null,673,null,657,null,463,null,5008,null,1206,null,4502,null,1081,null,156020,null,3656,null,127685,null,3602,null,48614,null,2833,null,28335,null,2657,null,9154,null,1729,null,4698,null,1104,null,19181,null,1940,null,10947,null,1541,null,0400000US10,Delaware,10
39247,null,2191,null,868,null,429,null,148,null,146,null,110,null,131,null,720,null,404,null,315,null,253,null,46,null,75,null,405,null,295,null,306,null,275,null,38379,null,2110,null,32920,null,1926,null,10519,null,1370,null,5459,null,1137,null,1411,null,564,null,973,null,532,null,4048,null,1033,null,1978,null,663,null,0400000US11,District of Columbia,11
3626446,null,21456,null,302056,null,8244,null,143840,null,6488,null,72466,null,5051,null,158216,null,6869,null,33645,null,3261,null,25036,null,3059,null,124571,null,7066,null,105625,null,6411,null,3324390,null,20916,null,2695273,null,19205,null,923512,null,12216,null,629117,null,14451,null,190008,null,6663,null,95230,null,5886,null,439109,null,11682,null,239861,null,7691,null,0400000US12,Florida,12
1548100,null,13027,null,126838,null,6485,null,64075,null,4199,null,39305,null,3403,null,62763,null,5138,null,13051,null,2418,null,9749,null,2077,null,49712,null,4025,null,41612,null,3858,null,1421262,null,13113,null,1188839,null,13917,null,508575,null,10587,null,232423,null,7826,null,76390,null,4427,null,40089,null,3504,null,156033,null,5694,null,92263,null,4893,null,0400000US13,Georgia,13
