C21001C_001E,C21001C_001EA,C21001C_001M,C21001C_001MA,C21001C_002E,C21001C_002EA,C21001C_002M,C21001C_002MA,C21001C_003E,C21001C_003EA,C21001C_003M,C21001C_003MA,C21001C_004E,C21001C_004EA,C21001C_004M,C21001C_004MA,C21001C_005E,C21001C_005EA,C21001C_005M,C21001C_005MA,C21001C_006E,C21001C_006EA,C21001C_006M,C21001C_006MA,C21001C_007E,C21001C_007EA,C21001C_007M,C21001C_007MA,C21001C_008E,C21001C_008EA,C21001C_008M,C21001C_008MA,C21001C_009E,C21001C_009EA,C21001C_009M,C21001C_009MA,C21001C_010E,C21001C_010EA,C21001C_010M,C21001C_010MA,C21001C_011E,C21001C_011EA,C21001C_011M,C21001C_011MA,C21001C_012E,C21001C_012EA,C21001C_012M,C21001C_012MA,C21001C_013E,C21001C_013EA,C21001C_013M,C21001C_013MA,C21001C_014E,C21001C_014EA,C21001C_014M,C21001C_014MA,C21001C_015E,C21001C_015EA,C21001C_015M,C21001C_015MA,GEO_ID,NAME,state
18604,null,2720,null,8660,null,1463,null,7684,null,1459,null,1468,null,504,null,6216,null,1375,null,976,null,442,null,522,null,314,null,454,null,251,null,9944,null,1924,null,9180,null,1920,null,162,null,156,null,9018,null,1910,null,764,null,394,null,0,null,273,null,764,null,394,null,0400000US01,Alabama,01
63431,null,2732,null,30453,null,1856,null,27542,null,1894,null,3318,null,664,null,24224,null,1790,null,2911,null,484,null,1281,null,400,null,1630,null,330,null,32978,null,1559,null,29360,null,1467,null,757,null,383,null,28603,null,1500,null,3618,null,545,null,73,null,125,null,3545,null,527,null,0400000US02,Alaska,02
195444,null,5180,null,90966,null,2597,null,82887,null,2801,null,6899,null,1235,null,75988,null,3057,null,8079,null,700,null,2685,null,546,null,5394,null,581,null,104478,null,3468,null,92574,null,3066,null,971,null,505,null,91603,null,3147,null,11904,null,1036,null,0,null,305,null,11904,null,1036,null,0400000US04,Arizona,04
12944,null,1940,null,6387,null,1297,null,5828,null,1242,null,1109,null,583,null,4719,null,1183,null,559,null,286,null,382,null,219,null,177,null,188,null,6557,null,1115,null,5611,null,1070,null,55,null,89,null,5556,null,1063,null,946,null,330,null,0,null,273,null,946,null,330,null,0400000US05,Arkansas,05
220014,null,8587,null,109642,null,5384,null,99540,null,5425,null,11102,null,1599,null,88438,null,5091,null,10102,null,1509,null,4555,null,924,null,5547,null,1246,null,110372,null,5244,null,97306,null,5007,null,1196,null,506,null,96110,null,4938,null,13066,null,1892,null,278,null,247,null,12788,null,1810,null,0400000US06,California,06
38837,null,3910,null,19985,null,2670,null,18535,null,2436,null,1839,null,771,null,16696,null,2520,null,1450,null,720,null,904,null,590,null,546,null,384,null,18852,null,2258,null,17146,null,2190,null,995,null,673,null,16151,null,2310,null,1706,null,548,null,0,null,279,null,1706,null,548,null,0400000US08,Colorado,08
7951,null,2286,null,4435,null,1713,null,4182,null,1706,null,248,null,243,null,3934,null,1691,null,253,null,162,null,174,null,164,null,79,null,80,null,3516,null,1013,null,3361,null,1010,null,115,null,143,null,3246,null,1001,null,155,null,131,null,0,null,277,null,155,null,131,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
43679,null,4449,null,23367,null,2948,null,20915,null,2823,null,2936,null,828,null,17979,null,2735,null,2452,null,794,null,1151,null,576,null,1301,null,603,null,20312,null,2332,null,17640,null,2309,null,412,null,358,null,17228,null,2289,null,2672,null,717,null,47,null,89,null,2625,null,727,null,0400000US12,Florida,12
16447,null,2183,null,8364,null,1555,null,7553,null,1564,null,2644,null,1123,null,4909,null,1288,null,811,null,356,null,561,null,264,null,250,null,194,null,8083,null,1651,null,7310,null,1561,null,233,null,251,null,7077,null,1549,null,773,null,409,null,0,null,296,null,773,null,409,null,0400000US13,Georgia,13
2750,null,908,null,1559,null,687,null,1375,null,647,null,394,null,271,null,981,null,599,null,184,null,150,null,86,null,99,null,98,null,117,null,1191,null,494,null,995,null,461,null,0,null,275,null,995,null,461,null,196,null,143,null,0,null,275,null,196,null,143,null,0400000US15,Hawaii,15
15501,null,2144,null,7446,null,1348,null,6711,null,1387,null,738,null,396,null,5973,null,1368,null,735,null,449,null,157,null,140,null,578,null,432,null,8055,null,1279,null,7546,null,1232,null,31,null,57,null,7515,null,1241,null,509,null,266,null,7,null,14,null,502,null,262,null,0400000US16,Idaho,16
