B21001H_001E,B21001H_001EA,B21001H_001M,B21001H_001MA,B21001H_002E,B21001H_002EA,B21001H_002M,B21001H_002MA,B21001H_003E,B21001H_003EA,B21001H_003M,B21001H_003MA,B21001H_004E,B21001H_004EA,B21001H_004M,B21001H_004MA,B21001H_005E,B21001H_005EA,B21001H_005M,B21001H_005MA,B21001H_006E,B21001H_006EA,B21001H_006M,B21001H_006MA,B21001H_007E,B21001H_007EA,B21001H_007M,B21001H_007MA,B21001H_008E,B21001H_008EA,B21001H_008M,B21001H_008MA,B21001H_009E,B21001H_009EA,B21001H_009M,B21001H_009MA,B21001H_010E,B21001H_010EA,B21001H_010M,B21001H_010MA,B21001H_011E,B21001H_011EA,B21001H_011M,B21001H_011MA,B21001H_012E,B21001H_012EA,B21001H_012M,B21001H_012MA,B21001H_013E,B21001H_013EA,B21001H_013M,B21001H_013MA,B21001H_014E,B21001H_014EA,B21001H_014M,B21001H_014MA,B21001H_015E,B21001H_015EA,B21001H_015M,B21001H_015MA,B21001H_016E,B21001H_016EA,B21001H_016M,B21001H_016MA,B21001H_017E,B21001H_017EA,B21001H_017M,B21001H_017MA,B21001H_018E,B21001H_018EA,B21001H_018M,B21001H_018MA,B21001H_019E,B21001H_019EA,B21001H_019M,B21001H_019MA,B21001H_020E,B21001H_020EA,B21001H_020M,B21001H_020MA,B21001H_021E,B21001H_021EA,B21001H_021M,B21001H_021MA,B21001H_022E,B21001H_022EA,B21001H_022M,B21001H_022MA,B21001H_023E,B21001H_023EA,B21001H_023M,B21001H_023MA,B21001H_024E,B21001H_024EA,B21001H_024M,B21001H_024MA,B21001H_025E,B21001H_025EA,B21001H_025M,B21001H_025MA,B21001H_026E,B21001H_026EA,B21001H_026M,B21001H_026MA,B21001H_027E,B21001H_027EA,B21001H_027M,B21001H_027MA,B21001H_028E,B21001H_028EA,B21001H_028M,B21001H_028MA,B21001H_029E,B21001H_029EA,B21001H_029M,B21001H_029MA,B21001H_030E,B21001H_030EA,B21001H_030M,B21001H_030MA,B21001H_031E,B21001H_031EA,B21001H_031M,B21001H_031MA,B21001H_032E,B21001H_032EA,B21001H_032M,B21001H_032MA,B21001H_033E,B21001H_033EA,B21001H_033M,B21001H_033MA,GEO_ID,NAME,state
2497342,null,2298,null,1196937,null,2353,null,329556,null,2191,null,16271,null,2490,null,313285,null,3380,null,446431,null,2101,null,70202,null,3509,null,376229,null,4001,null,200536,null,222,null,75200,null,3204,null,125336,null,3218,null,130100,null,766,null,61516,null,2495,null,68584,null,2404,null,90314,null,736,null,65315,null,2032,null,24999,null,1984,null,1300405,null,1789,null,335534,null,2069,null,2600,null,870,null,332934,null,2004,null,452123,null,1302,null,6489,null,1131,null,445634,null,1583,null,213465,null,416,null,3110,null,951,null,210355,null,1123,null,151336,null,311,null,1079,null,430,null,150257,null,536,null,147947,null,302,null,1654,null,474,null,146293,null,494,null,0400000US01,Alabama,01
340834,null,2182,null,176293,null,2013,null,56594,null,1936,null,6924,null,1340,null,49670,null,2136,null,68040,null,1245,null,16658,null,1915,null,51382,null,2109,null,32543,null,394,null,14081,null,1197,null,18462,null,1186,null,12596,null,254,null,7091,null,893,null,5505,null,918,null,6520,null,319,null,4827,null,543,null,1693,null,511,null,164541,null,867,null,50008,null,962,null,1625,null,712,null,48383,null,1098,null,67208,null,561,null,3167,null,775,null,64041,null,1032,null,27940,null,137,null,1087,null,514,null,26853,null,524,null,11423,null,566,null,479,null,368,null,10944,null,648,null,7962,null,540,null,148,null,208,null,7814,null,638,null,0400000US02,Alaska,02
3033628,null,2560,null,1476141,null,1659,null,382132,null,1426,null,23505,null,2996,null,358627,null,3388,null,519549,null,1359,null,85982,null,4582,null,433567,null,4584,null,251072,null,548,null,97850,null,3192,null,153222,null,3250,null,172523,null,440,null,86099,null,3241,null,86424,null,3141,null,150865,null,251,null,112307,null,2593,null,38558,null,2588,null,1557487,null,1501,null,368795,null,1334,null,4021,null,1122,null,364774,null,1942,null,521859,null,1030,null,12021,null,1658,null,509838,null,1994,null,275145,null,292,null,5069,null,972,null,270076,null,921,null,193247,null,486,null,2352,null,785,null,190895,null,917,null,198441,null,453,null,4622,null,1154,null,193819,null,1231,null,0400000US04,Arizona,04
1690719,null,2222,null,814653,null,1642,null,232077,null,1945,null,15701,null,2591,null,216376,null,3111,null,290243,null,1561,null,42740,null,3362,null,247503,null,3467,null,135149,null,381,null,51043,null,2880,null,84106,null,2879,null,90795,null,568,null,43811,null,1863,null,46984,null,1869,null,66389,null,505,null,46949,null,1912,null,19440,null,1882,null,876066,null,1134,null,226873,null,1283,null,1157,null,634,null,225716,null,1435,null,298955,null,1316,null,4757,null,1067,null,294198,null,1671,null,144354,null,608,null,2221,null,987,null,142133,null,1097,null,102571,null,641,null,1167,null,557,null,101404,null,849,null,103313,null,573,null,1262,null,494,null,102051,null,790,null,0400000US05,Arkansas,05
12481910,null,6055,null,6109985,null,5352,null,1595797,null,4200,null,67254,null,4972,null,1528543,null,6837,null,2313273,null,3170,null,249639,null,7818,null,2063634,null,8292,null,1077833,null,1010,null,333697,null,7496,null,744136,null,7715,null,616892,null,736,null,289990,null,5741,null,326902,null,5550,null,506190,null,675,null,356038,null,4597,null,150152,null,4397,null,6371925,null,3580,null,1539106,null,2377,null,15284,null,2264,null,1523822,null,3145,null,2252768,null,2029,null,29183,null,2742,null,2223585,null,3451,null,1105811,null,714,null,12594,null,1769,null,1093217,null,1862,null,692533,null,735,null,7691,null,1204,null,684842,null,1423,null,781707,null,364,null,15137,null,1879,null,766570,null,1889,null,0400000US06,California,06
2797984,null,3879,null,1374358,null,3357,null,405237,null,2071,null,20935,null,2274,null,384302,null,3002,null,537357,null,2063,null,82591,null,3877,null,454766,null,4318,null,234012,null,492,null,80279,null,3552,null,153733,null,3542,null,117781,null,343,null,62196,null,2506,null,55585,null,2470,null,79971,null,339,null,58571,null,2017,null,21400,null,2008,null,1423626,null,1340,null,394425,null,1018,null,3927,null,1078,null,390498,null,1382,null,537063,null,865,null,11162,null,1746,null,525901,null,1805,null,239952,null,117,null,3781,null,867,null,236171,null,883,null,129648,null,681,null,2100,null,587,null,127548,null,885,null,122538,null,733,null,2524,null,539,null,120014,null,913,null,0400000US08,Colorado,08
2043523,null,2986,null,976695,null,1810,null,242111,null,1478,null,7483,null,1389,null,234628,null,1973,null,386733,null,1078,null,33622,null,2664,null,353111,null,2969,null,169923,null,204,null,46899,null,2546,null,123024,null,2537,null,97706,null,183,null,46570,null,2258,null,51136,null,2244,null,80222,null,97,null,57078,null,1532,null,23144,null,1523,null,1066828,null,1433,null,239174,null,907,null,1082,null,626,null,238092,null,1076,null,399302,null,561,null,2464,null,663,null,396838,null,920,null,178746,null,627,null,1228,null,516,null,177518,null,814,null,113090,null,145,null,376,null,279,null,112714,null,308,null,136516,null,100,null,1911,null,540,null,134605,null,542,null,0400000US09,Connecticut,09
474653,null,1068,null,225377,null,962,null,59604,null,712,null,3357,null,1072,null,56247,null,1198,null,80972,null,591,null,10716,null,1379,null,70256,null,1406,null,38722,null,147,null,15716,null,1198,null,23006,null,1186,null,25729,null,263,null,12974,null,1058,null,12755,null,1058,null,20350,null,263,null,14998,null,902,null,5352,null,902,null,249276,null,308,null,61211,null,272,null,744,null,457,null,60467,null,558,null,86081,null,123,null,2298,null,712,null,83783,null,722,null,42564,null,140,null,198,null,145,null,42366,null,207,null,29608,null,263,null,100,null,118,null,29508,null,118,null,29812,null,263,null,399,null,282,null,29413,null,282,null,0400000US10,Delaware,10
175081,null,1009,null,85892,null,817,null,36062,null,496,null,1022,null,554,null,35040,null,648,null,29047,null,626,null,1837,null,579,null,27210,null,810,null,10567,null,296,null,2059,null,601,null,8508,null,601,null,6244,null,296,null,2263,null,619,null,3981,null,619,null,3972,null,296,null,3021,null,463,null,951,null,463,null,89189,null,628,null,42375,null,262,null,215,null,215,null,42160,null,343,null,24516,null,354,null,432,null,291,null,24084,null,451,null,10715,null,325,null,0,null,296,null,10715,null,325,null,6149,null,296,null,46,null,77,null,6103,null,77,null,5434,null,296,null,149,null,145,null,5285,null,145,null,0400000US11,District of Columbia,11
8993235,null,4991,null,4331654,null,3530,null,1014850,null,3211,null,49765,null,4360,null,965085,null,5037,null,1470956,null,2432,null,235716,null,8394,null,1235240,null,8535,null,737246,null,821,null,272728,null,7263,null,464518,null,7361,null,547885,null,753,null,279155,null,4926,null,268730,null,4893,null,560717,null,887,null,412922,null,4971,null,147795,null,4932,null,4661581,null,3056,null,988374,null,2417,null,10459,null,1902,null,977915,null,2927,null,1494734,null,1755,null,34862,null,3074,null,1459872,null,3473,null,801134,null,1425,null,11778,null,1624,null,789356,null,2074,null,620594,null,832,null,7094,null,1142,null,613500,null,1422,null,756745,null,847,null,15435,null,1868,null,741310,null,1934,null,0400000US12,Florida,12
