B16005H_001E,B16005H_001EA,B16005H_001M,B16005H_001MA,B16005H_002E,B16005H_002EA,B16005H_002M,B16005H_002MA,B16005H_003E,B16005H_003EA,B16005H_003M,B16005H_003MA,B16005H_004E,B16005H_004EA,B16005H_004M,B16005H_004MA,B16005H_005E,B16005H_005EA,B16005H_005M,B16005H_005MA,B16005H_006E,B16005H_006EA,B16005H_006M,B16005H_006MA,B16005H_007E,B16005H_007EA,B16005H_007M,B16005H_007MA,B16005H_008E,B16005H_008EA,B16005H_008M,B16005H_008MA,B16005H_009E,B16005H_009EA,B16005H_009M,B16005H_009MA,B16005H_010E,B16005H_010EA,B16005H_010M,B16005H_010MA,B16005H_011E,B16005H_011EA,B16005H_011M,B16005H_011MA,GEO_ID,NAME,state
3016643,null,1604,null,2985969,null,3352,null,2948751,null,4595,null,37218,null,3410,null,31215,null,3096,null,6003,null,1207,null,30674,null,3065,null,13548,null,1944,null,17126,null,2424,null,10885,null,1746,null,6241,null,1584,null,0400000US01,Alabama,01
424883,null,665,null,414769,null,1808,null,398972,null,3007,null,15797,null,2665,null,14921,null,2607,null,876,null,483,null,10114,null,1630,null,4986,null,951,null,5128,null,1206,null,3051,null,898,null,2077,null,777,null,0400000US02,Alaska,02
3568626,null,3483,null,3409679,null,10268,null,3302874,null,13062,null,106805,null,6600,null,91965,null,5884,null,14840,null,2058,null,158947,null,9051,null,77099,null,4827,null,81848,null,7622,null,49391,null,4863,null,32457,null,4806,null,0400000US04,Arizona,04
2037535,null,1675,null,2020483,null,3174,null,1990950,null,5385,null,29533,null,3766,null,23753,null,3296,null,5780,null,1277,null,17052,null,2869,null,9270,null,1956,null,7782,null,2017,null,5092,null,1311,null,2690,null,1204,null,0400000US05,Arkansas,05
14599729,null,6124,null,13210598,null,27407,null,12544324,null,32886,null,666274,null,14094,null,592466,null,13369,null,73808,null,4764,null,1389131,null,25783,null,430964,null,10972,null,958167,null,21912,null,537347,null,14276,null,420820,null,15089,null,0400000US06,California,06
3339608,null,3667,null,3237389,null,6986,null,3141754,null,8425,null,95635,null,5855,null,81450,null,5592,null,14185,null,1800,null,102219,null,6382,null,42101,null,3893,null,60118,null,5221,null,38275,null,3581,null,21843,null,3880,null,0400000US08,Colorado,08
2440188,null,3683,null,2267393,null,7881,null,2157795,null,10390,null,109598,null,7160,null,94722,null,6533,null,14876,null,2154,null,172795,null,7420,null,52648,null,4062,null,120147,null,7215,null,63308,null,4523,null,56839,null,4543,null,0400000US09,Connecticut,09
564475,null,613,null,548699,null,3211,null,533149,null,4275,null,15550,null,2541,null,13568,null,2305,null,1982,null,754,null,15776,null,3135,null,5300,null,1170,null,10476,null,2753,null,6322,null,1655,null,4154,null,1835,null,0400000US10,Delaware,10
190122,null,939,null,173819,null,2261,null,164933,null,2496,null,8886,null,1419,null,7973,null,1452,null,913,null,362,null,16303,null,2258,null,6297,null,1459,null,10006,null,1774,null,8603,null,1645,null,1403,null,807,null,0400000US11,District of Columbia,11
10483957,null,5845,null,9853510,null,18925,null,9492627,null,24091,null,360883,null,11154,null,311709,null,10057,null,49174,null,3540,null,630447,null,18408,null,263655,null,9817,null,366792,null,15637,null,231185,null,11032,null,135607,null,9113,null,0400000US12,Florida,12
