B21005_001E,B21005_001EA,B21005_001M,B21005_001MA,B21005_002E,B21005_002EA,B21005_002M,B21005_002MA,B21005_003E,B21005_003EA,B21005_003M,B21005_003MA,B21005_004E,B21005_004EA,B21005_004M,B21005_004MA,B21005_005E,B21005_005EA,B21005_005M,B21005_005MA,B21005_006E,B21005_006EA,B21005_006M,B21005_006MA,B21005_007E,B21005_007EA,B21005_007M,B21005_007MA,B21005_008E,B21005_008EA,B21005_008M,B21005_008MA,B21005_009E,B21005_009EA,B21005_009M,B21005_009MA,B21005_010E,B21005_010EA,B21005_010M,B21005_010MA,B21005_011E,B21005_011EA,B21005_011M,B21005_011MA,B21005_012E,B21005_012EA,B21005_012M,B21005_012MA,B21005_013E,B21005_013EA,B21005_013M,B21005_013MA,B21005_014E,B21005_014EA,B21005_014M,B21005_014MA,B21005_015E,B21005_015EA,B21005_015M,B21005_015MA,B21005_016E,B21005_016EA,B21005_016M,B21005_016MA,B21005_017E,B21005_017EA,B21005_017M,B21005_017MA,B21005_018E,B21005_018EA,B21005_018M,B21005_018MA,B21005_019E,B21005_019EA,B21005_019M,B21005_019MA,B21005_020E,B21005_020EA,B21005_020M,B21005_020MA,B21005_021E,B21005_021EA,B21005_021M,B21005_021MA,B21005_022E,B21005_022EA,B21005_022M,B21005_022MA,B21005_023E,B21005_023EA,B21005_023M,B21005_023MA,B21005_024E,B21005_024EA,B21005_024M,B21005_024MA,B21005_025E,B21005_025EA,B21005_025M,B21005_025MA,B21005_026E,B21005_026EA,B21005_026M,B21005_026MA,B21005_027E,B21005_027EA,B21005_027M,B21005_027MA,B21005_028E,B21005_028EA,B21005_028M,B21005_028MA,B21005_029E,B21005_029EA,B21005_029M,B21005_029MA,B21005_030E,B21005_030EA,B21005_030M,B21005_030MA,B21005_031E,B21005_031EA,B21005_031M,B21005_031MA,B21005_032E,B21005_032EA,B21005_032M,B21005_032MA,B21005_033E,B21005_033EA,B21005_033M,B21005_033MA,B21005_034E,B21005_034EA,B21005_034M,B21005_034MA,GEO_ID,NAME,state
2909803,null,3220,null,1072134,null,6046,null,29694,null,3347,null,25525,null,3097,null,21469,null,2749,null,4056,null,1078,null,4169,null,1133,null,1042440,null,6540,null,771062,null,9222,null,646232,null,9948,null,124830,null,6348,null,271378,null,8610,null,1284263,null,5832,null,120136,null,4339,null,100530,null,4441,null,92742,null,4423,null,7788,null,1512,null,19606,null,2365,null,1164127,null,6783,null,898755,null,9093,null,825524,null,9646,null,73231,null,4581,null,265372,null,7630,null,553406,null,2414,null,99577,null,4015,null,60540,null,3192,null,57244,null,3157,null,3296,null,857,null,39037,null,2700,null,453829,null,4173,null,253710,null,5066,null,235895,null,5324,null,17815,null,2001,null,200119,null,5144,null,0400000US01,Alabama,01
448627,null,2982,null,174985,null,3359,null,11573,null,1912,null,9537,null,1575,null,8329,null,1495,null,1208,null,697,null,2036,null,904,null,163412,null,3517,null,124352,null,4358,null,108121,null,4486,null,16231,null,2043,null,39060,null,3528,null,194561,null,2794,null,24781,null,2448,null,22436,null,2221,null,20799,null,2091,null,1637,null,744,null,2345,null,590,null,169780,null,2959,null,139641,null,3810,null,129326,null,3941,null,10315,null,2014,null,30139,null,2640,null,79081,null,1316,null,18736,null,1470,null,13076,null,1295,null,12300,null,1258,null,776,null,314,null,5660,null,907,null,60345,null,1977,null,40423,null,1954,null,37705,null,1955,null,2718,null,730,null,19922,null,2148,null,0400000US02,Alaska,02
3975994,null,2850,null,1555794,null,3798,null,41744,null,4611,null,35763,null,4347,null,31754,null,3704,null,4009,null,1547,null,5981,null,1560,null,1514050,null,6220,null,1138250,null,11785,null,993041,null,10590,null,145209,null,7458,null,375800,null,10965,null,1720552,null,3125,null,135609,null,6643,null,116186,null,6260,null,106979,null,5915,null,9207,null,1743,null,19423,null,2687,null,1584943,null,6884,null,1257279,null,10292,null,1140735,null,11717,null,116544,null,6378,null,327664,null,8482,null,699648,null,1565,null,125353,null,4173,null,74784,null,3692,null,69231,null,3457,null,5553,null,1145,null,50569,null,3223,null,574295,null,4694,null,343428,null,7367,null,315222,null,7485,null,28206,null,2977,null,230867,null,7367,null,0400000US04,Arizona,04
1760662,null,2965,null,654055,null,4054,null,21296,null,3117,null,18166,null,2928,null,16031,null,2751,null,2135,null,878,null,3130,null,1058,null,632759,null,4830,null,474665,null,8238,null,412414,null,8569,null,62251,null,4088,null,158094,null,7871,null,769459,null,4311,null,61783,null,4620,null,51670,null,4126,null,47638,null,3980,null,4032,null,884,null,10113,null,1670,null,707676,null,5540,null,552324,null,6909,null,513232,null,8107,null,39092,null,3505,null,155352,null,5940,null,337148,null,2258,null,61643,null,3802,null,35405,null,2952,null,33470,null,2822,null,1935,null,618,null,26238,null,2339,null,275505,null,4169,null,161170,null,4392,null,153615,null,4570,null,7555,null,1542,null,114335,null,4880,null,0400000US05,Arkansas,05
23222110,null,6577,null,8988389,null,6877,null,166428,null,8520,null,136291,null,7579,null,117252,null,7133,null,19039,null,2395,null,30137,null,4056,null,8821961,null,11242,null,6626906,null,21394,null,5666138,null,26715,null,960768,null,18069,null,2195055,null,20252,null,10399637,null,6005,null,473281,null,11404,null,403667,null,10302,null,366637,null,9820,null,37030,null,2983,null,69614,null,4873,null,9926356,null,12370,null,8057327,null,23246,null,7319950,null,27776,null,737377,null,14592,null,1869029,null,22169,null,3834084,null,3611,null,478443,null,10335,null,309833,null,9162,null,282711,null,8777,null,27122,null,2319,null,168610,null,6869,null,3355641,null,10761,null,2186857,null,14583,null,2002082,null,15017,null,184775,null,6297,null,1168784,null,13569,null,0400000US06,California,06
3229050,null,3555,null,1207784,null,4401,null,32399,null,2934,null,27032,null,2698,null,23292,null,2591,null,3740,null,996,null,5367,null,1436,null,1175385,null,5596,null,932340,null,7072,null,825563,null,7373,null,106777,null,5342,null,243045,null,6973,null,1450278,null,4085,null,120855,null,5343,null,108082,null,4838,null,101441,null,4632,null,6641,null,1333,null,12773,null,1971,null,1329423,null,6670,null,1113332,null,8009,null,1043335,null,8661,null,69997,null,5173,null,216091,null,8169,null,570988,null,2023,null,99137,null,4052,null,67614,null,3308,null,63128,null,3238,null,4486,null,926,null,31523,null,2548,null,471851,null,4402,null,327033,null,5540,null,305192,null,5530,null,21841,null,2231,null,144818,null,5452,null,0400000US08,Colorado,08
2216607,null,1988,null,748143,null,2437,null,10931,null,1563,null,9324,null,1518,null,7994,null,1457,null,1330,null,614,null,1607,null,518,null,737212,null,2827,null,578551,null,6337,null,504413,null,6896,null,74138,null,4398,null,158661,null,5568,null,1048782,null,2553,null,45485,null,3073,null,40383,null,3095,null,38613,null,3129,null,1770,null,645,null,5102,null,1336,null,1003297,null,3655,null,854291,null,5984,null,792505,null,7103,null,61786,null,3659,null,149006,null,5377,null,419682,null,1385,null,53927,null,2817,null,39629,null,2391,null,36374,null,2309,null,3255,null,727,null,14298,null,1668,null,365755,null,3064,null,267148,null,4151,null,250018,null,4224,null,17130,null,1975,null,98607,null,3971,null,0400000US09,Connecticut,09
547989,null,1446,null,196709,null,1216,null,5842,null,1304,null,4833,null,1204,null,4411,null,1113,null,422,null,410,null,1009,null,667,null,190867,null,1919,null,147163,null,3599,null,131733,null,3737,null,15430,null,1901,null,43704,null,3061,null,245486,null,1149,null,19572,null,2288,null,18327,null,2151,null,16975,null,2030,null,1352,null,605,null,1245,null,514,null,225914,null,2476,null,188424,null,3317,null,175562,null,3810,null,12862,null,1952,null,37490,null,2483,null,105794,null,1066,null,19719,null,1313,null,12989,null,1287,null,12349,null,1257,null,640,null,419,null,6730,null,1132,null,86075,null,1722,null,54928,null,2310,null,50691,null,2324,null,4237,null,904,null,31147,null,1974,null,0400000US10,Delaware,10
413642,null,1109,null,183870,null,704,null,2708,null,1200,null,2264,null,850,null,2189,null,825,null,75,null,120,null,444,null,860,null,181162,null,1301,null,132102,null,3574,null,115110,null,3645,null,16992,null,2884,null,49060,null,3329,null,163117,null,760,null,9170,null,1418,null,7581,null,1355,null,6575,null,1361,null,1006,null,484,null,1589,null,608,null,153947,null,1451,null,126319,null,3065,null,113876,null,3289,null,12443,null,1810,null,27628,null,2742,null,66655,null,731,null,7212,null,1240,null,4761,null,1107,null,4433,null,1135,null,328,null,279,null,2451,null,888,null,59443,null,1381,null,39657,null,2262,null,36263,null,2264,null,3394,null,941,null,19786,null,1943,null,0400000US11,District of Columbia,11
11213241,null,6250,null,3971421,null,8012,null,95286,null,6062,null,82696,null,6065,null,72339,null,5373,null,10357,null,1903,null,12590,null,1856,null,3876135,null,9605,null,2970633,null,18400,null,2515987,null,20655,null,454646,null,13186,null,905502,null,17280,null,5062480,null,6669,null,386917,null,10082,null,329954,null,9465,null,296213,null,8774,null,33741,null,3651,null,56963,null,4403,null,4675563,null,11187,null,3816294,null,18164,null,3433217,null,20338,null,383077,null,13260,null,859269,null,14891,null,2179340,null,4026,null,335819,null,8442,null,204680,null,6533,null,183418,null,6404,null,21262,null,2677,null,131139,null,5511,null,1843521,null,9214,null,1146181,null,11852,null,1034290,null,12841,null,111891,null,6427,null,697340,null,12539,null,0400000US12,Florida,12
6155843,null,8993,null,2321095,null,9828,null,61638,null,4693,null,48360,null,4246,null,41592,null,3664,null,6768,null,2050,null,13278,null,1968,null,2259457,null,10408,null,1665659,null,16761,null,1411644,null,16931,null,254015,null,10315,null,593798,null,15376,null,2805292,null,8881,null,232262,null,8567,null,204863,null,7838,null,186751,null,7525,null,18112,null,2515,null,27399,null,2764,null,2573030,null,11665,null,2082468,null,13965,null,1903450,null,16977,null,179018,null,7580,null,490562,null,10967,null,1029456,null,4239,null,174099,null,5253,null,110494,null,4680,null,101167,null,4700,null,9327,null,1303,null,63605,null,3978,null,855357,null,6219,null,521032,null,8530,null,479255,null,8428,null,41777,null,3470,null,334325,null,7260,null,0400000US13,Georgia,13
