B12002F_001E,B12002F_001EA,B12002F_001M,B12002F_001MA,B12002F_002E,B12002F_002EA,B12002F_002M,B12002F_002MA,B12002F_003E,B12002F_003EA,B12002F_003M,B12002F_003MA,B12002F_004E,B12002F_004EA,B12002F_004M,B12002F_004MA,B12002F_005E,B12002F_005EA,B12002F_005M,B12002F_005MA,B12002F_006E,B12002F_006EA,B12002F_006M,B12002F_006MA,B12002F_007E,B12002F_007EA,B12002F_007M,B12002F_007MA,B12002F_008E,B12002F_008EA,B12002F_008M,B12002F_008MA,B12002F_009E,B12002F_009EA,B12002F_009M,B12002F_009MA,B12002F_010E,B12002F_010EA,B12002F_010M,B12002F_010MA,B12002F_011E,B12002F_011EA,B12002F_011M,B12002F_011MA,B12002F_012E,B12002F_012EA,B12002F_012M,B12002F_012MA,B12002F_013E,B12002F_013EA,B12002F_013M,B12002F_013MA,GEO_ID,NAME,state
28720,null,3343,null,17175,null,2194,null,7104,null,1569,null,8945,null,1691,null,267,null,239,null,100,null,100,null,759,null,404,null,11545,null,1873,null,2613,null,858,null,7116,null,1261,null,499,null,390,null,467,null,383,null,850,null,458,null,0400000US01,Alabama,01
9939,null,2012,null,4467,null,1511,null,1975,null,955,null,1875,null,746,null,129,null,128,null,0,null,244,null,488,null,536,null,5472,null,1106,null,2047,null,906,null,2637,null,663,null,13,null,24,null,135,null,160,null,640,null,512,null,0400000US02,Alaska,02
285756,null,13992,null,147524,null,8094,null,57126,null,5038,null,74379,null,5549,null,2061,null,822,null,1676,null,698,null,12282,null,2161,null,138232,null,7927,null,46458,null,4608,null,65995,null,4484,null,5732,null,1607,null,6633,null,1371,null,13414,null,2305,null,0400000US04,Arizona,04
43567,null,3798,null,23483,null,2651,null,9201,null,1753,null,13246,null,1810,null,70,null,101,null,0,null,273,null,966,null,536,null,20084,null,2086,null,6441,null,1237,null,12268,null,1592,null,511,null,450,null,346,null,265,null,518,null,415,null,0400000US05,Arkansas,05
3700535,null,53560,null,1944200,null,31897,null,894566,null,21172,null,870466,null,20258,null,45309,null,4343,null,24868,null,2927,null,108991,null,5846,null,1756335,null,25956,null,698227,null,15915,null,768360,null,16276,null,76222,null,4601,null,78850,null,5320,null,134676,null,6969,null,0400000US06,California,06
160570,null,10734,null,83071,null,6972,null,31205,null,3956,null,42407,null,3678,null,2162,null,951,null,939,null,435,null,6358,null,1794,null,77499,null,5117,null,24731,null,2933,null,38815,null,3529,null,3443,null,912,null,3140,null,915,null,7370,null,1474,null,0400000US08,Colorado,08
136309,null,8743,null,71126,null,4998,null,33590,null,3162,null,27820,null,2545,null,3135,null,1020,null,377,null,344,null,6204,null,1322,null,65183,null,4742,null,26401,null,3182,null,23887,null,2460,null,4119,null,1345,null,2487,null,764,null,8289,null,1514,null,0400000US09,Connecticut,09
11564,null,2379,null,6422,null,1555,null,2609,null,1305,null,3397,null,865,null,24,null,43,null,43,null,73,null,349,null,276,null,5142,null,1304,null,1171,null,522,null,2625,null,821,null,367,null,357,null,353,null,268,null,626,null,379,null,0400000US10,Delaware,10
12167,null,2462,null,6617,null,1399,null,2949,null,1031,null,2977,null,973,null,230,null,309,null,0,null,296,null,461,null,374,null,5550,null,1583,null,2370,null,950,null,2074,null,878,null,91,null,108,null,168,null,275,null,847,null,618,null,0400000US11,District of Columbia,11
393098,null,20253,null,209420,null,12972,null,90397,null,8717,null,93220,null,6448,null,7607,null,1531,null,1961,null,801,null,16235,null,2277,null,183678,null,9858,null,63463,null,5226,null,82247,null,5394,null,8600,null,1916,null,9737,null,2075,null,19631,null,2666,null,0400000US12,Florida,12
