C16008_001E,C16008_001EA,C16008_001M,C16008_001MA,C16008_002E,C16008_002EA,C16008_002M,C16008_002MA,C16008_003E,C16008_003EA,C16008_003M,C16008_003MA,C16008_004E,C16008_004EA,C16008_004M,C16008_004MA,C16008_005E,C16008_005EA,C16008_005M,C16008_005MA,C16008_006E,C16008_006EA,C16008_006M,C16008_006MA,C16008_007E,C16008_007EA,C16008_007M,C16008_007MA,C16008_008E,C16008_008EA,C16008_008M,C16008_008MA,C16008_009E,C16008_009EA,C16008_009M,C16008_009MA,C16008_010E,C16008_010EA,C16008_010M,C16008_010MA,C16008_011E,C16008_011EA,C16008_011M,C16008_011MA,C16008_012E,C16008_012EA,C16008_012M,C16008_012MA,C16008_013E,C16008_013EA,C16008_013M,C16008_013MA,C16008_014E,C16008_014EA,C16008_014M,C16008_014MA,C16008_015E,C16008_015EA,C16008_015M,C16008_015MA,C16008_016E,C16008_016EA,C16008_016M,C16008_016MA,C16008_017E,C16008_017EA,C16008_017M,C16008_017MA,C16008_018E,C16008_018EA,C16008_018M,C16008_018MA,C16008_019E,C16008_019EA,C16008_019M,C16008_019MA,C16008_020E,C16008_020EA,C16008_020M,C16008_020MA,GEO_ID,NAME,state
4394837,null,2930,null,4250109,null,4821,null,4164437,null,6507,null,58218,null,4455,null,15835,null,1917,null,8987,null,1748,null,2632,null,1007,null,144728,null,4204,null,44126,null,3953,null,15085,null,2273,null,6986,null,1602,null,9346,null,1600,null,9351,null,1715,null,3358,null,1740,null,100602,null,5060,null,11651,null,2001,null,59095,null,3995,null,11684,null,2049,null,14429,null,2281,null,3743,null,1832,null,0400000US01,Alabama,01
643692,null,1295,null,594902,null,3537,null,529358,null,5369,null,17153,null,2059,null,8138,null,2017,null,8787,null,1646,null,31466,null,2299,null,48790,null,3394,null,25765,null,2628,null,5474,null,1181,null,4216,null,1094,null,3146,null,1133,null,12483,null,1789,null,446,null,491,null,23025,null,3386,null,3211,null,1020,null,5490,null,2318,null,2928,null,1044,null,10222,null,1806,null,1174,null,780,null,0400000US02,Alaska,02
6079191,null,1576,null,5158409,null,20649,null,4267652,null,24693,null,696561,null,15549,null,46134,null,4189,null,22348,null,3157,null,125714,null,5822,null,920782,null,20357,null,298757,null,10976,null,65469,null,4641,null,143166,null,9039,null,41398,null,4382,null,36274,null,3448,null,12450,null,2772,null,622025,null,18763,null,62458,null,5135,null,464430,null,15765,null,38769,null,5182,null,40002,null,3942,null,16366,null,4334,null,0400000US04,Arizona,04
2687139,null,2239,null,2567951,null,5308,null,2487491,null,7108,null,61893,null,4373,null,10250,null,2027,null,5531,null,1178,null,2786,null,1766,null,119188,null,4645,null,36496,null,3612,null,10599,null,1777,null,13093,null,2205,null,3658,null,1099,null,8339,null,1615,null,807,null,620,null,82692,null,4626,null,6534,null,1620,null,61552,null,3692,null,5715,null,1742,null,8368,null,1765,null,523,null,409,null,0400000US05,Arkansas,05
34212484,null,3343,null,24313160,null,46710,null,18538553,null,52729,null,4604341,null,32918,null,416583,null,13347,null,667635,null,14197,null,86048,null,7162,null,9899324,null,46378,null,4534912,null,36878,null,572426,null,12445,null,1588477,null,24821,null,666093,null,18107,null,1576281,null,19274,null,131635,null,8770,null,5364412,null,50868,null,350791,null,10142,null,3623614,null,39524,null,422709,null,15536,null,881420,null,21976,null,85878,null,7898,null,0400000US06,California,06
4660034,null,1862,null,4176622,null,14901,null,3808217,null,15863,null,287293,null,9029,null,48577,null,4049,null,22618,null,2780,null,9917,null,2505,null,483412,null,14570,null,159638,null,7487,null,44279,null,3649,null,44183,null,4580,null,30479,null,2875,null,33413,null,2601,null,7284,null,1871,null,323774,null,14112,null,30607,null,3667,null,221452,null,12339,null,31123,null,4431,null,27544,null,3564,null,13048,null,3189,null,0400000US08,Colorado,08
3308919,null,1147,null,2852705,null,11479,null,2518586,null,12857,null,227583,null,7790,null,87260,null,5862,null,13066,null,1967,null,6210,null,1647,null,456214,null,11328,null,210555,null,7919,null,69404,null,4968,null,31136,null,2987,null,80964,null,5552,null,22514,null,2718,null,6537,null,1528,null,245659,null,11682,null,45035,null,4405,null,81846,null,6666,null,79077,null,7050,null,33436,null,3661,null,6265,null,1691,null,0400000US09,Connecticut,09
825661,null,256,null,752454,null,4961,null,713040,null,6372,null,24254,null,2752,null,10756,null,2244,null,3570,null,1235,null,834,null,436,null,73207,null,4946,null,31185,null,3166,null,11069,null,2420,null,4559,null,1109,null,8801,null,1822,null,4872,null,1373,null,1884,null,722,null,42022,null,4457,null,7152,null,1862,null,17064,null,2691,null,7450,null,2255,null,7867,null,1865,null,2489,null,1239,null,0400000US10,Delaware,10
561505,null,772,null,490849,null,4638,null,463191,null,4470,null,16631,null,2509,null,7590,null,1388,null,2159,null,662,null,1278,null,527,null,70656,null,4673,null,27770,null,2465,null,11007,null,2106,null,5875,null,1528,null,5262,null,1122,null,3495,null,978,null,2131,null,866,null,42886,null,4445,null,16781,null,2980,null,13092,null,2421,null,7613,null,1511,null,2070,null,709,null,3330,null,1080,null,0400000US11,District of Columbia,11
17374812,null,2501,null,13907531,null,36036,null,12127183,null,35507,null,1431360,null,25549,null,273691,null,12487,null,49386,null,4300,null,25911,null,4102,null,3467281,null,36325,null,1685067,null,22307,null,406059,null,12923,null,835391,null,15806,null,291618,null,12563,null,119578,null,6475,null,32421,null,3934,null,1782214,null,30792,null,268612,null,9942,null,1086054,null,24497,null,320808,null,14836,null,83720,null,5738,null,23020,null,4020,null,0400000US12,Florida,12
