B01001D_001E,B01001D_001EA,B01001D_001M,B01001D_001MA,B01001D_002E,B01001D_002EA,B01001D_002M,B01001D_002MA,B01001D_003E,B01001D_003EA,B01001D_003M,B01001D_003MA,B01001D_004E,B01001D_004EA,B01001D_004M,B01001D_004MA,B01001D_005E,B01001D_005EA,B01001D_005M,B01001D_005MA,B01001D_006E,B01001D_006EA,B01001D_006M,B01001D_006MA,B01001D_007E,B01001D_007EA,B01001D_007M,B01001D_007MA,B01001D_008E,B01001D_008EA,B01001D_008M,B01001D_008MA,B01001D_009E,B01001D_009EA,B01001D_009M,B01001D_009MA,B01001D_010E,B01001D_010EA,B01001D_010M,B01001D_010MA,B01001D_011E,B01001D_011EA,B01001D_011M,B01001D_011MA,B01001D_012E,B01001D_012EA,B01001D_012M,B01001D_012MA,B01001D_013E,B01001D_013EA,B01001D_013M,B01001D_013MA,B01001D_014E,B01001D_014EA,B01001D_014M,B01001D_014MA,B01001D_015E,B01001D_015EA,B01001D_015M,B01001D_015MA,B01001D_016E,B01001D_016EA,B01001D_016M,B01001D_016MA,B01001D_017E,B01001D_017EA,B01001D_017M,B01001D_017MA,B01001D_018E,B01001D_018EA,B01001D_018M,B01001D_018MA,B01001D_019E,B01001D_019EA,B01001D_019M,B01001D_019MA,B01001D_020E,B01001D_020EA,B01001D_020M,B01001D_020MA,B01001D_021E,B01001D_021EA,B01001D_021M,B01001D_021MA,B01001D_022E,B01001D_022EA,B01001D_022M,B01001D_022MA,B01001D_023E,B01001D_023EA,B01001D_023M,B01001D_023MA,B01001D_024E,B01001D_024EA,B01001D_024M,B01001D_024MA,B01001D_025E,B01001D_025EA,B01001D_025M,B01001D_025MA,B01001D_026E,B01001D_026EA,B01001D_026M,B01001D_026MA,B01001D_027E,B01001D_027EA,B01001D_027M,B01001D_027MA,B01001D_028E,B01001D_028EA,B01001D_028M,B01001D_028MA,B01001D_029E,B01001D_029EA,B01001D_029M,B01001D_029MA,B01001D_030E,B01001D_030EA,B01001D_030M,B01001D_030MA,B01001D_031E,B01001D_031EA,B01001D_031M,B01001D_031MA,GEO_ID,NAME,state
51410,null,2190,null,24410,null,1625,null,2193,null,869,null,1981,null,746,null,1280,null,441,null,1341,null,540,null,1101,null,583,null,1528,null,626,null,2227,null,549,null,2367,null,566,null,4169,null,1057,null,3159,null,806,null,1361,null,595,null,1539,null,457,null,164,null,186,null,0,null,273,null,27000,null,1921,null,1616,null,651,null,2936,null,776,null,1116,null,694,null,783,null,469,null,710,null,441,null,1790,null,676,null,2139,null,679,null,2734,null,782,null,4730,null,970,null,3576,null,1001,null,2875,null,693,null,1300,null,603,null,656,null,445,null,39,null,63,null,0400000US01,Alabama,01
33636,null,1807,null,15637,null,1079,null,972,null,281,null,1030,null,366,null,1137,null,404,null,354,null,242,null,450,null,283,null,996,null,367,null,1177,null,233,null,1190,null,308,null,3240,null,618,null,2604,null,739,null,1494,null,505,null,799,null,472,null,194,null,182,null,0,null,244,null,17999,null,1117,null,891,null,245,null,993,null,344,null,1129,null,395,null,990,null,391,null,69,null,143,null,1177,null,416,null,1119,null,232,null,1129,null,294,null,3607,null,826,null,2881,null,540,null,1953,null,263,null,959,null,408,null,705,null,375,null,397,null,300,null,0400000US02,Alaska,02
167881,null,3725,null,80020,null,3082,null,6210,null,972,null,4155,null,1108,null,6131,null,1382,null,2409,null,572,null,1964,null,822,null,7758,null,1561,null,6356,null,613,null,8189,null,537,null,14988,null,719,null,9739,null,636,null,5750,null,699,null,3814,null,525,null,1967,null,455,null,590,null,493,null,87861,null,2053,null,5481,null,695,null,4988,null,852,null,5557,null,977,null,2455,null,439,null,1869,null,618,null,5246,null,1014,null,6660,null,634,null,8649,null,899,null,17221,null,674,null,12098,null,746,null,8965,null,631,null,4235,null,481,null,4437,null,593,null,0,null,305,null,0400000US04,Arizona,04
32202,null,2525,null,15234,null,1372,null,1526,null,682,null,719,null,400,null,1027,null,590,null,398,null,224,null,759,null,430,null,2142,null,765,null,1120,null,584,null,1292,null,509,null,2051,null,747,null,1709,null,698,null,1190,null,357,null,824,null,406,null,477,null,371,null,0,null,273,null,16968,null,1779,null,2036,null,843,null,1004,null,516,null,759,null,456,null,646,null,334,null,254,null,163,null,1596,null,762,null,1426,null,703,null,1382,null,532,null,2284,null,739,null,2659,null,821,null,1890,null,579,null,578,null,370,null,454,null,341,null,0,null,273,null,0400000US05,Arkansas,05
4618747,null,13431,null,2211243,null,9052,null,137060,null,3256,null,132042,null,5007,null,136278,null,5530,null,82984,null,1943,null,56837,null,1825,null,145938,null,2429,null,178756,null,2720,null,187443,null,2771,null,364089,null,3155,null,322950,null,2162,null,239293,null,1471,null,131433,null,1471,null,73212,null,2328,null,22928,null,2234,null,2407504,null,7595,null,130843,null,3073,null,125507,null,5305,null,129950,null,4571,null,81208,null,1872,null,54486,null,1790,null,142246,null,2466,null,185992,null,2592,null,200879,null,1982,null,399297,null,2416,null,366994,null,2829,null,281521,null,1669,null,159991,null,1348,null,107240,null,3131,null,41350,null,3018,null,0400000US06,California,06
130216,null,3502,null,59484,null,2850,null,4572,null,858,null,3970,null,786,null,4191,null,862,null,1593,null,481,null,1305,null,456,null,4961,null,1032,null,4824,null,947,null,6650,null,1220,null,11024,null,1174,null,7635,null,925,null,4350,null,699,null,2627,null,577,null,894,null,412,null,888,null,570,null,70732,null,2124,null,4053,null,885,null,5491,null,1036,null,3847,null,838,null,2310,null,585,null,1798,null,747,null,5273,null,1152,null,5904,null,855,null,5762,null,923,null,13560,null,1316,null,9179,null,814,null,6413,null,580,null,3452,null,671,null,3043,null,779,null,647,null,388,null,0400000US08,Colorado,08
124037,null,2221,null,60174,null,1437,null,4819,null,635,null,4559,null,1134,null,3426,null,942,null,1736,null,514,null,2411,null,748,null,3921,null,897,null,5146,null,517,null,5973,null,608,null,11789,null,516,null,8099,null,535,null,4943,null,441,null,2738,null,393,null,528,null,347,null,86,null,147,null,63863,null,1462,null,5093,null,644,null,5051,null,866,null,3849,null,733,null,2189,null,627,null,2521,null,649,null,3518,null,599,null,5317,null,574,null,6240,null,494,null,12562,null,651,null,8026,null,654,null,5564,null,624,null,2764,null,542,null,846,null,368,null,323,null,348,null,0400000US09,Connecticut,09
27132,null,956,null,13850,null,813,null,1130,null,423,null,1340,null,434,null,834,null,360,null,617,null,392,null,212,null,170,null,902,null,207,null,1218,null,164,null,1835,null,413,null,2133,null,149,null,1657,null,251,null,1078,null,343,null,527,null,370,null,367,null,321,null,0,null,263,null,13282,null,741,null,775,null,375,null,1006,null,620,null,932,null,449,null,139,null,231,null,162,null,168,null,593,null,274,null,1195,null,189,null,1382,null,228,null,2650,null,376,null,1826,null,328,null,1549,null,262,null,791,null,310,null,177,null,189,null,105,null,137,null,0400000US10,Delaware,10
17268,null,980,null,7397,null,705,null,504,null,513,null,0,null,296,null,158,null,271,null,0,null,296,null,404,null,381,null,614,null,354,null,865,null,395,null,1246,null,296,null,1715,null,427,null,629,null,401,null,800,null,300,null,238,null,230,null,177,null,260,null,47,null,84,null,9871,null,739,null,144,null,225,null,414,null,383,null,272,null,305,null,326,null,352,null,328,null,189,null,899,null,209,null,1635,null,130,null,1382,null,251,null,1743,null,515,null,960,null,513,null,964,null,296,null,338,null,200,null,223,null,162,null,243,null,167,null,0400000US11,District of Columbia,11
442687,null,6207,null,206541,null,4364,null,14195,null,1313,null,14884,null,1893,null,13564,null,1618,null,8783,null,1489,null,5308,null,1102,null,14723,null,1525,null,15278,null,1680,null,17877,null,1721,null,36529,null,1851,null,28134,null,1609,null,20244,null,1201,null,11542,null,1236,null,4425,null,954,null,1055,null,396,null,236146,null,4125,null,14267,null,1308,null,15240,null,2036,null,12929,null,1583,null,6958,null,999,null,5649,null,1363,null,12297,null,1359,null,17293,null,1393,null,20998,null,1396,null,44305,null,1837,null,36007,null,1657,null,25741,null,1312,null,15495,null,1183,null,7213,null,1086,null,1754,null,577,null,0400000US12,Florida,12
