B27001G_001E,B27001G_001EA,B27001G_001M,B27001G_001MA,B27001G_002E,B27001G_002EA,B27001G_002M,B27001G_002MA,B27001G_003E,B27001G_003EA,B27001G_003M,B27001G_003MA,B27001G_004E,B27001G_004EA,B27001G_004M,B27001G_004MA,B27001G_005E,B27001G_005EA,B27001G_005M,B27001G_005MA,B27001G_006E,B27001G_006EA,B27001G_006M,B27001G_006MA,B27001G_007E,B27001G_007EA,B27001G_007M,B27001G_007MA,B27001G_008E,B27001G_008EA,B27001G_008M,B27001G_008MA,B27001G_009E,B27001G_009EA,B27001G_009M,B27001G_009MA,B27001G_010E,B27001G_010EA,B27001G_010M,B27001G_010MA,B27001G_011E,B27001G_011EA,B27001G_011M,B27001G_011MA,B27001G_012E,B27001G_012EA,B27001G_012M,B27001G_012MA,B27001G_013E,B27001G_013EA,B27001G_013M,B27001G_013MA,B27001G_014E,B27001G_014EA,B27001G_014M,B27001G_014MA,B27001G_015E,B27001G_015EA,B27001G_015M,B27001G_015MA,B27001G_016E,B27001G_016EA,B27001G_016M,B27001G_016MA,B27001G_017E,B27001G_017EA,B27001G_017M,B27001G_017MA,B27001G_018E,B27001G_018EA,B27001G_018M,B27001G_018MA,B27001G_019E,B27001G_019EA,B27001G_019M,B27001G_019MA,B27001G_020E,B27001G_020EA,B27001G_020M,B27001G_020MA,B27001G_021E,B27001G_021EA,B27001G_021M,B27001G_021MA,B27001G_022E,B27001G_022EA,B27001G_022M,B27001G_022MA,B27001G_023E,B27001G_023EA,B27001G_023M,B27001G_023MA,B27001G_024E,B27001G_024EA,B27001G_024M,B27001G_024MA,B27001G_025E,B27001G_025EA,B27001G_025M,B27001G_025MA,B27001G_026E,B27001G_026EA,B27001G_026M,B27001G_026MA,B27001G_027E,B27001G_027EA,B27001G_027M,B27001G_027MA,B27001G_028E,B27001G_028EA,B27001G_028M,B27001G_028MA,GEO_ID,NAME,state
62774,null,5552,null,11604,null,1908,null,11043,null,1899,null,561,null,352,null,16426,null,2466,null,15144,null,2445,null,1282,null,620,null,6252,null,1506,null,4275,null,1189,null,1977,null,663,null,5720,null,1241,null,3929,null,927,null,1791,null,744,null,5101,null,1188,null,3513,null,926,null,1588,null,658,null,6422,null,1261,null,4840,null,941,null,1582,null,804,null,5420,null,1086,null,4590,null,1014,null,830,null,550,null,3368,null,821,null,3368,null,821,null,0,null,273,null,2461,null,706,null,2461,null,706,null,0,null,273,null,0400000US01,Alabama,01
50147,null,3877,null,12186,null,1786,null,9562,null,1867,null,2624,null,830,null,13186,null,1749,null,10682,null,1700,null,2504,null,776,null,6630,null,1333,null,3758,null,1113,null,2872,null,835,null,6415,null,1335,null,4637,null,1152,null,1778,null,737,null,3921,null,859,null,2180,null,703,null,1741,null,657,null,3559,null,831,null,2436,null,723,null,1123,null,508,null,2911,null,765,null,2543,null,693,null,368,null,309,null,994,null,442,null,994,null,442,null,0,null,244,null,345,null,236,null,345,null,236,null,0,null,244,null,0400000US02,Alaska,02
181972,null,10455,null,37419,null,4071,null,35350,null,3935,null,2069,null,962,null,57124,null,5101,null,51820,null,4644,null,5304,null,1737,null,22028,null,3044,null,17164,null,2939,null,4864,null,1411,null,21041,null,2650,null,14595,null,2285,null,6446,null,1808,null,13213,null,1869,null,10523,null,1490,null,2690,null,789,null,13926,null,1922,null,11448,null,1714,null,2478,null,782,null,9923,null,1895,null,7845,null,1582,null,2078,null,785,null,4438,null,993,null,4438,null,993,null,0,null,305,null,2860,null,839,null,2717,null,772,null,143,null,262,null,0400000US04,Arizona,04
55631,null,4308,null,10697,null,2096,null,10284,null,2047,null,413,null,336,null,14336,null,1936,null,13422,null,1851,null,914,null,523,null,5897,null,1388,null,3751,null,1066,null,2146,null,787,null,6085,null,1627,null,3469,null,1229,null,2616,null,1092,null,5590,null,1275,null,3620,null,1122,null,1970,null,773,null,5436,null,1241,null,3906,null,941,null,1530,null,655,null,3506,null,928,null,2842,null,725,null,664,null,446,null,2099,null,734,null,2099,null,734,null,0,null,273,null,1985,null,639,null,1985,null,639,null,0,null,273,null,0400000US05,Arkansas,05
1385620,null,28100,null,262292,null,10109,null,249840,null,9688,null,12452,null,2481,null,392177,null,12168,null,365065,null,11135,null,27112,null,3651,null,164007,null,8126,null,125997,null,6470,null,38010,null,3723,null,171580,null,8557,null,126122,null,7158,null,45458,null,3969,null,141088,null,5767,null,113364,null,4965,null,27724,null,2656,null,118778,null,5740,null,96988,null,5000,null,21790,null,2478,null,72288,null,4021,null,61770,null,3875,null,10518,null,1733,null,39187,null,2862,null,37817,null,2697,null,1370,null,630,null,24223,null,2495,null,23841,null,2472,null,382,null,351,null,0400000US06,California,06
159102,null,8606,null,32332,null,3084,null,31083,null,2965,null,1249,null,823,null,48857,null,4723,null,45042,null,4345,null,3815,null,1579,null,19112,null,2999,null,14296,null,2530,null,4816,null,1167,null,16432,null,2337,null,11718,null,1810,null,4714,null,1284,null,16415,null,1838,null,12765,null,1706,null,3650,null,946,null,11335,null,1802,null,9240,null,1460,null,2095,null,910,null,8422,null,1419,null,7352,null,1337,null,1070,null,504,null,3780,null,882,null,3780,null,882,null,0,null,279,null,2417,null,772,null,2417,null,772,null,0,null,279,null,0400000US08,Colorado,08
77306,null,5616,null,16981,null,2227,null,16284,null,2249,null,697,null,595,null,25310,null,2751,null,24804,null,2726,null,506,null,292,null,11080,null,1734,null,8339,null,1351,null,2741,null,1055,null,6958,null,1477,null,5882,null,1346,null,1076,null,577,null,6181,null,1183,null,5258,null,1134,null,923,null,502,null,5438,null,1122,null,5010,null,1046,null,428,null,381,null,2972,null,739,null,2554,null,720,null,418,null,273,null,1354,null,536,null,1354,null,536,null,0,null,277,null,1032,null,474,null,1032,null,474,null,0,null,277,null,0400000US09,Connecticut,09
18591,null,2867,null,4596,null,1192,null,4596,null,1192,null,0,null,263,null,5232,null,1523,null,4995,null,1507,null,237,null,205,null,2019,null,773,null,1588,null,700,null,431,null,247,null,2379,null,801,null,1760,null,703,null,619,null,424,null,973,null,462,null,600,null,337,null,373,null,316,null,1282,null,609,null,1042,null,441,null,240,null,376,null,1101,null,494,null,1067,null,482,null,34,null,58,null,557,null,343,null,557,null,343,null,0,null,263,null,452,null,577,null,452,null,577,null,0,null,263,null,0400000US10,Delaware,10
10807,null,1930,null,2866,null,1164,null,2866,null,1164,null,0,null,296,null,1190,null,622,null,1190,null,622,null,0,null,296,null,1625,null,823,null,1348,null,780,null,277,null,262,null,1515,null,510,null,1134,null,491,null,381,null,292,null,1750,null,663,null,1572,null,641,null,178,null,293,null,957,null,461,null,957,null,461,null,0,null,296,null,439,null,263,null,339,null,209,null,100,null,166,null,237,null,184,null,237,null,184,null,0,null,296,null,228,null,194,null,228,null,194,null,0,null,296,null,0400000US11,District of Columbia,11
351464,null,15587,null,65711,null,5234,null,58435,null,4513,null,7276,null,2226,null,93696,null,6060,null,82277,null,5698,null,11419,null,2679,null,34619,null,3670,null,22742,null,2860,null,11877,null,2395,null,42935,null,4259,null,27188,null,3306,null,15747,null,2687,null,34325,null,3502,null,24414,null,2818,null,9911,null,2100,null,31473,null,2618,null,24071,null,2437,null,7402,null,1570,null,25134,null,2366,null,19613,null,2133,null,5521,null,1658,null,13297,null,2105,null,12661,null,2018,null,636,null,387,null,10274,null,1668,null,10150,null,1650,null,124,null,147,null,0400000US12,Florida,12
