C17010H_001E,C17010H_001EA,C17010H_001M,C17010H_001MA,C17010H_002E,C17010H_002EA,C17010H_002M,C17010H_002MA,C17010H_003E,C17010H_003EA,C17010H_003M,C17010H_003MA,C17010H_004E,C17010H_004EA,C17010H_004M,C17010H_004MA,C17010H_005E,C17010H_005EA,C17010H_005M,C17010H_005MA,C17010H_006E,C17010H_006EA,C17010H_006M,C17010H_006MA,C17010H_007E,C17010H_007EA,C17010H_007M,C17010H_007MA,C17010H_008E,C17010H_008EA,C17010H_008M,C17010H_008MA,C17010H_009E,C17010H_009EA,C17010H_009M,C17010H_009MA,C17010H_010E,C17010H_010EA,C17010H_010M,C17010H_010MA,C17010H_011E,C17010H_011EA,C17010H_011M,C17010H_011MA,C17010H_012E,C17010H_012EA,C17010H_012M,C17010H_012MA,C17010H_013E,C17010H_013EA,C17010H_013M,C17010H_013MA,C17010H_014E,C17010H_014EA,C17010H_014M,C17010H_014MA,C17010H_015E,C17010H_015EA,C17010H_015M,C17010H_015MA,C17010H_016E,C17010H_016EA,C17010H_016M,C17010H_016MA,C17010H_017E,C17010H_017EA,C17010H_017M,C17010H_017MA,GEO_ID,NAME,state
885358,null,9105,null,73442,null,3838,null,33349,null,2804,null,18317,null,2312,null,40093,null,3185,null,6116,null,1326,null,3977,null,1004,null,33977,null,3029,null,28266,null,2691,null,811916,null,9414,null,683605,null,9113,null,265072,null,6269,null,128311,null,5887,null,37139,null,3629,null,18379,null,2756,null,91172,null,5194,null,46946,null,3430,null,0400000US01,Alabama,01
114952,null,3112,null,5000,null,1067,null,1374,null,529,null,1092,null,463,null,3626,null,1067,null,379,null,337,null,312,null,321,null,3247,null,1031,null,3178,null,1034,null,109952,null,3093,null,90605,null,2886,null,40243,null,2206,null,19347,null,2207,null,7068,null,1254,null,4194,null,890,null,12279,null,1740,null,8092,null,1529,null,0400000US02,Alaska,02
982273,null,10305,null,58611,null,3454,null,28430,null,2740,null,12512,null,1877,null,30181,null,2584,null,5821,null,1513,null,4267,null,1179,null,24360,null,2237,null,19672,null,2190,null,923662,null,10416,null,760444,null,9891,null,260878,null,6603,null,163218,null,6725,null,52018,null,3915,null,28199,null,3033,null,111200,null,5004,null,67552,null,4449,null,0400000US04,Arizona,04
598815,null,6647,null,60221,null,3300,null,28849,null,2339,null,16451,null,2253,null,31372,null,2746,null,4689,null,1061,null,3069,null,813,null,26683,null,2546,null,23332,null,2494,null,538594,null,7002,null,450886,null,7590,null,172172,null,5344,null,87708,null,4469,null,28428,null,2835,null,14583,null,2223,null,59280,null,3551,null,35526,null,2738,null,0400000US05,Arkansas,05
3918766,null,18081,null,205098,null,7832,null,92976,null,5172,null,47470,null,4000,null,112122,null,6159,null,23392,null,2448,null,16932,null,2182,null,88730,null,5551,null,71922,null,4479,null,3713668,null,17619,null,3011870,null,18374,null,1176657,null,14240,null,701798,null,11229,null,231415,null,7278,null,110595,null,5965,null,470383,null,9739,null,237997,null,7248,null,0400000US06,California,06
930529,null,8517,null,46544,null,3714,null,21053,null,2547,null,10900,null,1757,null,25491,null,2598,null,4624,null,1258,null,2619,null,902,null,20867,null,2255,null,18145,null,2207,null,883985,null,8405,null,749674,null,8140,null,305949,null,6332,null,134311,null,6153,null,41413,null,3179,null,21176,null,2513,null,92898,null,5030,null,55143,null,4310,null,0400000US08,Colorado,08
675120,null,7735,null,20775,null,2454,null,7090,null,1320,null,3673,null,1038,null,13685,null,1930,null,1729,null,693,null,1116,null,506,null,11956,null,1796,null,10556,null,1702,null,654345,null,7531,null,541024,null,7506,null,232247,null,5230,null,113321,null,4854,null,33853,null,2743,null,14669,null,2032,null,79468,null,4038,null,43673,null,3339,null,0400000US09,Connecticut,09
157459,null,3462,null,7283,null,1470,null,2478,null,833,null,1723,null,764,null,4805,null,1290,null,912,null,618,null,468,null,402,null,3893,null,1125,null,3522,null,1013,null,150176,null,3568,null,123672,null,3443,null,45548,null,2687,null,26504,null,2527,null,7935,null,1526,null,4320,null,982,null,18569,null,1936,null,10382,null,1535,null,0400000US10,Delaware,10
34293,null,1916,null,603,null,332,null,97,null,116,null,59,null,96,null,506,null,313,null,269,null,243,null,0,null,296,null,237,null,197,null,138,null,160,null,33690,null,1919,null,30267,null,1755,null,9290,null,1224,null,3423,null,1082,null,765,null,521,null,523,null,491,null,2658,null,902,null,1352,null,592,null,0400000US11,District of Columbia,11
2881528,null,15843,null,190779,null,6167,null,91283,null,4797,null,39145,null,3205,null,99496,null,5121,null,21201,null,2443,null,15854,null,2335,null,78295,null,4606,null,66091,null,4373,null,2690749,null,16360,null,2232450,null,15483,null,684757,null,9864,null,458299,null,11619,null,133188,null,5128,null,67581,null,4370,null,325111,null,9875,null,171869,null,6506,null,0400000US12,Florida,12
1466623,null,11397,null,104968,null,5709,null,51604,null,3661,null,27712,null,2698,null,53364,null,4659,null,10551,null,2082,null,7379,null,1704,null,42813,null,3653,null,35467,null,3601,null,1361655,null,11926,null,1146728,null,12627,null,480325,null,10032,null,214927,null,6770,null,67987,null,3960,null,35928,null,3325,null,146940,null,5364,null,85585,null,4642,null,0400000US13,Georgia,13
86030,null,3336,null,4840,null,1128,null,1958,null,902,null,1076,null,605,null,2882,null,863,null,184,null,226,null,184,null,226,null,2698,null,850,null,2551,null,854,null,81190,null,3082,null,68522,null,2980,null,26466,null,2139,null,12668,null,1948,null,4452,null,1167,null,2593,null,899,null,8216,null,1396,null,4311,null,1155,null,0400000US15,Hawaii,15
350715,null,5247,null,28344,null,2720,null,14417,null,1676,null,8321,null,1158,null,13927,null,2120,null,2554,null,881,null,2204,null,838,null,11373,null,1802,null,10294,null,1669,null,322371,null,5890,null,274456,null,6198,null,117224,null,4162,null,47915,null,3428,null,16694,null,2370,null,10428,null,1768,null,31221,null,2486,null,19950,null,2335,null,0400000US16,Idaho,16
2161090,null,12662,null,122910,null,5076,null,48843,null,3462,null,29536,null,2787,null,74067,null,3846,null,12174,null,1930,null,9708,null,1799,null,61893,null,3699,null,51785,null,3330,null,2038180,null,12716,null,1710372,null,12693,null,696125,null,9099,null,327808,null,8116,null,105713,null,4552,null,53600,null,3522,null,222095,null,6822,null,117045,null,4766,null,0400000US17,Illinois,17
