B25100_001E,B25100_001EA,B25100_001M,B25100_001MA,B25100_002E,B25100_002EA,B25100_002M,B25100_002MA,B25100_003E,B25100_003EA,B25100_003M,B25100_003MA,B25100_004E,B25100_004EA,B25100_004M,B25100_004MA,B25100_005E,B25100_005EA,B25100_005M,B25100_005MA,B25100_006E,B25100_006EA,B25100_006M,B25100_006MA,B25100_007E,B25100_007EA,B25100_007M,B25100_007MA,B25100_008E,B25100_008EA,B25100_008M,B25100_008MA,B25100_009E,B25100_009EA,B25100_009M,B25100_009MA,B25100_010E,B25100_010EA,B25100_010M,B25100_010MA,B25100_011E,B25100_011EA,B25100_011M,B25100_011MA,B25100_012E,B25100_012EA,B25100_012M,B25100_012MA,B25100_013E,B25100_013EA,B25100_013M,B25100_013MA,GEO_ID,NAME,state
1285879,null,10656,null,779325,null,11540,null,347170,null,7965,null,194400,null,6364,null,94557,null,5352,null,139371,null,6562,null,3827,null,998,null,506554,null,9492,null,208422,null,7242,null,80820,null,4293,null,54784,null,2831,null,155320,null,5718,null,7208,null,1344,null,0400000US01,Alabama,01
154337,null,3768,null,104790,null,4016,null,29301,null,2395,null,32382,null,3033,null,17437,null,1730,null,25327,null,2621,null,343,null,400,null,49547,null,2899,null,18962,null,1919,null,9498,null,1372,null,5098,null,785,null,15787,null,1627,null,202,null,277,null,0400000US02,Alaska,02
1526790,null,12373,null,1076371,null,12607,null,299570,null,8003,null,261700,null,7097,null,169030,null,6202,null,337749,null,8422,null,8322,null,1511,null,450419,null,8066,null,131809,null,5519,null,62362,null,3348,null,50727,null,3931,null,197829,null,5237,null,7692,null,1446,null,0400000US04,Arizona,04
742860,null,10442,null,435512,null,8884,null,221255,null,6258,null,99565,null,4561,null,44524,null,3301,null,68312,null,3986,null,1856,null,740,null,307348,null,6395,null,139459,null,5122,null,50215,null,3142,null,32430,null,2476,null,82827,null,3429,null,2417,null,781,null,0400000US05,Arkansas,05
6910054,null,26866,null,5226588,null,27593,null,647346,null,10440,null,921657,null,13673,null,894106,null,15611,null,2737362,null,23993,null,26117,null,2738,null,1683466,null,16569,null,284679,null,6443,null,160012,null,5327,null,156367,null,5895,null,1064897,null,13878,null,17511,null,1744,null,0400000US06,California,06
1279955,null,10174,null,971804,null,9735,null,204408,null,5201,null,270059,null,6939,null,187137,null,5272,null,306527,null,9392,null,3673,null,961,null,308151,null,6700,null,69677,null,3483,null,45045,null,2596,null,36310,null,2604,null,152948,null,4639,null,4171,null,950,null,0400000US08,Colorado,08
913166,null,7185,null,659299,null,8016,null,136860,null,5608,null,183758,null,5587,null,118819,null,4882,null,217661,null,6006,null,2201,null,841,null,253867,null,5724,null,40767,null,3090,null,38060,null,2907,null,31788,null,2587,null,141522,null,4190,null,1730,null,599,null,0400000US09,Connecticut,09
240908,null,4399,null,168711,null,4461,null,33035,null,2696,null,46602,null,3002,null,30629,null,2648,null,57906,null,3290,null,539,null,410,null,72197,null,2671,null,17256,null,1642,null,9562,null,979,null,7171,null,1248,null,37238,null,1867,null,970,null,549,null,0400000US10,Delaware,10
111618,null,3411,null,87382,null,3517,null,9149,null,1461,null,17643,null,1709,null,15828,null,1631,null,44281,null,3086,null,481,null,361,null,24236,null,2203,null,2204,null,704,null,2834,null,871,null,2265,null,586,null,16494,null,1570,null,439,null,338,null,0400000US11,District of Columbia,11
4785064,null,27252,null,3093098,null,23983,null,814216,null,12220,null,742786,null,14271,null,476893,null,10804,null,1038896,null,17289,null,20307,null,2321,null,1691966,null,17640,null,466254,null,9852,null,255357,null,6612,null,196714,null,6373,null,745605,null,11204,null,28036,null,2404,null,0400000US12,Florida,12
2325917,null,19632,null,1655875,null,18168,null,586358,null,10906,null,435056,null,10450,null,235584,null,8062,null,389404,null,9886,null,9473,null,1582,null,670042,null,12260,null,229741,null,6987,null,109179,null,5480,null,74537,null,3933,null,246442,null,7655,null,10143,null,2040,null,0400000US13,Georgia,13
252881,null,6432,null,177529,null,5722,null,9983,null,1368,null,18833,null,2148,null,25695,null,2132,null,122365,null,5594,null,653,null,323,null,75352,null,3378,null,6244,null,1188,null,4714,null,889,null,4589,null,787,null,58883,null,3155,null,922,null,381,null,0400000US15,Hawaii,15
