C17001A_001E,C17001A_001EA,C17001A_001M,C17001A_001MA,C17001A_002E,C17001A_002EA,C17001A_002M,C17001A_002MA,C17001A_003E,C17001A_003EA,C17001A_003M,C17001A_003MA,C17001A_004E,C17001A_004EA,C17001A_004M,C17001A_004MA,C17001A_005E,C17001A_005EA,C17001A_005M,C17001A_005MA,C17001A_006E,C17001A_006EA,C17001A_006M,C17001A_006MA,C17001A_007E,C17001A_007EA,C17001A_007M,C17001A_007MA,C17001A_008E,C17001A_008EA,C17001A_008M,C17001A_008MA,C17001A_009E,C17001A_009EA,C17001A_009M,C17001A_009MA,C17001A_010E,C17001A_010EA,C17001A_010M,C17001A_010MA,C17001A_011E,C17001A_011EA,C17001A_011M,C17001A_011MA,C17001A_012E,C17001A_012EA,C17001A_012M,C17001A_012MA,C17001A_013E,C17001A_013EA,C17001A_013M,C17001A_013MA,C17001A_014E,C17001A_014EA,C17001A_014M,C17001A_014MA,C17001A_015E,C17001A_015EA,C17001A_015M,C17001A_015MA,C17001A_016E,C17001A_016EA,C17001A_016M,C17001A_016MA,C17001A_017E,C17001A_017EA,C17001A_017M,C17001A_017MA,C17001A_018E,C17001A_018EA,C17001A_018M,C17001A_018MA,C17001A_019E,C17001A_019EA,C17001A_019M,C17001A_019MA,GEO_ID,NAME,state
3227852,null,6396,null,397940,null,14733,null,174607,null,7816,null,59203,null,4389,null,102132,null,5467,null,13272,null,1539,null,223333,null,8900,null,54077,null,3531,null,140125,null,6296,null,29131,null,2297,null,2829912,null,15730,null,1406012,null,8829,null,307910,null,4967,null,894729,null,6598,null,203373,null,1756,null,1423900,null,9713,null,296411,null,4076,null,870958,null,6521,null,256531,null,2894,null,0400000US01,Alabama,01
467787,null,3278,null,31786,null,3752,null,15185,null,2339,null,6425,null,1312,null,8431,null,1790,null,329,null,249,null,16601,null,2363,null,4418,null,1286,null,11434,null,1593,null,749,null,355,null,436001,null,5563,null,230108,null,3127,null,49565,null,1858,null,161719,null,2217,null,18824,null,508,null,205893,null,3315,null,47586,null,1710,null,139603,null,2173,null,18704,null,470,null,0400000US02,Alaska,02
5185681,null,23053,null,763324,null,27107,null,357592,null,15184,null,130890,null,8684,null,206217,null,9862,null,20485,null,2586,null,405732,null,15053,null,135065,null,9226,null,235128,null,9405,null,35539,null,3090,null,4422357,null,30553,null,2235847,null,17644,null,515969,null,9702,null,1386648,null,12211,null,333230,null,2656,null,2186510,null,16094,null,468618,null,8463,null,1328871,null,10410,null,389021,null,3808,null,0400000US04,Arizona,04
2206263,null,6446,null,322204,null,13994,null,142733,null,7906,null,51300,null,4432,null,81018,null,5515,null,10415,null,1551,null,179471,null,8935,null,50481,null,4597,null,105197,null,5889,null,23793,null,2004,null,1884059,null,14864,null,937853,null,8390,null,204690,null,4797,null,591310,null,5737,null,141853,null,1951,null,946206,null,9653,null,195306,null,4931,null,579892,null,6697,null,171008,null,2609,null,0400000US05,Arkansas,05
22721616,null,77227,null,2866461,null,53246,null,1315007,null,30543,null,488859,null,17867,null,747335,null,17520,null,78813,null,4747,null,1551454,null,29485,null,489335,null,15358,null,911716,null,18060,null,150403,null,6309,null,19855155,null,73703,null,10033763,null,42846,null,2275714,null,20994,null,6533814,null,31057,null,1224235,null,5985,null,9821392,null,40487,null,2135154,null,19688,null,6143590,null,26199,null,1542648,null,8318,null,0400000US06,California,06
4167522,null,15631,null,484197,null,20567,null,228272,null,11670,null,74521,null,6051,null,141874,null,8727,null,11877,null,1936,null,255925,null,11553,null,71085,null,5913,null,158840,null,7441,null,26000,null,2466,null,3683325,null,20512,null,1859351,null,12933,null,414773,null,5878,null,1245760,null,10052,null,198818,null,2020,null,1823974,null,11552,null,394347,null,6344,null,1192363,null,7495,null,237264,null,2673,null,0400000US08,Colorado,08
2707032,null,11487,null,181993,null,11783,null,80044,null,6613,null,22694,null,3520,null,50805,null,4274,null,6545,null,1155,null,101949,null,7088,null,19774,null,3347,null,66082,null,4715,null,16093,null,1700,null,2525039,null,14467,null,1240358,null,9004,null,273658,null,4179,null,796917,null,6259,null,169783,null,1541,null,1284681,null,8295,null,262258,null,3646,null,798371,null,5648,null,224052,null,2333,null,0400000US09,Connecticut,09
620533,null,4577,null,53496,null,6983,null,22591,null,3705,null,8605,null,2140,null,12119,null,2037,null,1867,null,671,null,30905,null,4404,null,8769,null,2359,null,18662,null,2603,null,3474,null,844,null,567037,null,7890,null,281195,null,4624,null,60417,null,2496,null,176725,null,3004,null,44053,null,719,null,285842,null,4516,null,54591,null,2361,null,177480,null,2671,null,53771,null,1003,null,0400000US10,Delaware,10
214338,null,4322,null,15743,null,2240,null,7981,null,1510,null,638,null,517,null,6823,null,1397,null,520,null,345,null,7762,null,1421,null,779,null,466,null,6654,null,1344,null,329,null,303,null,198595,null,4598,null,100011,null,2491,null,13683,null,1224,null,75597,null,1938,null,10731,null,599,null,98584,null,3090,null,14647,null,1293,null,72351,null,2158,null,11586,null,1545,null,0400000US11,District of Columbia,11
13992294,null,28316,null,1729617,null,31826,null,791749,null,17629,null,232088,null,10465,null,471947,null,13165,null,87714,null,4794,null,937868,null,21772,null,220704,null,10383,null,555135,null,13350,null,162029,null,7182,null,12262677,null,34490,null,6080357,null,20262,null,1185629,null,11583,null,3737130,null,16398,null,1157598,null,5994,null,6182320,null,26102,null,1120719,null,11869,null,3678775,null,16968,null,1382826,null,9051,null,0400000US12,Florida,12
