B27001I_001E,B27001I_001EA,B27001I_001M,B27001I_001MA,B27001I_002E,B27001I_002EA,B27001I_002M,B27001I_002MA,B27001I_003E,B27001I_003EA,B27001I_003M,B27001I_003MA,B27001I_004E,B27001I_004EA,B27001I_004M,B27001I_004MA,B27001I_005E,B27001I_005EA,B27001I_005M,B27001I_005MA,B27001I_006E,B27001I_006EA,B27001I_006M,B27001I_006MA,B27001I_007E,B27001I_007EA,B27001I_007M,B27001I_007MA,B27001I_008E,B27001I_008EA,B27001I_008M,B27001I_008MA,B27001I_009E,B27001I_009EA,B27001I_009M,B27001I_009MA,B27001I_010E,B27001I_010EA,B27001I_010M,B27001I_010MA,B27001I_011E,B27001I_011EA,B27001I_011M,B27001I_011MA,B27001I_012E,B27001I_012EA,B27001I_012M,B27001I_012MA,B27001I_013E,B27001I_013EA,B27001I_013M,B27001I_013MA,B27001I_014E,B27001I_014EA,B27001I_014M,B27001I_014MA,B27001I_015E,B27001I_015EA,B27001I_015M,B27001I_015MA,B27001I_016E,B27001I_016EA,B27001I_016M,B27001I_016MA,B27001I_017E,B27001I_017EA,B27001I_017M,B27001I_017MA,B27001I_018E,B27001I_018EA,B27001I_018M,B27001I_018MA,B27001I_019E,B27001I_019EA,B27001I_019M,B27001I_019MA,B27001I_020E,B27001I_020EA,B27001I_020M,B27001I_020MA,B27001I_021E,B27001I_021EA,B27001I_021M,B27001I_021MA,B27001I_022E,B27001I_022EA,B27001I_022M,B27001I_022MA,B27001I_023E,B27001I_023EA,B27001I_023M,B27001I_023MA,B27001I_024E,B27001I_024EA,B27001I_024M,B27001I_024MA,B27001I_025E,B27001I_025EA,B27001I_025M,B27001I_025MA,B27001I_026E,B27001I_026EA,B27001I_026M,B27001I_026MA,B27001I_027E,B27001I_027EA,B27001I_027M,B27001I_027MA,B27001I_028E,B27001I_028EA,B27001I_028M,B27001I_028MA,GEO_ID,NAME,state
145199,null,2002,null,30091,null,1718,null,27038,null,1567,null,3053,null,1158,null,31727,null,1674,null,25918,null,1861,null,5809,null,1441,null,14673,null,1663,null,5124,null,1057,null,9549,null,1201,null,31222,null,2148,null,9294,null,1568,null,21928,null,2559,null,15535,null,1713,null,8258,null,1400,null,7277,null,1371,null,11801,null,1454,null,5305,null,1076,null,6496,null,1242,null,5310,null,935,null,2944,null,728,null,2366,null,773,null,2164,null,789,null,1911,null,739,null,253,null,247,null,2676,null,926,null,2132,null,910,null,544,null,421,null,0400000US01,Alabama,01
42190,null,426,null,5436,null,708,null,4554,null,818,null,882,null,509,null,10033,null,785,null,8466,null,897,null,1567,null,670,null,6706,null,1160,null,3272,null,1273,null,3434,null,1088,null,7170,null,1535,null,4129,null,1198,null,3041,null,1217,null,5021,null,1058,null,3640,null,1028,null,1381,null,663,null,4603,null,1106,null,3989,null,991,null,614,null,372,null,1958,null,511,null,1854,null,498,null,104,null,107,null,820,null,498,null,820,null,498,null,0,null,244,null,443,null,263,null,443,null,263,null,0,null,244,null,0400000US02,Alaska,02
1999088,null,2097,null,287082,null,4119,null,252119,null,5116,null,34963,null,4104,null,466281,null,4158,null,383461,null,7560,null,82820,null,6149,null,225059,null,2158,null,127897,null,5683,null,97162,null,5463,null,348998,null,2666,null,199907,null,7705,null,149091,null,7571,null,276020,null,2201,null,176830,null,5995,null,99190,null,5988,null,189000,null,1813,null,132682,null,5293,null,56318,null,5256,null,111497,null,798,null,78438,null,3443,null,33059,null,3404,null,56364,null,982,null,52035,null,1802,null,4329,null,1318,null,38787,null,1161,null,37302,null,1381,null,1485,null,766,null,0400000US04,Arizona,04
170501,null,2152,null,30080,null,1729,null,26879,null,1741,null,3201,null,1375,null,42121,null,1989,null,32898,null,2751,null,9223,null,1901,null,19635,null,2054,null,9863,null,1752,null,9772,null,1902,null,29334,null,2434,null,9965,null,1654,null,19369,null,2798,null,25918,null,2555,null,12648,null,2173,null,13270,null,2539,null,12260,null,2222,null,5784,null,1201,null,6476,null,2026,null,6857,null,1428,null,4800,null,1169,null,2057,null,808,null,2942,null,968,null,2474,null,869,null,468,null,334,null,1354,null,436,null,1255,null,396,null,99,null,119,null,0400000US05,Arkansas,05
13512047,null,5426,null,1722754,null,7545,null,1566866,null,10873,null,155888,null,8422,null,3008193,null,7629,null,2546293,null,18300,null,461900,null,16104,null,1588175,null,4009,null,845764,null,11745,null,742411,null,11772,null,2215745,null,4477,null,1235512,null,18904,null,980233,null,19578,null,1971921,null,3311,null,1191130,null,14015,null,780791,null,13233,null,1465992,null,2692,null,957676,null,12185,null,508316,null,11651,null,823241,null,1718,null,583644,null,8404,null,239597,null,8143,null,411276,null,2003,null,383178,null,4016,null,28098,null,3178,null,304750,null,2241,null,290692,null,3050,null,14058,null,2331,null,0400000US06,California,06
997904,null,1736,null,141525,null,2369,null,122117,null,3964,null,19408,null,3118,null,223787,null,2540,null,174133,null,5830,null,49654,null,5562,null,111119,null,1735,null,53232,null,3014,null,57887,null,2920,null,168521,null,2402,null,81896,null,5516,null,86625,null,5898,null,139933,null,2659,null,83212,null,4052,null,56721,null,4066,null,100996,null,2466,null,68051,null,3089,null,32945,null,3187,null,60908,null,1368,null,47201,null,2178,null,13707,null,1773,null,31357,null,1518,null,29288,null,1438,null,2069,null,1119,null,19758,null,1453,null,18881,null,1286,null,877,null,635,null,0400000US08,Colorado,08
424910,null,943,null,52393,null,1352,null,48860,null,1754,null,3533,null,1514,null,91875,null,1377,null,85715,null,2387,null,6160,null,1774,null,51569,null,1377,null,32506,null,2200,null,19063,null,1983,null,70249,null,1308,null,41966,null,2642,null,28283,null,2783,null,63407,null,1375,null,46409,null,2722,null,16998,null,2356,null,48626,null,1243,null,37734,null,1990,null,10892,null,1693,null,26221,null,591,null,21461,null,1401,null,4760,null,1249,null,13060,null,556,null,12211,null,698,null,849,null,454,null,7510,null,483,null,7391,null,513,null,119,null,180,null,0400000US09,Connecticut,09
63392,null,247,null,10675,null,699,null,9389,null,1010,null,1286,null,766,null,14329,null,699,null,12272,null,1170,null,2057,null,901,null,6485,null,458,null,4899,null,588,null,1586,null,560,null,11398,null,435,null,4687,null,1286,null,6711,null,1327,null,9251,null,501,null,4915,null,1148,null,4336,null,1181,null,5683,null,577,null,4546,null,568,null,1137,null,461,null,3481,null,770,null,2708,null,638,null,773,null,555,null,1084,null,428,null,1084,null,428,null,0,null,263,null,1006,null,679,null,1006,null,679,null,0,null,263,null,0400000US10,Delaware,10
52605,null,226,null,6292,null,325,null,6078,null,394,null,214,null,360,null,7668,null,325,null,6877,null,577,null,791,null,534,null,6025,null,4,null,4619,null,783,null,1406,null,783,null,11374,null,204,null,9303,null,747,null,2071,null,725,null,8660,null,61,null,6952,null,696,null,1708,null,696,null,5767,null,92,null,4571,null,700,null,1196,null,694,null,3806,null,612,null,3582,null,636,null,224,null,278,null,2009,null,776,null,1926,null,773,null,83,null,142,null,1004,null,500,null,1004,null,500,null,0,null,296,null,0400000US11,District of Columbia,11
3943669,null,3367,null,408352,null,3972,null,347587,null,7576,null,60765,null,6589,null,659364,null,4244,null,500754,null,7407,null,158610,null,7209,null,398212,null,3768,null,191354,null,6124,null,206858,null,6837,null,614280,null,4527,null,305124,null,9829,null,309156,null,9572,null,619514,null,3486,null,335556,null,9299,null,283958,null,9192,null,507764,null,3248,null,311274,null,8173,null,196490,null,8294,null,324649,null,2163,null,211425,null,5268,null,113224,null,5724,null,220384,null,2095,null,206867,null,2927,null,13517,null,2434,null,191150,null,2143,null,186390,null,2399,null,4760,null,1185,null,0400000US12,Florida,12
