B12005_001E,B12005_001EA,B12005_001M,B12005_001MA,B12005_002E,B12005_002EA,B12005_002M,B12005_002MA,B12005_003E,B12005_003EA,B12005_003M,B12005_003MA,B12005_004E,B12005_004EA,B12005_004M,B12005_004MA,B12005_005E,B12005_005EA,B12005_005M,B12005_005MA,B12005_006E,B12005_006EA,B12005_006M,B12005_006MA,B12005_007E,B12005_007EA,B12005_007M,B12005_007MA,B12005_008E,B12005_008EA,B12005_008M,B12005_008MA,B12005_009E,B12005_009EA,B12005_009M,B12005_009MA,B12005_010E,B12005_010EA,B12005_010M,B12005_010MA,B12005_011E,B12005_011EA,B12005_011M,B12005_011MA,B12005_012E,B12005_012EA,B12005_012M,B12005_012MA,B12005_013E,B12005_013EA,B12005_013M,B12005_013MA,B12005_014E,B12005_014EA,B12005_014M,B12005_014MA,B12005_015E,B12005_015EA,B12005_015M,B12005_015MA,B12005_016E,B12005_016EA,B12005_016M,B12005_016MA,GEO_ID,NAME,state
3772855,null,3273,null,1064937,null,14216,null,1025761,null,13128,null,39176,null,3780,null,1874670,null,22423,null,1794408,null,21757,null,80262,null,3399,null,104369,null,5217,null,101559,null,4994,null,2810,null,1009,null,276966,null,7224,null,272499,null,7131,null,4467,null,1115,null,451913,null,12629,null,444550,null,12671,null,7363,null,1366,null,0400000US01,Alabama,01
546524,null,1350,null,186179,null,5441,null,176311,null,5170,null,9868,null,2138,null,264781,null,6689,null,236104,null,6089,null,28677,null,2391,null,11745,null,1738,null,10534,null,1701,null,1211,null,520,null,19832,null,1827,null,17053,null,1721,null,2779,null,772,null,63987,null,4889,null,60310,null,4789,null,3677,null,814,null,0400000US02,Alaska,02
5135919,null,1656,null,1642390,null,22361,null,1409954,null,19502,null,232436,null,12815,null,2486891,null,28766,null,1973429,null,23627,null,513462,null,15291,null,96830,null,5612,null,72786,null,4802,null,24044,null,3133,null,284906,null,8054,null,246179,null,7734,null,38727,null,3396,null,624902,null,16736,null,556631,null,15728,null,68271,null,5491,null,0400000US04,Arizona,04
2297928,null,2637,null,587718,null,10254,null,560154,null,9750,null,27564,null,3136,null,1194886,null,15910,null,1124139,null,15559,null,70747,null,3911,null,59951,null,5077,null,57006,null,4965,null,2945,null,1119,null,166449,null,5489,null,161783,null,5424,null,4666,null,1115,null,288924,null,8200,null,282479,null,8291,null,6445,null,1360,null,0400000US05,Arkansas,05
29134110,null,3342,null,10330973,null,45360,null,7969733,null,42644,null,2361240,null,28329,null,13824174,null,54598,null,8071316,null,44452,null,5752858,null,38899,null,667264,null,14281,null,387485,null,11594,null,279779,null,8901,null,1528586,null,17160,null,1014179,null,14136,null,514407,null,10534,null,2783113,null,29074,null,2142945,null,23451,null,640168,null,17760,null,0400000US06,California,06
3991744,null,2059,null,1222398,null,14486,null,1101921,null,14133,null,120477,null,7641,null,2072460,null,18681,null,1800666,null,19113,null,271794,null,10295,null,69832,null,5010,null,55753,null,4504,null,14079,null,2425,null,176991,null,6314,null,158764,null,5858,null,18227,null,2483,null,450063,null,10034,null,418785,null,10274,null,31278,null,3365,null,0400000US08,Colorado,08
2857602,null,1159,null,922175,null,11151,null,823818,null,12017,null,98357,null,6233,null,1420022,null,16580,null,1158243,null,16429,null,261779,null,8509,null,42026,null,3597,null,31486,null,3112,null,10540,null,2013,null,174813,null,4911,null,150058,null,4343,null,24755,null,2408,null,298566,null,8622,null,262159,null,8202,null,36407,null,2977,null,0400000US09,Connecticut,09
713071,null,782,null,225987,null,5910,null,208271,null,5914,null,17716,null,3076,null,345234,null,8432,null,303374,null,7864,null,41860,null,3550,null,15849,null,2755,null,12686,null,2354,null,3163,null,1165,null,48005,null,2964,null,45406,null,3019,null,2599,null,743,null,77996,null,3940,null,74497,null,4055,null,3499,null,1029,null,0400000US10,Delaware,10
504809,null,352,null,281355,null,6557,null,253229,null,6529,null,28126,null,3451,null,131544,null,6681,null,102394,null,5868,null,29150,null,3230,null,14771,null,2452,null,13443,null,2375,null,1328,null,560,null,27809,null,2339,null,25370,null,2135,null,2439,null,855,null,49330,null,3428,null,42293,null,3372,null,7037,null,1506,null,0400000US11,District of Columbia,11
15173805,null,3705,null,4500857,null,30263,null,3714155,null,27657,null,786702,null,20199,null,7298448,null,43978,null,5473713,null,36829,null,1824735,null,28165,null,371531,null,10503,null,254171,null,9078,null,117360,null,5843,null,1106780,null,14971,null,887378,null,12776,null,219402,null,7514,null,1896189,null,26462,null,1516309,null,23863,null,379880,null,11735,null,0400000US12,Florida,12
