C24010A_001E,C24010A_001EA,C24010A_001M,C24010A_001MA,C24010A_002E,C24010A_002EA,C24010A_002M,C24010A_002MA,C24010A_003E,C24010A_003EA,C24010A_003M,C24010A_003MA,C24010A_004E,C24010A_004EA,C24010A_004M,C24010A_004MA,C24010A_005E,C24010A_005EA,C24010A_005M,C24010A_005MA,C24010A_006E,C24010A_006EA,C24010A_006M,C24010A_006MA,C24010A_007E,C24010A_007EA,C24010A_007M,C24010A_007MA,C24010A_008E,C24010A_008EA,C24010A_008M,C24010A_008MA,C24010A_009E,C24010A_009EA,C24010A_009M,C24010A_009MA,C24010A_010E,C24010A_010EA,C24010A_010M,C24010A_010MA,C24010A_011E,C24010A_011EA,C24010A_011M,C24010A_011MA,C24010A_012E,C24010A_012EA,C24010A_012M,C24010A_012MA,C24010A_013E,C24010A_013EA,C24010A_013M,C24010A_013MA,C24010A_014E,C24010A_014EA,C24010A_014M,C24010A_014MA,C24010A_015E,C24010A_015EA,C24010A_015M,C24010A_015MA,GEO_ID,NAME,state
1451823,null,12134,null,790247,null,8190,null,241600,null,6199,null,87968,null,4041,null,136581,null,5624,null,7823,null,1698,null,161594,null,5612,null,154681,null,6677,null,661576,null,9035,null,264453,null,7058,null,108747,null,5507,null,243123,null,6760,null,1275,null,591,null,5330,null,1419,null,38648,null,2811,null,0400000US01,Alabama,01
244083,null,4730,null,132880,null,3127,null,44139,null,2766,null,18184,null,2124,null,19963,null,2570,null,1709,null,551,null,29866,null,2983,null,19019,null,2437,null,111203,null,3312,null,47055,null,2716,null,20851,null,2744,null,38470,null,2951,null,93,null,122,null,2033,null,852,null,2701,null,947,null,0400000US02,Alaska,02
2306896,null,18837,null,1253636,null,13986,null,395521,null,8686,null,212151,null,9579,null,251250,null,9022,null,7697,null,1858,null,225175,null,9473,null,161842,null,7088,null,1053260,null,13524,null,410425,null,10035,null,218770,null,8753,null,373568,null,10056,null,1717,null,761,null,5317,null,1301,null,43463,null,4128,null,0400000US04,Arizona,04
1013383,null,12278,null,542150,null,7883,null,150461,null,5750,null,61263,null,4090,null,89302,null,5037,null,10173,null,1905,null,110421,null,5905,null,120530,null,4691,null,471233,null,7329,null,176280,null,5957,null,92963,null,4813,null,161529,null,5621,null,890,null,457,null,4075,null,1065,null,35496,null,2798,null,0400000US05,Arkansas,05
10493161,null,42351,null,5728227,null,30956,null,2093747,null,20687,null,813591,null,16911,null,1044098,null,17838,null,131685,null,7230,null,847693,null,16115,null,797413,null,16464,null,4764934,null,25893,null,1974891,null,19995,null,941581,null,18298,null,1577569,null,17956,null,39972,null,3363,null,21010,null,2467,null,209911,null,8070,null,0400000US06,California,06
2160094,null,15789,null,1156053,null,9660,null,445105,null,8434,null,156732,null,6004,null,208603,null,6663,null,9152,null,1529,null,195716,null,6998,null,140745,null,6482,null,1004041,null,10122,null,430193,null,7879,null,201975,null,7984,null,331542,null,7883,null,2272,null,791,null,6700,null,1324,null,31359,null,2711,null,0400000US08,Colorado,08
1418121,null,11012,null,733733,null,7714,null,298583,null,7533,null,97377,null,4734,null,133262,null,6016,null,1133,null,515,null,106277,null,4927,null,97101,null,4592,null,684388,null,6785,null,304824,null,6298,null,121994,null,5541,null,223098,null,6448,null,240,null,204,null,2264,null,812,null,31968,null,2890,null,0400000US09,Connecticut,09
308114,null,5348,null,158959,null,3899,null,57976,null,2940,null,24115,null,2413,null,25830,null,2257,null,905,null,440,null,27416,null,2668,null,22717,null,2557,null,149155,null,3649,null,64604,null,3114,null,24314,null,2314,null,52717,null,3039,null,574,null,443,null,933,null,523,null,6013,null,1358,null,0400000US10,Delaware,10
142695,null,3002,null,73992,null,1891,null,57664,null,2132,null,6093,null,1340,null,8130,null,1477,null,0,null,296,null,1619,null,758,null,486,null,293,null,68703,null,2317,null,50230,null,2387,null,6867,null,1600,null,11117,null,1473,null,69,null,118,null,184,null,226,null,236,null,205,null,0400000US11,District of Columbia,11
6254657,null,31984,null,3326616,null,20313,null,1072198,null,15796,null,547920,null,12509,null,682572,null,16841,null,33355,null,4951,null,568573,null,12842,null,421998,null,11889,null,2928041,null,20178,null,1105480,null,14848,null,590677,null,13426,null,1102913,null,13970,null,7878,null,1779,null,21667,null,2664,null,99426,null,6034,null,0400000US12,Florida,12
