B21001I_001E,B21001I_001EA,B21001I_001M,B21001I_001MA,B21001I_002E,B21001I_002EA,B21001I_002M,B21001I_002MA,B21001I_003E,B21001I_003EA,B21001I_003M,B21001I_003MA,B21001I_004E,B21001I_004EA,B21001I_004M,B21001I_004MA,B21001I_005E,B21001I_005EA,B21001I_005M,B21001I_005MA,B21001I_006E,B21001I_006EA,B21001I_006M,B21001I_006MA,B21001I_007E,B21001I_007EA,B21001I_007M,B21001I_007MA,B21001I_008E,B21001I_008EA,B21001I_008M,B21001I_008MA,B21001I_009E,B21001I_009EA,B21001I_009M,B21001I_009MA,B21001I_010E,B21001I_010EA,B21001I_010M,B21001I_010MA,B21001I_011E,B21001I_011EA,B21001I_011M,B21001I_011MA,B21001I_012E,B21001I_012EA,B21001I_012M,B21001I_012MA,B21001I_013E,B21001I_013EA,B21001I_013M,B21001I_013MA,B21001I_014E,B21001I_014EA,B21001I_014M,B21001I_014MA,B21001I_015E,B21001I_015EA,B21001I_015M,B21001I_015MA,B21001I_016E,B21001I_016EA,B21001I_016M,B21001I_016MA,B21001I_017E,B21001I_017EA,B21001I_017M,B21001I_017MA,B21001I_018E,B21001I_018EA,B21001I_018M,B21001I_018MA,B21001I_019E,B21001I_019EA,B21001I_019M,B21001I_019MA,B21001I_020E,B21001I_020EA,B21001I_020M,B21001I_020MA,B21001I_021E,B21001I_021EA,B21001I_021M,B21001I_021MA,B21001I_022E,B21001I_022EA,B21001I_022M,B21001I_022MA,B21001I_023E,B21001I_023EA,B21001I_023M,B21001I_023MA,B21001I_024E,B21001I_024EA,B21001I_024M,B21001I_024MA,B21001I_025E,B21001I_025EA,B21001I_025M,B21001I_025MA,B21001I_026E,B21001I_026EA,B21001I_026M,B21001I_026MA,B21001I_027E,B21001I_027EA,B21001I_027M,B21001I_027MA,B21001I_028E,B21001I_028EA,B21001I_028M,B21001I_028MA,B21001I_029E,B21001I_029EA,B21001I_029M,B21001I_029MA,B21001I_030E,B21001I_030EA,B21001I_030M,B21001I_030MA,B21001I_031E,B21001I_031EA,B21001I_031M,B21001I_031MA,B21001I_032E,B21001I_032EA,B21001I_032M,B21001I_032MA,B21001I_033E,B21001I_033EA,B21001I_033M,B21001I_033MA,GEO_ID,NAME,state
84226,null,1945,null,46201,null,1946,null,27497,null,1694,null,514,null,365,null,26983,null,1670,null,13874,null,1094,null,874,null,416,null,13000,null,1113,null,3142,null,850,null,581,null,293,null,2561,null,824,null,920,null,579,null,143,null,157,null,777,null,560,null,768,null,354,null,487,null,321,null,281,null,247,null,38025,null,1494,null,18998,null,1449,null,137,null,146,null,18861,null,1435,null,13674,null,1369,null,253,null,170,null,13421,null,1340,null,2201,null,550,null,0,null,273,null,2201,null,550,null,1244,null,514,null,0,null,273,null,1244,null,514,null,1908,null,705,null,0,null,273,null,1908,null,705,null,0400000US01,Alabama,01
27064,null,644,null,14512,null,809,null,7831,null,1246,null,240,null,267,null,7591,null,1282,null,5185,null,1055,null,991,null,692,null,4194,null,901,null,969,null,334,null,591,null,311,null,378,null,267,null,379,null,261,null,103,null,121,null,276,null,251,null,148,null,134,null,33,null,55,null,115,null,125,null,12552,null,728,null,6226,null,827,null,92,null,103,null,6134,null,855,null,4589,null,519,null,4,null,8,null,4585,null,518,null,989,null,329,null,186,null,179,null,803,null,325,null,453,null,303,null,0,null,244,null,453,null,303,null,295,null,188,null,0,null,244,null,295,null,188,null,0400000US02,Alaska,02
1271968,null,1368,null,666182,null,1188,null,320559,null,1874,null,7885,null,1785,null,312674,null,2378,null,248263,null,1582,null,17510,null,2447,null,230753,null,2827,null,55058,null,404,null,12047,null,1743,null,43011,null,1748,null,25594,null,579,null,6753,null,1116,null,18841,null,1143,null,16708,null,596,null,7593,null,1274,null,9115,null,1208,null,605786,null,962,null,268828,null,1499,null,1805,null,950,null,267023,null,1804,null,225559,null,1011,null,1903,null,842,null,223656,null,1326,null,57320,null,349,null,105,null,128,null,57215,null,411,null,31244,null,748,null,99,null,120,null,31145,null,752,null,22835,null,790,null,47,null,80,null,22788,null,786,null,0400000US04,Arizona,04
99896,null,1695,null,52753,null,1499,null,27052,null,1694,null,546,null,482,null,26506,null,1664,null,20479,null,1673,null,644,null,454,null,19835,null,1727,null,3584,null,870,null,652,null,402,null,2932,null,826,null,862,null,482,null,150,null,146,null,712,null,446,null,776,null,350,null,197,null,198,null,579,null,329,null,47143,null,1398,null,22913,null,1429,null,377,null,343,null,22536,null,1462,null,18299,null,1203,null,116,null,167,null,18183,null,1209,null,3273,null,910,null,0,null,273,null,3273,null,910,null,2080,null,775,null,0,null,273,null,2080,null,775,null,578,null,299,null,12,null,37,null,566,null,299,null,0400000US05,Arkansas,05
8913624,null,3049,null,4587110,null,2876,null,2059233,null,2779,null,44234,null,3999,null,2014999,null,4833,null,1815107,null,1721,null,73619,null,5364,null,1741488,null,5646,null,400395,null,1220,null,57167,null,4667,null,343228,null,4949,null,186980,null,1185,null,31936,null,2443,null,155044,null,2550,null,125395,null,1097,null,39469,null,2808,null,85926,null,2752,null,4326514,null,1311,null,1814073,null,1549,null,6578,null,1648,null,1807495,null,2286,null,1663868,null,933,null,7081,null,1567,null,1656787,null,1885,null,428533,null,1232,null,1620,null,536,null,426913,null,1327,null,228385,null,1186,null,575,null,274,null,227810,null,1180,null,191655,null,1127,null,1439,null,785,null,190216,null,1343,null,0400000US06,California,06
648150,null,1127,null,340886,null,1369,null,156970,null,1737,null,3490,null,1241,null,153480,null,2069,null,130017,null,1589,null,11000,null,1773,null,119017,null,2600,null,30534,null,844,null,9697,null,1225,null,20837,null,1370,null,15439,null,962,null,5906,null,1095,null,9533,null,1178,null,7926,null,769,null,4508,null,804,null,3418,null,842,null,307264,null,994,null,132288,null,1483,null,440,null,292,null,131848,null,1550,null,115126,null,1584,null,2251,null,906,null,112875,null,1711,null,30874,null,939,null,202,null,173,null,30672,null,982,null,16211,null,888,null,0,null,279,null,16211,null,888,null,12765,null,982,null,0,null,279,null,12765,null,982,null,0400000US08,Colorado,08
288805,null,523,null,144802,null,679,null,67435,null,984,null,1250,null,663,null,66185,null,1159,null,56145,null,977,null,2450,null,837,null,53695,null,1106,null,12327,null,521,null,1380,null,579,null,10947,null,701,null,5687,null,294,null,1094,null,417,null,4593,null,405,null,3208,null,371,null,418,null,259,null,2790,null,467,null,144003,null,634,null,58371,null,555,null,110,null,133,null,58261,null,594,null,58683,null,799,null,382,null,248,null,58301,null,822,null,14293,null,427,null,0,null,277,null,14293,null,427,null,7648,null,429,null,0,null,277,null,7648,null,429,null,5008,null,256,null,0,null,277,null,5008,null,256,null,0400000US09,Connecticut,09
38725,null,208,null,20838,null,335,null,10317,null,5,null,225,null,349,null,10092,null,349,null,7932,null,4,null,861,null,575,null,7071,null,576,null,2030,null,441,null,441,null,422,null,1589,null,508,null,405,null,293,null,13,null,25,null,392,null,291,null,154,null,172,null,74,null,116,null,80,null,131,null,17887,null,403,null,7843,null,240,null,21,null,45,null,7822,null,247,null,7040,null,324,null,66,null,111,null,6974,null,346,null,1451,null,705,null,0,null,263,null,1451,null,705,null,701,null,341,null,0,null,263,null,701,null,341,null,852,null,650,null,0,null,263,null,852,null,650,null,0400000US10,Delaware,10
38856,null,150,null,20436,null,111,null,9470,null,111,null,274,null,247,null,9196,null,270,null,8012,null,2,null,375,null,257,null,7637,null,257,null,1757,null,612,null,326,null,420,null,1431,null,627,null,1102,null,628,null,75,null,128,null,1027,null,621,null,95,null,155,null,0,null,296,null,95,null,155,null,18420,null,108,null,8051,null,89,null,54,null,95,null,7997,null,134,null,6465,null,61,null,0,null,296,null,6465,null,61,null,2049,null,2,null,0,null,296,null,2049,null,2,null,933,null,459,null,0,null,296,null,933,null,459,null,922,null,458,null,0,null,296,null,922,null,458,null,0400000US11,District of Columbia,11
2911313,null,2124,null,1471366,null,2582,null,558870,null,3128,null,12558,null,2460,null,546312,null,4012,null,583875,null,2633,null,34732,null,3754,null,549143,null,4605,null,152750,null,1283,null,16244,null,1957,null,136506,null,2064,null,97320,null,1586,null,13637,null,1666,null,83683,null,2099,null,78551,null,1627,null,11110,null,1551,null,67441,null,2018,null,1439947,null,1985,null,466595,null,2053,null,3101,null,901,null,463494,null,2228,null,557004,null,1938,null,4844,null,1198,null,552160,null,2345,null,174337,null,1528,null,864,null,467,null,173473,null,1573,null,124375,null,1290,null,271,null,269,null,124104,null,1234,null,117636,null,1135,null,277,null,227,null,117359,null,1105,null,0400000US12,Florida,12
488311,null,2580,null,282250,null,2409,null,145331,null,2759,null,1652,null,786,null,143679,null,2907,null,114964,null,2610,null,5846,null,1129,null,109118,null,2869,null,15177,null,1565,null,1998,null,782,null,13179,null,1693,null,5111,null,1193,null,1284,null,643,null,3827,null,1084,null,1667,null,636,null,866,null,461,null,801,null,504,null,206061,null,1996,null,97918,null,2155,null,1051,null,629,null,96867,null,2112,null,82640,null,2246,null,874,null,367,null,81766,null,2206,null,13513,null,1374,null,0,null,296,null,13513,null,1374,null,7063,null,1248,null,0,null,296,null,7063,null,1248,null,4927,null,1536,null,31,null,64,null,4896,null,1549,null,0400000US13,Georgia,13
68179,null,1365,null,35200,null,1213,null,16868,null,1267,null,1312,null,645,null,15556,null,1456,null,12929,null,761,null,3120,null,915,null,9809,null,943,null,2742,null,328,null,580,null,247,null,2162,null,415,null,1804,null,413,null,841,null,395,null,963,null,362,null,857,null,354,null,332,null,249,null,525,null,352,null,32979,null,483,null,14160,null,578,null,722,null,334,null,13438,null,667,null,12479,null,331,null,345,null,224,null,12134,null,384,null,3588,null,399,null,0,null,275,null,3588,null,399,null,1365,null,514,null,92,null,115,null,1273,null,494,null,1387,null,417,null,35,null,57,null,1352,null,407,null,0400000US15,Hawaii,15
96074,null,684,null,51082,null,843,null,24079,null,1189,null,216,null,182,null,23863,null,1217,null,20292,null,1089,null,1049,null,516,null,19243,null,1169,null,4525,null,820,null,936,null,491,null,3589,null,751,null,1683,null,464,null,500,null,288,null,1183,null,423,null,503,null,292,null,120,null,151,null,383,null,257,null,44992,null,900,null,21206,null,1033,null,0,null,263,null,21206,null,1033,null,16694,null,810,null,256,null,356,null,16438,null,826,null,4879,null,949,null,218,null,282,null,4661,null,814,null,1471,null,619,null,0,null,263,null,1471,null,619,null,742,null,469,null,0,null,263,null,742,null,469,null,0400000US16,Idaho,16
1263196,null,1758,null,673945,null,1592,null,306481,null,1814,null,4622,null,1256,null,301859,null,1994,null,269413,null,1685,null,8417,null,1902,null,260996,null,2310,null,58632,null,1006,null,5845,null,1149,null,52787,null,1339,null,24819,null,1021,null,2776,null,913,null,22043,null,1182,null,14600,null,875,null,3898,null,991,null,10702,null,1026,null,589251,null,1547,null,263025,null,1597,null,649,null,380,null,262376,null,1666,null,223959,null,1293,null,714,null,369,null,223245,null,1267,null,55499,null,887,null,150,null,144,null,55349,null,891,null,28602,null,896,null,0,null,269,null,28602,null,896,null,18166,null,1005,null,163,null,269,null,18003,null,1052,null,0400000US17,Illinois,17
213221,null,1589,null,117918,null,1910,null,60310,null,2077,null,1298,null,692,null,59012,null,2114,null,43257,null,1439,null,2752,null,1135,null,40505,null,1816,null,9101,null,983,null,1606,null,542,null,7495,null,1115,null,2899,null,538,null,621,null,342,null,2278,null,546,null,2351,null,445,null,941,null,382,null,1410,null,457,null,95303,null,1510,null,45874,null,1663,null,89,null,107,null,45785,null,1640,null,33702,null,1253,null,276,null,238,null,33426,null,1251,null,8896,null,972,null,36,null,67,null,8860,null,987,null,3697,null,583,null,0,null,269,null,3697,null,583,null,3134,null,539,null,0,null,269,null,3134,null,539,null,0400000US18,Indiana,18
77593,null,1535,null,42276,null,1632,null,22441,null,1599,null,115,null,127,null,22326,null,1594,null,14791,null,1231,null,1332,null,604,null,13459,null,1434,null,3126,null,817,null,1166,null,623,null,1960,null,629,null,869,null,327,null,317,null,195,null,552,null,289,null,1049,null,530,null,236,null,188,null,813,null,463,null,35317,null,1572,null,18583,null,1707,null,74,null,117,null,18509,null,1701,null,12093,null,1335,null,274,null,299,null,11819,null,1372,null,2017,null,554,null,33,null,58,null,1984,null,551,null,1338,null,617,null,0,null,228,null,1338,null,617,null,1286,null,625,null,0,null,228,null,1286,null,625,null,0400000US19,Iowa,19
158580,null,1349,null,85705,null,1273,null,41130,null,1533,null,631,null,312,null,40499,null,1538,null,33501,null,1393,null,1713,null,712,null,31788,null,1451,null,5931,null,876,null,1704,null,624,null,4227,null,697,null,3252,null,789,null,868,null,426,null,2384,null,747,null,1891,null,558,null,759,null,426,null,1132,null,444,null,72875,null,1139,null,33469,null,1277,null,160,null,204,null,33309,null,1268,null,27149,null,1126,null,172,null,245,null,26977,null,1075,null,6886,null,1039,null,0,null,244,null,6886,null,1039,null,3120,null,837,null,168,null,181,null,2952,null,802,null,2251,null,655,null,59,null,95,null,2192,null,649,null,0400000US20,Kansas,20
64425,null,2328,null,36699,null,2153,null,19234,null,1654,null,307,null,263,null,18927,null,1627,null,14100,null,1311,null,1168,null,449,null,12932,null,1185,null,2040,null,511,null,231,null,163,null,1809,null,528,null,697,null,359,null,142,null,145,null,555,null,320,null,628,null,319,null,443,null,293,null,185,null,161,null,27726,null,1472,null,14235,null,1361,null,289,null,312,null,13946,null,1333,null,9677,null,1160,null,413,null,412,null,9264,null,1293,null,2250,null,675,null,66,null,112,null,2184,null,678,null,826,null,418,null,0,null,273,null,826,null,418,null,738,null,278,null,0,null,273,null,738,null,278,null,0400000US21,Kentucky,21
110527,null,1418,null,59327,null,1677,null,24370,null,1946,null,657,null,453,null,23713,null,1977,null,24052,null,1513,null,3330,null,1046,null,20722,null,1501,null,5675,null,747,null,1375,null,555,null,4300,null,767,null,3096,null,570,null,741,null,404,null,2355,null,572,null,2134,null,615,null,996,null,515,null,1138,null,451,null,51200,null,1383,null,18798,null,1489,null,160,null,170,null,18638,null,1468,null,19006,null,1361,null,212,null,347,null,18794,null,1338,null,6315,null,1102,null,461,null,483,null,5854,null,984,null,3827,null,812,null,0,null,281,null,3827,null,812,null,3254,null,749,null,0,null,281,null,3254,null,749,null,0400000US22,Louisiana,22
11193,null,472,null,5535,null,751,null,2438,null,511,null,47,null,77,null,2391,null,491,null,1734,null,638,null,442,null,263,null,1292,null,552,null,824,null,375,null,432,null,312,null,392,null,270,null,397,null,306,null,380,null,306,null,17,null,31,null,142,null,116,null,86,null,88,null,56,null,78,null,5658,null,751,null,2902,null,697,null,45,null,72,null,2857,null,701,null,1831,null,536,null,208,null,308,null,1623,null,460,null,683,null,309,null,0,null,230,null,683,null,309,null,98,null,85,null,0,null,230,null,98,null,85,null,144,null,149,null,0,null,230,null,144,null,149,null,0400000US23,Maine,23
268810,null,1589,null,143742,null,1589,null,68774,null,1385,null,1525,null,663,null,67249,null,1265,null,57990,null,1260,null,3709,null,1100,null,54281,null,1553,null,11328,null,833,null,1507,null,662,null,9821,null,961,null,3679,null,569,null,391,null,231,null,3288,null,548,null,1971,null,315,null,561,null,288,null,1410,null,287,null,125068,null,1260,null,52021,null,1149,null,387,null,294,null,51634,null,1185,null,50788,null,989,null,923,null,418,null,49865,null,1121,null,11505,null,825,null,192,null,195,null,11313,null,840,null,5963,null,562,null,264,null,323,null,5699,null,592,null,4791,null,633,null,158,null,195,null,4633,null,594,null,0400000US24,Maryland,24
387294,null,791,null,193924,null,1008,null,92924,null,1155,null,2028,null,937,null,90896,null,1445,null,75125,null,1258,null,3182,null,1016,null,71943,null,1440,null,15673,null,572,null,1181,null,554,null,14492,null,682,null,6941,null,581,null,1134,null,472,null,5807,null,703,null,3261,null,548,null,451,null,378,null,2810,null,448,null,193370,null,736,null,83755,null,1084,null,609,null,540,null,83146,null,1350,null,75966,null,1003,null,141,null,143,null,75825,null,1020,null,18206,null,682,null,49,null,88,null,18157,null,677,null,8694,null,620,null,0,null,283,null,8694,null,620,null,6749,null,558,null,0,null,283,null,6749,null,558,null,0400000US25,Massachusetts,25
266498,null,1504,null,140586,null,2029,null,65176,null,1711,null,1279,null,551,null,63897,null,1555,null,53271,null,1839,null,2994,null,849,null,50277,null,1963,null,12804,null,968,null,3477,null,813,null,9327,null,1033,null,6235,null,950,null,1854,null,533,null,4381,null,896,null,3100,null,579,null,1143,null,424,null,1957,null,531,null,125912,null,1586,null,56011,null,1801,null,90,null,132,null,55921,null,1799,null,47036,null,1465,null,961,null,509,null,46075,null,1508,null,12264,null,853,null,85,null,129,null,12179,null,840,null,5809,null,686,null,0,null,244,null,5809,null,686,null,4792,null,671,null,105,null,133,null,4687,null,659,null,0400000US26,Michigan,26
132466,null,933,null,72562,null,1339,null,36701,null,1402,null,592,null,379,null,36109,null,1420,null,28176,null,1218,null,1114,null,508,null,27062,null,1203,null,5022,null,973,null,942,null,380,null,4080,null,909,null,2209,null,710,null,765,null,504,null,1444,null,597,null,454,null,303,null,132,null,176,null,322,null,214,null,59904,null,1294,null,29686,null,1263,null,150,null,231,null,29536,null,1237,null,22153,null,1087,null,95,null,105,null,22058,null,1099,null,5455,null,893,null,56,null,78,null,5399,null,894,null,1131,null,487,null,0,null,213,null,1131,null,487,null,1479,null,466,null,0,null,213,null,1479,null,466,null,0400000US27,Minnesota,27
43161,null,2331,null,25440,null,2781,null,14419,null,1725,null,212,null,332,null,14207,null,1806,null,8402,null,1706,null,627,null,359,null,7775,null,1676,null,1994,null,713,null,549,null,329,null,1445,null,626,null,625,null,443,null,430,null,384,null,195,null,170,null,0,null,291,null,0,null,291,null,0,null,291,null,17721,null,1819,null,9230,null,1683,null,238,null,304,null,8992,null,1701,null,5673,null,1031,null,19,null,38,null,5654,null,1030,null,1022,null,446,null,84,null,133,null,938,null,439,null,1243,null,582,null,0,null,291,null,1243,null,582,null,553,null,422,null,0,null,291,null,553,null,422,null,0400000US28,Mississippi,28
121567,null,1306,null,65783,null,1709,null,32261,null,1306,null,1114,null,545,null,31147,null,1355,null,23526,null,1081,null,1697,null,561,null,21829,null,1183,null,5567,null,773,null,2022,null,775,null,3545,null,616,null,3022,null,758,null,1205,null,549,null,1817,null,570,null,1407,null,529,null,813,null,418,null,594,null,354,null,55784,null,1406,null,25814,null,1479,null,166,null,258,null,25648,null,1464,null,20810,null,1334,null,255,null,191,null,20555,null,1317,null,3575,null,527,null,49,null,83,null,3526,null,524,null,3679,null,841,null,0,null,259,null,3679,null,841,null,1906,null,659,null,0,null,259,null,1906,null,659,null,0400000US29,Missouri,29
17315,null,899,null,7855,null,992,null,3854,null,857,null,23,null,30,null,3831,null,857,null,2603,null,956,null,483,null,509,null,2120,null,785,null,945,null,312,null,340,null,225,null,605,null,334,null,170,null,181,null,78,null,91,null,92,null,163,null,283,null,190,null,163,null,158,null,120,null,102,null,9460,null,936,null,4025,null,858,null,0,null,240,null,4025,null,858,null,3880,null,890,null,17,null,34,null,3863,null,890,null,649,null,283,null,62,null,107,null,587,null,283,null,329,null,211,null,0,null,240,null,329,null,211,null,577,null,335,null,0,null,240,null,577,null,335,null,0400000US30,Montana,30
87635,null,808,null,48433,null,1322,null,23850,null,1343,null,420,null,327,null,23430,null,1314,null,19141,null,1081,null,1617,null,602,null,17524,null,1197,null,2515,null,850,null,564,null,313,null,1951,null,819,null,2239,null,909,null,753,null,503,null,1486,null,755,null,688,null,445,null,351,null,310,null,337,null,265,null,39202,null,1076,null,19643,null,1205,null,46,null,75,null,19597,null,1205,null,14088,null,1025,null,244,null,334,null,13844,null,1050,null,2828,null,707,null,0,null,228,null,2828,null,707,null,1520,null,599,null,0,null,228,null,1520,null,599,null,1123,null,571,null,0,null,228,null,1123,null,571,null,0400000US31,Nebraska,31
433976,null,831,null,234017,null,1043,null,106514,null,1149,null,2053,null,833,null,104461,null,1381,null,95872,null,1197,null,4134,null,1204,null,91738,null,1498,null,17784,null,539,null,2926,null,738,null,14858,null,803,null,7882,null,489,null,2217,null,762,null,5665,null,794,null,5965,null,625,null,1279,null,545,null,4686,null,836,null,199959,null,872,null,89164,null,1440,null,573,null,410,null,88591,null,1496,null,78076,null,1160,null,202,null,211,null,77874,null,1142,null,17321,null,590,null,169,null,158,null,17152,null,631,null,8662,null,582,null,70,null,117,null,8592,null,576,null,6736,null,506,null,41,null,63,null,6695,null,503,null,0400000US32,Nevada,32
