C23002H_001E,C23002H_001EA,C23002H_001M,C23002H_001MA,C23002H_002E,C23002H_002EA,C23002H_002M,C23002H_002MA,C23002H_003E,C23002H_003EA,C23002H_003M,C23002H_003MA,C23002H_004E,C23002H_004EA,C23002H_004M,C23002H_004MA,C23002H_005E,C23002H_005EA,C23002H_005M,C23002H_005MA,C23002H_006E,C23002H_006EA,C23002H_006M,C23002H_006MA,C23002H_007E,C23002H_007EA,C23002H_007M,C23002H_007MA,C23002H_008E,C23002H_008EA,C23002H_008M,C23002H_008MA,C23002H_009E,C23002H_009EA,C23002H_009M,C23002H_009MA,C23002H_010E,C23002H_010EA,C23002H_010M,C23002H_010MA,C23002H_011E,C23002H_011EA,C23002H_011M,C23002H_011MA,C23002H_012E,C23002H_012EA,C23002H_012M,C23002H_012MA,C23002H_013E,C23002H_013EA,C23002H_013M,C23002H_013MA,C23002H_014E,C23002H_014EA,C23002H_014M,C23002H_014MA,C23002H_015E,C23002H_015EA,C23002H_015M,C23002H_015MA,C23002H_016E,C23002H_016EA,C23002H_016M,C23002H_016MA,C23002H_017E,C23002H_017EA,C23002H_017M,C23002H_017MA,C23002H_018E,C23002H_018EA,C23002H_018M,C23002H_018MA,C23002H_019E,C23002H_019EA,C23002H_019M,C23002H_019MA,C23002H_020E,C23002H_020EA,C23002H_020M,C23002H_020MA,C23002H_021E,C23002H_021EA,C23002H_021M,C23002H_021MA,C23002H_022E,C23002H_022EA,C23002H_022M,C23002H_022MA,C23002H_023E,C23002H_023EA,C23002H_023M,C23002H_023MA,C23002H_024E,C23002H_024EA,C23002H_024M,C23002H_024MA,C23002H_025E,C23002H_025EA,C23002H_025M,C23002H_025MA,C23002H_026E,C23002H_026EA,C23002H_026M,C23002H_026MA,C23002H_027E,C23002H_027EA,C23002H_027M,C23002H_027MA,GEO_ID,NAME,state
2594482,null,2928,null,1254406,null,2345,null,1033992,null,2366,null,816496,null,6964,null,15571,null,1807,null,800925,null,7077,null,727779,null,7755,null,73146,null,4242,null,217496,null,7054,null,220414,null,197,null,42007,null,2100,null,39255,null,1951,null,2752,null,673,null,178407,null,2118,null,1340076,null,2779,null,1040793,null,2808,null,679141,null,8658,null,1579,null,751,null,677562,null,8757,null,619449,null,8444,null,58113,null,3910,null,361652,null,9167,null,299283,null,133,null,32821,null,2341,null,31575,null,2322,null,1246,null,549,null,266462,null,2347,null,0400000US01,Alabama,01
364448,null,978,null,192162,null,784,null,173046,null,836,null,144254,null,2593,null,9996,null,1972,null,134258,null,2926,null,120964,null,3193,null,13294,null,1920,null,28792,null,2624,null,19116,null,346,null,5170,null,847,null,4949,null,871,null,221,null,158,null,13946,null,860,null,172286,null,671,null,152901,null,698,null,111111,null,3113,null,1847,null,814,null,109264,null,3045,null,102088,null,3187,null,7176,null,1689,null,41790,null,3207,null,19385,null,121,null,4672,null,763,null,4464,null,750,null,208,null,189,null,14713,null,767,null,0400000US02,Alaska,02
3132139,null,3724,null,1529618,null,2647,null,1206230,null,2700,null,963546,null,9144,null,11487,null,1270,null,952059,null,9318,null,857763,null,10669,null,94296,null,6323,null,242684,null,9052,null,323388,null,440,null,54946,null,3558,null,50092,null,3511,null,4854,null,1102,null,268442,null,3525,null,1602521,null,2300,null,1210833,null,2300,null,845575,null,10549,null,1579,null,546,null,843996,null,10487,null,779402,null,9984,null,64594,null,4579,null,365258,null,10689,null,391688,null,388,null,41457,null,2934,null,38779,null,2933,null,2678,null,784,null,350231,null,2970,null,0400000US04,Arizona,04
1752128,null,2968,null,849018,null,1917,null,691834,null,1940,null,540763,null,5556,null,5974,null,1427,null,534789,null,5867,null,491254,null,6777,null,43535,null,3345,null,151071,null,5746,null,157184,null,283,null,27566,null,2162,null,26058,null,2078,null,1508,null,569,null,129618,null,2208,null,903110,null,2160,null,697226,null,2150,null,471623,null,6973,null,1073,null,546,null,470550,null,7016,null,435308,null,7270,null,35242,null,3176,null,225603,null,7122,null,205884,null,301,null,22395,null,2160,null,21969,null,2136,null,426,null,293,null,183489,null,2163,null,0400000US05,Arkansas,05
12937735,null,7770,null,6380836,null,5916,null,5257754,null,5795,null,4220043,null,18605,null,85874,null,4367,null,4134169,null,18101,null,3697770,null,18084,null,436399,null,11608,null,1037711,null,18497,null,1123082,null,930,null,240443,null,5987,null,222820,null,5786,null,17623,null,1966,null,882639,null,6253,null,6556899,null,5171,null,5082659,null,5093,null,3595361,null,18123,null,9886,null,1625,null,3585475,null,18195,null,3263943,null,17069,null,321532,null,8465,null,1487298,null,18656,null,1474240,null,787,null,188185,null,6200,null,175293,null,6018,null,12892,null,1669,null,1286055,null,6040,null,0400000US06,California,06
2906798,null,4317,null,1439309,null,3115,null,1241557,null,3079,null,1050140,null,5770,null,21045,null,2258,null,1029095,null,6786,null,945149,null,7631,null,83946,null,4268,null,191417,null,6300,null,197752,null,182,null,45611,null,2602,null,42646,null,2436,null,2965,null,889,null,152141,null,2630,null,1467489,null,2434,null,1215303,null,2355,null,912620,null,8414,null,3847,null,927,null,908773,null,8249,null,849444,null,8809,null,59329,null,4506,null,302683,null,8453,null,252186,null,260,null,35857,null,2241,null,34097,null,2231,null,1760,null,521,null,216329,null,2270,null,0400000US08,Colorado,08
2114815,null,3497,null,1015132,null,2233,null,837204,null,2152,null,704106,null,4881,null,4610,null,932,null,699496,null,4999,null,641968,null,5690,null,57528,null,3414,null,133098,null,5154,null,177928,null,209,null,45486,null,2651,null,41705,null,2599,null,3781,null,769,null,132442,null,2649,null,1099683,null,1813,null,850077,null,1814,null,646869,null,5548,null,672,null,450,null,646197,null,5646,null,602128,null,6188,null,44069,null,3881,null,203208,null,5751,null,249606,null,173,null,37751,null,2278,null,34842,null,2189,null,2909,null,656,null,211855,null,2290,null,0400000US09,Connecticut,09
492582,null,1298,null,235960,null,918,null,189881,null,918,null,154965,null,2419,null,3065,null,903,null,151900,null,2628,null,139657,null,2903,null,12243,null,1730,null,34916,null,2462,null,46079,null,263,null,9392,null,1272,null,8829,null,1227,null,563,null,250,null,36687,null,1272,null,256622,null,887,null,197202,null,887,null,145189,null,3406,null,117,null,116,null,145072,null,3411,null,135806,null,3515,null,9266,null,1296,null,52013,null,3516,null,59420,null,263,null,8517,null,954,null,7652,null,896,null,865,null,481,null,50903,null,954,null,0400000US10,Delaware,10
178615,null,664,null,87824,null,284,null,77608,null,284,null,63861,null,1596,null,1678,null,798,null,62183,null,1732,null,60237,null,1724,null,1946,null,597,null,13747,null,1577,null,10216,null,296,null,4342,null,761,null,4213,null,742,null,129,null,151,null,5874,null,761,null,90791,null,707,null,79208,null,707,null,60029,null,1807,null,228,null,169,null,59801,null,1814,null,57683,null,1832,null,2118,null,851,null,19179,null,1838,null,11583,null,296,null,3228,null,669,null,3039,null,693,null,189,null,183,null,8355,null,669,null,0400000US11,District of Columbia,11
9276876,null,6581,null,4493647,null,4510,null,3385045,null,4532,null,2679991,null,12466,null,41661,null,3123,null,2638330,null,12564,null,2328181,null,13755,null,310149,null,10811,null,705054,null,12045,null,1108602,null,960,null,184946,null,5357,null,167784,null,5436,null,17162,null,1700,null,923656,null,5431,null,4783229,null,3866,null,3405890,null,4113,null,2389020,null,13490,null,5207,null,1387,null,2383813,null,13642,null,2155136,null,14257,null,228677,null,9913,null,1016870,null,13175,null,1377339,null,916,null,145570,null,4663,null,133111,null,4366,null,12459,null,1546,null,1231769,null,4690,null,0400000US12,Florida,12
