B18135_001E,B18135_001EA,B18135_001M,B18135_001MA,B18135_002E,B18135_002EA,B18135_002M,B18135_002MA,B18135_003E,B18135_003EA,B18135_003M,B18135_003MA,B18135_004E,B18135_004EA,B18135_004M,B18135_004MA,B18135_005E,B18135_005EA,B18135_005M,B18135_005MA,B18135_006E,B18135_006EA,B18135_006M,B18135_006MA,B18135_007E,B18135_007EA,B18135_007M,B18135_007MA,B18135_008E,B18135_008EA,B18135_008M,B18135_008MA,B18135_009E,B18135_009EA,B18135_009M,B18135_009MA,B18135_010E,B18135_010EA,B18135_010M,B18135_010MA,B18135_011E,B18135_011EA,B18135_011M,B18135_011MA,B18135_012E,B18135_012EA,B18135_012M,B18135_012MA,B18135_013E,B18135_013EA,B18135_013M,B18135_013MA,B18135_014E,B18135_014EA,B18135_014M,B18135_014MA,B18135_015E,B18135_015EA,B18135_015M,B18135_015MA,B18135_016E,B18135_016EA,B18135_016M,B18135_016MA,B18135_017E,B18135_017EA,B18135_017M,B18135_017MA,B18135_018E,B18135_018EA,B18135_018M,B18135_018MA,B18135_019E,B18135_019EA,B18135_019M,B18135_019MA,B18135_020E,B18135_020EA,B18135_020M,B18135_020MA,B18135_021E,B18135_021EA,B18135_021M,B18135_021MA,B18135_022E,B18135_022EA,B18135_022M,B18135_022MA,B18135_023E,B18135_023EA,B18135_023M,B18135_023MA,B18135_024E,B18135_024EA,B18135_024M,B18135_024MA,B18135_025E,B18135_025EA,B18135_025M,B18135_025MA,B18135_026E,B18135_026EA,B18135_026M,B18135_026MA,B18135_027E,B18135_027EA,B18135_027M,B18135_027MA,B18135_028E,B18135_028EA,B18135_028M,B18135_028MA,B18135_029E,B18135_029EA,B18135_029M,B18135_029MA,B18135_030E,B18135_030EA,B18135_030M,B18135_030MA,B18135_031E,B18135_031EA,B18135_031M,B18135_031MA,B18135_032E,B18135_032EA,B18135_032M,B18135_032MA,B18135_033E,B18135_033EA,B18135_033M,B18135_033MA,B18135_034E,B18135_034EA,B18135_034M,B18135_034MA,GEO_ID,NAME,state
4616028,null,1808,null,1124227,null,2259,null,58819,null,3697,null,56359,null,3685,null,19746,null,2718,null,39850,null,3156,null,2460,null,972,null,1065408,null,4528,null,1001138,null,7410,null,642288,null,11760,null,390670,null,11256,null,64270,null,5607,null,2867716,null,3571,null,424747,null,10023,null,349127,null,9638,null,194085,null,6951,null,218769,null,8126,null,75620,null,4408,null,2442969,null,10649,null,1951579,null,17453,null,1819902,null,17508,null,203366,null,7336,null,491390,null,12690,null,624085,null,2739,null,276243,null,6067,null,275252,null,5988,null,172848,null,5018,null,273891,null,5863,null,991,null,576,null,347842,null,5811,null,345936,null,5861,null,248377,null,6067,null,339774,null,5719,null,1906,null,834,null,0400000US01,Alabama,01
678081,null,2615,null,183261,null,972,null,6887,null,1108,null,6124,null,1045,null,3187,null,829,null,4179,null,1011,null,763,null,486,null,176374,null,1340,null,152144,null,2974,null,109856,null,4126,null,49696,null,3930,null,24230,null,2892,null,443727,null,3011,null,48845,null,5037,null,34688,null,3880,null,20820,null,2811,null,18390,null,2693,null,14157,null,2329,null,394882,null,5223,null,291379,null,6795,null,271753,null,6673,null,32830,null,3207,null,103503,null,6011,null,51093,null,1407,null,23197,null,1904,null,23030,null,1899,null,12205,null,1614,null,22430,null,1871,null,167,null,128,null,27896,null,1870,null,27713,null,1874,null,19770,null,1741,null,26892,null,1821,null,183,null,150,null,0400000US02,Alaska,02
6501531,null,2050,null,1729814,null,1120,null,61713,null,5403,null,57003,null,5202,null,27948,null,3699,null,34732,null,4036,null,4710,null,1301,null,1668101,null,5478,null,1464958,null,10671,null,923364,null,15481,null,590882,null,16914,null,203143,null,9715,null,3917641,null,3406,null,380356,null,11076,null,321771,null,10433,null,159069,null,6517,null,208357,null,9404,null,58585,null,5259,null,3537285,null,11454,null,2688055,null,18426,null,2309262,null,18942,null,461845,null,13751,null,849230,null,17888,null,854076,null,2282,null,312344,null,7615,null,308604,null,7350,null,189504,null,6861,null,304923,null,7282,null,3740,null,1211,null,541732,null,7667,null,534635,null,7841,null,365945,null,8061,null,520505,null,8103,null,7097,null,1588,null,0400000US04,Arizona,04
2833391,null,1646,null,706684,null,1774,null,37074,null,3233,null,36231,null,3287,null,11914,null,1990,null,27254,null,2594,null,843,null,416,null,669610,null,3557,null,626392,null,5623,null,339848,null,9254,null,310060,null,9145,null,43218,null,4532,null,1734882,null,3191,null,279347,null,8967,null,221429,null,8029,null,106482,null,5896,null,148391,null,7315,null,57918,null,4269,null,1455535,null,9403,null,1077051,null,14571,null,985317,null,15467,null,134521,null,7311,null,378484,null,12263,null,391825,null,2339,null,174937,null,4885,null,174355,null,4813,null,103001,null,4155,null,173702,null,4714,null,582,null,395,null,216888,null,4956,null,215360,null,4889,null,150900,null,5294,null,212357,null,4868,null,1528,null,724,null,0400000US05,Arkansas,05
36376938,null,5731,null,9422686,null,2420,null,272691,null,11237,null,253316,null,10708,null,123118,null,7319,null,152567,null,7496,null,19375,null,2384,null,9149995,null,11696,null,8278372,null,27183,null,5313064,null,41968,null,3218077,null,34437,null,871623,null,22884,null,22929836,null,7493,null,1850664,null,20790,null,1528144,null,19385,null,779497,null,13523,null,928344,null,18499,null,322520,null,10609,null,21079172,null,21380,null,15805942,null,44355,null,14188454,null,47886,null,1970106,null,24139,null,5273230,null,42366,null,4024416,null,5114,null,1513841,null,15267,null,1492347,null,15093,null,786561,null,13095,null,1466797,null,15048,null,21494,null,2867,null,2510575,null,15272,null,2459469,null,16164,null,1583434,null,16084,null,2347341,null,16320,null,51106,null,4973,null,0400000US06,California,06
4930142,null,2876,null,1225211,null,1516,null,38875,null,3569,null,35944,null,3253,null,21310,null,2261,null,17391,null,2361,null,2931,null,884,null,1186336,null,3874,null,1064901,null,9606,null,796177,null,11799,null,295091,null,10031,null,121435,null,9132,null,3188289,null,3788,null,257504,null,8469,null,207629,null,7779,null,132878,null,6829,null,104810,null,5139,null,49875,null,4577,null,2930785,null,8897,null,2332610,null,15204,null,2198849,null,15930,null,188473,null,7657,null,598175,null,14781,null,516642,null,2502,null,179855,null,5062,null,178058,null,5057,null,121021,null,4339,null,175916,null,5163,null,1797,null,986,null,336787,null,5145,null,333206,null,5084,null,245522,null,5990,null,323323,null,4879,null,3581,null,1240,null,0400000US08,Colorado,08
3456856,null,1297,null,806799,null,712,null,29688,null,2838,null,29115,null,2817,null,16952,null,2039,null,13584,null,2246,null,573,null,475,null,777111,null,2918,null,747251,null,4776,null,573486,null,8178,null,193285,null,8283,null,29860,null,4252,null,2190066,null,2422,null,184259,null,6950,null,163518,null,6540,null,96860,null,4635,null,85683,null,4597,null,20741,null,2388,null,2005807,null,7394,null,1755017,null,11798,null,1611633,null,13231,null,177144,null,8310,null,250790,null,10700,null,459991,null,1990,null,146266,null,4645,null,145084,null,4701,null,98162,null,4504,null,144063,null,4697,null,1182,null,718,null,313725,null,4577,null,311661,null,4625,null,236242,null,5129,null,299569,null,4445,null,2064,null,686,null,0400000US09,Connecticut,09
869483,null,1017,null,206764,null,293,null,8351,null,1492,null,8142,null,1459,null,4387,null,1110,null,4806,null,1174,null,209,null,352,null,198413,null,1517,null,187312,null,3065,null,133408,null,4927,null,60620,null,5240,null,11101,null,2568,null,541392,null,1566,null,59031,null,4344,null,51297,null,3785,null,27495,null,2403,null,30615,null,2843,null,7734,null,1906,null,482361,null,4597,null,413039,null,5932,null,371612,null,7339,null,54546,null,4861,null,69322,null,4904,null,121327,null,1136,null,43825,null,2586,null,43549,null,2636,null,29916,null,2092,null,43313,null,2609,null,276,null,358,null,77502,null,2755,null,77045,null,2743,null,62733,null,2614,null,75364,null,2868,null,457,null,388,null,0400000US10,Delaware,10
589408,null,861,null,113710,null,3,null,6757,null,1598,null,6230,null,1617,null,1642,null,757,null,5005,null,1458,null,527,null,574,null,106953,null,1599,null,104282,null,1962,null,56744,null,4096,null,53196,null,4078,null,2671,null,1056,null,409934,null,1315,null,41638,null,4143,null,38839,null,3775,null,15728,null,2460,null,29503,null,3176,null,2799,null,970,null,368296,null,4296,null,333391,null,4671,null,281733,null,5607,null,62138,null,4006,null,34905,null,3375,null,65764,null,1189,null,23971,null,1726,null,23908,null,1728,null,14932,null,1741,null,22985,null,1704,null,63,null,103,null,41793,null,2215,null,41366,null,2247,null,29428,null,2228,null,37523,null,2328,null,427,null,392,null,0400000US11,District of Columbia,11
18192784,null,3804,null,4050661,null,2816,null,148829,null,6826,null,134132,null,6107,null,58530,null,4034,null,83127,null,5684,null,14697,null,2185,null,3901832,null,7532,null,3315992,null,19217,null,2147148,null,24775,null,1254676,null,25036,null,585840,null,18402,null,11023718,null,9784,null,1071481,null,19338,null,838967,null,18422,null,447558,null,11563,null,517880,null,13035,null,232514,null,10356,null,9952237,null,22385,null,7029902,null,31950,null,6466271,null,34346,null,771246,null,16260,null,2922335,null,33901,null,3118405,null,8168,null,1106521,null,17507,null,1096757,null,17271,null,646336,null,14239,null,1088006,null,17156,null,9764,null,2130,null,2011884,null,16856,null,1981705,null,16691,null,1298893,null,18151,null,1930997,null,17424,null,30179,null,3579,null,0400000US12,Florida,12
9594277,null,7331,null,2575689,null,3259,null,96175,null,6007,null,89054,null,5798,null,37760,null,3815,null,57700,null,4374,null,7121,null,1928,null,2479514,null,6403,null,2205491,null,12638,null,1437727,null,19522,null,826458,null,16194,null,274023,null,11999,null,6043511,null,8950,null,619516,null,15314,null,478618,null,13264,null,268268,null,9277,null,276052,null,10076,null,140898,null,7251,null,5423995,null,16014,null,4021399,null,28653,null,3762618,null,28403,null,375177,null,10491,null,1402596,null,23541,null,975077,null,4009,null,386146,null,7396,null,383090,null,7357,null,222801,null,5884,null,379254,null,7223,null,3056,null,1079,null,588931,null,7465,null,580279,null,7593,null,406975,null,8216,null,566795,null,7982,null,8652,null,2014,null,0400000US13,Georgia,13
