C08006_001E,C08006_001EA,C08006_001M,C08006_001MA,C08006_002E,C08006_002EA,C08006_002M,C08006_002MA,C08006_003E,C08006_003EA,C08006_003M,C08006_003MA,C08006_004E,C08006_004EA,C08006_004M,C08006_004MA,C08006_005E,C08006_005EA,C08006_005M,C08006_005MA,C08006_006E,C08006_006EA,C08006_006M,C08006_006MA,C08006_007E,C08006_007EA,C08006_007M,C08006_007MA,C08006_008E,C08006_008EA,C08006_008M,C08006_008MA,C08006_009E,C08006_009EA,C08006_009M,C08006_009MA,C08006_010E,C08006_010EA,C08006_010M,C08006_010MA,C08006_011E,C08006_011EA,C08006_011M,C08006_011MA,C08006_012E,C08006_012EA,C08006_012M,C08006_012MA,C08006_013E,C08006_013EA,C08006_013M,C08006_013MA,C08006_014E,C08006_014EA,C08006_014M,C08006_014MA,C08006_015E,C08006_015EA,C08006_015M,C08006_015MA,C08006_016E,C08006_016EA,C08006_016M,C08006_016MA,C08006_017E,C08006_017EA,C08006_017M,C08006_017MA,C08006_018E,C08006_018EA,C08006_018M,C08006_018MA,C08006_019E,C08006_019EA,C08006_019M,C08006_019MA,C08006_020E,C08006_020EA,C08006_020M,C08006_020MA,C08006_021E,C08006_021EA,C08006_021M,C08006_021MA,C08006_022E,C08006_022EA,C08006_022M,C08006_022MA,C08006_023E,C08006_023EA,C08006_023M,C08006_023MA,C08006_024E,C08006_024EA,C08006_024M,C08006_024MA,C08006_025E,C08006_025EA,C08006_025M,C08006_025MA,C08006_026E,C08006_026EA,C08006_026M,C08006_026MA,C08006_027E,C08006_027EA,C08006_027M,C08006_027MA,C08006_028E,C08006_028EA,C08006_028M,C08006_028MA,C08006_029E,C08006_029EA,C08006_029M,C08006_029MA,C08006_030E,C08006_030EA,C08006_030M,C08006_030MA,C08006_031E,C08006_031EA,C08006_031M,C08006_031MA,C08006_032E,C08006_032EA,C08006_032M,C08006_032MA,C08006_033E,C08006_033EA,C08006_033M,C08006_033MA,C08006_034E,C08006_034EA,C08006_034M,C08006_034MA,C08006_035E,C08006_035EA,C08006_035M,C08006_035MA,C08006_036E,C08006_036EA,C08006_036M,C08006_036MA,GEO_ID,NAME,state
1959883,null,14222,null,1856916,null,14279,null,1654802,null,15761,null,202114,null,7282,null,152905,null,7250,null,30966,null,3119,null,18243,null,2286,null,8323,null,1730,null,2392,null,798,null,25810,null,2454,null,18016,null,2495,null,48426,null,3670,null,1038860,null,11128,null,981358,null,11591,null,869363,null,11918,null,111995,null,5248,null,83199,null,4856,null,17208,null,2203,null,11588,null,1948,null,3650,null,1051,null,1833,null,799,null,14389,null,1940,null,12963,null,2198,null,24667,null,2830,null,921023,null,11315,null,875558,null,10994,null,785439,null,10852,null,90119,null,4864,null,69706,null,4515,null,13758,null,1920,null,6655,null,1249,null,4673,null,1243,null,559,null,314,null,11421,null,1870,null,5053,null,1263,null,23759,null,2051,null,0400000US01,Alabama,01
334556,null,6259,null,272644,null,6184,null,228145,null,6510,null,44499,null,3490,null,35654,null,3389,null,5474,null,1223,null,3371,null,987,null,4610,null,1311,null,2689,null,937,null,26751,null,2243,null,12464,null,1725,null,15398,null,2206,null,179985,null,4106,null,142774,null,4016,null,119434,null,3990,null,23340,null,2351,null,18108,null,2077,null,3130,null,959,null,2102,null,690,null,2639,null,945,null,2106,null,775,null,15866,null,1636,null,8079,null,1461,null,8521,null,1678,null,154571,null,4061,null,129870,null,4059,null,108711,null,3953,null,21159,null,2261,null,17546,null,2237,null,2344,null,652,null,1269,null,569,null,1971,null,691,null,583,null,365,null,10885,null,1317,null,4385,null,980,null,6877,null,1244,null,0400000US02,Alaska,02
2752205,null,20509,null,2413036,null,19898,null,2087564,null,22624,null,325472,null,13615,null,254519,null,11830,null,41245,null,4684,null,29708,null,4201,null,56959,null,4947,null,26015,null,3297,null,65624,null,7231,null,48509,null,5197,null,142062,null,7340,null,1495064,null,14694,null,1300928,null,14316,null,1118547,null,14847,null,182381,null,8961,null,141209,null,7863,null,24292,null,3153,null,16880,null,2748,null,30833,null,4235,null,19885,null,2841,null,39031,null,5646,null,33090,null,3665,null,71297,null,4527,null,1257141,null,13474,null,1112108,null,13244,null,969017,null,14249,null,143091,null,6850,null,113310,null,6067,null,16953,null,2582,null,12828,null,2565,null,26126,null,3092,null,6130,null,1519,null,26593,null,3485,null,15419,null,2668,null,70765,null,4402,null,0400000US04,Arizona,04
1222789,null,14751,null,1133294,null,14714,null,991390,null,14838,null,141904,null,7327,null,109711,null,6072,null,21084,null,3143,null,11109,null,1930,null,5129,null,1495,null,1516,null,701,null,22866,null,3538,null,17576,null,2243,null,42408,null,3585,null,647576,null,9049,null,596462,null,9232,null,518653,null,10246,null,77809,null,4994,null,60572,null,4413,null,10814,null,1910,null,6423,null,1379,null,2544,null,942,null,1099,null,657,null,14533,null,2535,null,11845,null,1875,null,21093,null,2911,null,575213,null,9182,null,536832,null,9265,null,472737,null,9312,null,64095,null,4375,null,49139,null,3698,null,10270,null,1895,null,4686,null,1252,null,2585,null,1100,null,417,null,302,null,8333,null,1599,null,5731,null,1418,null,21315,null,2140,null,0400000US05,Arkansas,05
16145601,null,40942,null,13655364,null,44674,null,11782282,null,46356,null,1873082,null,25235,null,1413381,null,25344,null,264886,null,10775,null,194815,null,9749,null,839255,null,18403,null,158477,null,8272,null,447411,null,11843,null,212948,null,9420,null,832146,null,16574,null,8863006,null,31229,null,7513999,null,35157,null,6474627,null,36869,null,1039372,null,16622,null,767151,null,14779,null,151908,null,8811,null,120313,null,7304,null,432567,null,11487,null,117504,null,7326,null,237043,null,9466,null,144816,null,8056,null,417077,null,12983,null,7282595,null,27594,null,6141365,null,27237,null,5307655,null,30454,null,833710,null,15354,null,646230,null,16147,null,112978,null,5465,null,74502,null,5065,null,406688,null,12197,null,40973,null,3587,null,210368,null,7148,null,68132,null,3974,null,415069,null,10266,null,0400000US06,California,06
2465357,null,14253,null,2080936,null,15134,null,1832678,null,15729,null,248258,null,9635,null,195069,null,8743,null,31841,null,3599,null,21348,null,2958,null,81529,null,4907,null,34500,null,4641,null,73437,null,5110,null,28862,null,3176,null,166093,null,6611,null,1336045,null,10689,null,1122816,null,11783,null,984734,null,11959,null,138082,null,7207,null,105975,null,6683,null,18789,null,3330,null,13318,null,2232,null,41809,null,3583,null,24123,null,3954,null,40817,null,3279,null,19741,null,2585,null,86739,null,4421,null,1129312,null,9931,null,958120,null,9974,null,847944,null,10286,null,110176,null,5326,null,89094,null,4348,null,13052,null,1515,null,8030,null,1711,null,39720,null,3173,null,10377,null,1843,null,32620,null,3078,null,9121,null,1525,null,79354,null,4272,null,0400000US08,Colorado,08
1708011,null,11768,null,1490699,null,12882,null,1346808,null,14047,null,143891,null,6954,null,116144,null,6503,null,15611,null,2192,null,12136,null,2061,null,77276,null,5107,null,5072,null,1249,null,50342,null,4450,null,14728,null,2049,null,69894,null,4619,null,883865,null,8021,null,767979,null,9596,null,693477,null,10424,null,74502,null,5001,null,57853,null,4628,null,8802,null,1683,null,7847,null,1768,null,41401,null,3569,null,3988,null,1026,null,26508,null,2845,null,7973,null,1305,null,36016,null,3365,null,824146,null,8417,null,722720,null,8710,null,653331,null,9447,null,69389,null,3782,null,58291,null,3516,null,6809,null,1229,null,4289,null,974,null,35875,null,3582,null,1084,null,535,null,23834,null,2754,null,6755,null,1583,null,33878,null,2564,null,0400000US09,Connecticut,09
412892,null,5760,null,369416,null,5425,null,332469,null,5713,null,36947,null,4048,null,27545,null,3356,null,4906,null,1256,null,4496,null,2060,null,15491,null,2455,null,1255,null,569,null,9713,null,1693,null,3583,null,1130,null,13434,null,1820,null,210448,null,4015,null,187884,null,3822,null,168327,null,4106,null,19557,null,2688,null,14052,null,2191,null,2491,null,880,null,3014,null,1800,null,7809,null,1795,null,1033,null,549,null,5368,null,1217,null,2087,null,686,null,6267,null,1188,null,202444,null,4165,null,181532,null,4294,null,164142,null,4246,null,17390,null,2345,null,13493,null,2019,null,2415,null,924,null,1482,null,789,null,7682,null,1491,null,222,null,174,null,4345,null,1001,null,1496,null,764,null,7167,null,1163,null,0400000US10,Delaware,10
291083,null,5263,null,125490,null,5371,null,106115,null,4989,null,19375,null,2573,null,14335,null,2202,null,3457,null,1088,null,1583,null,712,null,108046,null,5037,null,6306,null,1564,null,32328,null,3031,null,3872,null,1227,null,15041,null,1984,null,142105,null,3062,null,62673,null,3446,null,54104,null,3121,null,8569,null,1616,null,6284,null,1326,null,1107,null,573,null,1178,null,577,null,48264,null,3091,null,3936,null,1033,null,17071,null,2132,null,2346,null,970,null,7815,null,1501,null,148978,null,4139,null,62817,null,3685,null,52011,null,3439,null,10806,null,1604,null,8051,null,1481,null,2350,null,726,null,405,null,301,null,59782,null,3512,null,2370,null,847,null,15257,null,2137,null,1526,null,651,null,7226,null,1344,null,0400000US11,District of Columbia,11
7892572,null,35030,null,7074398,null,35292,null,6255178,null,32078,null,819220,null,20095,null,638317,null,16343,null,104847,null,7367,null,76056,null,7171,null,148707,null,9082,null,51684,null,5067,null,118132,null,8636,null,124500,null,8191,null,375151,null,11634,null,4155976,null,20743,null,3683265,null,24625,null,3235440,null,24493,null,447825,null,13312,null,337283,null,11829,null,58582,null,5471,null,51960,null,6593,null,71217,null,6362,null,37842,null,4550,null,66135,null,5976,null,86420,null,7057,null,211097,null,9237,null,3736596,null,23207,null,3391133,null,22335,null,3019738,null,20176,null,371395,null,11200,null,301034,null,9849,null,46265,null,4084,null,24096,null,2721,null,77490,null,6527,null,13842,null,2313,null,51997,null,4970,null,38080,null,4209,null,164054,null,6288,null,0400000US12,Florida,12
