B08007_001E,B08007_001EA,B08007_001M,B08007_001MA,B08007_002E,B08007_002EA,B08007_002M,B08007_002MA,B08007_003E,B08007_003EA,B08007_003M,B08007_003MA,B08007_004E,B08007_004EA,B08007_004M,B08007_004MA,B08007_005E,B08007_005EA,B08007_005M,B08007_005MA,B08007_006E,B08007_006EA,B08007_006M,B08007_006MA,B08007_007E,B08007_007EA,B08007_007M,B08007_007MA,B08007_008E,B08007_008EA,B08007_008M,B08007_008MA,B08007_009E,B08007_009EA,B08007_009M,B08007_009MA,B08007_010E,B08007_010EA,B08007_010M,B08007_010MA,B08007_011E,B08007_011EA,B08007_011M,B08007_011MA,B08007_012E,B08007_012EA,B08007_012M,B08007_012MA,B08007_013E,B08007_013EA,B08007_013M,B08007_013MA,B08007_014E,B08007_014EA,B08007_014M,B08007_014MA,B08007_015E,B08007_015EA,B08007_015M,B08007_015MA,GEO_ID,NAME,state
1959883,null,14222,null,1874615,null,14342,null,1449186,null,13766,null,425429,null,9477,null,85268,null,4717,null,1038860,null,11128,null,980730,null,10917,null,729019,null,10609,null,251711,null,6537,null,58130,null,3678,null,921023,null,11315,null,893885,null,11654,null,720167,null,10521,null,173718,null,6581,null,27138,null,2285,null,0400000US01,Alabama,01
334556,null,6259,null,333061,null,6279,null,312243,null,6304,null,20818,null,2153,null,1495,null,617,null,179985,null,4106,null,179079,null,4180,null,163739,null,4389,null,15340,null,1935,null,906,null,389,null,154571,null,4061,null,153982,null,4000,null,148504,null,3930,null,5478,null,1079,null,589,null,402,null,0400000US02,Alaska,02
2752205,null,20509,null,2703724,null,21068,null,2590638,null,20676,null,113086,null,4993,null,48481,null,3767,null,1495064,null,14694,null,1460844,null,14993,null,1392342,null,14776,null,68502,null,3695,null,34220,null,3194,null,1257141,null,13474,null,1242880,null,13532,null,1198296,null,13276,null,44584,null,3279,null,14261,null,1761,null,0400000US04,Arizona,04
1222789,null,14751,null,1175061,null,13935,null,927095,null,12337,null,247966,null,7733,null,47728,null,3702,null,647576,null,9049,null,616627,null,8912,null,472577,null,8981,null,144050,null,5777,null,30949,null,2686,null,575213,null,9182,null,558434,null,8838,null,454518,null,8566,null,103916,null,4344,null,16779,null,2071,null,0400000US05,Arkansas,05
16145601,null,40942,null,16065593,null,40553,null,13375283,null,41848,null,2690310,null,25384,null,80008,null,4077,null,8863006,null,31229,null,8805698,null,32081,null,7139938,null,31237,null,1665760,null,20260,null,57308,null,3784,null,7282595,null,27594,null,7259895,null,26936,null,6235345,null,30037,null,1024550,null,16154,null,22700,null,2512,null,0400000US06,California,06
2465357,null,14253,null,2435872,null,15225,null,1623453,null,17251,null,812419,null,13655,null,29485,null,2709,null,1336045,null,10689,null,1313653,null,11241,null,841194,null,13188,null,472459,null,10219,null,22392,null,2218,null,1129312,null,9931,null,1122219,null,9966,null,782259,null,10840,null,339960,null,7275,null,7093,null,1540,null,0400000US08,Colorado,08
1708011,null,11768,null,1596923,null,11761,null,1261223,null,13649,null,335700,null,8290,null,111088,null,5585,null,883865,null,8021,null,809139,null,8357,null,621104,null,8736,null,188035,null,5701,null,74726,null,4122,null,824146,null,8417,null,787784,null,8428,null,640119,null,8443,null,147665,null,4954,null,36362,null,3122,null,0400000US09,Connecticut,09
412892,null,5760,null,358103,null,7043,null,332793,null,7362,null,25310,null,2746,null,54789,null,3967,null,210448,null,4015,null,176597,null,4620,null,161078,null,4690,null,15519,null,2061,null,33851,null,3110,null,202444,null,4165,null,181506,null,4566,null,171715,null,4700,null,9791,null,1571,null,20938,null,2203,null,0400000US10,Delaware,10
291083,null,5263,null,216290,null,6076,null,216290,null,6076,null,0,null,296,null,74793,null,4753,null,142105,null,3062,null,102872,null,3870,null,102872,null,3870,null,0,null,296,null,39233,null,3021,null,148978,null,4139,null,113418,null,4502,null,113418,null,4502,null,0,null,296,null,35560,null,3229,null,0400000US11,District of Columbia,11
7892572,null,35030,null,7792524,null,36310,null,6394536,null,35764,null,1397988,null,20098,null,100048,null,5380,null,4155976,null,20743,null,4085680,null,21781,null,3273054,null,22915,null,812626,null,17376,null,70296,null,4250,null,3736596,null,23207,null,3706844,null,23700,null,3121482,null,24358,null,585362,null,11058,null,29752,null,2756,null,0400000US12,Florida,12
4289657,null,27610,null,4173142,null,28047,null,2535731,null,18972,null,1637411,null,21321,null,116515,null,5524,null,2257756,null,19455,null,2181514,null,19511,null,1278363,null,16560,null,903151,null,13050,null,76242,null,4271,null,2031901,null,19430,null,1991628,null,19341,null,1257368,null,16069,null,734260,null,14709,null,40273,null,3182,null,0400000US13,Georgia,13
638154,null,6055,null,635125,null,5918,null,632293,null,5940,null,2832,null,828,null,3029,null,710,null,347512,null,4459,null,345280,null,4425,null,343058,null,4383,null,2222,null,783,null,2232,null,610,null,290642,null,5182,null,289845,null,5179,null,289235,null,5233,null,610,null,301,null,797,null,364,null,0400000US15,Hawaii,15
674773,null,7681,null,641013,null,7549,null,537872,null,7749,null,103141,null,4270,null,33760,null,2730,null,361253,null,5040,null,339286,null,5368,null,278769,null,5638,null,60517,null,3336,null,21967,null,2086,null,313520,null,5501,null,301727,null,5339,null,259103,null,5817,null,42624,null,2994,null,11793,null,1633,null,0400000US16,Idaho,16
5918382,null,18686,null,5722830,null,19554,null,4356659,null,22914,null,1366171,null,15928,null,195552,null,5859,null,3111641,null,16742,null,2991487,null,17381,null,2201468,null,17052,null,790019,null,10892,null,120154,null,4328,null,2806741,null,11557,null,2731343,null,12004,null,2155191,null,15851,null,576152,null,10007,null,75398,null,3449,null,0400000US17,Illinois,17
2875125,null,17262,null,2710289,null,15573,null,1955235,null,15786,null,755054,null,12296,null,164836,null,6303,null,1509781,null,10922,null,1406139,null,10779,null,968366,null,11091,null,437773,null,8771,null,103642,null,4025,null,1365344,null,13278,null,1304150,null,12724,null,986869,null,12463,null,317281,null,7007,null,61194,null,4007,null,0400000US18,Indiana,18
